id,gpt5.2-onclaude resumes,gpt4o-on3.5 resumes,gpt4o-onmini resumes,True,CV doordash Score
1747,80.271,80.379,79.591,1,79.038
1784,77.806,78.696,79.954,1,78.951
2476,81.746,82.475,83.226,1,82.712
2515,79.495,81.482,83.575,1,80.269
2517,80.643,82.192,82.998,1,78.765
2529,80.513,80.79,83.186,1,80.951
2538,81.845,82.95,84.662,1,81.519
2551,82.122,81.414,82.387,1,80.911
2553,82.586,84.419,83.3,1,81.421
2554,81.517,83.948,82.499,1,81.739
2555,79.958,82.008,81.183,1,80.237
2556,80.782,81.781,81.883,1,78.353
2577,82.548,85.852,84.109,1,82.692
2582,80.922,81.565,81.928,1,79.841
2583,83.282,81.369,82.354,1,79.894
2584,82.861,84.163,84.323,1,82.429
2585,81.815,80.788,83.292,1,82.342
2586,81.561,82.945,81.892,1,81.45
2587,81.017,82.859,83.482,1,80.201
2588,80.381,82.759,80.865,1,82.33
2589,83.047,83.329,84.486,1,84.072
2590,83.861,84.923,83.808,1,83.86
2591,82.351,80.336,83.672,1,80.966
2592,85.029,85.212,85.569,1,84.51
2594,82.223,84.117,83.556,1,83.499
2595,82.651,80.921,81.91,1,83.092
2597,85.972,85.124,86.105,1,86.226
2645,83.184,82.948,83.229,1,81.308
2654,82.822,82.255,84.517,1,81.921
2655,82.948,83.347,84.364,1,82.022
2656,82.679,82.952,82.838,1,83.083
2657,77.373,78.975,80.709,1,77.689
2658,80.91,82.958,82.927,1,81.724
2659,80.614,82.77,83.124,1,79.967
2660,82.236,83.939,84.827,1,83.092
2741,77.912,82.889,80.636,1,77.723
2766,79.319,79.583,81.976,1,79.144
2793,82.232,81.213,83.925,1,82.69
2810,79.454,78.905,79.318,1,79.027
2824,82.475,82.801,83.524,1,82.082
3002,82.737,83.857,82.834,1,80.341
3021,82.173,84.237,83.229,1,82.509
3093,82.635,82.587,83.558,1,80.967
3105,83.731,83.555,83.442,1,82.276
3113,77.351,79.79,80.574,1,76.928
3118,82.411,82.865,84.12,1,78.741
3120,82.276,82.998,82.395,1,77.42
3122,81.986,83.387,82.668,1,81.297
3123,81.459,80.214,83.333,1,78.761
3133,82.728,83.412,84.098,1,80.768
3134,82.437,85.043,83.774,1,83.242
3135,84.407,84.931,85.06,1,84.517
3136,81.39,80.032,83.91,1,79.17
3137,82.497,83.385,82.903,1,82.506
3138,81.235,80.988,81.235,1,81.519
3139,79.155,82.927,81.781,1,79.939
3140,80.827,81.847,81.845,1,81.652
3141,79.747,82.415,83.75,1,79.027
3142,82.693,82.201,83.347,1,82.955
3143,82.734,81.211,81.413,1,81.015
3144,79.009,80.956,82.851,1,76.994
3145,79.461,79.963,80.574,1,78.842
3146,78.172,78.197,80.385,1,77.933
3147,81.952,81.756,81.399,1,79.918
3148,80.081,82.02,82.367,1,80.058
3149,81.714,82.332,83.144,1,80.726
3150,81.849,81.157,84.243,1,81.964
3153,80.768,80.663,80.988,1,78.503
3155,76.653,78.277,81.071,1,74.177
3156,81.125,80.945,81.256,1,79.653
3157,79.119,80.116,79.478,1,80.882
3158,82.071,83.323,82.228,1,81.608
3159,80.831,81.239,80.915,1,79.054
3160,81.072,79.501,81.371,1,78.679
3161,84.659,83.564,84.496,1,83.266
3162,81.962,82.857,82.904,1,81.467
3186,81.856,84.416,85.342,1,81.428
3225,81.736,84.876,84.733,1,82.351
3315,80.554,82.858,83.31,1,77.596
3321,81.965,82.149,82.586,1,82.115
3332,79.385,81.011,80.684,1,75.786
5877,79.961,81.706,81.714,1,77.985
5981,83.005,83.663,84.572,1,83.509
6018,76.268,76.248,77.803,0,77.359
6021,80.565,80.924,79.254,0,76.957
6026,79.633,78.491,80.067,0,78.456
6043,83.62,84.181,83.467,1,83.045
6078,81.0,82.791,80.665,1,80.289
6081,84.36,83.169,82.771,1,82.085
6082,80.902,82.628,82.419,1,80.058
6090,81.622,82.495,81.133,1,79.671
6127,85.911,84.203,85.472,1,83.267
6211,81.24,80.147,82.431,1,80.623
6213,80.927,81.779,82.974,1,84.161
6214,80.671,80.31,83.271,1,81.763
6231,79.273,82.932,80.457,1,80.656
6232,82.095,80.7,82.283,1,81.245
6233,82.126,82.216,83.612,1,81.557
6239,79.13,77.563,79.304,1,77.256
6240,81.282,81.521,83.228,1,82.129
6254,81.959,83.659,82.785,1,82.058
6255,81.004,82.392,81.181,1,80.384
6342,79.9,79.508,79.907,1,80.357
7630,80.018,82.999,81.287,1,80.044
7654,80.107,80.761,82.233,1,79.56
8890,81.176,83.744,81.811,1,72.057
8916,77.247,79.058,80.652,1,76.812
9028,78.678,80.683,79.086,1,78.622
9066,79.737,79.806,79.986,1,77.931
9445,81.603,80.613,81.358,1,81.801
9479,79.239,78.639,79.75,0,78.834
9542,81.175,83.185,82.244,1,79.739
9546,83.138,84.284,83.286,1,82.295
9547,79.443,83.907,83.838,1,80.354
9583,80.731,82.684,82.129,1,81.023
9587,77.302,80.904,79.984,1,76.728
12037,81.217,82.107,83.039,1,80.739
12116,79.625,79.993,78.958,1,76.891
12122,82.625,83.243,83.737,1,81.708
12124,83.322,82.615,81.464,1,80.016
12141,80.368,81.767,81.638,1,81.284
12143,79.803,80.922,81.284,1,78.464
12149,83.234,82.457,80.739,1,82.387
12161,73.641,76.258,81.86,1,75.648
12252,83.592,83.311,83.504,1,81.65
12408,78.78,80.178,80.793,1,78.619
12409,82.54,82.501,82.362,1,80.564
12410,81.249,83.075,83.878,1,81.924
12418,83.549,80.366,83.613,1,80.887
12422,81.696,82.144,82.472,1,81.647
12435,80.286,81.102,82.265,1,80.205
12436,79.22,81.26,81.665,1,77.55
12437,75.345,81.737,81.277,1,74.847
12447,82.567,84.221,83.212,1,80.9
12448,83.598,83.662,84.065,1,82.373
12449,82.489,84.295,83.589,1,81.108
12450,81.6,78.405,82.477,1,78.652
12451,81.585,82.24,83.013,1,80.616
12452,80.342,78.838,83.919,1,78.411
12453,81.309,81.506,82.205,1,81.291
12454,81.318,79.852,81.743,1,81.058
12455,85.714,84.3,84.753,1,84.639
12456,84.869,84.495,82.997,1,83.603
12457,81.402,81.929,82.502,1,81.619
12458,84.441,79.053,85.031,1,79.287
12459,80.808,80.073,80.07,1,79.189
12460,82.552,82.715,83.764,1,84.031
12461,81.097,83.848,83.069,1,76.918
12462,80.763,78.088,81.634,1,79.285
12463,75.679,77.028,80.04,1,74.3
12464,82.198,85.259,85.442,1,83.39
12465,82.843,79.761,80.401,1,80.344
12466,80.553,82.251,82.109,1,79.429
12467,81.897,83.377,83.952,1,82.072
12468,79.506,78.866,81.969,1,78.341
12469,75.124,76.825,78.016,1,74.243
12470,82.565,85.054,83.636,1,80.991
12471,84.029,82.113,84.141,1,84.184
12472,82.279,82.186,82.615,1,80.53
12473,81.705,81.963,84.461,1,82.216
12474,78.232,80.723,79.75,1,79.462
12475,81.183,81.104,82.178,1,82.06
12476,79.727,81.656,81.623,1,82.204
12477,87.768,84.812,86.682,1,82.083
12478,83.081,81.128,83.066,1,80.015
12479,80.939,82.238,81.893,1,78.869
12480,82.019,81.66,81.903,1,82.038
12481,80.542,81.128,82.856,1,80.903
12482,82.839,83.855,83.585,1,83.031
12483,80.266,79.97,81.785,1,81.297
12484,80.33,81.334,80.808,1,78.232
12485,82.299,82.876,78.62,1,81.38
12486,82.848,83.49,83.882,1,82.114
12487,83.77,82.851,83.24,1,84.148
12488,80.464,80.647,81.47,1,81.203
12489,78.533,77.685,77.648,1,77.179
12490,79.593,81.777,81.397,1,80.169
12491,81.115,80.919,83.472,1,80.571
12492,81.902,83.038,82.05,1,81.785
12493,79.528,83.325,82.164,1,77.354
12494,81.033,78.938,80.767,1,79.893
12495,83.147,83.498,83.338,1,83.082
12496,82.401,81.638,83.469,1,79.886
12497,85.106,83.769,83.789,1,82.928
12498,83.24,83.744,83.191,1,83.737
12499,81.687,80.145,84.162,1,80.214
12500,80.233,79.603,81.726,1,79.336
12501,77.508,81.071,80.574,1,73.249
12502,81.953,82.64,83.426,1,79.626
12503,76.958,81.42,83.212,1,76.122
12504,82.627,84.211,83.736,1,83.023
12505,74.812,77.778,75.971,1,76.132
12506,81.422,82.37,81.765,1,81.809
12507,79.953,79.366,81.524,1,81.053
12508,81.256,82.307,83.637,1,81.937
12509,79.614,80.649,80.419,1,79.714
12510,79.647,84.13,82.564,1,79.411
12511,80.651,81.689,81.502,1,80.135
12512,78.892,80.329,81.022,1,80.673
12513,78.982,79.874,81.315,1,79.544
12514,85.121,85.002,84.488,1,82.236
12515,82.69,81.809,82.941,1,81.648
12516,83.877,84.3,83.502,1,83.058
12518,83.286,84.164,83.295,1,81.753
12519,81.038,81.287,81.11,1,79.677
12520,84.531,84.8,84.86,1,84.553
12521,82.09,83.001,83.619,1,82.633
12523,84.57,81.93,83.078,1,78.456
12525,85.296,85.471,86.036,1,85.303
12526,82.254,85.147,85.178,1,82.639
12527,80.376,83.641,83.403,1,81.905
12528,80.347,80.195,79.117,1,79.472
12529,84.694,85.502,86.259,1,85.004
12530,79.979,79.302,79.993,1,79.314
12531,79.091,79.608,80.713,1,76.728
12532,80.881,80.747,82.292,1,79.832
12533,80.908,80.125,82.142,1,81.969
12565,84.199,84.316,85.716,1,84.886
12656,81.65,81.882,82.733,1,82.681
12674,81.416,82.708,82.933,1,81.642
12687,79.743,79.586,79.256,1,79.369
12736,80.835,83.233,83.212,1,82.133
13078,81.544,80.923,83.277,1,82.662
13080,83.257,83.001,83.283,1,82.397
13146,80.091,83.257,80.931,1,79.198
13147,81.409,80.487,81.865,1,81.122
13148,83.082,83.397,83.503,1,82.124
13149,80.989,83.218,82.216,1,80.98
13150,81.933,81.571,82.786,1,83.228
13196,84.611,85.1,84.113,1,82.047
13382,80.709,81.369,82.59,1,77.717
13461,80.293,79.127,80.961,1,77.719
13475,82.263,82.115,84.667,1,82.804
13477,80.247,81.289,82.532,1,80.048
13537,81.888,85.207,84.062,1,80.83
13893,81.673,83.497,82.801,1,82.617
