id,gpt5.2-onclaude resumes,gpt4o-on3.5 resumes,gpt4o-onmini resumes,True,CV google Score
1747,82.661,82.056,81.671,0,81.074
1784,80.002,81.645,82.131,0,81.528
2476,79.811,80.15,82.318,0,81.63
2515,78.1,78.23,80.27,0,77.629
2517,77.646,79.291,80.201,0,75.679
2529,77.957,79.422,81.996,0,79.02
2538,78.936,78.536,80.211,0,78.58
2551,82.116,84.484,83.447,0,81.233
2553,78.215,79.862,79.958,0,76.937
2554,85.107,86.911,86.597,0,85.506
2555,78.262,81.543,79.418,0,80.068
2556,79.718,80.823,81.873,0,76.015
2577,78.872,81.66,82.434,0,78.27
2582,78.923,80.504,81.427,0,79.983
2583,80.09,78.39,81.005,0,77.33
2584,80.011,81.561,81.673,0,79.056
2585,78.828,80.138,80.75,0,78.581
2586,78.987,80.776,80.137,0,78.483
2587,77.808,79.94,80.824,0,76.723
2588,76.871,80.889,78.246,0,80.498
2589,80.123,81.437,82.566,0,82.238
2590,80.745,82.139,79.629,0,78.624
2591,80.5,80.013,81.749,0,80.396
2592,80.491,81.096,80.492,0,80.348
2594,79.715,81.066,79.813,0,80.267
2595,79.641,78.454,80.924,0,79.809
2597,81.469,82.995,82.06,0,81.064
2645,80.239,79.733,80.354,0,80.975
2654,79.791,79.036,82.422,0,78.027
2655,79.348,82.313,80.316,0,82.107
2656,78.898,80.831,81.993,0,81.991
2657,80.689,82.306,84.406,0,82.343
2658,76.408,80.078,79.636,0,76.605
2659,78.466,82.103,79.99,0,80.147
2660,77.398,80.653,80.584,0,78.465
2741,75.791,80.527,78.267,0,76.12
2766,79.851,80.453,83.521,0,79.06
2793,80.98,81.143,82.07,0,81.938
2810,76.834,75.732,75.975,0,75.744
2824,79.206,80.49,81.83,0,79.724
3002,79.371,78.858,79.758,0,73.845
3021,79.671,80.692,79.893,0,78.372
3093,80.534,82.727,81.381,0,79.407
3105,79.6,80.83,79.711,0,77.727
3113,78.21,79.907,80.757,0,77.822
3118,81.968,83.615,82.668,0,82.142
3120,77.941,80.259,79.4,0,75.728
3122,80.081,80.599,81.004,0,78.794
3123,81.231,80.5,81.608,0,78.464
3133,79.165,81.208,82.606,0,80.491
3134,79.867,80.266,81.752,0,79.688
3135,77.864,81.232,81.371,0,80.379
3136,81.735,80.868,84.142,0,78.942
3137,79.631,81.059,81.077,0,80.629
3138,76.682,79.336,78.367,0,78.61
3139,77.893,80.633,78.729,0,78.194
3140,79.179,80.938,81.391,0,78.839
3141,77.958,82.133,83.756,0,79.575
3142,80.145,78.499,79.455,0,79.509
3143,79.553,79.94,78.554,0,79.781
3144,78.403,78.517,81.723,0,74.758
3145,77.523,78.294,77.746,0,78.151
3146,77.288,76.308,79.071,0,75.4
3147,81.075,81.26,80.94,0,79.055
3148,80.576,80.019,80.085,0,80.919
3149,78.923,81.265,80.908,0,79.202
3150,78.828,79.076,81.29,0,79.382
3153,79.792,80.264,80.649,0,77.496
3155,72.911,75.062,79.663,0,72.477
3156,79.094,80.353,79.671,0,77.704
3157,78.598,82.377,80.541,0,81.213
3158,80.928,81.887,80.634,0,80.855
3159,79.327,79.932,76.422,0,75.497
3160,82.535,81.037,81.908,0,81.575
3161,81.695,81.501,83.592,0,80.167
3162,80.218,79.519,81.369,0,78.688
3186,80.384,81.955,81.994,0,80.252
3225,76.112,81.231,79.701,0,77.014
3315,77.008,80.161,79.796,0,75.209
3321,77.329,80.103,79.785,0,77.844
3332,77.749,82.628,82.064,0,75.78
5877,79.684,81.608,80.303,0,78.733
5981,80.052,79.275,82.668,0,80.363
6018,86.674,85.399,85.734,1,85.607
6021,84.651,86.327,82.671,1,80.387
6026,86.239,85.75,87.964,1,88.592
6043,79.717,79.773,79.53,0,79.295
6078,80.001,81.922,79.873,0,79.611
6081,81.202,82.453,82.204,0,81.642
6082,81.078,82.939,82.107,0,80.805
6090,77.586,78.172,78.099,0,77.834
6127,82.021,80.717,83.597,0,81.424
6211,79.723,79.555,81.199,0,80.203
6213,80.536,81.062,79.972,0,81.409
6214,77.82,79.76,81.785,0,79.562
6231,76.754,79.274,78.04,0,77.132
6232,80.303,80.127,81.419,0,79.93
6233,77.595,78.19,82.435,0,76.5
6239,78.733,79.312,79.654,0,77.199
6240,77.442,79.378,78.902,0,79.191
6254,81.115,82.375,83.819,0,81.494
6255,78.539,78.931,78.108,0,78.563
6342,75.043,75.638,75.373,0,75.051
7630,80.924,82.619,82.549,0,80.692
7654,78.563,79.109,79.714,0,79.431
8890,80.084,83.02,85.449,0,74.311
8916,78.489,80.15,79.187,0,76.781
9028,78.635,81.243,80.291,0,80.647
9066,79.036,79.548,79.895,0,75.594
9445,80.163,79.539,80.326,0,80.759
9479,87.777,85.137,84.365,1,84.062
9542,79.541,82.26,82.489,0,77.849
9546,81.45,81.681,80.527,0,79.661
9547,77.287,79.858,80.885,0,78.438
9583,76.894,78.724,77.626,0,76.9
9587,76.799,79.933,78.469,0,77.048
12037,81.724,82.368,83.065,0,81.076
12116,78.528,79.116,79.066,0,76.391
12122,80.952,80.325,81.624,0,78.341
12124,78.292,78.442,78.772,0,79.18
12141,78.78,79.972,80.073,0,78.079
12143,80.477,80.837,80.736,0,79.674
12149,81.249,81.362,80.694,0,81.499
12161,75.778,79.067,80.773,0,78.86
12252,81.371,84.683,84.108,0,83.181
12408,78.361,79.015,78.196,0,76.643
12409,78.49,80.299,79.084,0,79.018
12410,80.96,82.262,83.042,0,80.869
12418,80.233,78.797,82.907,0,80.894
12422,78.171,78.525,78.276,0,78.027
12435,76.995,77.06,78.132,0,76.513
12436,75.774,78.973,78.199,0,75.188
12437,75.909,80.825,80.147,0,74.666
12447,81.192,84.414,82.99,0,79.584
12448,80.098,83.502,81.118,0,81.883
