id,haiku resumes,gemini_flash_lite resumes,gemini_pro resumes,opus resumes,gemini_flash resumes,sonnet resumes,True,CV google Score
1747,0.8530797,0.84611803,0.832938,0.84228814,0.8413258,0.8628218,0,0.87274396
1784,0.81400484,0.8197341,0.8544656,0.78916717,0.86479974,0.812523,0,0.8384842
2476,0.83853936,0.85413283,0.85977304,0.86278766,0.8521867,0.82857597,0,0.86058086
2515,0.84732664,0.80943835,0.83937556,0.85189354,0.8524436,0.83222425,0,0.809559
2517,0.807953,0.82321525,0.7677609,0.80406225,0.796429,0.81448495,0,0.7790281
2529,0.8163391,0.81620663,0.8098125,0.8382616,0.8242379,0.82509166,0,0.8075952
2538,0.7914487,0.8462852,0.8299458,0.82335466,0.8041197,0.83216727,0,0.8388186
2551,0.8428083,0.84829396,0.8500693,0.85153836,0.8462098,0.84044623,0,0.82589924
2553,0.8550524,0.8442883,0.8605674,0.8360902,0.83898455,0.83503413,0,0.84315014
2554,0.87196946,0.8373112,0.85196924,0.8492292,0.87249684,0.87815046,0,0.88773555
2555,0.7680461,0.8000551,0.81697714,0.7934762,0.8161665,0.77937657,0,0.767254
2556,0.8174311,0.80164874,0.82016534,0.81297815,0.7853311,0.81182027,0,0.78244853
2577,0.85257596,0.839983,0.8622912,0.85414994,0.8345617,0.85184294,0,0.8478489
2582,0.8194654,0.8489003,0.84824604,0.82035637,0.86377066,0.8345567,0,0.8319945
2583,0.8219781,0.81443846,0.8177633,0.8247517,0.8402583,0.8090515,0,0.7961286
2584,0.8329549,0.836614,0.8270917,0.81401014,0.8407349,0.8377219,0,0.8308548
2585,0.8236357,0.8074585,0.82711005,0.8230169,0.833049,0.8483062,0,0.8360106
2586,0.8278524,0.84701747,0.80837977,0.80075514,0.80094755,0.8212707,0,0.8146164
2587,0.77339995,0.7663405,0.78781855,0.7632149,0.80794007,0.7742846,0,0.7734189
2588,0.8304799,0.8019715,0.82603645,0.8262389,0.8352041,0.8273133,0,0.7951935
2589,0.8440563,0.8231401,0.81774145,0.85510933,0.81058586,0.84998363,0,0.8463442
2590,0.82326317,0.8000796,0.8334388,0.81831366,0.8395022,0.830919,0,0.80378807
2591,0.84945726,0.83465254,0.8585828,0.8559252,0.85647726,0.8588352,0,0.8190783
2592,0.7918161,0.80934656,0.83894354,0.81722426,0.81160986,0.80817854,0,0.7943027
2594,0.8232812,0.81900823,0.80205375,0.81981254,0.795361,0.7760015,0,0.78411674
2595,0.8206753,0.78205335,0.8347206,0.7786874,0.7963103,0.79036933,0,0.76573473
2597,0.838112,0.8434019,0.87284184,0.85537964,0.8514836,0.849878,0,0.8524417
2645,0.82556844,0.8460188,0.8402167,0.8411139,0.84651405,0.83993435,0,0.856686
2654,0.7847177,0.7997924,0.81668335,0.7958109,0.8486936,0.7962096,0,0.8073052
