id,DS1 resumes,Mixtral1 resumes,DS2 resumes,Mixtral3 resumes,Mixtral2 resumes,DS3 resumes,Llama1 resumes,GPT-4o1 resumes,Llama2 resumes,GPT-4o3 resumes,GPT-4o2 resumes,Llama3 resumes,GPT-mini2 resumes,GPT-mini3 resumes,GPT-mini1 resumes,GPT-3.5.1 resumes,GPT-3.5.3 resumes,sonnet2 resumes,GPT-3.5.2 resumes,True,CV google Score
1747,0.83000034,0.86919385,0.8319777,0.8400475,0.84700793,0.8319777,0.8626171,0.826742,0.8626171,0.8225068,0.82904404,0.8626171,0.8285011,0.8285011,0.8288883,0.8707713,0.87276167,0.826241,0.87276167,0,0.87274396
1784,0.8441843,0.8532086,0.85631007,0.8634556,0.841854,0.8562827,0.84608245,0.87481606,0.84608245,0.8704168,0.8704168,0.84792733,0.8629749,0.8629749,0.868103,0.8659486,0.8659486,0.77387404,0.8659486,0,0.8384842
2476,0.8833499,0.7100953,0.89488095,0.7965894,0.8190869,0.88738286,0.88486075,0.8591669,0.88486075,0.8569251,0.8591669,0.88486075,0.85458803,0.8556463,0.85458803,0.84874743,0.8590855,0.83773196,0.83717823,0,0.86058086
2515,0.86245596,0.8689389,0.8596503,0.82708645,0.8514297,0.8750022,0.8607828,0.8324801,0.86445934,0.87611514,0.83434767,0.8610963,0.85658383,0.85658383,0.85658383,0.8318714,0.8318714,0.83287066,0.8318714,0,0.809559
2517,0.80073303,0.79234326,0.79861605,0.8133614,0.77466017,0.79323256,0.80571026,0.80529004,0.8096577,0.799956,0.8025217,0.8227065,0.8361989,0.8361989,0.8361989,0.7789513,0.7614889,0.79740065,0.7547613,0,0.7790281
2529,0.814915,0.8458226,0.83163315,0.8254374,0.81493133,0.8210297,0.8350276,0.827435,0.8350276,0.8192538,0.82878137,0.8180641,0.81365305,0.81365305,0.8240776,0.7870171,0.79261243,0.8363323,0.7855418,0,0.8075952
2538,0.83850795,0.85309833,0.84081036,0.808784,0.8059313,0.84117246,0.8132297,0.8206438,0.81244713,0.8039618,0.80335706,0.8095681,0.82750565,0.8270807,0.82329893,0.7866168,0.78850603,0.8264321,0.78850603,0,0.8388186
2551,0.8534362,0.8523157,0.8535241,0.8332028,0.8613785,0.8535241,0.8497652,0.83918154,0.8490586,0.8366705,0.8433964,0.8490586,0.8513006,0.8513006,0.8513006,0.81954074,0.81954074,0.84312475,0.81954074,0,0.82589924
2553,0.86590827,0.84705484,0.8663151,0.8493692,0.84540445,0.8584893,0.872599,0.8559602,0.872599,0.85606843,0.85919267,0.872599,0.83526266,0.83576995,0.8387204,0.82687515,0.82687515,0.83977884,0.82687515,0,0.84315014
2554,0.86037064,0.85538167,0.861547,0.84761775,0.83950114,0.8669249,0.90545106,0.8547783,0.90545106,0.8558377,0.8558377,0.90545106,0.8703011,0.8703011,0.8696416,0.85489154,0.869757,0.8616185,0.869757,0,0.88773555
2555,0.7994622,0.8020431,0.7994622,0.7978022,0.8006781,0.7994622,0.8413827,0.79622,0.8445874,0.80012864,0.7987493,0.8445874,0.8051327,0.8051327,0.8051327,0.77516687,0.77516687,0.79225326,0.7746824,0,0.767254
2556,0.82152426,0.75026447,0.8308054,0.7606721,0.7606721,0.83879775,0.76697487,0.8231147,0.7819159,0.82978487,0.82978487,0.7819159,0.84123945,0.83737063,0.80175936,0.77074105,0.77452344,0.80552435,0.77452344,0,0.78244853
2577,0.86231375,0.83340174,0.86231375,0.84566,0.85091674,0.8634893,0.8682233,0.8417344,0.86931825,0.86021477,0.8505878,0.86931825,0.84508187,0.84508187,0.84508187,0.86423945,0.86423945,0.84880847,0.86423945,0,0.8478489
2582,0.85117495,0.6656805,0.86130095,0.7099387,0.7594139,0.8634932,0.84012896,0.81486297,0.84012896,0.8103287,0.81169784,0.83833194,0.84436166,0.84436166,0.84436166,0.8166393,0.8313937,0.8492496,0.8313937,0,0.8319945
2583,0.8000958,0.7975419,0.8209386,0.8098057,0.81553483,0.8221267,0.80941784,0.8198458,0.8136994,0.85502785,0.8192379,0.8134867,0.8119412,0.8119412,0.80730385,0.78795207,0.78795207,0.8171353,0.78795207,0,0.7961286
2584,0.830439,0.7952093,0.8182094,0.8009377,0.78249043,0.8182094,0.83769715,0.8350414,0.83854616,0.8178379,0.81126237,0.8325039,0.8199386,0.8251835,0.8199386,0.8092413,0.7552838,0.83339167,0.75951993,0,0.8308548
2585,0.8519881,0.83055776,0.85446,0.81943446,0.82161826,0.85446,0.8518623,0.8196856,0.8628386,0.826746,0.81853366,0.85640633,0.8167994,0.8167994,0.81706655,0.8145856,0.8145856,0.8365212,0.8145856,0,0.8360106
2586,0.8357014,0.79800624,0.8097193,0.78000677,0.778926,0.8097193,0.8228491,0.84040666,0.81814003,0.8406501,0.8531654,0.8025552,0.8230461,0.8230461,0.8230461,0.8024139,0.8024139,0.82371545,0.8024139,0,0.8146164
2587,0.78980607,0.78553855,0.83159834,0.8381822,0.8283366,0.83159834,0.7440871,0.80733573,0.7487741,0.8226694,0.8216437,0.7487741,0.81072694,0.81072694,0.81072694,0.76115507,0.76115507,0.7812418,0.76115507,0,0.7734189
2588,0.8133229,0.8240739,0.8485051,0.652616,0.8300682,0.8485051,0.8040222,0.8344189,0.80179846,0.83714044,0.83587,0.808872,0.82512295,0.82512295,0.81575364,0.7965467,0.80402327,0.8139522,0.80402327,0,0.7951935
2589,0.82598495,0.8195962,0.8519104,0.8295741,0.8169454,0.8693558,0.84601897,0.8431311,0.84601897,0.8375361,0.8375361,0.84601897,0.84770626,0.84770626,0.8475397,0.82072616,0.82072616,0.8452146,0.82072616,0,0.8463442
2590,0.83641326,0.8103153,0.83641326,0.79195607,0.7870531,0.8611601,0.84139216,0.8467782,0.83360726,0.8369442,0.8403922,0.8339644,0.82383406,0.82383406,0.8219758,0.83132696,0.83132696,0.84284616,0.83132696,0,0.80378807
2591,0.87127113,0.8562381,0.8719923,0.85258985,0.85686064,0.872434,0.86024034,0.87195504,0.8569169,0.86369646,0.86406577,0.8569169,0.8607174,0.8607174,0.8607174,0.85656905,0.86046594,0.8456968,0.86046594,0,0.8190783
2592,0.8381392,0.8569376,0.83549654,0.8316976,0.8627221,0.83549654,0.8000176,0.82015747,0.79553604,0.8306223,0.8278288,0.79553604,0.82565206,0.82565206,0.82595056,0.8297066,0.8426099,0.8413434,0.8426099,0,0.7943027
2594,0.81056786,0.6580997,0.83215487,0.8104483,0.8001459,0.797159,0.816954,0.80136216,0.8132656,0.80337,0.800348,0.82170475,0.8042528,0.8064682,0.8035266,0.8103766,0.8011173,0.82568777,0.8011173,0,0.78411674
2595,0.85039496,0.77034616,0.8033305,0.7922975,0.763938,0.8201952,0.78926843,0.8305636,0.7868073,0.83087057,0.83087057,0.7868073,0.8299078,0.8299078,0.832543,0.799875,0.799875,0.80795205,0.799875,0,0.76573473
2597,0.8514874,0.6865958,0.8514874,0.8432579,0.8480526,0.8514874,0.85770917,0.85895985,0.85770917,0.85821813,0.85821813,0.85770917,0.8521669,0.8521669,0.8521669,0.82877135,0.82877135,0.84990674,0.82877135,0,0.8524417
2645,0.8380319,0.8259743,0.8465402,0.8226362,0.8247358,0.8408179,0.8321155,0.83802354,0.8414927,0.84250736,0.8353297,0.8414927,0.8345453,0.8345453,0.8345453,0.83435446,0.81582695,0.83237493,0.81582695,0,0.856686
2654,0.8154292,0.8186125,0.8192594,0.7997539,0.79708666,0.83457613,0.81436026,0.80909437,0.81436026,0.81894547,0.81894547,0.81436026,0.8207937,0.8207937,0.8207937,0.8073052,0.8073052,0.82326305,0.8073052,0,0.8073052
2655,0.8200286,0.84419847,0.83368564,0.84774274,0.8483536,0.8838698,0.82937896,0.8389398,0.8324307,0.83369726,0.83568823,0.8324307,0.79485804,0.79485804,0.79485804,0.85939515,0.85939515,0.8605869,0.85939515,0,0.8544034
2656,0.8174808,0.76542366,0.82869565,0.7801054,0.7739961,0.8327954,0.80662954,0.7901293,0.80122775,0.80518746,0.8129281,0.79377985,0.79196674,0.79196674,0.79661435,0.7976016,0.78040105,0.8064691,0.78040105,0,0.76682276
2657,0.85535693,0.8652491,0.85535693,0.8619327,0.8652491,0.8725892,0.8701943,0.84656805,0.8842237,0.845152,0.8545158,0.8842237,0.8688663,0.8688663,0.8688663,0.86432207,0.86432207,0.84429693,0.86432207,0,0.81277645
2658,0.7958725,0.7527659,0.8173061,0.7477,0.77020484,0.8173061,0.7655523,0.78253716,0.7711848,0.797212,0.78044903,0.77702314,0.79315424,0.79315424,0.79315424,0.7694264,0.76910186,0.8007673,0.76910186,0,0.78131264
2659,0.8140566,0.8216989,0.818197,0.81978476,0.8248469,0.86080205,0.8380745,0.86324775,0.85766053,0.868277,0.868277,0.85766053,0.81252444,0.81252444,0.82249194,0.81969655,0.8226013,0.83054143,0.8226013,0,0.7972296
