id,haiku resumes,sonnet resumes,gemini_flash resumes,opus resumes,CV google Score,gemini_pro resumes,gemini_flash_lite resumes,True
1747,81.449,82.184,82.116,81.438,81.074,82.889,81.647,0
1784,80.777,80.705,81.888,81.751,81.528,80.546,81.685,0
2476,81.194,80.023,81.365,80.581,81.63,81.51,81.388,0
2515,80.544,80.029,78.592,79.434,77.629,79.821,80.688,0
2517,77.041,78.849,78.322,78.305,75.679,76.154,78.975,0
2529,79.557,78.538,77.917,78.718,79.02,78.832,79.867,0
2538,78.434,78.836,80.36,79.536,78.58,79.012,80.023,0
2551,82.14,82.198,81.179,81.481,81.233,83.259,82.955,0
2553,77.734,77.686,78.765,78.146,76.937,78.629,77.735,0
2554,85.249,84.772,83.947,84.402,85.506,84.715,84.51,0
2555,79.305,79.358,79.609,80.619,80.068,80.681,80.224,0
2556,79.96,80.175,81.306,80.637,76.015,80.643,80.822,0
2577,79.789,80.036,81.687,78.987,78.27,80.834,81.333,0
2582,79.459,78.936,80.895,80.85,79.983,80.274,81.936,0
2583,78.568,79.174,80.153,80.467,77.33,81.026,78.018,0
2584,79.736,80.333,79.902,78.988,79.056,80.498,80.23,0
2585,79.145,78.57,80.7,78.869,78.581,79.659,79.353,0
2586,80.05,79.667,79.672,79.428,78.483,79.136,80.28,0
2587,78.467,77.918,80.034,78.632,76.723,78.536,78.636,0
2588,77.987,77.777,76.331,77.232,80.498,77.533,77.004,0
2589,80.3,80.633,80.859,80.328,82.238,80.924,81.319,0
2590,79.318,80.646,79.829,79.682,78.624,80.141,77.8,0
2591,79.731,79.977,80.147,79.294,80.396,80.512,78.597,0
2592,80.717,82.017,81.277,80.934,80.348,80.484,81.157,0
2594,79.279,80.287,80.32,79.023,80.267,80.745,79.859,0
2595,79.54,79.306,80.036,79.776,79.809,79.723,80.436,0
2597,82.382,82.675,82.87,82.287,81.064,81.906,82.834,0
2645,80.099,80.181,80.711,80.36,80.975,80.024,80.297,0
2654,78.79,80.254,79.287,79.31,78.027,79.266,79.18,0
2655,79.415,80.218,81.159,79.982,82.107,80.182,81.679,0
2656,78.965,79.412,80.567,79.401,81.991,80.399,79.291,0
2657,80.302,81.551,83.034,82.296,82.343,83.695,82.566,0
2658,77.755,77.794,76.607,76.96,76.605,78.483,79.544,0
2659,79.022,78.584,78.751,77.147,80.147,81.495,80.984,0
2660,78.611,79.085,82.423,79.293,78.465,80.034,79.53,0
2741,77.874,77.72,77.178,77.741,76.12,78.232,77.975,0
2766,79.421,79.727,80.963,80.282,79.06,80.389,81.329,0
2793,79.875,80.668,82.29,81.202,81.938,80.685,81.655,0
2810,75.867,77.137,76.807,76.743,75.744,76.994,76.743,0
2824,79.782,80.539,80.169,79.329,79.724,81.116,80.229,0
3002,78.107,79.707,79.11,77.553,73.845,78.461,78.949,0
3021,79.216,78.846,80.406,78.969,78.372,79.833,79.608,0
3093,80.262,81.185,80.339,79.362,79.407,79.141,81.265,0
3105,77.439,79.768,78.811,76.089,77.727,79.449,79.506,0
3113,79.578,77.706,78.754,77.487,77.822,79.448,80.454,0
3118,82.608,81.813,83.083,81.918,82.142,83.056,84.622,0
3120,77.413,77.693,78.67,78.561,75.728,78.259,80.149,0
3122,79.319,80.437,80.522,79.645,78.794,83.214,80.144,0
3123,79.559,79.598,81.621,78.755,78.464,81.535,80.602,0
3133,80.91,79.566,78.82,79.46,80.491,80.778,79.966,0
3134,79.736,79.51,80.341,81.567,79.688,80.396,79.446,0
3135,80.364,79.728,81.203,82.329,80.379,80.556,79.736,0
