id,GPT-4o1 resumes,GPT-4o3 resumes,GPT-4o2 resumes,GPT-3.5.1 resumes,GPT-3.5.3 resumes,GPT-3.5.2 resumes,Mixtral2 resumes,Mixtral3 resumes,Mixtral1 resumes,sonnet2 resumes,sonnet resumes,Llama1 resumes,Llama3 resumes,Llama2 resumes,DS2 resumes,DS3 resumes,DS1 resumes,GPT-mini1 resumes,GPT-mini2 resumes,GPT-mini3 resumes,CV google Score,True
1747,83.072,82.343,82.731,81.63,81.424,81.424,81.673,81.906,81.56,82.418,82.184,81.934,81.934,81.934,81.31,81.31,81.176,81.159,81.345,81.345,81.074,0
1784,80.914,80.713,80.713,81.688,81.688,81.688,81.615,81.598,82.238,79.819,80.705,80.964,80.155,80.964,81.744,81.866,81.509,81.934,81.969,81.969,81.528,0
2476,81.561,81.807,81.561,79.018,80.116,79.399,75.834,75.425,73.382,80.023,80.023,80.749,80.749,80.749,81.197,80.991,81.057,82.156,82.156,82.194,81.63,0
2515,80.719,79.933,80.978,78.089,78.089,78.089,77.756,77.573,78.99,79.16,80.029,78.851,79.413,79.402,81.137,80.702,81.19,80.161,80.161,80.161,77.629,0
2517,77.795,77.448,77.457,76.214,76.689,76.793,75.913,76.539,77.168,79.262,78.849,77.634,78.671,77.75,77.978,77.725,75.263,81.564,81.564,81.564,75.679,0
2529,81.708,81.354,82.308,79.38,77.501,77.954,79.582,79.722,80.505,79.675,78.538,79.161,77.825,79.161,81.483,82.923,81.221,81.309,82.183,82.183,79.02,0
2538,79.717,79.888,80.066,79.91,78.98,78.98,77.421,78.326,79.126,79.177,78.836,78.65,79.129,78.631,78.622,78.565,78.629,80.464,80.683,80.475,78.58,0
2551,85.087,84.249,84.98,80.736,80.82,80.82,83.266,80.822,82.112,82.183,82.198,82.539,82.569,82.569,82.668,82.699,82.921,83.241,83.241,83.241,81.233,0
2553,76.749,76.444,76.553,76.559,76.559,76.559,76.664,76.661,77.195,78.082,77.686,78.39,78.39,78.39,77.607,78.512,77.672,79.537,79.503,79.811,76.937,0
2554,87.549,87.004,87.004,84.055,86.961,86.961,85.625,85.366,86.081,83.757,84.772,85.601,85.601,85.601,87.164,86.801,85.619,86.247,86.519,86.519,85.506,0
2555,79.582,79.425,79.406,79.709,79.709,79.794,80.194,80.157,80.805,78.751,79.358,79.99,80.431,80.431,80.545,80.545,80.545,78.935,78.935,78.935,80.068,0
2556,82.4,82.366,82.366,77.355,77.265,77.265,77.636,77.636,78.972,80.273,80.175,78.0,77.032,77.032,80.842,80.797,81.079,81.721,81.527,81.245,76.015,0
