id,sonnet_doordash_pm resumes,haiku_doordash_pm resumes,gemini_flash_doordash_pm resumes,opus_doordash_pm resumes,gemini_flash_lite_doordash_pm resumes,gemini_pro_doordash_pm resumes
1747,0.85547173,0.85755455,0.856025,0.8351395,0.8361104,0.8582747
1784,0.783914,0.81455094,0.8352324,0.78298604,0.8071561,0.85065246
2476,0.86927044,0.875392,0.8857973,0.89469403,0.9015159,0.90572774
2515,0.8619591,0.8817855,0.8744978,0.87326777,0.8579179,0.8281894
2517,0.8707684,0.86137867,0.8805045,0.86190414,0.8744091,0.85363615
2529,0.8397658,0.8548011,0.8456132,0.82922405,0.80690634,0.84478426
2538,0.86034185,0.86151695,0.86116755,0.8664062,0.87215257,0.8613322
2551,0.85918033,0.84558046,0.84977597,0.85552156,0.88016635,0.8856459
2553,0.866279,0.87860465,0.87395835,0.88173544,0.88895214,0.87181264
2554,0.8717866,0.8294255,0.8281971,0.83644056,0.8101288,0.8311848
2555,0.7889062,0.7845038,0.8513739,0.79408723,0.7982253,0.8479668
2556,0.8355155,0.83656746,0.85726327,0.83780503,0.83767927,0.84266526
2577,0.8863286,0.8714729,0.8805039,0.88581824,0.86511964,0.89385676
2582,0.86196274,0.8425233,0.8579776,0.8730889,0.852662,0.85780704
2583,0.82808614,0.84361804,0.8525941,0.8347397,0.83548445,0.83016837
2584,0.88738155,0.86671984,0.904701,0.8795129,0.8644547,0.8498852
2585,0.84892184,0.8355017,0.85480726,0.8500765,0.8460379,0.8515365
2586,0.87061787,0.86651456,0.8504831,0.85518813,0.8731849,0.8605025
2587,0.8162491,0.82544106,0.8468387,0.8222449,0.80818826,0.8412868
2588,0.88348186,0.86618036,0.8776697,0.8801571,0.84368914,0.88078403
2589,0.8784353,0.87526697,0.88427204,0.8812267,0.8610891,0.85465884
2590,0.85192513,0.86088693,0.8753952,0.85078084,0.8309869,0.85718584
2591,0.878494,0.8459781,0.8682466,0.8620266,0.8396902,0.8810501
2592,0.85029167,0.8801068,0.8709267,0.88931483,0.8915758,0.8875825
2594,0.86406106,0.84130913,0.84716976,0.8383557,0.8546984,0.85028255
2595,0.82773507,0.8237002,0.80986357,0.80076617,0.7864007,0.79034305
2597,0.89600253,0.90318304,0.87818635,0.8923634,0.8987528,0.89367193
2645,0.8323127,0.8322466,0.8360972,0.83361083,0.8269322,0.8422376
2654,0.8583601,0.8551674,0.87404305,0.88119847,0.83496934,0.87454325
2655,0.86220556,0.81607646,0.85679543,0.86954594,0.8479389,0.86234707
2656,0.82399356,0.83982307,0.8364398,0.8486965,0.831086,0.8689516
2657,0.82044446,0.82162493,0.8297126,0.8157554,0.8107877,0.83203
2658,0.8350855,0.83632576,0.8780959,0.8552377,0.84344214,0.8314182
2659,0.79523706,0.8025459,0.8602105,0.8108727,0.78322756,0.8312171
2660,0.83491045,0.82723683,0.83499885,0.8354668,0.8252347,0.84301883
2741,0.80633664,0.85332674,0.82107496,0.8040185,0.83693427,0.8276499
2766,0.8671185,0.85462373,0.87079096,0.8663151,0.85732734,0.86913216
2793,0.85664874,0.8407072,0.89299023,0.8203912,0.84106064,0.8456413
2810,0.8433018,0.8414898,0.8667926,0.8462264,0.84229904,0.86292934
2824,0.87432706,0.85001695,0.83505344,0.8490591,0.84617376,0.87002265
3002,0.86931735,0.8349084,0.8494538,0.8546444,0.839766,0.8530221
3021,0.8250977,0.8349979,0.84081334,0.8139106,0.82597953,0.84355426
3093,0.8860877,0.8553464,0.8829458,0.89341587,0.878811,0.8699043
3105,0.9031947,0.8870724,0.88730025,0.8941551,0.89846253,0.87857515
3113,0.810553,0.81523865,0.84905946,0.8203205,0.82616675,0.80478394
3118,0.8339911,0.80508184,0.86076397,0.8426875,0.8413172,0.86118346
3120,0.8469581,0.83595496,0.7991402,0.81509423,0.8392197,0.8172512
3122,0.8958529,0.8977618,0.8643919,0.8925567,0.8803277,0.8862193
3123,0.87010205,0.8270377,0.8577781,0.8464062,0.87128156,0.8472374
3133,0.8636313,0.8805973,0.87613463,0.8913034,0.878176,0.8777604
3134,0.90214527,0.90142274,0.8824477,0.91385114,0.87412524,0.8882934
3135,0.8699802,0.8732701,0.8653989,0.8492975,0.877896,0.88270664
3136,0.84811676,0.8602895,0.8640214,0.87422895,0.859971,0.87152237
3137,0.8769034,0.8700461,0.8686774,0.8673665,0.86955625,0.89063257
3138,0.8677139,0.8283051,0.8667985,0.85865927,0.8305645,0.8604862
3139,0.8569792,0.85151,0.8574536,0.87830013,0.88118064,0.873425
3140,0.8706714,0.87203366,0.8802006,0.8555979,0.87320244,0.8662036
3141,0.77947426,0.7927522,0.8625685,0.84916866,0.8254399,0.8354606
3142,0.8834212,0.88508254,0.8550359,0.87363845,0.8394836,0.87368953
3143,0.8911162,0.8914552,0.8657907,0.8867698,0.8658429,0.8768303
3144,0.8214092,0.86162555,0.842623,0.84464717,0.86215967,0.87795585
3145,0.82944894,0.81562597,0.82987684,0.8495307,0.82076573,0.82892716
