id,merged_DS1 resumes,merged_Mixtral1 resumes,Good_merged_Llama1 resumes,merged_GPT-4o1 resumes,merged_GPT-mini resumes,merged_GPT-3.5 resumes,twice_sonnet_doordash_pm resumes
1747,0.84865856,0.8378359,0.8560301,0.8273299,0.8395368,0.86581767,0.84851134
1784,0.83791894,0.8251255,0.82131565,0.8437824,0.8464819,0.83745486,0.7899236
2476,0.889513,0.7380612,0.90286267,0.8963957,0.88680613,0.89224154,0.86927044
2515,0.874184,0.86007977,0.8688513,0.86130226,0.88059676,0.86753947,0.87051207
2517,0.86023074,0.85265267,0.8793249,0.86877847,0.8846328,0.8405229,0.8716347
2529,0.8391311,0.8755639,0.86840445,0.83198905,0.86082816,0.8250946,0.8679479
2538,0.872157,0.8851013,0.85705507,0.8518177,0.8714471,0.83010316,0.86967266
2551,0.89324784,0.88783044,0.8854865,0.87015694,0.88895166,0.8658771,0.8555187
2553,0.8845428,0.87315595,0.89563423,0.87808645,0.88417614,0.8456581,0.8693584
2554,0.8229692,0.81418085,0.855001,0.82173765,0.8371018,0.8143189,0.83575624
2555,0.8062143,0.8141994,0.8394544,0.8302493,0.83509773,0.7903897,0.7990035
2556,0.8452565,0.7967146,0.7983247,0.83253944,0.8275102,0.8027867,0.835379
2577,0.89371246,0.8710249,0.8882829,0.8682556,0.87175894,0.8896668,0.8745298
2582,0.86690146,0.64839756,0.87436664,0.84707177,0.85279524,0.81524813,0.86196274
2583,0.8164665,0.82332563,0.8312801,0.8375592,0.8232253,0.8170775,0.8393806
2584,0.8795661,0.84566057,0.8797001,0.8781936,0.8731818,0.86383533,0.8872645
2585,0.85292387,0.82363474,0.86730695,0.8190363,0.8202839,0.8076628,0.84928304
2586,0.87040037,0.85646415,0.86710536,0.86944807,0.85275936,0.84547526,0.8648387
2587,0.8244361,0.81979483,0.7947146,0.8353899,0.84618837,0.78830814,0.82307494
2588,0.87422353,0.84495246,0.8528476,0.8776157,0.8747761,0.86215365,0.8690215
2589,0.87538016,0.8810705,0.88958395,0.88703287,0.89414847,0.8350619,0.8809028
2590,0.8639623,0.84192264,0.86374557,0.8651424,0.85414106,0.83776814,0.8629529
2591,0.8629087,0.8400811,0.8708429,0.8717799,0.8707258,0.84599507,0.87048197
2592,0.8861943,0.8861799,0.8680218,0.8623621,0.8635526,0.8850266,0.8919492
2594,0.84267366,0.71661854,0.8585776,0.83805305,0.8397571,0.83672965,0.8570967
2595,0.8528661,0.78644776,0.7896157,0.8481783,0.8580699,0.7805003,0.8238911
2597,0.8991316,0.784676,0.89825773,0.9100048,0.895803,0.8860791,0.8997346
2645,0.8330227,0.8208698,0.81911796,0.83484054,0.85057735,0.8320172,0.83424735
2654,0.86026037,0.84670836,0.86068636,0.8462523,0.8476154,0.85553414,0.8583601
2655,0.8380018,0.8654485,0.8448723,0.8655486,0.8278631,0.8763967,0.86371374
2656,0.864437,0.80421054,0.84229547,0.82518643,0.8326208,0.8335959,0.8470367
2657,0.8265804,0.78562886,0.81202626,0.81031865,0.82972515,0.8002231,0.8115472
2658,0.84845525,0.8243793,0.83315545,0.84692776,0.85470915,0.83598375,0.86541367
2659,0.8183739,0.81943953,0.8161276,0.8695116,0.8261105,0.79958135,0.8302908
2660,0.80341613,0.8191226,0.8511785,0.8481069,0.8218,0.75007796,0.8410676
2741,0.81060505,0.82204634,0.8468723,0.8493799,0.851263,0.79656315,0.80265176
2766,0.84639347,0.85282,0.87161833,0.84526074,0.84969306,0.84083784,0.86711854
2793,0.8374562,0.8512359,0.88696253,0.8559517,0.8597779,0.87253165,0.86926305
2810,0.8526726,0.81387585,0.85588455,0.8368168,0.84080476,0.82543546,0.84610426
2824,0.87412643,0.8572339,0.8445194,0.8455293,0.84484094,0.8447144,0.86257803
3002,0.88024676,0.8333179,0.84361917,0.8582715,0.83065903,0.80961764,0.87908345
3021,0.8628964,0.8250623,0.85896355,0.82208294,0.81825095,0.7970985,0.8516903
3093,0.89367723,0.8636428,0.88133115,0.87432474,0.8824741,0.8534734,0.8860877
3105,0.9072065,0.8814816,0.9036741,0.8871565,0.8814676,0.90515256,0.90141
3113,0.81800175,0.80070573,0.8194955,0.8084457,0.8158927,0.8072477,0.810553
3118,0.8663489,0.8639886,0.8522433,0.7747627,0.83710825,0.8008904,0.87401074
3120,0.8401965,0.8186124,0.79341394,0.83205986,0.84819126,0.7967993,0.87061
