Unnamed: 0,modified_Llama/meta-llama/llama-3.3-70b-instruct:free
6018,"As a web and UX/UI designer, I have had the opportunity to work on several projects, including website redesign and UX/UI design. One notable project was the redesign of the Children's Music School website, where I aimed to create a visually appealing and easy-to-navigate landing page.

To achieve this, I conducted a thorough analysis of the existing website, identifying its strengths and weaknesses. I then created a detailed wireframe of the new landing page, incorporating a news block and a prominent call to action, while ensuring consistency with the school's brand identity through careful selection of color scheme and typography.

Upon wireframe approval, I focused on the visual design of the landing page, prioritizing user experience and ease of navigation. I ensured that important information was easily accessible and incorporated responsive design principles for a seamless user experience across devices.

Another significant project was Pet-Saver-Hub, a web service for rescuing lost and found animals. My primary focus was on creating a user-friendly interface for searching lost or found pets. Through user research, I identified key pain points and created a detailed user flow and wireframe, ensuring an intuitive and easy-to-navigate user interface. I also incorporated interactive elements, such as a map feature, to facilitate the search process.

Through my experience as a web and UX/UI designer, I have developed skills in wireframing, visual design, user research, and responsive design. Projects like the Children's Music School website redesign and Pet-Saver-Hub have provided me with valuable experience in developing user-friendly designs that meet client and user needs.

I am eager to further develop my UI/UX design skills and contribute to projects with significance and impact. I look forward to collaborating with professionals who can help me grow and learn, and to participating in challenging projects that allow me to develop my creative potential and stay updated with the latest design technologies and trends. I value effective communication and teamwork, recognizing their importance in achieving results.

I intend to actively engage with users, collecting feedback to improve the user experience. I understand the crucial role of creativity and attention to detail in the design process and am committed to delivering high-quality work through maximum effort."
6021,"Over 50 Websites
More than 30 Logotypes
4 Mobile Apps
3 Games
1 Social Network

Facility, Kiev — Head of Design Department
Mar 2018 - Present
Organising design team process, optimisation of design flow for different project types. Developing concepts for websites, brands and other products; creating UI/UX, animations, logo books, brand guidelines and brandbooks. Taking a leading role in tenders and offline company activity.
- Publications on medium.com, mmr.ua, cases.media, vc.ru;
- Judging on CSSDA, Ukraine Creative Week. Now on the final stages to joining awwwards judge team;
- Educational lectures in Underhub co-working.

Kiev Smart City, Kiev
Work on concept and final product visualisation for Kiev Smart Card. Developing a row of dynamic city ads concepts.

Mastercard, Kiev
Creating illustrations and limited edition products for 2018 UEFA Champions League Final in Kiev, concept for brand activating program on Ukraine Independence Day 2018.

“Stampede Games”, Kiev
Worked on mobile games, developing visual concepts and UI. Creating concept arts for the second part of game.
Games that were featured and took a place on top-charts:
- Evo Explores
-.projekt

Seeking opportunity for career and financial growth, interesting projects, and good management."
6026,"**Summary**
Highly experienced designer with over 12 years of experience, having created over 300 projects, including 30 products from scratch, 30 mobile applications, 80 websites, and 100 logos and corporate styles. Proven track record of managing a studio with 20 employees and teaching over 150 students in UI/UX and brand design.

**Experience**

* CEO & Designer, Own Design Studio (2014)
* UI/UX & Brand Designer, Art. Lebedev Studio (2015)
* UI/UX & Brand Designer, Forforce (2016)
* UI/UX & Brand Designer, M2E pro (2017)
* UI/UX & Brand Designer, Ardas (2019)
* Lead Product Designer, Innovation Box (2020)
* UI/UX Design Teacher, Hillel IT School (2020)
* UX Designer, Bank BVR (2021)
* NDA (2022)

**Education**

* Master's degree in Engineering Design
* Currently studying for MBA

**Skills**

* UI/UX design
* Brand design
* Frontend development (HTML5/CSS3/TypeScript/Vue.js)
* Backend development (Python, Swift)

**Industries**

* eCommerce
* Finance
* Banking
* Investments
* Marketing
* Social Media
* Laws
* Education
* Development
* NFT
* Art
* Auto
* Game
* Building
* Agro
* Food
* Coffee
* Fashion
* Beauty
* Service
* Music
* Dance
* MMA
* Medicine
* Space
* Sex
* Sport
* Technique
* Weapon
* Insurance

**International Experience**

* Created designs for clients from USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China, and Ukraine."
9479,"Summary:
Highly skilled Graphic Designer with experience in designing key visuals, SMM, and printing materials. Proven track record of successfully designing logos and identities for new brands. Proficient in Adobe Photoshop, Illustrator, InDesign, and Figma, with some skills in Blender and After Effects.

Experience:
Graphic Designer & UI/UX Designer at QA Madness (Nov 2022 - Present)
- Contributed to the company's global redesign, significantly impacting the final result
- Redesigned the website to reflect the new vision and style
- Introduced and implemented a fresh visual style for presentations
- Redesigned all SMM materials, including LinkedIn, Instagram, and created a page for DOU
- Utilized self-created 3D designs in projects

Graphic Designer at Kronas (Aug 2020 - Feb 2022)
- Designed logos, identities, and printing materials for new company brands
- Developed 3-6 advertising key visuals monthly for the site, social networks, and printing
- Introduced a new visual style for the Instagram profile
- Created multi-page catalogs and brochures in InDesign
- Updated the YouTube channel's look and designed video covers
- Created a sticker pack for Telegram and Viber
- Developed the design for a new trade hall, including branding stands and navigation

Graphic Designer at Design Studio ToTop (Oct 2019 - Aug 2020)
- Designed for various companies across different fields
- Created logos and identities
- Designed outdoor advertising, including roadside billboards, citylights, and car branding
- Produced realistic product visualizations in Photoshop
- Designed printing materials, such as calendars, business cards, postcards, and stickers
- Created multi-page catalogs and brochures
- Successfully designed a 16-page brochure in one working day, from concept to print-ready

Education:
- Completed a UI/UX course at Beetroot Academy, focusing on user-centered design and user experience

Skills:
- Expert in Adobe Photoshop and Illustrator
- Proficient in Adobe InDesign and Figma
- Some skills in Blender and After Effects
- Experience with managing a small team of junior designers"
16980,"Depositphotos | Content Researcher

Researched and created content, including collections and PowerPoint presentations, for client advertisements, email distribution, and publication on the official website. Collaborated with content managers to analyze development and metrics. Organized advertisements for prominent clients such as Coca Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy. Utilized Jira and CRM systems, ensuring localized content aligned with the brand's tone and style.

Depositphotos | Contributor Relations Manager

Researched and identified potential photographers in EMEA and North America, working closely with contributors to develop their portfolios on cloud services. Led training seminars for new employees and collaborated with contributors to enhance their work.

Teacher of English Language

Mentored students with physical or psychological needs, developing personalized techniques and lectures tailored to each individual. Restructured the educational process to meet the unique needs and capabilities of each student, creating a personalized connection to facilitate learning and advancement.

Liberty Power | Door-to-Door Sales Agent

Conducted door-to-door sales, merchandising and advertising products to the general public. Created presentations highlighting product features and benefits, convincing clients to purchase using a scripted approach and finalizing agreements between clients and Liberty Power."
17014,"English Philology Student
4 years of academic study in English philology, with extensive experience in:
- Editing text
- Writing
- Translating

Social Media Enthusiast
Regularly engage with various social media platforms, staying updated on trends and developments.

Highly Motivated and Eager to Learn
Although currently limited in direct work experience, possess a strong desire to learn, work, and pursue a career in the IT sphere."
18230,"Creative/Art Director, Graphic and UI/UX Designer
Ukraine

Highly experienced professional with over 10 years of expertise in Branding, Marketing, Advertising, Graphic Design, Web Design, and Mobile App Design. Proven track record of creating and implementing innovative solutions that drive business growth.

Key Highlights:
- Created over 20 brands in Ukraine
- Collaborated with international clients from the USA, Canada, Australia, New Zealand, Austria, and Finland

Core Values:
- Mutual respect
- Honesty
- Decency
- Punctuality

Delivered unique and bright ideas, effectively developing businesses through creative and innovative approaches. Successfully managed numerous projects, including a particularly interesting and notable project."
18348,"Highly Experienced Designer
Professional website, mobile, and graphic designer with over 6 years of commercial experience in various agencies, contributing to the creation of more than 100 website designs, brand, and advertising projects.

Summary:
Results-driven designer with extensive experience in UX prototyping, UI design, and motion design for desktop and mobile applications, possessing a strong understanding of user personas, user flows, and the principles of atomic design.

SKILLS:
• Graphic Design: Printed Products, Banners, Illustrations, Icons
• Web Design: Responsive, Adaptive
• Mobile Design: iOS, Android
• Wireframes
• Interactive Prototypes
• Atomic Design Principles
• User Personas and User Flows
• HTML, CSS Basics

TOOLS:
• Figma: Team Libraries, Auto Layout, Components Properties, Branches
• Adobe Photoshop: Excellent Proficiency
• Adobe Illustrator: Excellent Proficiency
• Adobe After Effects: Confident Proficiency

Career Ambition:
Seeking a challenging role in a strong team to realize my potential in innovative projects, leveraging my artistic taste to make a significant contribution to contemporary design."
26715,"Results-driven technology leader with approximately 20 years of experience in web design, UI/UX, 3D graphics, and animation, with a strong background in creating own products.

Proven track record as CTO and Tech Lead, successfully growing a team of 25 office developers and over 20 freelancers in an outsource studio, with expertise in art direction and design team management.

Co-owner of a small mobile game studio, with hands-on experience in the full cycle of game development, including concept creation, UI/UX design, visual design, animation, Unity VFX, communication, and sound editing.

Seeking new opportunities for growth and challenge."
26747,"• 8 Design Awards on Behance
• Honorable mention in San Francisco Design week
• Ukrainian design The very best of
• Contributed to the development of an Australia-based digital home loan product, from concept to MVP, over the past year
• Designed and implemented a comprehensive design system from scratch as part of a 3-person team

Highly experienced designer with over 6 years of commercial experience in startups, fintech, organization management, crypto, insurance, and healthcare environments. Skilled in designing for Web, Mobile, Dashboard, and Web applications.

Key skills include:
- Hypothesis generation
- Research
- Wireframing and prototyping
- Usability testing and analysis
- Design system creation
- Team leadership and collaboration

Project stages expertise:
- Stakeholder and product manager communication
- Research
- Functionality mapping and process flow creation
- Low and high fidelity wireframing
- UI research and design
- Team leadership, including managing a team of 8 people

Collaboration and teamwork strengths:
- Mentoring junior designers
- Conducting 1-on-1 meetings for issue resolution and growth planning
- Providing feedback and support to teammates"
29788,"As a self-educated Digital 2D Artist & UI/UX Designer from Kyiv, I possess a strong foundation in design and technology, with advanced knowledge and experience in Adobe Photoshop, Illustrator, Figma, and Procreate App. My skills include:

- Advanced knowledge and experience working with Adobe Photoshop, Illustrator, Figma, and Procreate App
- Strong technical understanding of the subject
- Understanding of current design and technology trends
- Upper-Intermediate English level
- Effective verbal and written communication skills
- Time and self-management skills

With a background in freelance web design (Dec 2018 - Nov 2019) and UI/UX design (Nov 2019 - Aug 2021), I have developed a versatile skill set. Currently, I work as a full-stack UI/UX Designer, Illustrator, and Graphic Designer (Apr 2021 - present).

My technical skills include:
- UI/UX Design and Adaptive design
- Illustration (raster/vector)
- Banner design
- Logo design

I am proficient in the following tools:
- Adobe Photoshop
- Adobe Illustrator
- Procreate App
- Figma
- Midjourney

Notably, I received the RED DOT award in Brands & Communication Design (Aug 2022). I am eager to join a successful company with a friendly team, where I can continue to develop and learn, and contribute my skills and experience to achieve excellence."
29835,"Digital Designer

Summary:
Highly skilled digital designer with extensive experience in marketing, proficient in Photoshop, Illustrator, and Figma. Proficient in Webflow, with expertise in animation, CMS, and more. Proven track record of creating visually stunning designs that drive brand growth.

Skills:
- Color sense, Color Theory, Composition
- Branding, Advertising, Illustration
- Web ads, Social media ads, Digital Design, Digital imagery, Digital Analytics, E-blast
- UI/UX design
- HTML/CSS
- Webflow
- Figma (advanced user)
- Photoshop
- Illustrator

Soft Skills:
- Confidence to work independently and in a team
- Creative
- Interface directly with customers

Education:
- Dare IT - PRODUCT DESIGN
- HILLEL (IT SCHOOL) - BASIC WEB DESIGN
- CASES MEDIA - FIGMA (90)
- CASES MEDIA - Graphic design. Composition (91)

Experience:
Freelance and in-house manager with experience working with over 5 companies from different countries, including an American company. Skilled in team collaboration and client communication, with a focus on delivering designs that engage and grow target markets.

Career Goals:
Seeking a long-term partnership with opportunities for growth, where skills and experience can be utilized to create products that simplify customers' lives."
30606,"Figma:
- Design System Development: Created UI kits and utilized Auto Layout
- Interactive Components and Prototyping
- Utilization of Figma Plugins

Projects at Beetroot Academy (Mentorship):
- UX Research
- Competitors Research
- Sketching and Prototyping
- Understanding of Design Principles:
  - Composition
  - Typography
  - Color Theory
  - Design Trends
- Team Collaboration Experience
- Project Presentation Experience
- Proficient in Google Documents and Google Forms"
30845,"Dynamic junior UI/UX designer with a passion for creating seamless and visually captivating user experiences. Proficient in design software including Figma, Photoshop, and Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.

Completed a 6-month UI/UX design course, with additional studies in HTML/CSS. Successfully defended and presented three projects:
- Redesigned a website for a real estate company in Destin, Florida, focusing on modernizing the design, improving user-friendliness, and incorporating essential features such as user-friendly feedback and property valuation.
- Created a travel website that enables users to find and book excursions, tours, and entrance tickets worldwide, including features for travel agents and companies to post their offers.
- Developed a mobile application for booking tables in restaurants.

Key skills and experiences include:
- Conducting research and analysis of competitors to inform design decisions.
- Creating user personas and customer journey maps to guide the design process.
- Designing adaptive and user-friendly interfaces for various digital products.
- Utilizing design tools such as Figma, Photoshop, and Illustrator to produce high-quality designs.
- Collaborating with others to achieve design goals and continuously learning to improve design strategies.

Seeking a full-time position in a product company that focuses on creating digital products for everyday life and business, where I can apply my skills and experience as a quick learner, responsible team player, and performer of complex tasks."
32072,"UI/UX Designer

Current Role:
- Improved the onboarding process of a financial institution app by 35%
- Led a team of 4 designers in creating visually appealing and functional products that resonate with users and meet business objectives
- Utilized Agile planning principles to deliver tailored solutions meeting customer requirements
- Employed wireframes, mockups, and prototypes to establish user interface design and architecture

Previous Role:
- Enhanced the audience management system of a SaaS tool by 25%, demonstrating ability to design solutions that drive business results and are aesthetically pleasing"
46443,"Over 10 years of commercial experience in design and development of web solutions.

I design large CRM and SaaS projects, mobile and desktop applications, with a focus on creating and maintaining Design Systems to simplify and accelerate the product development process. 
I have experience in creating large design systems from design to implementation in React and Storybook.
My career has spanned positions from Graphic Designer to Product Designer, with achievements including managing the creation of products from scratch to release version in 3-4 weeks on multiple occasions.
My design and development portfolio includes over 50 landing pages, promo pages, and 10 user cabinets, with implemented functionalities ranging from dashboards to smart timers and photo editors.
I am proficient in Figma, Sketch, Adobe CC suite, HTML, CSS, JS, React, Next.js, WordPress, and Storybook.
I am seeking a company or team of developers that prioritizes quality and user experience, and is looking for a professional to handle UI/UX, branding, and corporate style matters, or maintain a product's design system.
Key interests include:
- Developing interesting and useful products for people
- Collaborating with high-engagement and professional teams
- Influencing product development and working under proper management
- Leading products or parts of them."
46506,"Software Developer
Experience: Small IT Company
- Utilized JavaScript technologies and React framework to develop software projects
- Created web pages using JSX, incorporating HTML and CSS
- Implemented animations using Framer Motion and utilized Mui components
- Collaborated with various tools including Bootstrap, Materialize, Figma, and Adobe Photoshop for development and design purposes"
50300,"Results-driven software developer with a proven track record of delivering high-impact projects, including the successful deployment of a groundbreaking customer engagement suite for a major e-commerce business. This project, designed from the ground up, leveraged innovative technologies and processes to drive incremental revenue through enhanced customer acquisition, satisfaction, and retention. The project's timely completion, adherence to budget, and positive reception from users and clients underscore my technical expertise and meticulous project management skills.

Technical expertise includes developing interfaces, integrating APIs, and creating custom plugins with React, Vue, and Flutter. Proficient in backend development using Node.js for website and application development. 

Currently, I serve as a frontend developer, responsible for crafting interfaces that meet client specifications while prioritizing system usability. Key responsibilities encompass ensuring top-notch application user experiences aligned with industry standards, collaborating with development teams, debugging issues, performance checking, and optimizing code as necessary. Additionally, I contribute to project planning and strategize information flows between backend databases and user interface components.

Committed to continuous learning, I aim to expand my technical skillset by staying updated on the latest industry trends and technologies. Through collaboration with experienced engineers, I seek to deepen my understanding of software architecture designs, ultimately striving to become a reliable and skilled professional in the software industry."
51419,"Results-driven UI/UX developer with a background in programming, seeking a full-time remote position. Proven experience in freelance design work and a year of out-staff UI/UX development for an IT company. Skilled in solving complex problems and eager to continue tackling challenging projects."
53971,"Senior Graphic Designer
5 years of experience

Game UI/UX Designer
3 years of experience, currently employed

Indie Game Development Experience
2019-Present
- Contributed to various projects in roles including 3D modeling, texturing, and 3D animation
- Utilized graphic design background to specialize in creating game interfaces

Game UI Designer, Major Game Development Company
1.5 years of experience

Seeking new opportunities in Game Development industry"
53972,"Highly motivated and experienced graphic designer with 2+ years of experience in creating websites, banners, and emails, and 1 year in GameDev industry.

Proven track record of delivering high-quality visual content, including offers, decorations, and banners for mobile games. Skilled in creating layouts based on provided graphics or designing navigation elements and decors from scratch.

Proficient in utilizing industry-standard tools such as Photoshop and Figma, with additional expertise in creating animations using After Effects and Figma.

Seeking a challenging and rewarding role in mobile game development, with a strong desire for long-term cooperation with a GameDev company and opportunities for professional growth and development."
53973,"Game UI/UX Designer & UI Artist

Summary:
Highly motivated and experienced Game UI/UX designer with a strong background in web design, proficient in UI art and animation since 2019. Profound understanding of the full project cycle, with expertise in HTML, CSS, and JavaScript.

Experience:
- Developed and implemented intuitive UX flows aligned with the overall game design
- Created UI screens, UI elements, and prepared assets for programmers
- Communicated UX vision and design ideas to team members, collaborating to integrate designs into the game
- Utilized skills to support game development
- Participated in updating official websites and redesigning logos for sites and applications
- Mentored and carried out independent client acquisition
- Contributed to building a design process and skill development for staff

Skills:
- Figma
- Adobe Photoshop
- Unreal Engine 4
- Unity
- HTML
- CSS
- JavaScript

Education & Teaching:
- Teach design at IT Academy (Lviv)

Personal Interests:
- Learning new languages
- Sports: basketball, Brazilian jiu-jitsu
- Yoga and maintaining a sporty, healthy lifestyle

Team Values:
- Collaborative and flexible work environment
- Valuing each team member
- Focused on delivering useful product results"
