Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct
6018," Web Designer & UX/UI Specialist

Projects:

1. Children's Music School Website Redesign
* Analyzed existing website to identify strengths and weaknesses
* Designed visually appealing and easy-to-navigate landing page, aligned with the school's brand identity
* Implemented responsive design principles for optimal display on all devices
* Created wireframe of the new landing page, incorporating a news block and prominent call to action
1. Pet-Saver-Hub Web Service
* Conducted user research to identify pain points in finding lost or found pets
* Incorporated interactive elements, such as a map feature, to simplify the search process
* Designed user-friendly interface with an intuitive and easy-to-navigate website
* Developed wireframes and user flows based on research findings

Skills:

* Wireframing
* Visual Design
* User Research
* Responsive Design
* Interactive Elements
* Map Features
* User Flows
* Intuitive Interface Design

Professional Summary:
Detail-oriented Web Designer & UX/UI Specialist with experience in website redesign, UX/UI design, and user research. Proficient in wireframing, visual design, and responsive design, delivering user-friendly and aesthetically pleasing results. Skilled in conducting user research, identifying pain points, and developing user flows. Values communication, teamwork, and is eager to grow and learn new skills.

Expectations:

* Opportunities to enhance UI/UX design skills
* Collaboration with professionals for growth and learning
* Challenging projects with significance and impact
* Effective communication and teamwork for efficient work and results
* Interaction with users for feedback and user experience improvement
* Creativity and attention to detail in the design process
* High-quality work output."
6021,"---

**Head of Design Department**
Company, City — Start Date - End Date

* Organized and optimized design team processes for various projects
* Developed concepts for websites, brands, and other products; created UI/UX, animations, logo books, brand guidelines, and brandbooks
* Led role in tenders and offline company activities
* Published on medium.com, mmr.ua, cases.media, vc.ru
* Served as a judge on CSSDA, Ukraine Creative Week. Finalizing process to join Awwwards judge team
* Conducted educational lectures in Underhub co-working

**Graphic Designer**
Company, City — Start Date - End Date

* Worked on concept and final product visualization for ---
---"
6026," — Over 10 years of experience in design
— Designed over 300 projects, including:
- 30+ product designs from conception to completion
- 3+ successful user interface overhauls for web and mobile applications
- 5+ large-scale environmental graphics for commercial spaces
— Proficient in design software including Sketch, Figma, Adobe Creative Suite
— Experience leading design teams and collaborating with cross-functional partners
— Proven track record of delivering high-quality, user-centered designs on time and on budget."
9479," **Experience**

**Lead Graphic Designer & Prepress Operator/DTP Designer**

*Expertise in Adobe Photoshop, Illustrator, InDesign, Figma, Blender, and After Effects.*

QA Madness *[Nov 2022 - Present]*

1. Spearheaded the company's global redesign, contributing significantly to its visual transformation.
2. Redesigned the website, aligning it with the new vision and style.
3. Introduced and implemented a fresh visual style for presentations, enhancing the company's professional image.
4. Revamped all SMM materials, including LinkedIn and Instagram, boosting online engagement.
5. Incorporated 3D elements into personal designs, demonstrating proficiency in emerging design trends.

**Graphic Designer**

*Skilled in Adobe Photoshop, Illustrator, InDesign, and Figma.*

Kronas *[Aug 2020 - Feb 2022]*

1. Designed logos, identities, and printing materials for new brands, fostering brand recognition.
2. Developed 3-6 advertising key visuals per month for various platforms, showcasing adaptability and creativity.
3. Introduced a new visual style for the Instagram profile, increasing social media following.
4. Created multi-page catalogs and brochures with products in InDesign, demonstrating strong layout and typography skills.
5. Updated the company's YouTube channel design and video covers, enhancing video content presentation.
6. Designed a sticker pack for Telegram and Viber, expanding the company's digital presence.
7. Developed the design for a new trade hall, including branding stands and navigation, showcasing comprehensive design skills.

**Graphic Designer**

*Skilled in Adobe Photoshop, Illustrator, InDesign, and Figma.*

Design Studio ToTop *[Oct 2019 - Aug 2020]*

1. Designed materials for various companies in different industries, displaying versatility and adaptability.
2. Developed logos and identities, contributing to brand development.
3. Designed outdoor advertising, including billboards, citylights, and car branding, showcasing proficiency in large-scale design.
4. Created realistic product visualizations in Photoshop, demonstrating advanced image manipulation skills.
5. Handled numerous printing design projects for companies, ensuring high-quality results.
6. Designed multi-page catalogs and brochures, showcasing strong layout and typography skills.
7. Created the design for a brochure, received client approval, and launched it into print within one working day, demonstrating efficiency and time management skills.

**Skills**

*Have extensive experience designing key visuals, SMM and printing materials.*

*Successfully designed logos and identities for new brands, fostering brand recognition.*

*Managed a small team of two junior designers, showcasing leadership skills.*

*Completed a UI/UX course at Beetroot Academy, further developing skills in user-centered design and user experience.*

*Started using 3D elements in personal design, demonstrating proficiency in emerging design trends.*"
16980,"Content Researcher

* Researched and developed diverse content collections and PowerPoints for clients, supporting the advertising and distribution of new content via email or direct website publication on Depositphotos.
* Collaborated closely with content managers, analyzing development and metrics to enhance content performance."
17014,"English Philology Student

Experience:

* 4 years studying English Philology, with extensive experience in:
	+ Editing text
	+ Writing
	+ Translating
* Regularly use and stay current with social media platforms, including:
	+ Facebook
	+ Twitter
	+ Instagram
	+ TikTok

Skills:

* Proficient in:
	+ Text editing using Microsoft Word and Google Docs
	+ Writing various types of content
	+ Translation from English to [insert native language]
* Familiar with various social media platforms and their respective posting best practices

Education:

* Currently pursuing a degree in English Philology at [insert university name]"
18230,"Creative/Art Director & Designer

* Over 10 years of experience in branding, marketing, advertising, graphic design, web design, and mobile app design for global clients.
* Developed and implemented 20+ unique and innovative brands in Ukraine.
* Collaborated with international clients from the USA, Canada, Australia, New Zealand, Austria, and Finland.
* Built strong and enduring relationships with clients based on trust, honesty, decency, and timeliness.
* Provided creative and effective ideas and solutions that significantly contributed to clients' business growth.

Selected Projects:

* Branding and marketing campaign for a leading Ukrainian retail company, resulting in a 30% sales increase.
* Web design and mobile app design for a Canadian startup, leading to a successful product launch and a 40% increase in user engagement.
* Graphic design and advertising campaign for an Austrian B2B company, resulting in a 25% increase in leads and a 15% increase in sales.

References available upon request."
18348,"Experienced designer with over 6 years of commercial expertise in agency settings, specializing in website, mobile, and graphic design. Collaborated on over 100 website, branding, and advertising projects, demonstrating strong teamwork and project management skills. Proficient in UX prototyping, UI design, and motion design for desktop and mobile applications.

Skills:

* Expert in graphic design, including printed products, banners, illustrations, and icons
* Proficient in web design, including responsive and adaptive design
* Skilled in mobile design for iOS and Android platforms
* Experienced in creating wireframes and interactive prototypes
* Knowledgeable in atomic design principles and user personas and flows
* Familiar with HTML and CSS basics

Tools:

* Proficient in Figma, including team libraries, auto layout, components properties, and branches
* Expert in Adobe Photoshop and Illustrator
* Skilled in Adobe After Effects

Seeking to contribute to a strong team, bring artistic value to exciting projects, and further develop design and technical skills."
26715," **Experience:**

* Over 20 years of web design, UI/UX, 3D graphics, and animation experience
	+ Co-owner of a small mobile game studio, managing full game development cycle, including:
		- Concept development
		- UI/UX design
		- Animation
		- Unity Visual Effects (VFX)
		- Communication with team and clients
		- Sound editing and integration
	+ Founded and grew an outsource studio as CTO and Tech Lead, managing:
		- 25 on-site developers
		- Technical direction and implementation
		- Client communication and project management
		- Team training and mentoring
		- Development of studio's technical infrastructure and processes."
26747," • 8 Design Awards on Behance
• Honorable mention in San Francisco Design Week
• Featured in Ukrainian design: The very best of
• Led design for successful Australia-based digital home loan product, contributing to its development from ideation to MVP within a tight-knit team of 3, with a focus on design
• Developed comprehensive design system from scratch
• Over 6+ years of commercial experience in startups, fintech, organization management, crypto, insurance, and healthcare environments
• Proficient in Web, Mobile, Dashboard, and Web application design
• Skilled in generating hypotheses, researching, creating wireframes and prototypes, conducting usability tests, and analyzing results
• Experienced in leading a design team, collaborating with colleagues, and working independently
• Strong focus on business needs and providing best practice design advice to enhance outcomes
• Proficient in project stages including:
  - Communicating with stakeholders and product managers
  - Conducting research
  - Creating functionality maps, process flows
  - Developing low/high fidelity wireframes
  - Performing UI research and design
• Demonstrated teamwork and mentorship abilities including:
  - Mentoring junior designers
  - Conducting 1-on-1 meetings to address issues and define personal improvement areas
  - Offering feedback and support to teammates."
