,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free
1747,"Self-Employed Entrepreneur
8 years of experience in managing and developing multiple business ventures

Key Achievements:
- Opened and successfully operated a chain of coffee shops, subsequently selling the business
- Established an export-oriented production facility utilizing 3D printing technologies

Hard Skills:
- Prioritization and goal setting
- Project planning and organization
- Budget management and delegation
- Task performance monitoring
- Knowledge of SCRUM methodologies, including Agile, Scrum, Kanban, and Waterfall
- Game design fundamentals, with basic understanding of UE4 and Unity
- Proficient in Blender (Junior level): modeling, UV mapping, and animation
- Familiarity with Linux node operating system

Soft Skills:
- Critical thinking and decision-making
- Effective time management and team management
- Strong communication and coaching skills
- Risk management expertise
- Ability to identify customer and user needs, with skill in reaching consensus on project implementation
- English language proficiency: Intermediate (B1 level)"
1784,"Summary
Results-driven professional with a broad range of disciplines, including 3D art, graphic design, videography, video production, digital marketing, event organization, and start-up engagement.

Experience
3D Artist
- Created visually stunning and realistic 3D models and animations utilizing creative abilities
Graphic Designer
- Designed compelling visual assets for various projects, employing strong design skills
Videographer and Video Producer
- Captured and edited high-quality videos to create impactful visual narratives
Digital Marketing Specialist
- Developed and executed effective marketing campaigns to drive engagement, enhance brand awareness, and generate leads
Event Organizer
- Organized a music art festival in Azerbaijan, showcasing the region's vibrant music culture
- Contributed to the promotion and celebration of documentary filmmaking at the DokuBaku International Documentary Film Festival
Start-up Professional
- Gained experience working with start-ups, developing an entrepreneurial mindset and adapting to fast-paced environments
- Developed a versatile skill set and deep understanding of the challenges and opportunities faced by start-ups

Skills
- 3D art and animation
- Graphic design
- Videography and video production
- Digital marketing and campaign execution
- Event organization and management
- Start-up engagement and development

Career Overview
Highly versatile professional with diverse experience, continuously seeking new opportunities to expand knowledge, skills, and contributions in multiple disciplines."
2476,"Client Success Manager

Summary:
Results-driven professional with experience in managing large US-based accounts and leading engineering teams to drive growth and success. Proven track record of generating ideas for improvements, building strong teams, and developing strategies to achieve client goals.

Experience:
Client Success Manager
- Managed 3-4 large enterprise-level accounts with 30-50 dedicated engineering team members
- Generated ideas for improvements, built strong engineering teams, and developed processes and strategies for clients, resulting in account and team growth
- Mentored and inspired talented engineers and solution architects, and learned from them

Key Responsibilities:
- Managed multiple accounts with different engagement models
- Managed all aspects of client relationships
- Analyzed client business pain-points and assisted with roadmaps to achieve strategic goals
- Participated in opportunity initiation, drafted proposals and SOWs, and extended partnerships with existing clients
- Conducted executive reporting and business reviews, project scope analysis, and risks/issues management
- Managed and coached teams, utilizing practical knowledge of software development methodologies and life cycle

Technical Skills:
- Strong IT background
- Platform experience: Salesforce, IBM Websphere, Magento

Passion:
- Collaborating with expert teams on IT projects to transform merchants' businesses and drive eCommerce growth
- Communicating with people, supporting and leading company engineering teams, and removing project obstacles
- Building trust and partnership relations with clients"
2515,"Results-driven professional with experience in managing customer relationships, troubleshooting, and project coordination, seeking to leverage skills to transition into a project management role.

Key strengths:
* Building and maintaining trustful and long-lasting business relations with customers
* Troubleshooting and resolving customer issues
* Coordinating client connections and interactions with online platforms and services
* Collaborating with developers' teams to ensure seamless project execution
* Driving sales and retention activities to achieve business objectives
* Managing sales documentation, including agreements, contracts, and invoices

Technical skills:
* Zoho
* Jira
* Confluence
* SAP
* 1C

With a strong foundation in customer relationship management and project coordination, and a desire to further develop expertise in project management, offering a unique combination of skills and experience to drive business success."
2517,"Results-Driven Project Manager

Key Achievements:
- Successfully managed multiple projects simultaneously, prioritizing client needs and delivering tailored solutions to up to 15 projects at a time
- Coordinated and controlled project timelines, progress, and work processes to ensure timely completion and meet client expectations
- Effectively communicated with stakeholders, providing regular updates on project status, potential issues, and risks to ensure transparency and trust
- Identified and pursued opportunities to upsell and cross-sell solutions, driving business growth and expanding existing client relationships
- Fostered and maintained long-term relationships with clients, ensuring satisfaction, loyalty, and continued business partnerships
- Generated new business opportunities through inbound and outbound sales efforts, presenting proposals and closing sales to drive revenue growth
- Prepared and finalized agreements, ensuring seamless execution of sales cycles and maintaining high levels of client satisfaction

Skills:
- Project Management
- Client Relationship Management
- Sales and Business Development
- Communication and Stakeholder Management
- Time and Process Management
- Business Growth and Development

Experience:
Project Manager
- Managed multiple projects simultaneously, prioritizing client needs and delivering tailored solutions
- Coordinated project timelines, progress, and work processes
- Communicated with stakeholders, providing regular updates on project status
- Pursued opportunities to upsell and cross-sell solutions
- Fostered long-term client relationships
- Generated new business opportunities through sales efforts
- Prepared and finalized agreements, ensuring seamless sales cycle execution"
2529,"Results-driven professional seeking challenging opportunities for growth and development.

Key strengths:
- Analytical thinking
- Effective communication
- Collaborative teamwork

Recent experience in project management, with a focus on building and maintaining mutually respectful relationships.

Proven ability to:
- Work effectively in team environments
- Drive successful outcomes through honest and open communication

Committed to achieving exceptional results through:
- Thoughtful planning
- Effective execution

Open to new opportunities and invitations for collaboration, with a strong belief in the importance of respectful and reciprocal relationships."
2538,"Results-oriented and dedicated professional with experience in managing diverse projects, including market expansion, supply chain improvement, and product quality enhancement. Proven track record of successfully completing projects and implementing cost-saving plans.

Key Accomplishments:
- Successfully closed the eBay expansion project
- Improved supply chain logistics, resulting in cost savings for the company
- Negotiated with Asian suppliers to enhance product quality, with noticeable improvements
- Handled re-import to the US, avoiding duplicate tax payments

Skills:
- Completing extensive market research
- Negotiating with suppliers
- Developing and implementing cost-saving plans
- Executing supply chain-related activities
- Critical thinking and remaining calm in stressful situations

Experience:
Over 2 years of experience working with Amazon and Asian partners, focusing on:
- Market expansion into new countries and marketplaces
- Preparing legal documents for platform compliance
- Registering with EU organizations
- Product quality improvement projects
- Supply chain planning and optimization

Adept at learning new information and adapting to diverse project requirements, with a preference for challenging and dynamic work environments."
2551,"Results-driven professional with a comprehensive understanding of the Software Development Life Cycle (SDLC) and in-depth knowledge of Data Privacy, Intellectual Property, Commercial, and Contract law. Proven managerial and recruitment experience, with strong organizational skills, including attention to detail, multitasking, and adaptability in various managerial methodologies. Skilled in building relationships within teams and working with international companies and customers, leveraging 3+ years of in-house legal practice in an IT Product Company and recent experience as an Account Manager.

Experience:
Project Manager Assistant, Vayosoft Team
- Managed contracts, RFPs, and RFIs, ensuring compliance with company procedures
- Collaborated with procurement teams in negotiations with suppliers and evaluated contractors
- Organized team meetings, follow-ups, action lists, and prepared reports and presentations for upper management
- Contributed to project creation and improvement, from inception to MVP and beyond

Legal Counsel, Benish Group
- Fostered relationships with colleagues, analyzing and minimizing legal risks, and providing recommendations on corporate policy
- Collaborated with internal and external teams to oversee activities reducing legal risks
- Communicated with international customers, business partners, and service providers
- Prepared key documents, including Rules for service provision, Privacy Policies, and Terms of Use under GDPR rules
- Participated in product development and optimized business processes across the company group
- Implemented legal compliance in areas such as personal data protection, intellectual property, PR, marketing, sales, payments, and consumer rights
- Maintained contractual activities, including legal expertise and drafting contract texts in accordance with local legislation and company standards."
2553,"Results-driven professional with experience in business development and project management, seeking to leverage skills in people management, leadership, and customer relations to secure a project management role in an outsourcing company.

Summary:
Proven track record of managing projects, leading teams, and driving business growth through effective communication, negotiation, and conflict resolution. Skilled in people management, team motivation, and customer support.

Experience:
Business Development Manager & Project Manager
- Managed teams and led projects, focusing on people management, performance reviews, and sprint process monitoring
- Demonstrated leadership and motivational skills, maintaining a positive team atmosphere
- Conducted interviews for technical and non-technical positions, onboarded new employees, and introduced them to the company environment
- Successfully managed account relationships, negotiated with customers, and resolved conflicts
- Prepared company presentations, estimation documents, and project proposals
- Coordinated with partner companies, provided customer support, and identified new outstaff project opportunities
- Developed documentation for outstaff deals and presented the company to potential clients

Career Goal:
To secure a project management position in an outsourcing company, utilizing skills in B2B relations with foreign customers to drive growth and develop expertise in the field."
2554,"Results-driven professional with 4 years of experience in B2B international communication and sales, possessing excellent oral and written presentation skills, with a strong background in team-building and public speaking.

Key strengths include:
- Strong communicational, management, and problem-solving skills, with a proven ability to thrive in successful teamwork environments.
- 4 years of experience in B2B international communication and sales, complemented by a Master's degree in Foreign Economics.

Technical skills:
- Basic web and mobile UI/UX design and prototyping capabilities.
- Understanding of Agile methodologies in Software Development Life Cycle (SDLC).
- Completion of courses in Business Analytics and Web & Mobile UI/UX design.

Proficient in a range of tools, including:
- CRM
- Google Docs
- Figma
- Axure RP
- Coggle
- Adobe Photoshop
- Canva
- Trello
- Slack

Seeking an account or junior project management role in the development/design field, with a preference for a team that values creativity, determination, and growth. Interested in leveraging and developing skills in business solutions, web and mobile UI/UX, prototyping, and cross-cultural communication. Location is flexible, with a focus on finding the right team and opportunities."
2555,"Results-driven professional with 11 years of experience in international business settings

Summary:
Highly motivated and experienced professional with a strong background in sales, customer support, and project management, with a proven track record of success in the chemical raw materials distribution and EdTech industries.

Experience:
Sales Assistant, Chemical Raw Materials Distribution Industry (5 years)
- Supported international companies in the distribution of chemical raw materials
Customer Support/Account Manager, EdTech Company (5 years)
- Provided exceptional customer support to clients in Western Europe and the USA
- Managed accounts and built strong relationships with customers
- Demonstrated leadership and management skills as Support Team Lead
EdTech Project Manager (1 year)
- Led projects in the secondary and higher education sphere on the Western Market, focusing on lead generation, outbound sales, and support
- Utilized expertise in IBS, SAP, Zoho, Confluence, Jira, Kommo CRM, and Canva to drive project success

Skills:
- Proficient in IBS, SAP, Zoho, Confluence, Jira, Kommo CRM, and Canva
- Familiarity with programming concepts, including Java

Career Highlights:
- Proven ability to maintain stability of income and thrive in healthy work atmospheres
- Consistently demonstrated ability to work effectively in fast-paced international environments
- Exhibited strong leadership and management skills, with experience as a Support Team Lead"
2556,"Account Manager
- Communicated with clients through various channels, including emails, cold and hot calling, and demos
- Tested and updated the application, creating company profiles as needed
- Addressed client inquiries and developed strategies to promote product interest and usage
- Created regular website content, including blogs and tutorials

Sales Support Agent
- Conducted market research in Ukrainian and Russian markets
- Assisted in expanding a British company into the Eastern European market
- Engaged in B2B sales, communicating with business owners and representatives
- Prepared necessary reports

Customer Support Agent
- Resolved customer service issues via phone and email for clients in the USA, Canada, and Great Britain
- Provided solutions, managed customer profiles and subscriptions, and processed refunds
- Utilized CRM systems to ensure customer satisfaction
- Conducted quality assurance, analyzing outsourced calls, correcting system errors, and following up with customers
- Completed all necessary reports"
