,Modified_gpt-5.2_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelgpt-5.2 UIUX Score
6018,86.674
6021,84.651
6026,86.239
9479,87.777
16980,76.621
17014,78.447
18230,83.739
18348,85.985
26715,84.291
26747,86.565
29788,84.049
29835,82.87
30606,86.99
30845,85.96
32072,85.781
46443,86.192
46506,79.633
50300,83.477
51419,87.949
53971,86.082
53972,82.723
53973,87.169
53974,85.924
53975,88.311
53976,81.747
53977,84.503
53978,85.756
53979,87.964
53981,84.858
54796,83.557
54797,86.666
54798,83.389
54799,83.813
54800,80.682
56453,85.046
56528,82.525
56542,82.267
56543,81.386
56544,84.91
56545,77.594
56618,86.02
56619,81.76
56629,88.989
56630,83.025
56631,83.749
56632,86.239
56633,82.616
56634,82.541
56635,85.617
56637,83.459
56638,85.957
56639,84.948
56641,81.178
56642,83.095
56643,83.818
56644,83.133
56645,84.348
56646,79.974
56647,83.886
56648,77.42
56649,82.615
56650,82.965
56651,86.193
56652,84.097
56653,81.039
56654,82.858
56656,81.183
56657,87.77
56661,86.969
56662,87.065
56725,81.989
56795,81.596
56796,85.009
56797,83.509
56798,82.059
56799,81.017
56800,83.37
56801,85.012
56802,79.232
56803,87.993
56804,89.761
56805,80.322
56807,89.231
56809,83.612
56859,83.488
56860,86.314
56861,84.94
56862,87.606
57384,88.43
57400,87.83
62042,84.01
63086,84.032
63087,85.386
83710,85.899
83711,77.374
86666,85.638
87779,78.441
97622,87.794
98134,84.757
98135,87.548
98136,85.377
98137,86.38
98138,86.345
98171,86.231
98172,83.704
98173,87.992
98245,84.205
98250,80.581
98251,82.049
98252,76.127
98253,80.096
98254,87.776
98255,86.222
98256,81.008
98257,86.869
98258,82.981
98259,85.325
98260,79.077
98261,86.529
98262,85.844
98263,80.09
98264,81.959
98265,80.861
98266,87.665
98267,78.902
98268,78.617
98269,86.505
98270,84.947
98271,84.973
98272,89.652
98273,86.397
98274,86.987
98275,85.725
98276,86.684
98277,87.54
98278,87.55
98279,86.673
98280,84.952
98281,88.655
98282,86.41
98283,85.854
98284,85.606
98285,82.735
98286,85.314
98287,87.978
98288,78.11
98289,84.967
98290,83.352
98291,86.121
98292,88.752
98293,84.614
98294,82.812
98295,85.969
98296,85.055
98297,86.079
98298,87.247
98299,86.913
98300,86.103
98301,84.543
98302,84.745
98303,86.31
98304,86.409
98305,87.385
98306,87.951
98307,85.809
98308,84.359
98309,83.242
98310,84.229
98311,85.383
98312,84.47
98313,86.776
98314,88.298
98315,84.456
98316,87.777
98317,85.213
98318,84.205
98319,85.731
98320,87.278
98321,86.321
98322,88.039
98323,87.58
98324,85.674
98325,87.246
98326,82.702
98327,81.35
98328,87.594
98329,83.8
98330,85.603
98331,81.568
98332,83.084
98333,83.987
98334,79.277
98335,79.902
98336,84.066
98337,85.81
98338,79.5
98339,84.408
98340,86.464
98341,86.854
98342,86.894
98343,83.966
98344,87.937
98345,85.929
98346,84.205
98347,85.456
98348,79.104
98349,88.167
98350,89.538
98351,85.601
98352,83.323
98353,82.948
98354,77.001
98355,80.332
98356,82.456
98357,76.157
98358,85.814
98359,80.56
98360,74.769
98361,86.924
98362,84.32
98363,85.661
98364,82.496
98365,85.028
98366,79.835
98367,82.666
98368,82.848
98369,88.835
98370,88.453
98371,88.036
98372,87.842
98373,83.969
98374,85.919
98375,87.618
98376,85.261
98377,84.411
98378,87.326
98379,87.829
98380,87.14
98381,81.621
98382,87.732
98383,83.866
98384,79.541
98385,87.201
98386,84.66
98387,84.413
98388,87.326
98389,84.147
98390,87.314
98391,86.986
98392,84.633
98393,83.998
98394,83.834
98395,89.171
98396,85.099
98397,84.189
98398,85.419
98399,85.105
98400,79.897
98401,82.314
98402,87.797
1747,82.661
1784,80.002
2476,79.811
2515,78.1
2517,77.646
2529,77.957
2538,78.936
2551,82.116
2553,78.215
2554,85.107
2555,78.262
2556,79.718
2577,78.872
2582,78.923
2583,80.09
2584,80.011
2585,78.828
2586,78.987
2587,77.808
2588,76.871
2589,80.123
2590,80.745
2591,80.5
2592,80.491
2594,79.715
2595,79.641
2597,81.469
2645,80.239
2654,79.791
2655,79.348
2656,78.898
2657,80.689
2658,76.408
2659,78.466
2660,77.398
2741,75.791
2766,79.851
2793,80.98
2810,76.834
2824,79.206
3002,79.371
3021,79.671
3093,80.534
3105,79.6
3113,78.21
3118,81.968
3120,77.941
3122,80.081
3123,81.231
3133,79.165
3134,79.867
3135,77.864
3136,81.735
3137,79.631
3138,76.682
3139,77.893
3140,79.179
3141,77.958
3142,80.145
3143,79.553
3144,78.403
3145,77.523
3146,77.288
3147,81.075
3148,80.576
3149,78.923
3150,78.828
3153,79.792
3155,72.911
3156,79.094
3157,78.598
3158,80.928
3159,79.327
3160,82.535
3161,81.695
3162,80.218
3186,80.384
3225,76.112
3315,77.008
3321,77.329
3332,77.749
5877,79.684
5981,80.052
6043,79.717
6078,80.001
6081,81.202
6082,81.078
6090,77.586
6127,82.021
6211,79.723
6213,80.536
6214,77.82
6231,76.754
6232,80.303
6233,77.595
6239,78.733
6240,77.442
6254,81.115
6255,78.539
6342,75.043
7630,80.924
7654,78.563
8890,80.084
8916,78.489
9028,78.635
9066,79.036
9445,80.163
9542,79.541
9546,81.45
9547,77.287
9583,76.894
9587,76.799
12037,81.724
12116,78.528
12122,80.952
12124,78.292
12141,78.78
12143,80.477
12149,81.249
12161,75.778
12252,81.371
12408,78.361
12409,78.49
12410,80.96
12418,80.233
12422,78.171
12435,76.995
12436,75.774
12437,75.909
12447,81.192
12448,80.098
12449,78.911
12450,79.053
12451,76.595
12452,78.789
12453,81.364
12454,80.282
12455,80.782
12456,79.48
12457,82.38
12458,82.394
12459,77.067
12460,79.244
12461,79.067
12462,79.825
12463,79.317
12464,80.705
12465,79.074
12466,78.235
12467,81.282
12468,77.219
12469,76.334
12470,82.521
12471,83.294
12472,81.887
12473,80.56
12474,80.803
12475,78.31
12476,79.487
12477,83.073
12478,81.367
12479,79.988
12480,79.539
12481,80.892
12482,82.26
12483,77.86
12484,79.206
12485,79.904
12486,77.615
12487,80.355
12488,79.16
12489,75.364
12490,78.205
12491,79.795
12492,80.081
12493,77.36
12494,80.774
12495,81.554
12496,80.006
12497,83.314
12498,83.376
12499,78.127
12500,77.477
12501,73.358
12502,80.071
12503,75.506
12504,78.806
12505,78.505
12506,81.178
12507,79.199
12508,76.521
12509,77.611
12510,79.239
12511,79.457
12512,79.727
12513,76.038
12514,81.864
12515,80.456
12516,79.943
12518,79.742
12519,78.32
12520,81.277
12521,80.555
12523,81.831
12525,84.946
12526,80.896
12527,81.018
12528,80.175
12529,79.173
12530,76.68
12531,77.86
12532,77.264
12533,77.525
12565,82.106
12656,80.161
12674,81.008
12687,83.773
12736,80.127
13078,75.423
13080,81.044
13146,79.317
13147,80.163
13148,79.923
13149,78.033
13150,80.971
13196,79.223
13382,79.12
13461,77.838
13475,80.118
13477,78.631
13537,78.66
13893,78.171
13897,76.603
14744,76.842
14862,80.734
14882,81.151
14890,81.569
14906,78.29
14907,81.336
14914,77.553
14916,78.522
14930,81.54
14932,77.492
14939,78.249
14947,78.967
15180,79.583
15240,79.851
