Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free DoorDash Score
6018,77.617
6021,77.839
6026,77.636
9479,79.142
16980,79.001
17014,72.377
18230,76.725
18348,78.918
26715,80.763
26747,81.706
29788,77.946
29835,78.838
30606,75.598
30845,80.271
32072,79.152
46443,81.746
46506,73.823
50300,80.928
51419,77.311
53971,75.989
53972,77.782
53973,76.329
53974,75.392
53975,79.814
53976,78.198
53977,81.371
53978,76.703
53979,78.309
53981,77.714
54796,76.386
54797,77.086
54798,76.651
54799,74.723
54800,73.207
56453,80.976
56528,76.309
56542,76.588
56543,72.344
56544,75.462
56545,74.303
56618,77.618
56619,75.384
56629,79.632
56630,76.704
56631,78.114
56632,78.309
56633,78.316
56634,77.817
56635,77.286
56637,76.433
56638,78.115
56639,74.775
56641,79.505
56642,77.761
56643,81.819
56644,72.931
56645,77.656
56646,75.465
56647,77.962
56648,76.908
56649,76.187
56650,77.459
56651,75.375
56652,80.334
56653,75.625
56654,79.398
56656,74.435
56657,74.902
56661,79.745
56662,77.88
56725,74.856
56795,75.449
56796,75.218
56797,74.804
56798,75.606
56799,73.592
56800,79.195
56801,76.475
56802,74.04
56803,78.527
56804,78.199
56805,78.889
56807,79.226
56809,79.226
56859,77.162
56860,78.557
56861,75.041
56862,76.527
57384,80.995
57400,83.219
62042,78.046
63086,75.904
63087,80.329
83710,77.611
83711,74.936
86666,77.77
87779,80.843
97622,77.595
98134,79.723
98135,77.956
98136,77.074
98137,76.548
98138,79.98
98171,77.45
98172,75.057
98173,77.864
98245,76.878
98250,81.64
98251,78.009
98252,76.071
98253,78.764
98254,76.469
98255,80.721
98256,80.523
98257,82.048
98258,77.408
98259,78.534
98260,78.787
98261,79.197
98262,80.542
98263,80.286
98264,79.345
98265,82.401
98266,83.735
98267,75.456
98268,79.937
98269,77.667
98270,80.574
98271,76.088
98272,78.666
98273,79.351
98274,78.336
98275,77.644
98276,77.061
98277,74.465
98278,77.638
98279,78.231
98280,77.793
98281,79.819
98282,79.309
98283,80.618
98284,75.023
98285,78.154
98286,81.16
98287,80.071
98288,77.385
98289,76.094
98290,77.04
98291,78.896
98292,78.332
98293,76.353
98294,79.041
98295,79.151
98296,74.871
98297,80.437
98298,78.755
98299,77.966
98300,77.194
98301,74.455
98302,78.321
98303,79.083
98304,77.731
98305,81.891
98306,78.781
98307,77.467
98308,78.109
98309,77.314
98310,78.8
98311,79.111
98312,78.544
98313,79.814
98314,82.347
98315,79.273
98316,85.25
98317,75.983
98318,78.831
98319,78.282
98320,76.893
98321,80.175
98322,75.913
98323,77.773
98324,77.657
98325,75.998
98326,76.723
98327,77.351
98328,78.702
98329,78.217
98330,79.765
98331,77.252
98332,76.106
98333,75.305
98334,80.057
98335,81.083
98336,77.371
98337,78.076
98338,79.752
98339,73.31
98340,76.27
98341,79.828
98342,82.913
98343,75.421
98344,77.998
98345,81.661
98346,75.159
98347,76.595
98348,75.184
98349,78.81
98350,79.428
98351,79.14
98352,75.466
98353,74.753
98354,76.197
98355,81.662
98356,77.762
98357,80.292
98358,80.109
98359,74.571
98360,79.153
98361,79.878
98362,76.623
98363,76.891
98364,73.866
98365,76.852
98366,78.068
98367,80.774
98368,75.476
98369,77.018
98370,80.796
98371,78.506
98372,80.112
98373,80.928
98374,79.725
98375,79.847
98376,77.319
98377,80.024
98378,79.625
98379,80.814
98380,79.783
98381,76.124
98382,77.767
98383,79.333
98384,80.008
98385,77.621
98386,77.073
98387,78.636
98388,81.858
98389,78.987
98390,79.453
98391,77.479
98392,76.094
98393,77.634
98394,73.288
98395,79.205
98396,76.716
98397,78.284
98398,80.289
98399,75.142
98400,76.652
98401,79.726
98402,82.595
1747,78.742
1784,78.792
2476,81.757
2515,81.076
2517,81.722
2529,81.589
2538,82.926
2551,81.532
2553,83.482
2554,81.485
2555,80.671
2556,79.526
2577,84.872
2582,80.608
2583,80.077
2584,82.436
2585,81.264
2586,81.27
2587,81.339
2588,81.023
2589,83.694
2590,82.71
2591,80.59
2592,84.262
2594,82.466
2595,80.815
2597,85.737
2645,82.418
2654,82.425
2655,82.748
2656,83.329
2657,79.125
2658,81.298
2659,81.081
2660,84.373
2741,78.209
2766,79.152
2793,82.981
2810,79.324
2824,82.813
3002,82.838
3021,84.471
3093,81.562
3105,83.427
3113,78.239
3118,81.911
3120,81.566
3122,79.73
3123,80.309
