Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free DoorDash Score
6018,77.117
6021,78.719
6026,78.637
9479,79.699
16980,79.094
17014,72.377
18230,77.055
18348,78.918
26715,80.639
26747,81.611
29788,78.06
29835,80.615
30606,75.598
30845,80.355
32072,78.264
46443,82.243
46506,73.978
50300,80.419
51419,77.587
53971,75.146
53972,78.036
53973,75.653
53974,75.729
53975,79.134
53976,76.925
53977,81.371
53978,76.466
53979,80.678
53981,77.35
54796,76.386
54797,78.605
54798,76.651
54799,74.683
54800,73.275
56453,80.47
56528,76.309
56542,75.774
56543,74.542
56544,75.462
56545,74.3
56618,77.618
56619,75.384
56629,78.896
56630,76.704
56631,78.114
56632,78.377
56633,78.316
56634,77.344
56635,77.233
56637,76.433
56638,78.04
56639,74.775
56641,78.574
56642,77.761
56643,81.819
56644,72.931
56645,77.901
56646,75.419
56647,77.912
56648,76.447
56649,72.731
56650,77.459
56651,75.559
56652,80.178
56653,76.623
56654,79.429
56656,74.733
56657,74.626
56661,79.643
56662,77.88
56725,75.195
56795,75.449
56796,75.218
56797,75.228
56798,74.803
56799,73.572
56800,79.195
56801,76.475
56802,72.988
56803,78.527
56804,78.199
56805,79.138
56807,79.274
56809,79.108
56859,77.162
56860,78.584
56861,75.653
56862,78.183
57384,81.409
57400,83.219
62042,78.08
63086,75.51
63087,80.329
83710,77.517
83711,74.834
86666,77.77
87779,80.843
97622,77.34
98134,79.508
98135,77.956
98136,76.786
98137,76.548
98138,78.36
98171,77.45
98172,75.311
98173,79.008
98245,76.2
98250,81.774
98251,77.76
98252,80.588
98253,79.18
98254,77.058
98255,80.412
98256,81.254
98257,82.048
98258,78.142
98259,78.66
98260,78.787
98261,80.035
98262,80.436
98263,80.642
98264,79.309
98265,81.786
98266,83.264
98267,76.443
98268,78.997
98269,77.667
98270,80.616
98271,78.507
98272,78.863
98273,79.351
98274,78.336
98275,78.657
98276,76.854
98277,74.981
98278,76.651
98279,78.231
98280,78.449
98281,78.473
98282,79.278
98283,80.618
98284,75.261
98285,77.433
98286,80.467
98287,79.506
98288,77.385
98289,76.122
98290,76.188
98291,78.675
98292,77.782
98293,76.975
98294,79.565
98295,78.38
98296,75.323
98297,80.125
98298,78.901
98299,77.302
98300,76.78
98301,74.382
98302,78.321
98303,79.083
98304,77.202
98305,81.891
98306,78.294
98307,77.291
98308,77.739
98309,77.314
98310,79.158
98311,78.558
98312,78.36
98313,79.814
98314,82.347
98315,79.157
98316,85.25
98317,75.886
98318,78.831
98319,78.333
98320,75.996
98321,80.175
98322,77.083
98323,77.618
98324,77.657
98325,78.277
98326,76.459
98327,77.684
98328,78.816
98329,78.36
98330,79.74
98331,77.838
98332,76.818
98333,75.305
98334,79.917
98335,80.58
98336,77.371
98337,78.076
98338,79.835
98339,73.31
98340,76.326
98341,79.828
98342,82.913
98343,73.943
98344,78.343
98345,81.885
98346,75.159
98347,77.999
98348,75.184
98349,78.81
98350,79.428
98351,78.194
98352,74.745
98353,75.004
98354,76.789
98355,82.127
98356,78.076
98357,80.292
98358,81.212
98359,76.221
98360,76.465
98361,79.878
98362,76.623
98363,76.891
98364,74.209
98365,76.852
98366,77.529
98367,79.978
98368,75.959
98369,76.447
98370,80.796
98371,78.941
98372,80.749
98373,81.304
98374,79.438
98375,78.324
98376,77.319
98377,80.229
98378,79.625
98379,80.646
98380,80.022
98381,76.758
98382,77.325
98383,79.28
98384,79.648
98385,77.615
98386,79.847
98387,78.926
98388,81.953
98389,77.975
98390,79.449
98391,77.7
98392,76.198
98393,77.452
98394,74.689
98395,79.205
98396,76.196
98397,77.952
98398,80.74
98399,75.142
98400,76.652
98401,79.906
98402,82.748
1747,78.742
1784,78.792
2476,81.757
2515,81.532
2517,82.201
2529,81.589
2538,82.33
2551,83.207
2553,83.482
2554,81.485
2555,80.65
2556,79.127
2577,84.48
2582,80.608
2583,81.715
2584,82.347
2585,81.669
2586,81.316
2587,81.254
2588,80.805
2589,83.694
2590,82.925
2591,80.818
2592,84.528
2594,82.061
2595,80.988
2597,85.737
2645,82.949
2654,82.425
2655,82.813
2656,82.928
2657,78.413
2658,80.727
2659,81.273
2660,84.534
2741,78.117
2766,79.466
2793,82.981
2810,79.324
2824,82.813
3002,84.132
3021,84.53
3093,81.562
3105,83.313
3113,78.239
3118,81.976
3120,83.261
3122,80.408
3123,80.309
3133,81.059
3134,84.086
3135,84.797
3136,80.418
3137,81.503
3138,80.934
3139,80.69
3140,80.439
3141,81.928
3142,82.792
3143,79.079
3144,79.389
3145,78.751
3146,79.001
3147,80.225
3148,79.632
3149,80.992
3150,83.247
3153,80.863
3155,77.864
3156,80.673
3157,79.552
3158,80.2
3159,80.662
3160,79.271
3161,82.424
3162,81.735
3186,82.127
3225,83.265
3315,81.684
3321,81.917
3332,74.841
5877,79.234
5981,85.604
6043,83.439
6078,81.349
6081,83.093
6082,83.167
6090,80.79
6127,85.127
6211,79.936
6213,82.299
6214,79.79
6231,79.645
6232,80.87
6233,82.318
6239,78.565
6240,82.789
6254,80.644
6255,80.634
6342,79.613
7630,79.464
7654,81.978
8890,79.352
8916,76.332
9028,78.659
9066,79.95
9445,80.966
9542,80.394
9546,82.924
9547,82.155
9583,82.057
9587,77.772
12037,82.358
12116,76.774
12122,82.812
12124,83.856
12141,82.362
12143,80.587
12149,81.329
12161,77.606
12252,82.35
12408,78.938
12409,80.959
12410,80.698
12418,81.14
12422,81.491
12435,81.934
12436,81.231
12437,79.441
12447,81.75
12448,82.539
12449,81.061
12450,77.805
12451,81.954
12452,82.696
12453,80.974
