Unnamed: 0,resume DoorDash Score
1747,79.038
1784,78.951
2476,82.712
2515,80.269
2517,78.765
2529,80.951
2538,81.519
2551,80.911
2553,81.421
2554,81.739
2555,80.237
2556,78.353
2577,82.692
2582,79.841
2583,79.894
2584,82.429
2585,82.342
2586,81.45
2587,80.201
2588,82.33
2589,84.072
2590,83.86
2591,80.966
2592,84.51
2594,83.499
2595,83.092
2597,86.226
2645,81.308
2654,81.921
2655,82.022
2656,83.083
2657,77.689
2658,81.724
2659,79.967
2660,83.092
2741,77.723
2766,79.144
2793,82.69
2810,79.027
2824,82.082
3002,80.341
3021,82.509
3093,80.967
3105,82.276
3113,76.928
3118,78.741
3120,77.42
3122,81.297
3123,78.761
3133,80.768
3134,83.242
3135,84.517
3136,79.17
3137,82.506
3138,81.519
3139,79.939
3140,81.652
3141,79.027
3142,82.955
3143,81.015
3144,76.994
3145,78.842
3146,77.933
3147,79.918
3148,80.058
3149,80.726
3150,81.964
3153,78.503
3155,74.177
3156,79.653
3157,80.882
3158,81.608
3159,79.054
3160,78.679
3161,83.266
3162,81.467
3186,81.428
3225,82.351
3315,77.596
3321,82.115
3332,75.786
5877,77.985
5981,83.509
6043,83.045
6078,80.289
6081,82.085
6082,80.058
6090,79.671
6127,83.267
6211,80.623
6213,84.161
6214,81.763
6231,80.656
6232,81.245
6233,81.557
6239,77.256
6240,82.129
6254,82.058
6255,80.384
6342,80.357
7630,80.044
7654,79.56
8890,72.057
8916,76.812
9028,78.622
9066,77.931
9445,81.801
9542,79.739
9546,82.295
9547,80.354
9583,81.023
9587,76.728
12037,80.739
12116,76.891
12122,81.708
12124,80.016
12141,81.284
12143,78.464
12149,82.387
12161,75.648
12252,81.65
12408,78.619
12409,80.564
12410,81.924
12418,80.887
12422,81.647
12435,80.205
12436,77.55
12437,74.847
12447,80.9
12448,82.373
12449,81.108
12450,78.652
12451,80.616
12452,78.411
12453,81.291
12454,81.058
12455,84.639
12456,83.603
12457,81.619
12458,79.287
12459,79.189
12460,84.031
12461,76.918
12462,79.285
12463,74.3
12464,83.39
12465,80.344
12466,79.429
12467,82.072
12468,78.341
12469,74.243
12470,80.991
12471,84.184
12472,80.53
12473,82.216
12474,79.462
12475,82.06
12476,82.204
12477,82.083
12478,80.015
12479,78.869
12480,82.038
12481,80.903
12482,83.031
12483,81.297
12484,78.232
12485,81.38
12486,82.114
12487,84.148
12488,81.203
12489,77.179
12490,80.169
12491,80.571
12492,81.785
12493,77.354
12494,79.893
12495,83.082
12496,79.886
12497,82.928
12498,83.737
12499,80.214
12500,79.336
12501,73.249
12502,79.626
12503,76.122
12504,83.023
12505,76.132
12506,81.809
12507,81.053
12508,81.937
12509,79.714
12510,79.411
12511,80.135
12512,80.673
12513,79.544
12514,82.236
12515,81.648
12516,83.058
12518,81.753
12519,79.677
12520,84.553
12521,82.633
12523,78.456
12525,85.303
12526,82.639
12527,81.905
12528,79.472
12529,85.004
12530,79.314
12531,76.728
12532,79.832
12533,81.969
12565,84.886
12656,82.681
12674,81.642
12687,79.369
12736,82.133
13078,82.662
13080,82.397
13146,79.198
13147,81.122
13148,82.124
13149,80.98
13150,83.228
13196,82.047
13382,77.717
13461,77.719
13475,82.804
13477,80.048
13537,80.83
13893,82.617
13897,79.197
14744,80.258
14862,80.284
14882,82.443
14890,79.639
14906,81.154
14907,80.215
14914,79.951
14916,79.431
14930,81.419
14932,75.023
14939,80.096
14947,79.241
15180,80.155
15240,79.513
15339,79.347
15419,82.234
15425,80.784
15426,79.82
15474,81.051
15519,78.923
15524,82.165
15589,78.509
15679,74.458
15743,77.237
16036,80.419
16039,80.565
16064,85.761
6018,77.359
6021,76.957
6026,78.456
9479,78.834
16980,77.141
17014,77.237
18230,75.989
18348,78.917
26715,79.694
26747,80.852
29788,78.953
29835,79.948
30606,76.332
30845,80.344
32072,78.465
46443,82.198
46506,75.488
50300,81.352
51419,79.169
53971,74.711
53972,77.173
53973,76.43
53974,77.267
53975,79.808
53976,75.827
53977,81.101
53978,76.586
53979,77.557
53981,79.713
54796,76.356
54797,76.764
54798,79.209
54799,76.467
54800,72.283
56453,80.597
56528,76.399
56542,76.652
56543,75.785
56544,74.694
56545,75.462
56618,78.883
56619,73.858
56629,79.632
56630,75.11
56631,79.128
56632,77.946
56633,82.506
56634,72.819
56635,77.42
56637,76.808
56638,77.201
56639,75.957
56641,76.011
56642,78.507
56643,81.646
56644,76.768
56645,78.242
56646,76.798
56647,78.899
56648,77.546
56649,75.992
56650,79.052
56651,74.71
56652,78.297
56653,75.895
56654,78.432
56656,77.962
56657,73.741
56661,78.375
56662,75.993
56725,75.809
56795,75.511
56796,75.926
56797,76.937
56798,75.36
56799,74.378
56800,78.206
56801,75.463
56802,71.36
56803,82.419
56804,77.906
56805,78.13
56807,81.529
56809,78.706
56859,76.593
56860,80.598
56861,77.416
56862,77.833
57384,82.265
57400,83.063
62042,78.342
63086,73.924
63087,80.053
83710,79.315
83711,73.625
86666,77.242
87779,80.134
97622,78.58
98134,79.325
98135,78.06
98136,79.131
98137,75.016
98138,78.248
98171,77.291
98172,74.379
98173,77.869
98245,75.013
98250,81.731
98251,76.195
98252,76.396
98253,79.332
98254,75.904
98255,80.908
98256,77.506
98257,81.031
98258,78.106
98259,79.045
98260,77.723
98261,78.412
98262,78.653
98263,77.748
98264,80.937
98265,80.786
98266,82.737
98267,76.138
98268,76.766
98269,77.463
98270,77.622
98271,76.141
98272,80.152
98273,78.203
98274,78.065
98275,78.649
98276,78.466
98277,77.925
98278,78.303
98279,82.023
98280,79.168
98281,78.575
98282,79.362
98283,83.116
98284,74.147
98285,77.765
98286,80.179
98287,81.508
98288,77.517
98289,76.038
98290,75.701
98291,77.424
98292,80.611
98293,77.568
98294,77.539
98295,78.971
98296,78.982
98297,80.66
98298,81.461
98299,78.629
98300,77.878
98301,74.19
98302,79.438
98303,79.498
98304,79.643
98305,81.933
98306,76.646
98307,76.417
98308,78.557
98309,80.006
98310,78.286
98311,79.733
98312,78.156
98313,79.9
98314,83.101
98315,80.481
98316,85.276
98317,77.873
98318,78.138
98319,79.223
98320,79.388
98321,79.715
98322,76.962
98323,79.101
98324,77.363
98325,78.917
98326,77.435
98327,76.629
98328,79.198
98329,79.445
98330,80.149
98331,75.304
98332,78.333
98333,76.082
98334,75.334
98335,79.085
98336,78.047
98337,78.386
98338,79.253
98339,76.062
98340,75.39
98341,79.782
98342,81.774
98343,73.227
98344,79.206
98345,79.357
98346,75.881
98347,78.961
98348,76.306
98349,80.575
98350,80.918
98351,79.603
98352,75.397
98353,77.359
98354,76.037
98355,79.338
98356,77.374
98357,79.489
98358,79.465
98359,74.511
98360,77.091
98361,79.264
98362,76.92
98363,76.165
98364,75.093
98365,77.615
98366,77.103
98367,80.262
98368,76.634
98369,77.483
98370,80.322
98371,78.188
98372,80.16
98373,81.158
98374,78.672
98375,78.05
98376,79.662
98377,77.726
98378,80.624
98379,81.36
98380,80.571
98381,76.965
98382,80.223
98383,79.874
98384,79.729
98385,76.527
98386,75.215
98387,80.609
98388,82.031
98389,80.423
98390,80.823
98391,78.568
98392,76.185
98393,76.06
98394,73.03
98395,78.697
98396,77.467
98397,76.224
98398,77.442
98399,73.558
98400,76.062
98401,78.413
98402,83.437
