Unnamed: 0,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat DoorDash Score
6018,77.927
6021,79.526
6026,80.148
9479,78.906
16980,78.075
17014,77.412
18230,79.826
18348,79.493
26715,81.596
26747,82.54
29788,77.893
29835,81.027
30606,76.688
30845,82.475
32072,81.215
46443,83.876
46506,80.02
50300,81.759
51419,78.125
53971,78.105
53972,80.574
53973,77.042
53974,76.074
53975,78.21
53976,77.25
53977,81.198
53978,79.491
53979,77.714
53981,76.875
54796,76.165
54797,79.384
54798,79.06
54799,77.03
54800,73.853
56453,80.687
56528,80.641
56542,76.469
56543,75.744
56544,78.156
56545,78.479
56618,79.6
56619,75.821
56629,78.581
56630,76.631
56631,82.055
56632,80.978
56633,81.755
56634,76.932
56635,78.917
56637,76.91
56638,77.434
56639,78.081
56641,78.465
56642,78.722
56643,84.24
56644,77.166
56645,78.721
56646,76.158
56647,78.395
56648,80.827
56649,76.111
56650,79.971
56651,79.036
56652,78.609
56653,80.025
56654,79.632
56656,75.603
56657,74.402
56661,79.758
56662,75.583
56725,78.213
56795,75.841
56796,75.048
56797,77.791
56798,76.207
56799,72.472
56800,77.034
56801,77.997
56802,75.958
56803,82.126
56804,78.507
56805,78.205
56807,81.182
56809,80.051
56859,76.177
56860,78.671
56861,78.617
56862,78.052
57384,81.06
57400,83.294
62042,79.715
63086,76.649
63087,81.228
83710,79.003
83711,78.565
86666,79.419
87779,80.501
97622,78.058
98134,79.639
98135,79.618
98136,77.22
98137,77.334
98138,78.95
98171,79.897
98172,75.115
98173,78.54
98245,78.378
98250,81.22
98251,79.508
98252,77.446
98253,79.748
98254,78.391
98255,80.756
98256,80.396
98257,80.903
98258,81.159
98259,80.387
98260,82.338
98261,81.324
98262,78.858
98263,77.872
98264,82.764
98265,79.939
98266,82.79
98267,75.912
98268,79.839
98269,78.865
98270,80.894
98271,78.309
98272,80.562
98273,79.984
98274,78.824
98275,78.476
98276,77.684
98277,76.913
98278,77.186
98279,81.958
98280,80.211
98281,80.712
98282,80.123
98283,81.253
98284,78.408
98285,78.377
98286,78.019
98287,81.064
98288,79.099
98289,78.141
98290,77.469
98291,80.526
98292,80.594
98293,78.29
98294,80.097
98295,78.364
98296,77.732
98297,80.444
98298,81.062
98299,78.917
98300,79.818
98301,78.156
98302,79.972
98303,78.375
98304,78.728
98305,83.893
98306,78.653
98307,77.583
98308,78.171
98309,77.112
98310,81.557
98311,78.45
98312,79.607
98313,78.646
98314,82.724
98315,79.642
98316,84.346
98317,77.535
98318,80.395
98319,78.822
98320,79.64
98321,80.886
98322,76.516
98323,79.202
98324,77.998
98325,81.019
98326,78.621
98327,77.725
