Unnamed: 0,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat DoorDash Score
6018,77.927
6021,79.526
6026,79.775
9479,78.941
16980,78.075
17014,77.178
18230,77.483
18348,79.099
26715,81.596
26747,82.54
29788,79.338
29835,81.388
30606,78.56
30845,82.201
32072,81.175
46443,83.876
46506,78.536
50300,81.759
51419,78.055
53971,77.402
53972,78.964
53973,77.042
53974,76.541
53975,80.224
53976,79.438
53977,81.198
53978,79.491
53979,80.433
53981,76.875
54796,76.165
54797,79.424
54798,79.06
54799,79.908
54800,73.853
56453,80.488
56528,77.525
56542,79.054
56543,75.821
56544,77.223
56545,78.479
56618,79.799
56619,75.821
56629,78.709
56630,76.439
56631,81.457
56632,81.019
56633,81.836
56634,76.932
56635,78.917
56637,77.272
56638,77.538
56639,78.081
56641,78.24
56642,78.722
56643,82.508
56644,78.51
56645,80.358
56646,76.232
56647,79.462
56648,78.845
56649,75.908
56650,78.542
56651,79.036
56652,78.856
56653,78.702
56654,78.91
56656,79.132
56657,74.402
56661,79.895
56662,75.528
56725,79.668
56795,75.841
56796,74.844
56797,77.66
56798,76.233
56799,72.128
56800,76.983
56801,77.997
56802,75.84
56803,81.885
56804,80.055
56805,80.796
56807,82.121
56809,80.051
56859,76.211
56860,78.671
56861,79.066
56862,78.333
57384,81.06
57400,83.294
62042,79.715
63086,76.736
63087,81.613
83710,79.003
83711,77.878
86666,79.419
87779,81.187
97622,79.198
98134,79.639
98135,77.279
98136,77.22
98137,77.594
98138,78.95
98171,79.326
98172,75.918
98173,78.54
98245,80.302
98250,81.22
98251,79.214
98252,77.446
98253,79.748
98254,78.609
98255,80.727
98256,79.782
98257,80.88
98258,79.58
98259,80.322
98260,82.338
98261,82.854
98262,80.944
98263,77.872
98264,82.764
98265,79.939
98266,83.285
98267,77.004
98268,79.793
98269,79.076
98270,79.122
98271,78.309
98272,81.598
98273,80.003
98274,78.8
98275,78.476
98276,77.684
98277,78.399
98278,77.186
98279,81.958
98280,80.211
98281,80.712
98282,80.123
98283,82.072
98284,78.408
98285,78.377
98286,78.719
98287,81.064
98288,78.267
98289,77.125
98290,77.093
98291,80.117
98292,80.594
98293,78.29
98294,80.097
98295,79.555
98296,77.732
98297,81.209
98298,81.145
98299,78.917
98300,78.965
98301,74.795
98302,79.54
98303,78.375
98304,80.602
98305,83.71
98306,79.639
98307,77.884
98308,78.266
98309,77.196
98310,81.557
98311,78.45
98312,79.607
98313,79.358
98314,82.724
98315,79.642
98316,83.319
98317,80.57
98318,81.607
98319,80.26
98320,80.691
98321,80.886
98322,79.632
