Unnamed: 0,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo DoorDash Score
1747,78.825
1784,78.965
2476,82.194
2515,80.363
2517,79.317
2529,81.411
2538,82.853
2551,80.509
2553,81.61
2554,80.037
2555,79.702
2556,79.267
2577,82.543
2582,79.719
2583,80.523
2584,82.986
2585,80.047
2586,81.207
2587,81.753
2588,82.156
2589,82.356
2590,82.601
2591,80.284
2592,83.165
2594,82.65
2595,80.456
2597,84.909
2645,83.514
2654,81.921
2655,82.895
2656,82.052
2657,77.314
2658,81.954
2659,80.642
2660,82.328
2741,77.131
2766,79.579
2793,82.12
2810,78.941
2824,82.781
3002,82.406
3021,82.106
3093,80.563
3105,82.317
3113,77.671
3118,81.413
3120,79.953
3122,82.44
3123,79.156
3133,80.545
3134,81.76
3135,84.441
3136,79.701
3137,84.233
3138,81.93
3139,80.067
3140,81.558
3141,82.661
3142,82.343
3143,79.814
3144,80.717
3145,78.799
3146,77.507
3147,79.731
3148,79.969
3149,81.522
3150,82.55
3153,78.094
3155,75.248
3156,79.348
3157,79.525
3158,80.482
3159,80.891
3160,79.644
3161,82.957
3162,81.968
3186,81.489
3225,82.802
3315,78.443
3321,82.152
3332,77.13
5877,77.337
5981,83.345
6043,81.183
6078,81.108
6081,82.06
6082,80.344
6090,81.005
6127,84.355
6211,80.402
6213,84.08
6214,80.019
6231,80.572
6232,80.275
6233,81.459
6239,78.146
6240,81.775
6254,81.343
6255,80.066
6342,80.395
7630,79.104
7654,79.334
8890,77.725
8916,75.135
9028,79.934
9066,77.232
9445,80.125
9542,78.305
9546,82.822
9547,79.731
9583,81.122
9587,78.771
12037,80.913
12116,77.07
12122,81.953
12124,80.255
12141,80.435
12143,77.651
12149,81.986
12161,76.449
12252,81.738
12408,79.003
12409,81.787
12410,83.044
12418,80.276
12422,81.219
12435,80.447
12436,77.665
12437,75.956
12447,82.611
12448,82.993
12449,79.295
12450,78.839
12451,79.892
12452,80.175
12453,80.766
12454,79.542
12455,84.494
12456,81.453
12457,82.331
12458,79.287
12459,80.069
12460,84.656
12461,76.918
12462,79.3
12463,74.213
12464,83.121
12465,80.481
12466,80.074
12467,80.844
12468,78.889
12469,74.243
12470,81.11
12471,81.441
12472,80.873
12473,80.873
12474,79.462
12475,80.011
12476,80.358
12477,80.686
12478,81.113
12479,78.669
12480,82.34
12481,79.538
12482,81.859
12483,78.839
12484,78.785
12485,81.366
12486,81.481
12487,83.672
12488,79.429
12489,76.974
12490,79.818
12491,80.74
12492,81.788
12493,76.421
12494,78.938
12495,82.232
12496,78.651
12497,82.986
12498,82.831
12499,80.269
12500,79.591
12501,74.271
12502,79.313
12503,75.748
12504,81.996
12505,75.841
12506,81.53
12507,78.869
12508,81.399
12509,78.91
12510,78.436
12511,80.301
12512,80.972
12513,79.618
12514,84.803
12515,81.976
12516,81.958
12518,84.472
12519,80.803
12520,83.753
12521,81.996
12523,80.482
12525,85.794
12526,83.992
12527,81.905
12528,79.291
12529,84.709
12530,79.133
12531,76.304
12532,81.227
12533,80.31
12565,84.821
12656,81.613
12674,82.357
12687,79.865
12736,82.083
13078,78.985
13080,82.397
13146,78.891
13147,81.496
13148,82.443
13149,83.178
13150,80.909
13196,82.069
13382,79.751
13461,79.002
13475,81.069
13477,79.553
13537,80.579
13893,78.878
13897,79.46
14744,80.045
14862,80.849
14882,83.567
14890,81.433
14906,79.899
14907,81.609
14914,80.66
14916,79.947
14930,81.701
14932,74.628
14939,76.688
14947,79.799
15180,78.961
15240,79.513
15339,79.998
15419,80.801
15425,82.022
15426,79.779
15474,81.555
15519,78.464
15524,82.72
15589,77.849
15679,76.52
15743,77.955
16036,80.786
16039,80.719
16064,85.761
6018,76.732
6021,77.173
6026,78.438
9479,77.294
16980,77.411
17014,74.861
18230,76.075
18348,79.357
26715,80.396
26747,81.309
29788,77.691
29835,80.38
30606,75.1
30845,79.9
32072,78.633
46443,80.873
46506,77.017
50300,81.175
51419,78.358
53971,74.659
53972,78.768
53973,76.113
53974,76.96
53975,80.233
53976,75.838
53977,79.906
53978,75.703
53979,76.353
53981,77.047
54796,76.034
54797,77.811
54798,78.613
54799,76.505
54800,72.05
56453,80.797
56528,77.357
56542,73.571
56543,74.825
56544,71.971
56545,77.342
56618,77.268
56619,73.431
56629,80.662
56630,73.613
56631,80.016
56632,76.482
56633,78.286
56634,72.443
56635,77.87
56637,74.916
56638,76.496
56639,75.289
56641,76.377
56642,78.101
56643,81.042
56644,75.125
56645,76.567
56646,73.679
