Unnamed: 0,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo DoorDash Score
1747,78.34
1784,78.965
2476,82.083
2515,80.363
2517,79.483
2529,80.323
2538,82.119
2551,80.488
2553,81.61
2554,81.484
2555,79.545
2556,79.193
2577,82.493
2582,79.448
2583,80.523
2584,78.816
2585,80.047
2586,81.125
2587,81.753
2588,81.433
2589,82.356
2590,82.601
2591,79.946
2592,82.692
2594,82.136
2595,80.456
2597,84.721
2645,82.234
2654,81.696
2655,82.895
2656,81.328
2657,77.314
2658,81.891
2659,80.034
2660,82.411
2741,77.07
2766,79.579
2793,81.954
2810,78.419
2824,82.781
3002,82.406
3021,82.086
3093,80.563
3105,82.317
3113,77.532
3118,81.163
3120,79.194
3122,82.44
3123,79.156
3133,80.545
3134,81.595
3135,84.459
3136,79.52
3137,83.564
3138,77.74
3139,80.067
3140,80.693
3141,82.661
3142,82.546
3143,79.347
3144,80.737
3145,78.799
3146,77.507
3147,81.033
3148,79.989
3149,80.913
3150,82.55
3153,78.318
3155,75.636
3156,79.348
3157,79.666
3158,79.583
3159,80.891
3160,79.644
3161,82.957
3162,81.968
3186,81.489
3225,82.123
3315,78.443
3321,82.152
3332,77.13
5877,77.337
5981,83.345
6043,80.91
6078,81.933
6081,82.06
6082,80.344
6090,81.005
6127,84.355
6211,80.142
6213,84.61
6214,79.428
6231,81.135
6232,80.275
6233,81.459
6239,78.146
6240,81.644
6254,80.432
6255,80.066
6342,80.395
7630,79.104
7654,79.012
8890,77.725
8916,74.997
9028,79.934
9066,77.232
9445,80.125
9542,78.386
9546,82.684
9547,79.731
9583,81.103
9587,78.771
12037,80.742
12116,77.978
12122,81.7
12124,81.219
12141,80.694
12143,77.795
12149,81.51
12161,74.378
12252,81.738
12408,78.475
12409,81.488
12410,82.957
12418,80.498
12422,81.197
12435,81.353
12436,78.01
12437,76.434
12447,82.611
12448,82.993
12449,79.328
12450,78.839
12451,79.933
12452,80.006
12453,80.766
12454,79.542
12455,84.593
12456,80.902
12457,81.978
12458,78.663
12459,79.958
12460,82.596
12461,76.73
12462,77.964
12463,74.242
12464,83.645
12465,80.572
12466,80.014
12467,80.844
12468,78.889
12469,74.243
12470,81.195
12471,81.441
12472,80.873
12473,80.873
12474,79.283
12475,78.516
12476,80.358
12477,80.268
12478,81.113
12479,78.796
12480,82.34
12481,79.546
12482,81.688
12483,78.796
12484,78.785
12485,80.249
12486,81.672
12487,83.672
12488,79.429
12489,77.071
12490,78.565
12491,79.897
12492,81.562
12493,76.199
12494,78.938
12495,82.343
12496,78.651
12497,82.986
12498,82.831
12499,80.269
12500,79.591
12501,74.668
12502,78.813
12503,76.968
12504,81.996
12505,75.617
12506,81.53
12507,78.869
12508,81.399
12509,78.733
12510,78.436
12511,80.13
12512,80.972
12513,79.701
12514,84.647
12515,81.976
12516,81.958
12518,84.472
12519,80.495
12520,83.35
12521,81.996
12523,81.443
12525,85.794
12526,83.992
12527,82.073
12528,79.291
12529,84.709
12530,78.849
12531,76.304
12532,81.227
12533,80.31
12565,84.821
12656,80.904
12674,82.101
12687,79.865
12736,82.132
13078,78.985
13080,82.51
13146,78.891
13147,81.496
13148,82.532
13149,83.178
13150,80.909
13196,82.764
13382,79.168
13461,79.002
13475,81.069
13477,80.369
13537,81.729
13893,79.02
13897,79.46
14744,80.045
14862,80.269
14882,82.449
14890,81.391
14906,79.846
14907,81.748
14914,80.57
14916,79.947
14930,81.561
14932,74.628
14939,76.688
14947,79.799
15180,78.961
15240,79.513
15339,79.998
15419,80.808
15425,82.022
15426,79.593
15474,81.555
15519,78.464
15524,82.72
15589,77.869
15679,76.678
15743,78.113
16036,80.786
16039,81.454
16064,84.705
6018,77.827
6021,76.911
6026,79.112
9479,78.033
16980,77.234
17014,73.864
18230,76.075
18348,79.357
26715,79.871
26747,80.933
29788,77.691
29835,80.38
30606,74.774
30845,79.9
32072,78.642
46443,80.873
46506,76.127
50300,81.175
51419,78.358
53971,74.083
53972,78.768
53973,75.46
53974,76.96
53975,78.491
53976,75.838
53977,79.906
53978,75.703
53979,74.954
53981,77.047
54796,76.034
54797,77.832
54798,78.613
54799,76.505
54800,71.759
56453,80.797
56528,77.357
56542,73.571
56543,73.615
56544,72.907
56545,76.932
56618,77.268
56619,73.475
56629,80.662
56630,73.613
56631,80.016
56632,76.482
56633,77.546
56634,76.005
56635,77.323
56637,74.916
56638,76.496
56639,75.289
56641,75.623
56642,78.101
56643,80.942
56644,75.565
56645,75.972
