Unnamed: 0,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo DoorDash Score
6018,77.827
6021,77.081
6026,79.112
9479,78.853
16980,77.234
17014,73.864
18230,76.075
18348,79.357
26715,79.871
26747,80.933
29788,77.691
29835,80.38
30606,74.774
30845,79.9
32072,78.642
46443,80.873
46506,74.489
50300,81.175
51419,78.358
53971,73.185
53972,78.764
53973,76.195
53974,76.96
53975,78.491
53976,75.838
53977,79.906
53978,75.703
53979,74.954
53981,77.048
54796,76.034
54797,77.832
54798,78.613
54799,76.505
54800,71.759
56453,80.797
56528,77.357
56542,73.571
56543,73.615
56544,72.907
56545,77.342
56618,77.268
56619,73.431
56629,80.662
56630,73.613
56631,80.016
56632,76.482
56633,78.286
56634,74.264
56635,77.323
56637,74.916
56638,76.496
56639,75.289
56641,75.623
56642,78.101
56643,80.942
56644,75.565
56645,75.398
56646,73.679
56647,76.66
56648,78.358
56649,77.258
56650,74.59
56651,74.47
56652,78.291
56653,75.93
56654,78.432
56656,74.764
56657,73.174
56661,76.717
56662,75.348
56725,75.809
56795,71.62
56796,73.193
56797,76.876
56798,74.727
56799,74.618
56800,78.154
56801,74.721
56802,74.752
56803,79.882
56804,77.54
56805,78.003
56807,79.636
56809,77.533
56859,75.876
56860,76.213
56861,76.083
56862,79.205
57384,81.17
57400,82.2
62042,80.184
63086,78.907
63087,78.091
83710,79.987
83711,75.798
86666,77.242
87779,79.376
97622,77.863
98134,77.142
98135,78.799
98136,76.21
98137,75.19
98138,78.716
98171,77.177
98172,73.16
98173,77.494
98245,75.958
98250,81.743
98251,76.195
98252,75.964
98253,79.235
98254,74.784
98255,78.646
98256,78.164
98257,81.848
98258,77.602
98259,79.337
98260,77.929
98261,81.424
98262,78.151
98263,74.327
98264,80.115
98265,80.063
98266,82.295
98267,76.47
98268,78.169
98269,78.621
98270,79.273
98271,76.144
98272,79.764
98273,78.085
98274,79.023
98275,78.628
98276,79.049
98277,78.272
98278,77.119
98279,79.001
98280,78.244
98281,77.965
98282,78.696
98283,84.208
98284,79.015
98285,77.137
98286,80.151
98287,80.725
98288,77.698
98289,75.668
98290,72.888
98291,78.46
98292,79.809
98293,78.028
98294,76.927
98295,78.815
98296,77.078
98297,80.2
98298,80.394
98299,76.868
98300,76.767
98301,74.404
98302,80.203
98303,78.532
98304,79.306
98305,82.86
98306,79.116
98307,76.038
98308,77.754
98309,79.844
98310,79.596
98311,78.362
98312,77.916
98313,78.798
98314,80.537
98315,77.061
98316,85.151
98317,75.075
98318,78.183
98319,80.126
98320,78.907
98321,77.481
98322,75.653
98323,78.597
98324,77.345
98325,78.917
98326,77.329
98327,76.08
98328,80.599
98329,79.511
98330,82.416
98331,75.869
98332,75.996
98333,72.909
98334,74.902
98335,78.586
98336,76.635
98337,77.692
98338,78.612
98339,73.569
98340,75.457
98341,79.52
98342,82.885
98343,73.851
98344,78.898
98345,80.406
98346,75.272
98347,78.4
98348,78.069
98349,77.541
98350,78.584
98351,79.522
98352,74.853
98353,75.664
98354,76.037
98355,78.229
98356,77.764
98357,79.607
98358,77.847
98359,74.413
98360,76.028
98361,79.682
98362,76.89
98363,76.434
98364,74.925
98365,76.389
98366,75.717
98367,80.556
98368,76.914
98369,76.2
98370,79.304
98371,78.672
98372,79.206
98373,77.433
98374,81.185
98375,77.148
98376,78.725
98377,77.397
98378,78.815
98379,80.53
98380,81.156
98381,75.248
98382,76.878
98383,79.583
98384,80.185
98385,76.401
98386,77.143
98387,74.115
98388,80.918
98389,79.805
98390,81.11
98391,78.478
98392,76.115
98393,75.632
98394,74.191
98395,78.942
98396,77.923
98397,78.345
98398,77.895
98399,74.698
98400,76.11
98401,79.092
98402,82.018
1747,78.34
1784,78.965
2476,83.778
2515,80.363
2517,79.272
2529,79.642
2538,82.119
2551,80.488
2553,81.61
2554,81.484
2555,79.702
2556,79.193
2577,82.493
2582,79.448
2583,80.523
2584,79.114
2585,80.047
2586,81.125
2587,81.753
2588,81.433
2589,82.356
2590,82.601
2591,79.946
2592,82.245
2594,82.136
2595,80.456
2597,84.721
2645,82.234
2654,81.696
2655,82.895
2656,81.328
2657,77.314
2658,81.891
2659,80.034
2660,82.411
2741,78.497
2766,79.579
2793,81.954
2810,78.419
2824,82.781
3002,82.406
3021,82.1
3093,80.563
3105,82.317
3113,77.532
3118,81.163
3120,79.194
3122,82.44
3123,79.156
3133,80.545
3134,81.595
3135,83.332
3136,79.52
3137,83.564
3138,77.74
3139,80.067
3140,80.693
3141,82.661
3142,82.343
3143,79.347
3144,80.737
3145,78.799
