Unnamed: 0,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o DoorDash Score
1747,80.831
1784,79.101
2476,83.223
2515,83.002
2517,81.548
2529,84.142
2538,83.848
2551,82.62
2553,82.295
2554,84.053
2555,81.009
2556,81.301
2577,84.487
2582,82.737
2583,81.802
2584,83.35
2585,84.012
2586,82.678
2587,82.878
2588,83.214
2589,84.628
2590,82.912
2591,83.565
2592,84.885
2594,82.645
2595,82.523
2597,85.93
2645,83.036
2654,83.074
2655,83.357
2656,82.347
2657,79.312
2658,82.39
2659,83.102
2660,84.022
2741,81.77
2766,78.121
2793,83.592
2810,79.366
2824,82.336
3002,83.998
3021,84.122
3093,83.344
3105,83.461
3113,79.524
3118,81.962
3120,82.52
3122,81.81
3123,82.638
3133,84.582
3134,84.439
3135,84.762
3136,83.094
3137,82.835
3138,81.149
3139,82.394
3140,81.538
3141,83.678
3142,84.171
3143,82.882
3144,82.169
3145,79.313
3146,78.185
3147,81.073
3148,81.839
3149,81.554
3150,83.776
3153,81.587
3155,76.869
3156,82.784
3157,79.94
3158,82.096
3159,81.437
3160,80.773
3161,83.057
3162,80.194
3186,82.434
3225,84.253
3315,81.822
3321,82.028
3332,80.533
5877,81.417
5981,85.269
6043,83.93
6078,82.198
6081,84.322
6082,83.272
6090,79.911
6127,85.622
6211,79.698
6213,82.193
6214,83.537
6231,81.917
6232,82.793
6233,83.369
6239,82.343
6240,81.757
6254,82.278
6255,81.911
6342,80.086
7630,84.271
7654,82.077
8890,81.005
8916,79.114
9028,80.681
9066,78.213
9445,80.852
9542,77.885
9546,82.339
9547,83.326
9583,81.98
9587,80.805
12037,82.315
12116,80.49
12122,82.679
12124,82.663
12141,81.349
12143,80.045
12149,84.563
12161,80.734
12252,81.072
12408,80.146
12409,81.56
12410,82.121
12418,82.771
12422,83.205
12435,81.591
12436,82.596
12437,80.969
12447,83.346
12448,84.06
12449,83.855
12450,81.495
12451,82.152
12452,85.457
12453,82.049
12454,81.405
12455,83.761
12456,84.004
12457,81.117
12458,85.194
12459,82.339
12460,82.98
12461,79.416
12462,81.704
12463,78.962
12464,85.824
12465,80.357
12466,80.821
12467,83.841
12468,78.89
12469,76.908
12470,83.456
12471,84.134
12472,82.235
12473,80.975
12474,79.971
12475,81.589
12476,81.214
12477,83.04
12478,83.169
12479,81.43
12480,82.513
12481,80.276
12482,82.697
12483,79.992
12484,81.782
12485,82.445
12486,83.185
12487,81.847
12488,81.107
12489,77.546
12490,82.491
12491,83.014
12492,82.181
12493,82.658
12494,81.035
12495,84.763
12496,81.079
12497,84.105
12498,83.419
12499,81.121
12500,79.893
12501,75.01
12502,83.531
12503,81.025
12504,84.281
12505,76.224
12506,82.128
12507,80.597
12508,80.881
12509,81.257
12510,82.589
12511,81.372
12512,80.513
12513,80.374
12514,83.938
12515,82.139
12516,83.571
12518,83.154
12519,81.479
12520,84.131
12521,82.196
12523,81.426
12525,85.764
12526,84.896
12527,83.406
12528,80.303
12529,86.114
12530,80.077
12531,80.749
12532,83.197
12533,82.936
12565,84.594
12656,83.564
12674,83.835
12687,79.495
12736,84.488
13078,80.9
13080,83.674
13146,83.591
13147,81.49
13148,83.696
13149,81.055
13150,82.955
13196,84.014
13382,81.53
13461,80.26
13475,83.223
13477,82.568
13537,84.344
13893,82.944
13897,79.02
14744,84.41
14862,81.951
14882,83.095
14890,84.644
14906,81.648
14907,82.001
14914,83.016
14916,80.771
14930,82.9
14932,78.32
14939,80.234
14947,79.857
15180,82.178
15240,81.166
15339,83.297
15419,81.874
15425,84.737
15426,83.114
15474,81.728
15519,82.922
15524,82.445
15589,82.682
15679,76.555
15743,79.802
16036,84.077
16039,81.383
16064,84.839
6018,78.879
6021,80.784
6026,80.651
9479,79.224
16980,77.771
17014,76.325
18230,75.878
18348,80.004
26715,80.022
26747,80.286
29788,77.663
29835,81.343
30606,79.028
30845,80.325
32072,80.062
46443,84.239
46506,78.162
50300,83.067
51419,79.537
53971,79.777
53972,79.292
53973,78.993
53974,78.131
53975,80.916
53976,76.608
53977,81.299
53978,76.714
53979,77.722
53981,77.863
54796,76.187
54797,79.634
54798,79.862
54799,80.025
54800,75.991
56453,81.044
56528,77.802
56542,76.077
56543,79.26
56544,76.858
56545,80.446
56618,78.553
56619,76.047
56629,80.106
56630,77.711
56631,80.719
56632,80.494
56633,82.498
56634,78.636
56635,79.669
56637,75.818
56638,79.491
56639,78.799
56641,78.219
56642,79.705
56643,82.734
56644,78.835
56645,79.056
56646,75.601
56647,79.642
56648,78.936
56649,76.943
56650,78.125
56651,78.235
56652,78.733
56653,80.449
56654,80.793
56656,78.793
56657,77.626
56661,80.191
56662,78.658
56725,79.386
56795,76.27
56796,76.543
56797,76.084
56798,79.594
56799,75.487
56800,79.886
56801,78.497
56802,77.043
56803,80.327
56804,77.121
56805,79.176
56807,81.091
56809,80.114
56859,76.789
56860,77.4
56861,76.742
56862,78.084
57384,83.066
57400,83.204
62042,81.847
63086,77.743
63087,81.742
83710,79.908
83711,78.907
86666,78.877
87779,82.379
