Unnamed: 0,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o DoorDash Score
1747,80.629
1784,79.101
2476,83.497
2515,82.071
2517,81.515
2529,83.276
2538,84.059
2551,82.541
2553,82.212
2554,84.053
2555,81.008
2556,81.301
2577,84.645
2582,82.879
2583,82.501
2584,82.724
2585,83.636
2586,82.85
2587,82.966
2588,83.158
2589,84.628
2590,83.165
2591,83.061
2592,84.899
2594,82.786
2595,82.523
2597,85.93
2645,83.107
2654,83.074
2655,83.378
2656,82.318
2657,79.015
2658,82.632
2659,83.102
2660,84.022
2741,81.77
2766,77.923
2793,83.799
2810,79.366
2824,82.523
3002,84.225
3021,84.131
3093,83.332
3105,83.461
3113,79.524
3118,81.962
3120,82.52
3122,81.723
3123,82.829
3133,84.415
3134,84.439
3135,84.619
3136,83.165
3137,82.835
3138,80.844
3139,82.452
3140,81.187
3141,83.599
3142,84.013
3143,83.02
3144,82.48
3145,79.365
3146,78.362
3147,81.073
3148,81.839
3149,82.919
3150,83.313
3153,81.432
3155,77.315
3156,82.743
3157,79.94
3158,82.056
3159,81.601
3160,80.773
3161,83.057
3162,80.194
3186,82.432
3225,84.287
3315,82.045
3321,82.028
3332,80.101
5877,81.094
5981,85.269
6043,83.774
6078,82.324
6081,84.322
6082,83.272
6090,79.911
6127,85.695
6211,79.811
6213,81.494
6214,83.537
6231,81.62
6232,82.56
6233,83.218
6239,82.343
6240,81.742
6254,82.06
6255,81.911
6342,80.446
7630,84.353
7654,81.749
8890,81.005
8916,78.592
9028,80.58
9066,77.686
9445,80.67
9542,78.418
9546,82.339
9547,83.531
9583,81.98
9587,81.24
12037,82.315
12116,80.49
12122,82.931
12124,82.251
12141,81.349
12143,80.095
12149,84.607
12161,81.688
12252,81.072
12408,80.146
12409,81.714
12410,82.415
12418,82.717
12422,83.205
12435,81.734
12436,82.233
12437,81.283
12447,83.346
12448,84.06
12449,83.855
12450,82.214
12451,82.117
12452,84.597
12453,82.049
12454,81.405
12455,83.707
12456,83.964
12457,81.031
12458,85.194
12459,82.474
12460,82.877
12461,79.416
12462,81.992
12463,78.44
12464,85.88
12465,80.339
12466,80.821
12467,83.82
12468,81.449
12469,77.064
12470,83.485
12471,84.105
12472,82.235
12473,80.975
12474,80.173
12475,81.589
12476,80.818
12477,83.051
12478,83.169
12479,81.304
12480,82.513
12481,80.125
12482,82.697
12483,79.992
12484,81.356
12485,82.445
12486,83.24
12487,81.667
12488,82.346
12489,77.546
12490,82.511
12491,82.798
12492,82.181
12493,82.848
12494,81.212
12495,84.518
12496,81.302
12497,84.328
12498,83.29
12499,80.806
12500,79.893
12501,81.281
12502,83.595
12503,81.025
12504,84.235
12505,76.069
12506,82.162
12507,80.664
12508,80.881
12509,81.257
12510,82.908
12511,81.372
12512,80.513
12513,80.262
12514,83.705
12515,82.314
12516,83.571
12518,83.154
12519,81.657
12520,84.131
12521,82.159
12523,81.985
12525,85.764
12526,85.508
12527,83.406
12528,80.295
12529,86.114
12530,80.077
12531,80.749
12532,83.077
12533,82.829
12565,84.594
12656,83.468
12674,83.522
12687,79.495
12736,84.512
13078,80.824
13080,83.683
13146,83.591
13147,81.49
13148,83.616
13149,81.055
13150,83.016
13196,84.014
13382,81.519
13461,79.735
13475,83.223
13477,82.568
13537,84.399
13893,82.794
13897,79.401
14744,84.097
14862,81.951
14882,82.62
14890,84.957
14906,81.66
14907,82.001
14914,83.016
14916,80.771
14930,82.859
14932,78.32
14939,80.459
14947,79.857
15180,82.529
15240,81.083
15339,83.489
15419,81.778
15425,84.828
15426,82.559
15474,81.71
15519,82.922
15524,82.593
15589,82.596
15679,76.555
15743,79.805
16036,84.558
16039,81.753
16064,84.839
6018,78.879
6021,80.784
6026,80.651
9479,79.224
16980,77.773
17014,76.601
18230,75.688
18348,79.679
26715,79.734
26747,80.286
29788,77.853
29835,82.064
30606,79.368
30845,80.325
32072,80.065
46443,84.108
46506,78.052
50300,82.572
51419,79.532
53971,79.981
53972,79.292
53973,79.4
53974,78.507
53975,80.916
53976,76.931
53977,81.299
53978,77.023
53979,77.69
53981,77.947
54796,75.961
54797,79.779
54798,79.862
54799,79.053
54800,75.991
56453,80.316
56528,77.797
56542,76.077
56543,79.769
56544,76.858
56545,80.995
56618,78.71
56619,76.047
56629,80.092
56630,77.538
56631,80.594
56632,80.494
56633,82.474
56634,78.502
56635,79.46
56637,75.818
56638,80.377
56639,78.799
56641,78.411
56642,79.643
56643,82.964
56644,78.835
56645,79.92
56646,75.784
56647,79.642
56648,78.936
56649,76.659
56650,78.125
56651,78.189
56652,78.331
56653,80.182
56654,81.211
56656,78.704
56657,77.726
56661,80.546
56662,78.658
56725,79.063
56795,76.27
56796,76.543
56797,75.509
56798,80.078
56799,75.951
56800,79.886
56801,78.112
56802,77.3
56803,80.806
56804,77.121
56805,79.219
56807,81.181
56809,79.929
56859,76.789
56860,77.338
56861,76.755
56862,78.076
57384,83.066
57400,83.204
62042,81.819
63086,77.659
63087,81.836
83710,79.882
83711,78.804
86666,80.829
87779,82.247
97622,78.249
98134,79.566
98135,78.596
98136,77.2
98137,74.368
98138,79.69
98171,75.363
98172,78.452
98173,79.529
98245,79.447
98250,81.401
98251,78.373
98252,78.591
98253,81.618
98254,79.002
98255,82.083
98256,77.991
98257,80.787
98258,80.033
98259,80.073
98260,83.422
98261,82.886
98262,79.49
98263,80.982
98264,83.483
98265,82.39
98266,84.969
98267,79.877
98268,78.321
98269,80.167
98270,80.744
98271,79.052
98272,79.32
98273,80.367
98274,80.394
98275,80.423
98276,78.699
98277,79.25
98278,78.682
98279,80.266
98280,80.882
98281,80.94
98282,81.248
98283,81.374
98284,78.318
98285,79.415
98286,82.326
98287,80.952
98288,79.158
98289,80.145
98290,78.545
98291,80.972
98292,77.982
98293,81.013
98294,78.893
98295,81.47
98296,75.806
98297,80.77
98298,82.119
98299,79.551
98300,80.065
98301,75.634
98302,81.279
98303,80.424
98304,80.387
98305,82.096
98306,78.261
98307,80.069
98308,78.011
98309,78.969
98310,83.283
98311,77.123
98312,77.865
98313,80.628
98314,84.136
98315,79.983
98316,83.974
98317,77.339
98318,78.869
98319,79.453
98320,76.698
98321,81.896
98322,78.279
98323,79.946
98324,80.64
98325,81.495
98326,79.663
98327,79.801
98328,79.576
98329,79.175
98330,81.304
98331,77.978
98332,78.881
98333,79.03
98334,80.455
98335,80.416
98336,80.246
98337,78.893
98338,78.803
98339,78.15
98340,79.16
98341,79.619
98342,81.626
98343,75.62
98344,81.455
98345,81.028
98346,77.088
98347,79.651
98348,79.07
98349,80.272
98350,80.02
98351,78.54
98352,78.889
98353,79.269
98354,78.286
98355,83.416
98356,78.828
98357,81.506
98358,82.255
98359,80.731
98360,78.758
98361,79.244
98362,79.12
98363,79.639
98364,76.979
98365,79.526
98366,78.91
98367,82.108
98368,78.357
98369,80.542
98370,79.676
98371,80.429
98372,80.954
98373,82.57
98374,81.651
98375,81.766
98376,81.431
98377,80.934
98378,81.488
98379,81.192
98380,81.461
98381,79.571
98382,79.927
98383,81.696
98384,82.175
98385,78.226
98386,79.489
98387,81.223
98388,82.171
98389,81.098
98390,81.696
98391,80.26
98392,79.113
98393,78.115
98394,76.367
98395,79.625
98396,79.896
98397,79.809
98398,80.89
98399,77.492
98400,81.329
98401,78.672
98402,83.508
