Unnamed: 0,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini DoorDash Score
1747,79.682
1784,79.841
2476,82.188
2515,82.898
2517,83.327
2529,83.363
2538,84.314
2551,81.774
2553,83.214
2554,82.354
2555,80.436
2556,81.156
2577,83.335
2582,80.953
2583,82.08
2584,84.028
2585,83.264
2586,82.545
2587,82.81
2588,80.833
2589,84.266
2590,83.533
2591,82.741
2592,85.357
2594,83.723
2595,81.785
2597,85.6
2645,82.766
2654,82.922
2655,82.961
2656,82.889
2657,80.406
2658,82.616
2659,80.635
2660,84.487
2741,80.116
2766,83.212
2793,83.907
2810,79.205
2824,82.967
3002,83.126
3021,82.988
3093,82.87
3105,83.62
3113,81.115
3118,83.638
3120,82.46
3122,81.541
3123,83.456
3133,84.098
3134,84.198
3135,84.853
3136,83.956
3137,83.303
3138,81.019
3139,81.592
3140,80.913
3141,84.224
3142,83.39
3143,81.817
3144,82.7
3145,80.692
3146,80.228
3147,81.09
3148,81.706
3149,83.049
3150,84.905
3153,81.416
3155,81.394
3156,80.546
3157,79.708
3158,83.283
3159,79.922
3160,80.808
3161,84.822
3162,83.26
3186,81.236
3225,82.772
3315,82.886
3321,82.588
3332,81.087
5877,79.785
5981,84.284
6043,84.153
6078,81.078
6081,82.718
6082,82.016
6090,81.551
6127,85.454
6211,82.867
6213,82.42
6214,83.032
6231,81.138
6232,82.95
6233,81.322
6239,79.821
6240,82.697
6254,82.571
6255,81.662
6342,79.878
7630,82.413
7654,82.061
8890,82.226
8916,79.349
9028,79.812
9066,80.19
9445,81.961
9542,82.149
9546,83.83
9547,83.596
9583,82.186
9587,79.31
12037,81.232
12116,78.706
12122,83.248
12124,81.951
12141,82.746
12143,81.523
12149,81.632
12161,80.895
12252,83.387
12408,80.208
12409,82.665
12410,83.774
12418,83.041
12422,82.776
12435,81.911
12436,82.43
12437,81.392
12447,82.813
12448,84.263
12449,83.842
12450,82.368
12451,82.544
12452,83.919
12453,81.76
12454,81.778
12455,84.627
12456,83.961
12457,82.001
12458,85.379
12459,79.873
12460,83.235
12461,81.896
12462,81.05
12463,80.825
12464,84.892
12465,80.715
12466,80.866
12467,84.219
12468,82.455
12469,78.037
12470,84.088
12471,83.668
12472,82.765
12473,83.657
12474,79.502
12475,82.269
12476,81.95
12477,86.284
12478,83.467
12479,81.998
12480,82.648
12481,82.196
