Unnamed: 0,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini DoorDash Score
1747,80.043
1784,80.026
2476,82.188
2515,82.898
2517,83.327
2529,83.078
2538,84.676
2551,81.774
2553,83.288
2554,82.637
2555,80.436
2556,81.721
2577,83.335
2582,80.953
2583,81.976
2584,84.028
2585,83.32
2586,82.545
2587,82.81
2588,80.708
2589,84.22
2590,84.522
2591,82.741
2592,85.35
2594,83.635
2595,81.871
2597,85.6
2645,82.766
2654,82.922
2655,82.961
2656,82.743
2657,80.406
2658,82.616
2659,83.213
2660,84.487
2741,80.116
2766,83.212
2793,83.907
2810,79.205
2824,82.967
3002,83.126
3021,82.988
3093,82.87
3105,83.62
3113,81.115
3118,83.638
3120,82.46
3122,83.353
3123,83.456
3133,84.098
3134,84.29
3135,84.004
3136,83.956
3137,83.303
3138,80.781
3139,81.592
3140,80.913
3141,84.224
3142,83.804
3143,81.817
3144,82.7
3145,80.355
3146,80.366
3147,81.09
3148,81.706
3149,83.049
3150,84.905
3153,81.416
3155,81.394
3156,80.81
3157,79.708
3158,83.67
3159,80.196
3160,80.808
3161,84.822
3162,83.26
3186,81.236
3225,82.332
3315,82.886
3321,82.588
3332,81.087
5877,80.427
5981,84.447
6043,84.153
6078,80.945
6081,82.718
6082,82.659
6090,81.551
6127,85.388
6211,82.867
6213,82.42
6214,83.39
6231,81.102
6232,83.284
6233,81.322
6239,79.821
6240,82.697
6254,82.591
6255,81.456
6342,79.878
7630,82.413
7654,82.061
8890,82.226
8916,79.349
9028,79.989
9066,80.19
9445,81.961
9542,82.149
9546,83.83
9547,83.611
9583,82.236
9587,79.31
12037,81.242
12116,78.706
12122,83.556
12124,81.951
12141,82.746
12143,81.523
12149,80.998
12161,80.918
12252,83.565
12408,80.208
12409,82.601
12410,83.452
12418,83.041
12422,82.737
12435,80.812
12436,82.43
12437,81.559
12447,82.813
12448,84.263
12449,83.842
12450,82.376
12451,82.635
12452,84.281
12453,81.76
12454,81.778
12455,84.627
12456,83.961
12457,81.985
12458,85.379
12459,79.689
