Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct DoorDash Score
6018,78.108
6021,82.024
6026,81.622
9479,81.247
16980,72.006
17014,73.758
18230,76.624
18348,80.021
26715,81.233
26747,82.233
29788,80.62
29835,78.0
30606,76.547
30845,81.969
32072,79.475
46443,83.189
46506,73.863
50300,83.32
51419,76.142
53971,75.052
53972,77.809
53973,79.457
53974,78.301
53975,78.082
53976,76.189
53977,81.707
53978,75.303
53979,77.763
53981,78.231
54796,79.229
54797,78.924
54798,80.058
54799,78.789
54800,74.629
56453,78.702
56528,76.19
56542,77.27
56543,75.629
56544,74.667
56545,80.096
56618,76.526
56619,73.738
56629,77.951
56630,75.328
56631,75.97
56632,80.337
56633,82.886
56634,78.52
56635,78.754
56637,75.984
56638,76.948
56639,73.601
56641,72.62
56642,78.47
56643,81.839
56644,74.628
56645,78.059
56646,77.137
56647,77.502
56648,81.047
56649,75.702
56650,80.393
56651,74.976
56652,78.51
56653,76.916
56654,80.144
56656,76.248
56657,73.746
56661,80.411
56662,77.454
56725,78.238
56795,75.882
56796,75.739
56797,74.383
56798,78.046
56799,74.564
56800,77.668
56801,76.829
56802,75.588
56803,82.41
56804,77.718
56805,81.002
56807,79.061
56809,78.582
56859,76.008
56860,77.295
56861,78.169
56862,78.041
57384,80.517
57400,83.698
62042,78.31
63086,74.995
63087,77.567
83710,80.735
83711,78.482
86666,80.135
87779,81.399
97622,75.787
98134,80.342
98135,75.998
98136,77.344
98137,76.872
98138,81.017
98171,75.65
98172,77.475
98173,80.263
98245,76.419
98250,81.692
98251,78.145
98252,76.378
98253,79.811
98254,79.557
98255,80.884
98256,78.847
98257,81.83
98258,79.33
98259,82.234
98260,77.493
98261,82.635
98262,80.042
98263,78.725
98264,81.262
98265,83.765
98266,82.377
98267,77.378
98268,81.185
98269,77.206
98270,80.551
98271,77.162
98272,79.108
98273,79.586
98274,78.589
98275,79.326
98276,77.117
98277,79.158
98278,80.042
98279,82.53
98280,80.517
98281,80.82
98282,79.759
98283,80.478
98284,74.716
98285,78.0
98286,81.111
98287,81.507
98288,74.721
98289,79.299
98290,78.486
98291,81.315
98292,80.371
98293,77.147
98294,79.314
98295,79.91
98296,77.726
98297,80.517
98298,82.004
98299,80.632
98300,79.603
98301,75.072
98302,78.712
98303,79.665
98304,79.273
98305,82.125
98306,76.897
98307,79.066
98308,73.78
98309,78.282
98310,79.575
98311,77.274
98312,77.618
98313,81.17
98314,83.747
98315,77.938
98316,84.751
98317,78.431
98318,77.752
98319,81.086
98320,78.722
98321,80.675
98322,77.216
98323,77.466
98324,76.097
98325,79.69
98326,78.596
98327,76.715
98328,80.977
98329,78.5
98330,78.988
98331,78.072
98332,79.35
98333,77.261
98334,81.482
98335,81.249
98336,76.902
98337,80.168
98338,79.686
98339,74.88
98340,76.376
98341,80.574
98342,82.127
98343,73.723
98344,80.105
98345,80.132
98346,76.442
98347,78.718
98348,79.507
98349,80.623
98350,80.63
