Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct DoorDash Score
6018,77.513
6021,80.443
6026,75.23
9479,81.16
16980,72.559
17014,71.196
18230,76.861
18348,78.734
26715,79.781
26747,82.168
29788,77.468
29835,78.047
30606,77.382
30845,78.915
32072,77.161
46443,83.598
46506,73.64
50300,82.091
51419,76.604
53971,75.737
53972,78.818
53973,77.164
53974,75.374
53975,79.44
53976,75.273
53977,82.205
53978,74.385
53979,77.363
53981,79.31
54796,79.302
54797,78.179
54798,78.356
54799,77.794
54800,74.909
56453,80.399
56528,78.895
56542,73.282
56543,76.125
56544,73.043
56545,78.901
56618,77.932
56619,72.925
56629,77.948
56630,75.394
56631,78.267
56632,78.931
56633,80.199
56634,76.232
56635,76.034
56637,76.59
56638,77.494
56639,73.881
56641,75.398
56642,77.957
56643,81.279
56644,74.546
56645,78.432
56646,76.123
56647,77.977
56648,77.195
56649,74.765
56650,79.874
56651,77.591
56652,79.624
56653,77.158
56654,79.333
56656,76.268
56657,70.218
56661,78.48
56662,77.848
56725,79.137
56795,76.141
56796,75.264
56797,75.962
56798,75.621
56799,74.459
56800,77.509
56801,75.309
56802,74.457
56803,81.313
56804,78.398
56805,79.205
56807,80.05
56809,77.882
56859,79.105
56860,77.333
56861,77.812
56862,79.44
57384,80.644
57400,83.074
62042,76.876
63086,74.714
63087,79.609
83710,79.399
83711,77.232
86666,77.434
87779,73.574
97622,75.61
98134,80.758
98135,76.692
98136,76.579
98137,74.866
98138,81.399
98171,78.338
98172,77.083
98173,80.097
98245,76.867
98250,81.514
98251,76.979
98252,75.53
98253,80.043
98254,78.462
98255,80.289
98256,79.651
98257,81.991
98258,77.907
98259,79.934
98260,78.036
98261,82.831
98262,79.747
98263,76.86
98264,81.007
98265,83.811
98266,82.2
98267,77.851
98268,80.324
98269,76.818
98270,78.644
98271,76.862
98272,79.253
98273,78.141
98274,78.267
98275,80.082
98276,76.39
98277,76.334
98278,77.762
98279,81.114
98280,80.218
98281,79.058
98282,78.502
98283,80.519
98284,75.088
98285,77.093
98286,80.877
98287,80.348
98288,74.03
98289,76.625
98290,79.941
98291,80.437
98292,80.471
