Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct DoorDash Score
6018,77.658
6021,80.427
6026,76.66
9479,81.143
16980,74.02
17014,71.93
18230,76.861
18348,79.281
26715,79.749
26747,81.471
29788,76.694
29835,78.066
30606,76.77
30845,79.641
32072,77.305
46443,84.51
46506,73.883
50300,82.291
51419,76.746
53971,74.855
53972,77.7
53973,76.251
53974,75.545
53975,76.893
53976,75.997
53977,82.341
53978,75.755
53979,76.498
53981,75.509
54796,75.854
54797,77.505
54798,78.159
54799,75.316
54800,72.928
56453,79.585
56528,71.895
56542,73.172
56543,76.346
56544,73.159
56545,78.172
56618,74.723
56619,73.446
56629,78.124
56630,75.378
56631,76.862
56632,78.593
56633,79.058
56634,76.183
56635,76.64
56637,76.59
56638,78.676
56639,76.738
56641,77.069
56642,77.203
56643,81.505
56644,77.26
56645,78.17
56646,75.89
56647,78.735
56648,77.663
56649,75.18
56650,80.059
56651,77.638
56652,80.187
56653,77.2
56654,79.735
56656,78.979
56657,75.679
56661,79.703
56662,78.441
56725,79.501
56795,77.618
56796,75.264
56797,74.006
56798,75.712
56799,74.511
56800,77.394
56801,74.863
56802,74.167
56803,80.545
56804,77.918
56805,79.536
56807,80.045
56809,77.582
56859,77.192
56860,80.385
56861,76.362
56862,80.184
57384,78.713
57400,84.34
62042,76.787
63086,74.547
63087,77.029
83710,79.57
83711,77.332
86666,78.315
87779,81.019
97622,75.665
98134,80.7
98135,78.117
98136,77.533
98137,75.238
98138,80.403
98171,78.97
98172,75.232
98173,79.706
98245,76.56
98250,79.609
98251,77.915
98252,75.995
98253,80.314
98254,79.498
98255,80.456
98256,79.67
98257,82.087
98258,70.255
98259,79.394
98260,78.639
98261,82.374
98262,79.9
98263,80.208
98264,81.184
98265,83.612
98266,83.078
98267,78.366
98268,80.31
98269,78.097
98270,78.749
98271,77.59
98272,78.86
98273,77.846
98274,78.857
98275,80.695
98276,77.724
98277,75.677
98278,78.115
98279,81.44
98280,79.8
98281,79.382
