,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5 DoorDash Score
6018,77.699
6021,78.292
6026,79.893
9479,79.736
16980,79.2
17014,76.381
18230,77.594
18348,79.441
26715,81.361
26747,84.604
29788,77.218
29835,80.913
30606,78.986
30845,80.881
32072,80.645
46443,83.261
46506,78.918
50300,81.83
51419,79.2
53971,77.784
53972,78.107
53973,77.0
53974,76.123
53975,78.697
53976,76.016
53977,82.285
53978,77.555
53979,77.849
53981,77.127
54796,78.23
54797,78.355
54798,79.481
54799,77.859
54800,74.866
56453,79.833
56528,78.517
56542,76.246
56543,74.772
56544,75.795
56545,79.31
56618,80.146
56619,75.151
56629,79.373
56630,76.858
56631,82.137
56632,77.553
56633,80.023
56634,76.911
56635,78.101
56637,76.631
56638,77.925
56639,75.438
56641,77.118
56642,78.617
56643,83.322
56644,79.114
56645,77.546
56646,76.859
56647,78.625
56648,79.063
56649,76.166
56650,78.205
56651,79.27
56652,78.674
56653,78.784
56654,79.736
56656,76.607
56657,77.681
56661,80.082
56662,79.558
56725,76.655
56795,76.496
56796,75.685
56797,77.781
56798,79.803
56799,76.478
56800,78.024
56801,77.636
56802,76.69
56803,82.69
56804,79.086
56805,79.682
56807,82.31
56809,79.642
56859,76.344
56860,78.328
56861,76.672
56862,80.601
57384,82.102
57400,83.311
62042,80.088
63086,76.799
63087,83.115
83710,78.549
83711,77.918
86666,80.363
87779,81.106
97622,78.111
98134,81.107
98135,78.961
98136,79.979
98137,76.487
98138,76.95
98171,77.832
98172,76.572
98173,79.571
98245,77.474
98250,82.177
98251,78.08
98252,79.11
98253,79.505
98254,78.041
98255,81.494
98256,78.351
98257,80.54
98258,80.862
98259,81.837
98260,79.069
98261,81.192
98262,79.898
98263,78.267
98264,80.205
98265,81.382
98266,82.167
98267,78.516
98268,76.965
98269,77.314
98270,78.548
98271,78.674
98272,79.491
98273,79.503
98274,79.117
98275,79.29
98276,77.843
98277,78.682
98278,78.617
98279,81.018
98280,80.42
98281,81.043
98282,78.439
98283,79.653
98284,76.539
98285,77.714
98286,79.628
98287,80.021
98288,76.057
98289,77.462
98290,77.932
98291,80.267
98292,80.042
98293,78.716
98294,79.988
98295,77.942
98296,76.387
98297,80.749
98298,79.669
98299,79.095
98300,76.103
98301,75.402
98302,79.978
98303,79.138
98304,79.224
98305,83.048
98306,78.785
98307,78.75
98308,77.706
98309,79.576
98310,82.511
98311,78.964
98312,79.381
98313,79.181
98314,82.452
98315,79.415
98316,83.665
98317,79.078
98318,79.651
98319,77.818
98320,78.26
98321,81.228
98322,77.63
98323,79.224
98324,78.514
98325,79.726
98326,77.654
98327,77.34
98328,78.752
98329,80.606
98330,78.436
98331,79.046
98332,77.447
98333,77.611
98334,81.457
98335,79.864
98336,78.057
98337,76.802
98338,81.324
98339,74.112
98340,79.693
98341,79.961
98342,81.068
98343,74.713
98344,80.712
98345,80.769
98346,78.106
98347,79.836
98348,77.609
98349,79.647
98350,80.276
98351,78.382
98352,78.279
98353,76.097
98354,77.988
98355,79.264
98356,79.832
98357,82.038
98358,79.427
98359,78.177
98360,77.456
98361,79.123
98362,78.673
98363,75.784
98364,75.235
98365,76.441
98366,77.969
98367,79.555
98368,77.911
98369,77.438
98370,81.832
98371,80.383
98372,80.378
98373,84.747
98374,79.711
98375,78.863
98376,79.134
98377,78.513
98378,78.861
98379,80.037
98380,80.336
98381,75.162
98382,79.034
98383,78.06
98384,81.53
98385,77.805
98386,79.738
98387,79.723
98388,80.102
98389,80.012
98390,81.414
98391,79.256
98392,77.17
98393,77.801
98394,77.031
98395,78.152
98396,76.767
98397,79.244
98398,78.797
98399,77.638
98400,77.053
98401,79.316
98402,83.884
1747,81.158
1784,79.523
2476,82.714
2515,81.15
2517,81.849
2529,81.778
2538,82.628
2551,82.692
2553,82.151
2554,82.264
2555,81.202
2556,81.402
2577,84.409
2582,81.597
2583,82.508
2584,83.813
2585,81.968
2586,81.979
2587,82.126
2588,81.335
2589,83.86
2590,84.473
2591,82.827
2592,85.804
2594,84.731
2595,82.089
2597,86.977
2645,82.731
2654,83.591
2655,83.173
2656,83.307
2657,78.455
2658,82.425
2659,81.664
2660,83.57
2741,79.197
2766,79.703
2793,83.086
2810,79.307
2824,83.217
3002,84.368
3021,83.405
3093,83.292
3105,84.593
3113,77.161
3118,83.956
3120,82.06
3122,80.918
3123,81.2
3133,83.562
3134,82.757
3135,85.713
3136,82.595
3137,82.935
3138,83.122
3139,82.772
3140,81.247
3141,77.567
3142,83.604
3143,81.875
3144,80.486
3145,80.017
3146,79.247
3147,82.695
3148,81.33
3149,81.549
3150,83.212
3153,81.019
3155,79.401
3156,79.207
3157,79.129
3158,81.323
3159,81.633
3160,81.603
3161,86.068
3162,82.978
3186,81.714
3225,82.848
3315,79.92
3321,82.274
3332,79.545
5877,79.31
5981,83.718
6043,82.936
6078,81.55
6081,84.301
6082,82.581
6090,83.34
6127,85.154
6211,81.02
6213,83.036
6214,82.294
6231,80.712
6232,83.332
6233,81.741
6239,80.382
6240,81.909
6254,82.382
6255,81.382
6342,80.74
7630,82.441
7654,80.097
8890,82.367
8916,77.616
9028,78.687
9066,80.296
9445,82.077
9542,82.423
9546,83.585
9547,80.743
9583,82.704
9587,78.293
12037,82.311
12116,79.94
12122,82.942
12124,83.172
12141,81.43
12143,80.626
12149,82.56
12161,75.797
12252,81.524
12408,78.928
12409,82.847
12410,82.156
12418,85.032
12422,81.648
12435,82.035
12436,80.701
12437,78.188
12447,84.142
12448,84.76
12449,83.061
12450,81.749
12451,82.307
12452,81.237
12453,82.114
12454,81.875
12455,86.159
12456,84.873
12457,82.297
12458,84.636
12459,81.462
12460,81.672
12461,76.591
12462,80.17
12463,76.852
12464,85.05
12465,83.445
12466,80.651
12467,83.656
12468,82.014
12469,77.239
12470,84.51
12471,85.225
12472,83.721
12473,82.847
12474,78.394
12475,82.253
12476,80.992
12477,86.382
12478,83.855
12479,81.139
12480,82.597
12481,83.35
12482,82.5
12483,82.007
12484,78.205
12485,82.278
12486,84.483
12487,84.254
12488,81.999
12489,80.136
12490,80.719
12491,82.379
12492,83.486
12493,80.553
12494,80.609
12495,83.382
12496,82.268
12497,85.439
12498,84.625
12499,81.882
12500,80.191
12501,77.036
12502,82.119
12503,77.18
12504,82.877
12505,77.576
12506,82.954
12507,79.447
12508,82.015
12509,81.588
12510,80.992
12511,81.706
12512,81.175
12513,79.717
12514,85.457
12515,83.197
12516,84.171
12518,81.832
12519,81.524
12520,84.335
12521,82.998
12523,83.981
12525,86.225
12526,83.382
12527,83.487
12528,80.349
12529,84.265
12530,80.528
12531,79.815
12532,81.209
12533,82.301
12565,84.671
12656,82.463
12674,82.248
12687,78.56
12736,82.575
13078,82.584
13080,83.063
13146,80.493
13147,81.626
13148,84.688
13149,81.133
13150,81.952
13196,85.666
13382,82.202
13461,80.81
13475,84.492
13477,80.376
13537,83.753
13893,81.988
13897,80.924
14744,83.823
14862,81.555
14882,84.765
14890,83.062
14906,81.141
14907,81.645
14914,82.526
14916,81.482
14930,83.757
14932,78.808
14939,79.713
14947,82.142
15180,81.217
15240,80.751
15339,79.842
15419,80.682
15425,84.918
15426,81.905
15474,85.414
15519,80.012
15524,82.798
15589,80.244
15679,76.878
15743,78.417
16036,84.343
16039,81.553
16064,84.398
