Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free UIUX Score
6018,85.847
6021,81.002
6026,85.777
9479,84.832
16980,76.473
17014,76.347
18230,81.908
18348,85.812
26715,85.184
26747,87.695
29788,84.745
29835,82.919
30606,82.035
30845,86.845
32072,85.403
46443,86.088
46506,79.551
50300,82.992
51419,85.459
53971,84.998
53972,82.551
53973,86.019
53974,85.712
53975,87.516
53976,82.419
53977,83.43
53978,84.61
53979,86.777
53981,86.835
54796,82.8
54797,86.747
54798,83.443
54799,84.715
54800,80.654
56453,83.855
56528,80.21
56542,83.209
56543,82.706
56544,85.888
56545,77.622
56618,86.31
56619,83.443
56629,87.981
56630,84.582
56631,84.25
56632,87.475
56633,83.455
56634,83.599
56635,85.891
56637,84.794
56638,87.182
56639,85.615
56641,83.295
56642,82.578
56643,82.663
56644,76.034
56645,85.845
56646,80.599
56647,86.052
56648,78.012
56649,82.766
56650,83.836
56651,85.523
56652,85.043
56653,79.744
56654,85.96
56656,81.563
56657,86.673
56661,86.105
56662,86.031
56725,81.717
56795,81.446
56796,86.338
56797,84.932
56798,80.328
56799,81.587
56800,83.021
56801,83.5
56802,80.311
56803,88.2
56804,87.84
56805,83.122
56807,86.874
56809,84.037
56859,83.042
56860,85.949
56861,85.015
56862,86.094
57384,86.637
57400,88.662
62042,82.539
63086,83.642
63087,82.474
83710,85.983
83711,75.048
86666,87.141
87779,77.589
97622,86.637
98134,84.805
98135,86.115
98136,84.601
98137,86.513
98138,82.977
98171,87.121
98172,83.052
98173,81.795
98245,85.163
98250,81.356
98251,81.855
98252,72.541
98253,79.596
98254,86.764
98255,85.125
98256,82.326
98257,82.92
98258,81.834
98259,80.402
98260,83.563
98261,82.535
98262,83.014
98263,83.769
98264,81.399
98265,81.612
98266,83.424
98267,76.915
98268,80.805
98269,83.908
98270,83.409
98271,84.604
98272,89.169
98273,86.175
98274,87.002
98275,84.98
98276,84.985
98277,85.335
98278,86.76
98279,85.533
98280,83.78
98281,86.751
98282,83.937
98283,86.377
98284,84.879
98285,84.091
98286,83.751
98287,86.499
98288,80.777
98289,85.725
98290,80.601
98291,87.338
98292,89.533
98293,86.329
98294,81.972
98295,85.899
98296,83.454
98297,85.554
98298,85.519
98299,83.917
98300,87.386
98301,83.209
98302,85.27
98303,85.172
98304,86.158
98305,86.396
98306,87.255
98307,87.312
98308,85.987
98309,83.082
98310,80.782
98311,85.708
98312,86.162
98313,88.177
98314,87.431
98315,84.678
98316,87.622
98317,83.687
98318,86.35
98319,86.324
98320,88.676
98321,83.293
98322,87.496
98323,87.68
98324,87.027
98325,86.14
98326,83.756
98327,82.041
98328,84.749
98329,82.292
98330,84.806
98331,79.049
98332,83.649
98333,81.138
98334,80.314
98335,83.756
98336,80.199
98337,85.387
98338,79.578
98339,84.851
98340,86.779
98341,86.106
98342,83.487
98343,85.897
98344,87.44
98345,85.204
98346,83.374
98347,80.593
98348,79.316
98349,87.176
98350,87.206
98351,85.683
98352,84.528
98353,82.44
98354,76.456
98355,83.594
98356,81.851
98357,77.89
98358,84.311
98359,79.145
98360,78.861
98361,86.615
98362,81.576
98363,82.952
98364,81.926
98365,87.14
98366,79.766
98367,83.819
98368,80.792
98369,89.891
98370,88.636
98371,87.655
98372,86.462
98373,82.601
98374,88.107
98375,83.903
98376,84.405
98377,85.191
98378,83.28
98379,87.408
98380,87.258
98381,83.121
98382,88.093
98383,84.299
98384,81.196
98385,84.804
98386,80.17
98387,81.664
98388,86.566
98389,83.953
98390,86.543
98391,85.46
98392,86.069
98393,85.54
98394,84.589
98395,88.843
98396,80.419
98397,83.315
98398,85.911
98399,81.3
98400,80.636
98401,82.999
98402,86.582
1747,81.934
1784,80.964
2476,80.749
2515,78.851
2517,77.634
2529,79.161
2538,78.65
2551,82.539
2553,78.39
2554,85.601
2555,79.99
2556,78.0
2577,79.188
2582,79.179
2583,77.941
2584,80.688
2585,78.221
2586,79.252
2587,77.489
2588,77.918
2589,80.712
2590,77.689
2591,80.331
2592,81.175
2594,79.176
2595,78.439
2597,80.293
2645,80.422
2654,78.702
2655,80.221
2656,80.4
2657,83.052
2658,75.806
2659,80.117
2660,78.751
2741,76.839
2766,79.935
2793,82.339
2810,76.477
2824,79.161
3002,77.837
3021,79.651
3093,79.663
3105,78.35
3113,78.887
3118,84.806
3120,79.166
3122,76.47
3123,79.578
3133,80.649
3134,78.689
3135,81.02
3136,81.155
3137,78.799
3138,78.378
3139,79.315
3140,78.734
3141,80.673
3142,80.558
3143,79.551
3144,79.602
3145,76.997
3146,77.04
3147,80.768
3148,81.179
3149,79.104
3150,81.82
3153,79.094
3155,75.345
3156,79.969
3157,80.033
3158,81.395
3159,77.848
3160,81.17
3161,79.275
3162,79.39
3186,81.355
3225,78.763
3315,78.236
3321,75.624
3332,76.162
5877,80.177
5981,80.552
6043,79.585
6078,80.373
6081,83.072
6082,83.7
6090,77.89
6127,82.673
6211,78.955
6213,82.116
6214,79.975
6231,77.726
6232,81.689
6233,78.185
6239,78.233
6240,78.954
6254,79.723
6255,78.874
6342,75.013
7630,81.231
7654,80.47
8890,82.784
8916,77.916
9028,79.364
9066,77.563
9445,79.533
9542,80.197
9546,78.995
9547,77.105
9583,78.438
9587,76.261
12037,82.644
12116,76.472
12122,79.121
12124,80.09
12141,79.392
12143,80.277
12149,80.756
12161,79.319
12252,82.288
12408,77.655
12409,78.622
12410,80.803
12418,79.948
12422,77.713
12435,76.625
12436,77.885
12437,78.214
12447,81.004
12448,81.695
12449,79.513
12450,79.598
12451,76.122
12452,74.371
12453,79.669
12454,81.312
12455,79.736
12456,79.041
12457,80.973
12458,80.309
12459,76.473
12460,79.034
12461,80.506
12462,80.381
12463,81.144
12464,81.672
12465,78.509
12466,79.689
12467,80.333
12468,77.638
12469,74.875
12470,82.023
12471,81.112
12472,80.955
12473,79.683
12474,78.896
12475,78.396
12476,80.795
12477,84.056
12478,80.978
12479,80.5
12480,79.587
12481,82.419
12482,82.154
12483,78.997
12484,78.749
12485,78.522
12486,78.691
12487,80.873
12488,81.316
12489,75.35
12490,78.121
12491,79.629
12492,78.489
12493,74.849
12494,79.635
12495,83.611
12496,78.348
12497,82.382
12498,81.384
12499,76.599
12500,76.818
12501,73.37
12502,78.906
12503,78.408
12504,78.066
12505,79.454
12506,80.512
12507,79.087
12508,76.38
12509,81.877
12510,80.997
12511,79.148
12512,80.143
12513,77.23
12514,81.797
12515,78.073
12516,79.676
12518,80.536
12519,78.842
12520,80.494
12521,79.801
12523,81.433
12525,84.193
12526,79.127
12527,80.958
12528,79.979
12529,79.695
12530,76.429
12531,75.301
12532,77.916
12533,79.338
12565,83.813
12656,78.879
12674,81.506
12687,83.867
12736,82.255
13078,76.484
13080,81.327
13146,80.241
13147,78.884
13148,78.804
13149,80.222
