Unnamed: 0,resume UIUX Score
1747,81.074
1784,81.528
2476,81.63
2515,77.629
2517,75.679
2529,79.02
2538,78.58
2551,81.233
2553,76.937
2554,85.506
2555,80.068
2556,76.015
2577,78.27
2582,79.983
2583,77.33
2584,79.056
2585,78.581
2586,78.483
2587,76.723
2588,80.498
2589,82.238
2590,78.624
2591,80.396
2592,80.348
2594,80.267
2595,79.809
2597,81.064
2645,80.975
2654,78.027
2655,82.107
2656,81.991
2657,82.343
2658,76.605
2659,80.147
2660,78.465
2741,76.12
2766,79.06
2793,81.938
2810,75.744
2824,79.724
3002,73.845
3021,78.372
3093,79.407
3105,77.727
3113,77.822
3118,82.142
3120,75.728
3122,78.794
3123,78.464
3133,80.491
3134,79.688
3135,80.379
3136,78.942
3137,80.629
3138,78.61
3139,78.194
3140,78.839
3141,79.575
3142,79.509
3143,79.781
3144,74.758
3145,78.151
3146,75.4
3147,79.055
3148,80.919
3149,79.202
3150,79.382
3153,77.496
3155,72.477
3156,77.704
3157,81.213
3158,80.855
3159,75.497
3160,81.575
3161,80.167
3162,78.688
3186,80.252
3225,77.014
3315,75.209
3321,77.844
3332,75.78
5877,78.733
5981,80.363
6043,79.295
6078,79.611
6081,81.642
6082,80.805
6090,77.834
6127,81.424
6211,80.203
6213,81.409
6214,79.562
6231,77.132
6232,79.93
6233,76.5
6239,77.199
6240,79.191
6254,81.494
6255,78.563
6342,75.051
7630,80.692
7654,79.431
8890,74.311
8916,76.781
9028,80.647
9066,75.594
9445,80.759
9542,77.849
9546,79.661
9547,78.438
9583,76.9
9587,77.048
12037,81.076
12116,76.391
12122,78.341
12124,79.18
12141,78.079
12143,79.674
12149,81.499
12161,78.86
12252,83.181
12408,76.643
12409,79.018
12410,80.869
12418,80.894
12422,78.027
12435,76.513
12436,75.188
12437,74.666
12447,79.584
12448,81.883
12449,78.945
12450,78.3
12451,75.854
12452,77.259
12453,80.76
12454,80.319
12455,80.943
12456,78.638
12457,82.379
12458,81.438
12459,75.972
12460,80.977
12461,77.812
12462,79.613
12463,79.776
12464,81.306
12465,78.186
12466,78.228
12467,82.424
12468,78.471
12469,75.032
12470,81.119
12471,81.386
12472,79.787
12473,80.705
12474,79.98
12475,80.412
12476,80.65
12477,83.012
12478,79.038
12479,77.026
12480,79.673
12481,81.276
12482,81.462
12483,81.473
12484,77.769
12485,79.154
12486,79.819
12487,82.157
