Unnamed: 0,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat UIUX Score
6018,87.679
6021,81.106
6026,88.173
9479,85.125
16980,76.866
17014,79.437
18230,85.79
18348,85.614
26715,86.401
26747,88.747
29788,85.602
29835,84.151
30606,84.414
30845,87.735
32072,87.65
46443,86.524
46506,81.824
50300,83.837
51419,88.509
53971,85.624
53972,82.126
53973,87.233
53974,85.535
53975,87.552
53976,80.429
53977,83.156
53978,86.013
53979,85.739
53981,85.42
54796,82.997
54797,87.466
54798,83.736
54799,84.977
54800,79.461
56453,85.781
56528,80.701
56542,83.162
56543,83.206
56544,84.536
56545,78.447
56618,86.69
56619,82.405
56629,87.981
56630,84.933
56631,83.121
56632,89.5
56633,87.218
56634,82.47
56635,87.633
56637,83.327
56638,87.086
56639,85.74
56641,82.06
56642,84.393
56643,84.269
56644,82.015
56645,88.178
56646,80.404
56647,82.997
56648,79.322
56649,83.853
56650,83.691
56651,86.227
56652,83.711
56653,80.17
56654,83.622
56656,83.684
56657,85.405
56661,86.037
56662,85.892
56725,85.15
56795,82.485
56796,84.492
56797,86.279
56798,84.156
56799,79.181
56800,81.364
56801,84.839
56802,82.546
56803,89.752
56804,89.095
56805,81.509
56807,84.422
56809,85.234
56859,82.89
56860,84.98
56861,85.3
56862,85.983
57384,87.343
57400,88.224
62042,82.764
63086,83.909
63087,83.308
83710,86.358
83711,79.255
86666,86.983
87779,77.134
97622,88.111
98134,86.57
98135,87.457
98136,84.452
98137,86.234
98138,87.223
98171,86.824
98172,83.475
98173,82.349
98245,87.189
98250,80.554
98251,84.679
98252,73.8
98253,79.214
98254,87.678
98255,85.752
98256,82.877
98257,86.845
98258,82.637
98259,81.9
98260,83.695
98261,86.629
98262,84.283
98263,82.157
98264,82.4
98265,81.638
98266,82.938
98267,77.964
98268,82.819
98269,87.375
98270,82.738
98271,84.407
98272,90.93
98273,85.738
98274,87.411
98275,86.357
98276,85.335
98277,86.351
98278,86.289
98279,88.955
98280,85.758
98281,86.952
98282,85.026
98283,88.087
98284,85.292
98285,83.434
98286,84.531
98287,88.585
98288,83.131
98289,81.137
98290,83.196
98291,86.666
98292,87.538
98293,86.008
98294,82.666
98295,85.852
98296,85.936
98297,84.741
98298,87.2
98299,86.628
98300,89.742
98301,83.319
98302,85.509
98303,85.467
98304,86.663
98305,88.208
98306,87.315
98307,85.982
98308,85.336
98309,82.467
98310,83.574
98311,85.483
98312,89.158
98313,88.696
98314,88.952
98315,87.52
98316,87.014
98317,84.687
98318,87.366
98319,85.528
98320,88.852
98321,87.985
98322,87.615
98323,88.284
98324,86.738
98325,89.868
98326,84.34
98327,83.667
98328,85.874
98329,84.082
98330,85.216
98331,79.989
98332,82.946
98333,84.281
98334,81.318
98335,82.576
98336,80.787
98337,84.616
98338,82.756
98339,86.616
98340,88.156
98341,86.715
98342,86.782
98343,85.904
98344,87.16
98345,82.921
98346,84.701
98347,83.966
98348,82.781
98349,89.177
98350,89.169
98351,87.101
98352,84.389
98353,85.026
98354,80.857
98355,82.545
98356,81.566
98357,79.241
98358,88.372
98359,83.633
98360,75.415
98361,88.409
98362,84.596
98363,81.916
98364,83.605
98365,83.523
98366,76.997
98367,83.695
98368,84.487
98369,90.761
98370,88.894
98371,88.103
98372,87.946
98373,83.29
98374,85.521
98375,86.787
98376,82.503
98377,84.943
98378,87.818
98379,88.638
98380,86.046
98381,81.902
98382,88.348
98383,83.948
98384,82.243
98385,84.604
98386,79.517
98387,88.471
98388,83.348
98389,85.528
98390,85.824
98391,83.812
98392,84.404
98393,84.5
98394,87.392
98395,89.723
98396,86.639
98397,84.411
98398,85.416
98399,82.776
98400,77.961
98401,83.249
98402,85.327
1747,81.176
1784,81.509
2476,81.057
2515,81.19
2517,75.263
2529,81.221
2538,78.629
2551,82.921
2553,77.672
2554,85.619
2555,80.545
2556,81.079
2577,79.703
2582,80.751
2583,77.386
2584,80.794
2585,80.126
2586,80.835
2587,80.314
2588,79.14
2589,81.668
2590,80.583
2591,83.287
2592,80.515
2594,80.263
2595,81.006
2597,82.306
2645,80.049
2654,77.962
2655,81.907
2656,81.099
2657,84.636
2658,76.247
2659,81.047
2660,79.118
2741,77.24
2766,80.666
2793,81.645
2810,76.199
2824,80.945
3002,78.83
3021,79.843
3093,82.134
3105,78.43
3113,79.947
3118,83.85
3120,79.929
3122,79.776
3123,79.967
3133,82.242
3134,79.569
3135,80.642
3136,83.186
3137,80.573
3138,77.707
3139,80.062
3140,79.656
3141,82.434
3142,82.537
3143,77.563
3144,79.899
3145,78.381
3146,78.2
3147,80.155
3148,81.071
3149,80.673
3150,80.891
3153,79.469
3155,78.637
3156,80.284
3157,80.818
3158,81.682
3159,77.251
3160,81.045
3161,82.728
3162,78.519
3186,80.326
3225,79.207
3315,79.985
3321,79.531
3332,80.43
5877,78.792
5981,80.565
6043,79.261
6078,81.752
6081,82.257
6082,81.737
6090,78.333
6127,82.113
6211,79.986
6213,81.401
6214,81.006
6231,78.611
6232,81.493
6233,77.299
6239,78.077
6240,79.712
6254,83.324
6255,78.379
6342,75.327
7630,81.281
7654,78.504
8890,83.51
8916,79.109
9028,80.273
9066,75.466
9445,80.832
9542,81.126
9546,79.069
9547,77.94
9583,77.686
9587,78.709
12037,83.238
12116,79.712
12122,81.132
12124,80.922
12141,79.085
12143,80.466
12149,80.723
12161,80.036
12252,82.56
12408,78.315
12409,79.797
12410,81.792
12418,81.617
12422,78.134
12435,78.362
12436,75.237
12437,80.493
12447,82.4
12448,81.285
12449,80.37
12450,79.823
12451,75.668
12452,79.933
12453,81.936
12454,80.618
12455,80.52
12456,79.579
12457,81.817
12458,83.238
12459,77.877
12460,82.732
12461,84.156
12462,80.637
12463,81.383
12464,80.71
12465,80.168
12466,80.224
12467,81.206
12468,80.139
12469,78.983
12470,85.126
12471,80.708
12472,83.607
12473,79.27
12474,79.681
12475,80.04
12476,79.961
12477,83.242
12478,84.431
12479,82.438
12480,79.958
12481,83.002
12482,83.796
12483,79.893
12484,82.627
12485,80.637
12486,78.724
12487,81.243
12488,81.319
12489,75.752
12490,79.795
12491,80.802
12492,81.032
12493,75.895
12494,80.659
12495,83.911
12496,78.296
12497,81.988
12498,84.031
12499,80.676
12500,79.401
12501,77.913
12502,81.118
12503,78.672
12504,81.111
12505,80.156
12506,78.278
12507,81.088
12508,79.242
12509,80.685
12510,81.946
12511,78.502
12512,80.844
12513,78.776
12514,82.588
12515,80.876
12516,79.752
12518,82.603
12519,78.186
12520,81.073
12521,80.516
12523,82.541
12525,86.751
12526,81.689
12527,82.435
12528,80.553
12529,80.166
12530,76.937
12531,75.359
12532,78.687
12533,79.796
12565,82.291
12656,81.237
12674,82.322
12687,83.364
12736,82.11
13078,77.458
13080,81.829
13146,78.81
13147,78.447
13148,79.71
13149,81.219
13150,83.028
13196,79.438
13382,80.61
13461,76.211
13475,81.654
13477,79.319
13537,77.743
13893,80.095
13897,81.264
14744,75.746
14862,81.987
14882,81.209
14890,80.73
14906,77.076
14907,80.336
14914,78.299
14916,77.98
14930,82.695
14932,78.011
14939,79.121
14947,78.539
15180,79.275
15240,80.567
15339,82.291
15419,78.691
15425,79.859
15426,81.9
15474,82.361
15519,82.04
15524,82.479
15589,78.387
15679,78.973
15743,77.578
16036,80.142
16039,79.6
16064,83.51
