Unnamed: 0,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat UIUX Score
6018,86.18
6021,81.597
6026,87.2
9479,85.154
16980,76.866
17014,79.986
18230,86.544
18348,85.632
26715,86.401
26747,87.868
29788,85.435
29835,84.543
30606,82.005
30845,87.735
32072,87.65
46443,88.145
46506,82.083
50300,84.15
51419,88.861
53971,85.038
53972,83.309
53973,87.065
53974,85.535
53975,87.515
53976,82.152
53977,83.422
53978,86.013
53979,86.961
53981,86.827
54796,83.147
54797,87.452
54798,83.736
54799,85.086
54800,79.461
56453,86.145
56528,82.604
56542,83.329
56543,83.887
56544,84.05
56545,82.467
56618,86.727
56619,82.318
56629,87.981
56630,85.287
56631,83.827
56632,87.952
56633,87.218
56634,81.664
56635,87.633
56637,83.059
56638,87.086
56639,85.74
56641,82.166
56642,84.317
56643,84.604
56644,82.533
56645,88.277
56646,80.194
56647,82.997
56648,79.766
56649,82.489
56650,83.945
56651,86.227
56652,83.711
56653,80.542
56654,83.765
56656,83.16
56657,85.806
56661,86.106
56662,86.463
56725,85.15
56795,83.899
56796,86.073
56797,86.746
56798,84.156
56799,79.181
56800,81.364
56801,84.839
56802,81.959
56803,89.752
56804,89.095
56805,81.509
56807,85.522
56809,85.234
56859,82.89
56860,87.056
56861,85.933
56862,85.169
57384,87.444
57400,88.086
62042,82.764
63086,82.952
63087,81.719
83710,86.358
83711,79.104
86666,87.538
87779,77.134
97622,88.764
98134,86.657
98135,87.51
98136,85.58
98137,85.589
98138,87.223
98171,88.052
98172,83.475
98173,82.44
98245,87.189
98250,80.686
98251,83.196
98252,74.274
98253,79.326
98254,87.127
98255,85.809
98256,82.877
98257,86.762
98258,82.941
98259,82.309
98260,83.695
98261,84.904
98262,84.68
98263,81.662
98264,83.21
98265,81.545
98266,82.938
98267,77.964
98268,84.171
98269,87.375
98270,83.814
98271,84.407
98272,90.93
98273,86.713
98274,87.411
98275,86.702
98276,86.131
98277,86.351
98278,86.289
98279,88.955
98280,85.758
98281,86.952
98282,85.817
98283,86.411
98284,85.687
98285,83.467
98286,84.531
98287,86.493
98288,83.014
98289,81.137
98290,83.024
98291,86.986
98292,87.133
98293,86.008
98294,82.666
98295,85.852
98296,86.088
98297,85.527
98298,86.339
98299,86.64
98300,88.446
98301,84.413
98302,85.509
98303,86.262
98304,86.663
98305,88.114
98306,87.315
98307,84.804
98308,86.554
98309,82.467
98310,83.923
98311,85.062
98312,89.158
98313,88.696
98314,89.118
98315,87.52
98316,87.321
98317,85.21
98318,87.366
98319,85.246
98320,88.852
98321,87.807
98322,87.615
98323,88.284
98324,86.16
98325,89.853
98326,84.34
98327,83.667
98328,85.874
98329,84.082
98330,86.5
98331,79.989
98332,82.946
98333,84.292
98334,81.318
98335,82.576
98336,80.787
98337,84.7
98338,82.83
98339,87.359
98340,88.156
98341,86.715
98342,86.342
98343,85.355
98344,87.16
98345,82.921
98346,85.156
98347,83.658
98348,82.4
98349,89.177
98350,89.169
98351,86.589
98352,84.519
98353,85.1
98354,80.857
98355,81.776
98356,81.566
98357,79.241
98358,87.07
98359,83.633
98360,77.263
98361,88.409
98362,85.212
98363,85.641
98364,80.64
98365,83.034
98366,77.091
98367,83.579
98368,82.717
98369,91.076
98370,88.768
98371,87.209
98372,88.386
98373,83.29
98374,85.521
98375,86.916
98376,82.503
98377,84.65
98378,87.818
98379,88.944
98380,86.11
98381,81.98
98382,88.348
98383,83.281
98384,81.819
98385,84.604
98386,79.517
98387,86.716
98388,80.992
98389,84.826
98390,85.824
98391,84.686
98392,84.404
98393,84.5
98394,88.306
98395,89.723
98396,86.897
98397,84.883
98398,86.065
98399,81.868
98400,77.271
98401,82.107
98402,85.21
1747,81.31
1784,81.744
2476,81.197
2515,81.137
2517,77.978
2529,81.483
2538,78.622
2551,82.668
2553,77.607
2554,87.164
2555,80.545
2556,80.842
2577,79.703
2582,81.722
2583,78.081
2584,80.595
2585,80.632
2586,79.267
2587,79.814
2588,77.544
2589,82.343
2590,80.435
2591,83.035
2592,79.844
2594,80.144
2595,79.972
2597,82.306
2645,80.966
2654,78.292
2655,81.3
2656,81.875
2657,84.291
2658,77.245
2659,80.851
2660,79.599
2741,77.24
2766,81.786
2793,81.645
2810,76.199
2824,80.945
3002,78.323
3021,79.461
3093,81.19
3105,79.358
3113,79.947
3118,83.85
3120,79.929
3122,79.776
3123,79.612
3133,82.242
3134,79.569
3135,80.642
3136,83.603
3137,80.79
3138,77.707
3139,78.774
3140,79.656
3141,82.416
3142,82.537
3143,76.896
3144,81.676
3145,78.44
3146,77.491
3147,81.156
3148,81.071
3149,80.673
3150,80.741
3153,79.345
3155,78.649
3156,81.508
3157,80.818
3158,79.834
3159,78.79
3160,81.045
3161,81.566
3162,78.519
3186,80.326
3225,79.196
3315,77.746
3321,77.352
3332,78.781
5877,78.792
5981,80.849
6043,79.261
6078,81.752
6081,82.257
6082,82.522
6090,79.004
6127,82.358
6211,80.324
6213,81.401
6214,81.006
6231,78.22
6232,81.467
6233,79.714
6239,78.37
6240,80.819
6254,83.324
6255,78.379
6342,75.628
7630,81.281
7654,78.742
8890,83.51
8916,79.565
9028,80.244
9066,78.199
9445,80.614
9542,80.999
9546,79.069
9547,78.098
9583,77.466
9587,79.507
12037,82.476
12116,79.902
12122,81.132
12124,80.585
12141,78.991
12143,80.466
12149,80.347
12161,80.26
12252,82.874
12408,78.157
12409,79.383
12410,81.792
12418,80.849
12422,77.934
12435,78.305
12436,76.879
12437,78.789
12447,81.914
12448,81.285
