Unnamed: 0,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat UIUX Score
6018,86.18
6021,81.597
6026,86.88
9479,85.125
16980,76.866
17014,79.974
18230,85.754
18348,83.998
26715,86.401
26747,87.868
29788,85.821
29835,85.121
30606,84.763
30845,87.641
32072,87.356
46443,88.145
46506,81.713
50300,84.15
51419,88.509
53971,85.473
53972,81.827
53973,87.065
53974,85.929
53975,86.784
53976,81.348
53977,83.422
53978,86.013
53979,87.013
53981,86.827
54796,83.147
54797,87.802
54798,83.736
54799,85.749
54800,79.461
56453,86.135
56528,79.826
56542,82.489
56543,83.984
56544,84.222
56545,82.467
56618,88.168
56619,82.318
56629,86.725
56630,84.631
56631,85.292
56632,88.006
56633,87.708
56634,81.664
56635,87.633
56637,82.748
56638,87.779
56639,85.74
56641,82.062
56642,84.317
56643,83.618
56644,82.785
56645,86.853
56646,80.273
56647,84.443
56648,78.649
56649,82.427
56650,84.182
56651,86.227
56652,83.741
56653,80.55
56654,82.96
56656,84.556
56657,85.806
56661,85.304
56662,86.709
56725,85.302
56795,83.899
56796,86.57
56797,86.502
56798,84.128
56799,79.188
56800,81.285
56801,84.839
56802,81.988
56803,89.715
56804,88.35
56805,82.167
56807,86.124
56809,85.234
56859,82.589
56860,87.056
56861,87.23
56862,85.956
57384,87.444
57400,88.086
62042,82.764
63086,83.308
63087,82.867
83710,86.358
83711,81.69
86666,87.538
87779,77.061
97622,88.834
98134,86.657
98135,88.822
98136,85.58
98137,85.693
98138,87.223
98171,87.615
98172,85.175
98173,82.44
98245,86.991
98250,80.686
98251,83.844
98252,74.274
98253,79.326
98254,88.351
98255,85.753
98256,82.808
98257,86.849
98258,82.683
98259,83.367
98260,83.695
98261,84.882
98262,85.494
98263,81.662
98264,83.21
98265,81.545
98266,83.625
98267,78.827
98268,84.106
98269,87.88
98270,82.46
98271,84.407
98272,89.931
98273,86.24
98274,86.59
98275,86.702
98276,86.131
98277,86.161
98278,86.289
98279,88.955
98280,85.758
98281,86.952
98282,85.817
98283,88.552
98284,85.687
98285,83.467
98286,84.843
98287,86.493
98288,81.577
98289,80.586
98290,82.368
98291,85.565
98292,87.133
98293,86.008
98294,82.666
98295,86.212
98296,86.088
98297,84.911
98298,87.719
98299,86.64
98300,88.998
98301,83.132
98302,86.151
98303,86.262
98304,87.367
98305,87.109
98306,88.493
98307,85.875
98308,86.936
98309,82.544
98310,83.923
98311,85.062
98312,89.158
98313,88.67
98314,89.118
98315,87.52
98316,87.727
98317,84.782
98318,86.963
98319,85.255
98320,86.899
98321,87.807
98322,86.861
98323,87.978
98324,85.478
98325,89.868
98326,83.989
98327,83.667
98328,85.874
98329,84.253
98330,86.509
98331,80.82
98332,83.009
98333,84.292
98334,81.318
98335,82.576
98336,80.36
98337,85.561
98338,79.914
98339,86.806
98340,88.28
98341,88.631
98342,85.546
98343,85.355
98344,85.495
98345,82.463
98346,85.277
98347,83.622
98348,82.949
98349,89.177
98350,89.169
98351,86.787
98352,82.777
98353,84.434
98354,80.953
98355,82.177
98356,82.587
98357,80.698
98358,87.141
98359,83.789
98360,78.435
98361,88.409
98362,85.212
98363,85.514
98364,83.157
98365,84.254
98366,80.548
98367,84.881
98368,83.767
98369,91.076
98370,88.768
98371,88.06
98372,87.018
98373,83.051
98374,85.201
98375,86.947
98376,82.503
98377,84.421
98378,86.616
98379,87.841
98380,86.172
98381,82.096
98382,87.099
98383,82.179
98384,81.819
98385,84.604
98386,79.517
98387,87.981
98388,81.241
98389,85.694
98390,85.824
98391,84.686
98392,83.106
98393,84.5
98394,88.306
98395,89.723
98396,86.366
98397,85.246
98398,84.796
98399,81.868
98400,81.831
98401,83.156
98402,84.795
1747,81.31
1784,81.866
2476,80.991
2515,80.702
2517,77.725
2529,82.923
2538,78.565
2551,82.699
2553,78.512
2554,86.801
2555,80.545
2556,80.797
2577,79.445
2582,82.709
2583,78.022
2584,80.595
2585,80.632
2586,79.145
2587,79.814
2588,77.544
2589,81.207
2590,80.617
2591,82.657
2592,79.844
2594,79.709
2595,80.373
2597,82.306
2645,79.852
2654,79.48
2655,81.949
2656,81.049
2657,83.896
2658,77.245
2659,81.598
2660,79.599
2741,76.836
2766,81.119
2793,79.866
2810,76.199
2824,80.945
3002,78.36
3021,79.914
3093,81.19
3105,78.435
3113,79.947
3118,84.371
3120,80.075
3122,79.281
3123,79.967
3133,82.242
3134,79.569
3135,80.776
3136,83.603
3137,80.637
3138,78.351
3139,79.481
3140,79.656
3141,82.351
3142,81.746
3143,76.896
3144,81.629
3145,80.641
3146,77.602
3147,80.428
3148,81.071
3149,80.673
3150,80.148
3153,79.914
3155,79.423
3156,81.565
3157,80.818
3158,79.834
3159,78.165
3160,82.25
3161,81.566
3162,78.519
3186,80.326
3225,80.193
3315,77.746
3321,80.089
3332,79.75
5877,79.709
5981,80.849
6043,79.295
6078,81.752
6081,82.257
6082,82.522
6090,79.004
6127,83.04
6211,80.324
6213,80.392
6214,80.947
6231,77.649
6232,81.811
6233,79.928
6239,78.589
6240,79.913
6254,83.377
6255,78.379
6342,77.253
7630,81.281
7654,78.742
8890,83.418
8916,79.573
9028,80.244
9066,78.604
9445,80.614
9542,80.989
9546,79.069
9547,77.669
9583,77.466
9587,78.017
12037,82.553
12116,79.355
12122,81.307
12124,79.555
12141,78.989
12143,80.466
12149,80.855
12161,79.587
12252,81.915
12408,79.189
12409,77.239
12410,82.498
12418,80.849
12422,77.934
