Unnamed: 0,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo UIUX Score
1747,81.63
1784,81.688
2476,79.018
2515,78.089
2517,76.214
2529,79.38
2538,79.91
2551,80.736
2553,76.559
2554,84.055
2555,79.709
2556,77.355
2577,78.106
2582,80.146
2583,77.658
2584,79.77
2585,79.381
2586,78.473
2587,77.134
2588,80.263
2589,80.079
2590,78.808
2591,80.406
2592,79.127
2594,79.551
2595,78.353
2597,80.006
2645,80.334
2654,78.027
2655,81.697
2656,80.286
2657,81.693
2658,76.65
2659,80.307
2660,78.627
2741,75.625
2766,80.315
2793,81.814
2810,75.599
2824,79.06
3002,75.718
3021,78.046
3093,80.181
3105,77.724
3113,78.626
3118,83.951
3120,80.083
3122,81.441
3123,79.505
3133,80.268
3134,78.673
3135,80.068
3136,81.295
3137,80.861
3138,79.36
3139,78.28
3140,79.13
3141,82.826
3142,78.651
3143,78.723
3144,76.949
3145,77.194
3146,76.365
3147,80.183
3148,81.217
3149,80.828
3150,80.836
3153,77.286
3155,74.247
3156,78.376
3157,80.367
3158,80.125
3159,77.017
3160,82.001
3161,79.99
3162,78.917
3186,80.247
3225,77.056
3315,77.721
3321,77.95
3332,77.734
5877,78.096
5981,78.508
6043,76.6
6078,81.657
6081,81.033
6082,82.603
6090,77.906
6127,80.043
6211,79.555
6213,81.68
6214,79.424
6231,77.359
6232,80.723
6233,76.792
6239,78.648
6240,77.092
6254,83.402
6255,77.977
6342,75.162
7630,80.852
7654,78.904
8890,80.753
8916,77.473
9028,80.807
9066,75.046
9445,79.477
9542,78.862
9546,80.298
9547,78.291
9583,77.272
9587,76.151
12037,81.61
12116,76.672
12122,78.726
12124,79.568
12141,78.444
12143,78.238
12149,80.503
12161,79.557
12252,83.044
12408,78.392
12409,80.517
12410,80.915
12418,78.76
12422,77.555
12435,76.096
12436,75.459
12437,75.757
12447,81.179
12448,83.24
12449,76.768
12450,78.924
12451,76.73
12452,77.956
12453,80.534
12454,79.881
12455,80.679
12456,77.093
12457,81.616
12458,81.438
12459,77.482
12460,80.991
12461,77.812
12462,79.594
12463,80.133
12464,81.064
12465,78.302
12466,79.787
12467,81.903
12468,78.414
12469,75.032
12470,84.484
12471,78.256
12472,80.558
12473,80.8
12474,79.98
12475,79.826
12476,79.636
12477,83.624
12478,80.513
12479,76.812
12480,79.166
12481,81.119
12482,82.597
12483,78.195
12484,78.671
12485,79.472
12486,79.186
12487,82.374
12488,79.302
12489,75.231
12490,79.444
12491,81.214
12492,77.69
12493,75.813
12494,81.305
12495,80.139
12496,77.031
12497,82.79
12498,81.047
12499,76.639
12500,77.101
12501,71.355
12502,78.582
12503,75.567
12504,79.149
12505,79.757
12506,80.403
12507,77.854
12508,76.835
12509,80.443
12510,80.815
12511,78.995
12512,82.073
12513,78.248
12514,83.375
12515,78.795
12516,79.683
12518,81.84
12519,77.441
12520,80.851
12521,80.099
12523,81.381
12525,83.871
12526,80.56
12527,80.622
12528,79.73
12529,80.33
12530,76.104
12531,75.849
12532,78.051
12533,77.337
12565,83.644
12656,79.411
12674,81.712
12687,83.257
12736,82.827
13078,76.74
13080,80.952
13146,78.699
13147,79.661
13148,77.997
13149,82.39
13150,77.961
13196,78.126
13382,77.997
13461,76.408
13475,77.174
13477,79.092
13537,77.604
13893,75.316
13897,74.74
14744,74.919
14862,81.149
14882,80.402
14890,81.648
14906,77.967
14907,79.193
14914,77.371
14916,78.146
14930,82.426
14932,77.361
14939,77.724
14947,77.433
15180,77.651
15240,79.749
15339,81.823
15419,78.683
15425,77.516
15426,80.122
15474,79.089
15519,81.639
15524,81.466
15589,77.102
15679,78.995
15743,78.683
16036,79.697
16039,78.909
16064,83.02
6018,85.952
6021,80.594
6026,87.415
9479,83.706
16980,75.674
17014,79.006
18230,83.978
18348,86.448
26715,84.941
26747,86.502
29788,83.807
29835,83.646
30606,82.487
30845,87.465
32072,84.503
46443,85.74
46506,81.378
50300,83.344
51419,86.858
53971,83.931
53972,83.622
53973,84.816
53974,84.739
53975,87.153
53976,81.222
53977,83.109
53978,83.864
53979,85.14
53981,84.607
54796,82.634
54797,86.585
54798,81.516
54799,83.506
54800,79.301
56453,83.774
56528,80.922
56542,81.272
56543,83.419
56544,80.368
56545,81.426
56618,86.358
56619,81.715
56629,88.527
56630,80.913
56631,86.427
56632,85.304
56633,83.754
56634,73.831
56635,84.285
56637,84.305
56638,87.834
56639,87.425
56641,80.326
56642,83.966
56643,82.173
56644,79.12
56645,84.194
56646,80.258
56647,85.262
56648,78.233
56649,83.021
56650,80.781
56651,82.085
56652,83.54
56653,80.867
56654,82.25
56656,84.274
56657,84.503
56661,81.709
56662,86.234
56725,80.974
