Unnamed: 0,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo Google Score
6018,85.846
6021,79.307
6026,88.682
9479,83.805
16980,75.469
17014,78.536
18230,83.978
18348,86.448
26715,84.931
26747,86.245
29788,83.807
29835,83.646
30606,81.565
30845,87.465
32072,84.967
46443,85.74
46506,79.345
50300,83.344
51419,86.858
53971,84.67
53972,83.369
53973,84.736
53974,84.739
53975,87.046
53976,81.222
53977,83.109
53978,83.864
53979,84.99
53981,84.607
54796,82.634
54797,85.947
54798,81.516
54799,83.506
54800,79.436
56453,83.774
56528,80.922
56542,81.272
56543,82.987
56544,80.575
56545,81.426
56618,86.358
56619,81.715
56629,88.527
56630,80.913
56631,86.427
56632,85.304
56633,83.754
56634,76.137
56635,85.004
56637,84.305
56638,87.834
56639,87.425
56641,79.997
56642,83.966
56643,81.974
56644,80.528
56645,85.837
56646,80.258
56647,85.487
56648,78.233
56649,83.021
56650,81.32
56651,82.085
56652,83.54
56653,80.853
56654,82.25
56656,83.787
56657,84.339
56661,81.709
56662,85.792
56725,80.974
56795,77.886
56796,85.454
56797,83.74
56798,81.08
56799,83.675
56800,82.344
56801,83.077
56802,81.293
56803,88.925
56804,88.008
56805,81.839
56807,82.253
56809,81.765
56859,82.181
56860,85.997
56861,84.142
56862,86.624
57384,89.151
57400,88.589
62042,83.63
63086,85.022
63087,80.574
83710,86.379
83711,78.325
86666,87.519
87779,76.375
97622,87.674
98134,85.077
98135,87.242
98136,85.716
98137,84.485
98138,81.791
98171,86.734
98172,81.049
98173,83.989
98245,86.146
98250,81.179
98251,80.849
98252,73.928
98253,79.211
98254,83.377
98255,79.761
98256,81.386
98257,82.638
98258,83.813
98259,80.384
98260,79.176
98261,83.255
98262,81.031
98263,78.62
98264,79.982
98265,81.533
98266,79.131
98267,77.175
98268,77.993
98269,86.853
98270,80.668
98271,85.417
98272,89.617
98273,82.496
98274,85.691
98275,83.855
98276,87.152
98277,87.086
98278,84.842
98279,80.42
98280,81.97
98281,87.87
98282,86.3
98283,87.931
98284,86.451
98285,83.656
98286,82.071
98287,88.202
98288,81.127
98289,80.333
98290,75.885
98291,82.569
98292,87.025
98293,86.667
98294,80.11
98295,85.202
98296,85.709
98297,86.704
98298,84.83
98299,81.484
98300,87.761
98301,83.805
98302,83.73
98303,84.709
98304,84.024
98305,86.174
98306,86.856
98307,85.498
98308,85.001
98309,81.556
98310,81.846
98311,81.195
98312,84.778
98313,86.757
98314,85.07
98315,81.13
98316,86.811
98317,81.804
98318,85.341
98319,86.748
98320,84.808
98321,83.986
98322,88.563
98323,87.76
98324,86.359
98325,87.08
98326,85.255
98327,82.292
98328,83.648
98329,85.028
98330,85.218
98331,79.468
98332,83.261
98333,81.187
98334,76.688
98335,82.107
98336,80.305
98337,87.069
98338,79.212
98339,85.716
98340,86.511
98341,86.915
98342,84.337
98343,84.913
98344,86.983
98345,83.409
98346,83.086
98347,81.145
98348,81.812
98349,87.163
98350,87.339
98351,85.894
98352,83.63
98353,83.339
98354,77.17
98355,80.202
98356,81.68
98357,78.177
98358,86.954
98359,79.826
98360,73.847
98361,86.908
98362,81.365
98363,81.896
98364,81.752
98365,82.566
98366,77.621
98367,84.063
98368,80.907
98369,86.83
98370,87.548
98371,85.673
98372,86.255
98373,77.431
98374,85.322
98375,80.816
98376,82.469
98377,82.088
98378,85.278
98379,87.572
98380,87.747
98381,82.37
98382,87.456
98383,83.308
98384,81.279
98385,83.359
98386,80.956
98387,77.152
98388,82.593
98389,81.293
98390,81.918
98391,85.291
98392,80.325
98393,83.998
98394,88.259
98395,88.454
98396,84.034
98397,83.944
98398,81.402
98399,80.396
98400,78.341
98401,83.45
98402,83.764
1747,81.424
1784,81.688
2476,80.116
2515,78.089
2517,76.689
2529,77.501
2538,78.98
2551,80.82
2553,76.559
2554,86.961
2555,79.709
2556,77.265
2577,77.983
2582,79.344
2583,77.658
2584,73.827
2585,79.381
2586,78.263
2587,77.134
2588,79.214
2589,80.079
2590,78.808
2591,80.25
2592,79.94
2594,80.24
2595,78.353
2597,79.929
2645,79.425
2654,77.766
2655,81.697
2656,78.983
2657,81.693
2658,76.351
2659,80.37
2660,78.535
2741,77.085
2766,80.315
2793,81.504
2810,75.391
2824,79.06
3002,75.718
3021,78.752
3093,80.181
3105,77.724
3113,78.107
3118,84.06
3120,79.771
3122,81.441
3123,79.505
3133,80.268
3134,78.434
3135,77.421
3136,81.291
3137,81.136
3138,75.024
3139,78.28
3140,78.477
3141,82.826
3142,78.651
3143,78.485
3144,77.021
3145,77.194
3146,76.365
3147,80.883
3148,81.187
3149,80.206
3150,80.836
3153,79.376
3155,74.247
3156,78.376
3157,80.496
3158,79.428
3159,77.017
3160,82.001
3161,79.99
3162,78.917
3186,80.247
3225,75.329
3315,77.721
3321,77.95
3332,77.734
5877,78.096
5981,78.508
6043,76.381
6078,81.869
6081,81.033
6082,82.603
6090,77.906
6127,80.043
6211,79.519
6213,81.277
6214,79.467
6231,77.982
6232,80.723
6233,76.792
6239,78.648
6240,77.607
6254,82.839
6255,77.977
6342,75.162
7630,80.852
7654,78.798
8890,80.753
8916,77.39
9028,80.807
9066,75.046
9445,79.477
9542,78.807
9546,80.298
9547,78.216
9583,78.069
9587,76.151
12037,81.538
12116,76.54
12122,78.535
12124,79.59
12141,78.839
12143,78.493
12149,80.643
12161,79.557
12252,83.044
12408,78.153
12409,80.394
12410,80.672
12418,79.359
12422,77.496
12435,76.67
12436,74.524
12437,76.055
12447,81.179
12448,83.24
12449,76.94
12450,78.924
12451,76.34
12452,77.601
12453,80.534
12454,79.881
12455,79.521
