Unnamed: 0,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o Google Score
1747,82.343
1784,80.713
2476,81.807
2515,79.933
2517,77.448
2529,81.354
2538,79.888
2551,84.249
2553,76.444
2554,87.004
2555,79.425
2556,82.366
2577,81.674
2582,80.53
2583,80.315
2584,80.859
2585,80.578
2586,80.259
2587,80.607
2588,81.835
2589,81.335
2590,79.416
2591,83.036
2592,81.431
2594,79.498
2595,79.376
2597,81.758
2645,82.248
2654,80.535
2655,82.02
2656,81.819
2657,83.146
2658,80.175
2659,81.589
2660,81.032
2741,80.215
2766,79.8
2793,81.954
2810,76.253
2824,80.799
3002,78.283
3021,80.632
3093,82.534
3105,80.82
3113,80.449
3118,84.081
3120,81.676
3122,80.993
3123,82.472
3133,81.793
3134,79.784
3135,80.797
3136,84.976
3137,80.698
3138,77.679
3139,80.374
3140,80.101
3141,83.676
3142,81.557
3143,80.185
3144,81.413
3145,78.913
3146,77.346
3147,80.612
3148,81.491
3149,81.482
3150,81.185
3153,80.289
3155,73.743
3156,82.892
3157,80.367
3158,80.645
3159,79.575
3160,81.473
3161,81.221
3162,78.668
3186,81.353
3225,81.417
3315,79.892
3321,80.239
3332,82.512
5877,80.987
5981,83.664
6043,79.38
6078,81.575
6081,83.807
6082,83.67
6090,77.47
6127,82.687
6211,79.308
6213,81.167
6214,82.769
6231,79.162
6232,84.002
6233,81.028
6239,80.25
6240,80.275
6254,83.424
6255,78.298
6342,75.97
7630,83.961
7654,80.626
8890,83.105
8916,78.93
9028,82.215
9066,76.817
9445,79.377
9542,78.722
9546,80.083
9547,79.945
9583,79.143
9587,80.51
12037,82.048
12116,79.764
12122,81.383
12124,78.284
12141,79.626
12143,79.15
12149,81.178
12161,81.604
12252,81.47
12408,78.721
12409,79.018
12410,82.568
12418,82.308
12422,79.365
12435,76.85
12436,80.493
12437,81.6
12447,82.071
12448,82.639
12449,80.919
12450,80.712
12451,82.473
12452,82.437
12453,81.476
12454,81.47
12455,80.566
12456,80.836
12457,83.161
12458,87.462
12459,79.857
12460,80.842
12461,78.772
12462,81.085
12463,84.083
12464,82.618
12465,77.759
12466,80.262
12467,83.97
12468,80.614
12469,79.124
12470,86.579
12471,83.352
12472,83.032
12473,79.87
12474,82.598
12475,79.605
12476,79.951
12477,82.708
12478,84.523
12479,81.453
12480,79.589
12481,82.325
12482,83.606
12483,79.987
12484,80.527
12485,79.298
12486,81.323
12487,80.677
12488,82.198
12489,75.901
12490,80.534
12491,81.344
12492,81.584
12493,82.544
12494,81.022
12495,84.711
12496,79.53
12497,84.561
12498,86.291
12499,77.064
12500,77.381
12501,80.106
12502,82.255
12503,79.225
12504,80.498
12505,80.835
12506,79.632
12507,80.693
12508,77.744
12509,81.726
12510,81.37
12511,81.168
12512,82.773
12513,79.939
12514,80.852
12515,82.351
12516,80.677
12518,80.599
12519,80.795
12520,80.954
12521,80.295
12523,81.777
12525,86.177
12526,81.348
12527,82.692
12528,81.916
12529,81.371
12530,78.309
12531,79.722
12532,79.336
12533,81.0
12565,84.128
12656,82.876
12674,81.708
12687,82.254
12736,83.018
13078,77.201
13080,83.681
13146,80.446
13147,80.586
13148,81.541
13149,80.38
13150,83.816
13196,79.858
13382,78.957
13461,79.03
13475,79.262
13477,81.927
13537,82.307
13893,81.723
13897,74.351
14744,77.045
14862,82.177
14882,82.241
14890,84.224
14906,80.586
14907,80.711
14914,80.711
14916,80.156
14930,82.341
14932,78.388
14939,79.018
14947,78.781
15180,80.815
15240,80.516
15339,80.623
15419,77.725
15425,80.308
15426,82.461
15474,81.269
15519,83.16
15524,81.593
15589,80.738
15679,79.201
15743,80.929
16036,82.032
16039,80.906
16064,83.78
6018,87.68
6021,85.81
6026,88.085
9479,85.12
16980,76.267
17014,79.571
18230,84.47
18348,86.951
26715,83.776
26747,85.491
29788,85.964
29835,85.685
30606,86.661
30845,87.293
32072,87.34
46443,89.346
46506,83.395
50300,84.576
51419,89.511
53971,87.221
53972,82.237
53973,87.122
53974,85.691
53975,86.421
53976,81.151
53977,85.326
53978,86.073
53979,86.437
53981,87.25
54796,83.683
54797,89.567
54798,87.399
