Unnamed: 0,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini Google Score
1747,81.345
1784,81.969
2476,82.156
2515,80.161
2517,81.564
2529,82.183
2538,80.683
2551,83.241
2553,79.503
2554,86.519
2555,78.935
2556,81.527
2577,82.15
2582,79.391
2583,80.711
2584,82.874
2585,81.091
2586,80.328
2587,80.553
2588,78.081
2589,82.2
2590,80.358
2591,81.651
2592,81.224
2594,79.888
2595,80.755
2597,82.115
2645,81.078
2654,80.838
2655,80.545
2656,81.282
2657,84.436
2658,80.488
2659,80.937
2660,80.335
2741,78.214
2766,83.207
2793,82.013
2810,76.091
2824,81.436
3002,78.654
3021,80.054
3093,80.715
3105,80.241
3113,80.69
3118,82.952
3120,79.353
3122,79.666
3123,81.91
3133,82.606
3134,80.729
3135,80.099
3136,84.197
3137,81.594
3138,77.616
3139,79.458
3140,80.084
3141,83.508
3142,80.25
3143,79.144
3144,81.119
3145,77.036
3146,79.144
3147,80.714
3148,79.39
3149,80.593
3150,82.234
3153,80.645
3155,79.817
3156,79.625
3157,80.69
3158,81.18
3159,77.301
3160,82.003
3161,84.334
3162,81.707
3186,80.425
3225,76.158
3315,79.544
3321,79.838
3332,82.65
5877,80.436
5981,82.576
6043,79.479
6078,80.682
6081,81.914
6082,82.068
6090,78.478
6127,83.65
6211,80.907
6213,79.677
6214,81.855
6231,78.77
6232,81.155
6233,76.91
6239,80.088
6240,79.033
6254,83.642
6255,78.647
6342,75.093
7630,82.14
7654,79.597
8890,85.994
8916,79.462
9028,80.74
9066,80.454
9445,81.001
9542,82.025
9546,80.752
9547,80.284
9583,77.558
9587,79.291
12037,81.777
12116,78.816
12122,82.066
12124,79.997
12141,80.638
12143,80.818
12149,80.771
12161,80.725
12252,83.95
12408,77.806
12409,78.783
12410,83.434
12418,82.727
12422,79.107
12435,76.243
12436,78.879
12437,79.987
12447,82.19
12448,82.082
12449,81.755
12450,81.265
12451,80.784
12452,79.772
12453,82.004
12454,81.606
12455,80.046
12456,81.021
12457,82.249
12458,85.927
12459,75.958
12460,82.379
12461,83.627
12462,79.721
12463,83.727
12464,80.681
12465,78.094
12466,80.504
12467,83.603
12468,80.983
12469,79.831
12470,87.554
12471,82.166
12472,84.458
12473,81.992
12474,79.613
12475,81.035
12476,81.933
12477,84.146
12478,83.299
12479,81.973
12480,79.922
12481,82.65
12482,83.662
12483,80.915
12484,80.165
12485,78.544
12486,80.293
12487,82.212
12488,80.537
12489,74.603
12490,80.004
12491,81.817
12492,78.634
12493,81.435
12494,82.847
12495,81.628
12496,81.173
12497,83.328
12498,84.433
12499,81.37
12500,78.107
12501,73.2
12502,81.549
12503,80.718
12504,79.757
12505,80.469
12506,79.975
12507,81.112
12508,81.085
12509,82.044
12510,81.734
12511,81.529
12512,82.432
12513,79.855
12514,81.316
12515,81.429
12516,80.716
12518,80.049
12519,81.092
12520,81.015
12521,80.734
12523,81.624
12525,85.611
12526,80.149
