Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct UIUX Score
6018,86.751
6021,83.843
6026,89.128
9479,83.626
16980,70.887
17014,78.782
18230,82.134
18348,85.412
26715,84.765
26747,87.888
29788,87.16
29835,83.824
30606,82.652
30845,86.654
32072,86.022
46443,87.549
46506,80.253
50300,83.68
51419,87.03
53971,84.407
53972,82.397
53973,87.084
53974,84.503
53975,86.639
53976,82.549
53977,83.598
53978,82.938
53979,87.176
53981,87.264
54796,83.493
54797,85.753
54798,83.05
54799,84.148
54800,80.346
56453,84.448
56528,77.811
56542,83.466
56543,85.09
56544,82.882
56545,81.794
56618,87.09
56619,81.583
56629,86.79
56630,82.942
56631,83.058
56632,88.885
56633,84.556
56634,79.217
56635,86.307
56637,84.616
56638,87.61
56639,86.492
56641,78.19
56642,84.946
56643,85.034
56644,82.128
56645,84.959
56646,81.24
56647,83.235
56648,80.841
56649,82.685
56650,85.091
56651,83.006
56652,84.441
56653,79.359
56654,84.767
56656,82.96
56657,84.862
56661,86.85
56662,87.548
56725,87.014
56795,82.155
56796,87.057
56797,85.617
56798,81.777
56799,83.167
56800,81.154
56801,86.311
56802,82.119
56803,89.096
56804,88.484
56805,81.94
56807,87.665
56809,82.232
56859,82.937
56860,85.302
56861,84.207
56862,85.765
57384,87.742
57400,87.764
62042,83.127
63086,82.616
63087,84.022
83710,83.429
83711,78.102
86666,87.857
87779,80.218
97622,87.63
98134,85.79
98135,86.932
98136,84.671
98137,87.162
98138,82.934
98171,86.023
98172,86.414
98173,83.045
98245,85.401
98250,79.53
98251,83.722
98252,74.886
98253,80.039
98254,85.984
98255,84.729
98256,80.744
98257,83.506
98258,84.433
98259,82.339
98260,79.263
98261,84.411
98262,83.313
98263,80.391
98264,82.46
98265,85.445
98266,81.772
98267,78.393
98268,81.476
98269,85.394
98270,81.098
98271,86.055
98272,91.383
98273,88.536
98274,87.13
98275,85.652
98276,85.058
98277,86.269
98278,86.946
98279,87.244
98280,85.929
98281,84.891
98282,85.883
