Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct UIUX Score
6018,86.627
6021,82.805
6026,85.128
9479,83.635
16980,72.89
17014,77.503
18230,81.725
18348,85.907
26715,86.089
26747,87.779
29788,85.42
29835,84.716
30606,83.004
30845,87.264
32072,85.89
46443,89.121
46506,78.849
50300,84.527
51419,87.546
53971,85.112
53972,85.169
53973,86.381
53974,85.299
53975,84.256
53976,83.241
53977,84.147
53978,83.91
53979,86.71
53981,81.501
54796,82.398
54797,87.148
54798,83.445
54799,81.345
54800,79.174
56453,84.668
56528,75.0
56542,81.319
56543,86.006
56544,80.954
56545,80.024
56618,81.483
56619,80.348
56629,90.246
56630,83.345
56631,83.964
56632,88.887
56633,85.448
56634,78.889
56635,83.279
56637,85.714
56638,91.352
56639,87.388
56641,82.898
56642,84.54
56643,85.576
56644,83.206
56645,86.864
56646,80.915
56647,85.418
56648,78.458
56649,82.172
56650,84.081
56651,88.732
56652,84.952
56653,79.895
56654,83.298
56656,84.685
56657,82.634
56661,89.5
56662,88.366
56725,86.984
56795,83.561
56796,87.417
56797,86.223
56798,81.061
56799,82.36
56800,81.145
56801,85.128
56802,80.762
56803,89.755
56804,88.749
56805,82.328
56807,87.272
56809,83.078
56859,83.874
56860,86.875
56861,86.992
56862,88.945
57384,83.524
57400,89.356
62042,85.288
63086,83.721
63087,84.62
83710,83.969
83711,77.594
86666,88.568
87779,80.885
97622,86.441
98134,87.109
98135,85.263
98136,85.944
98137,86.464
98138,85.322
98171,88.973
98172,85.696
98173,84.086
98245,86.637
98250,76.552
98251,84.631
98252,75.038
98253,81.694
98254,87.551
98255,84.155
98256,80.378
98257,84.39
98258,72.967
98259,82.056
98260,79.455
98261,84.157
98262,86.34
98263,81.611
98264,82.886
98265,85.929
98266,82.163
98267,80.989
98268,81.756
98269,87.202
98270,80.293
98271,88.031
98272,91.403
98273,88.351
98274,87.571
98275,87.274
98276,86.151
98277,85.034
98278,87.239
98279,87.274
98280,85.282
98281,84.279
98282,87.678
98283,85.04
98284,85.999
98285,82.159
98286,85.533
98287,87.16
98288,79.263
98289,83.32
98290,82.985
98291,87.122
98292,87.504
98293,85.353
98294,83.574
98295,86.412
98296,84.479
98297,87.138
98298,82.405
98299,81.569
98300,87.036
98301,87.7
98302,83.023
98303,84.965
98304,84.685
98305,85.769
98306,88.614
98307,88.055
98308,85.33
98309,82.991
98310,83.531
98311,87.16
98312,80.301
98313,88.744
98314,87.914
98315,84.003
98316,87.019
98317,86.096
98318,85.38
98319,87.504
98320,87.152
98321,86.165
98322,89.419
98323,86.287
98324,87.032
98325,86.122
98326,83.384
98327,82.358
98328,87.629
98329,83.18
98330,85.784
98331,80.423
98332,85.23
98333,81.926
98334,81.946
98335,80.845
98336,77.65
98337,85.069
98338,80.036
98339,86.426
98340,87.463
98341,87.645
98342,83.187
98343,86.714
98344,87.342
98345,85.768
98346,86.238
98347,80.774
98348,74.737
98349,87.63
98350,88.238
98351,82.164
98352,82.152
98353,88.819
98354,76.369
98355,80.473
98356,81.525
98357,78.348
98358,83.783
98359,80.993
98360,76.31
98361,87.557
98362,82.38
98363,84.121
98364,82.499
98365,83.332
98366,82.866
98367,85.638
98368,85.383
98369,88.996
98370,88.152
98371,86.421
98372,86.178
98373,82.055
98374,84.851
98375,84.512
98376,84.463
98377,86.882
98378,84.262
98379,88.105
98380,87.606
98381,75.341
98382,89.791
98383,83.529
98384,82.481
98385,85.776
98386,81.978
98387,80.805
98388,85.874
98389,84.425
98390,82.174
98391,86.414
98392,84.046
98393,84.889
98394,87.907
98395,90.42
98396,86.425
98397,82.264
98398,82.576
98399,76.788
98400,78.781
98401,82.562
98402,86.124
1747,81.906
1784,81.598
2476,75.425
2515,77.573
2517,76.539
2529,79.722
2538,78.326
2551,80.822
2553,76.661
2554,85.366
2555,80.157
2556,77.636
2577,78.658
2582,73.789
2583,80.211
2584,78.249
2585,79.873
2586,76.892
2587,77.773
2588,73.937
2589,80.439
2590,77.545
2591,79.732
2592,80.92
2594,77.128
2595,79.581
2597,82.815
2645,80.627
2654,80.83
2655,80.617
2656,77.312
2657,82.601
2658,74.765
2659,79.619
2660,77.021
2741,80.28
2766,80.648
2793,81.971
2810,76.201
2824,80.167
3002,77.676
3021,80.05
3093,80.866
3105,78.088
3113,79.004
3118,83.29
3120,78.81
3122,78.806
3123,78.4
3133,81.391
3134,82.767
3135,70.238
3136,81.766
3137,80.237
3138,75.808
3139,79.58
3140,79.961
3141,81.373
