,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5 UIUX Score
6018,86.897
6021,81.901
6026,86.198
9479,87.961
16980,76.927
17014,79.531
18230,83.478
18348,85.429
26715,84.082
26747,87.544
29788,83.343
29835,83.098
30606,87.758
30845,86.52
32072,86.15
46443,86.043
46506,81.238
50300,82.932
51419,87.38
53971,85.287
53972,83.376
53973,86.08
53974,84.883
53975,87.568
53976,81.67
53977,83.882
53978,84.893
53979,86.987
53981,83.821
54796,82.199
54797,88.013
54798,83.78
54799,83.559
54800,80.079
56453,85.082
56528,81.784
56542,82.485
56543,81.44
56544,85.315
56545,81.26
56618,86.346
56619,80.821
56629,89.152
56630,83.555
56631,83.832
56632,86.03
56633,82.802
56634,85.293
56635,84.811
56637,83.563
56638,86.138
56639,86.082
56641,82.018
56642,83.0
56643,83.101
56644,82.357
56645,85.169
56646,80.666
56647,86.24
56648,79.052
56649,81.964
56650,83.041
56651,86.182
56652,84.312
56653,81.568
56654,83.561
56656,83.196
56657,87.545
56661,85.678
56662,85.911
56725,82.35
56795,81.815
56796,85.668
56797,83.764
56798,83.374
56799,81.524
56800,81.514
56801,85.175
56802,81.043
56803,88.83
56804,88.452
56805,81.956
56807,87.799
56809,83.588
56859,83.493
56860,87.502
56861,84.256
56862,87.275
57384,88.287
57400,86.371
62042,83.333
63086,83.885
63087,85.401
83710,84.718
83711,74.561
86666,86.654
87779,78.441
97622,87.018
98134,86.02
98135,87.848
98136,85.046
98137,84.353
98138,85.843
98171,86.148
98172,82.558
98173,88.442
98245,84.277
98250,81.882
98251,82.569
98252,77.373
98253,79.75
98254,86.475
98255,86.265
98256,77.828
98257,87.372
98258,83.501
98259,85.606
98260,80.099
98261,86.467
98262,86.35
98263,80.918
98264,82.72
98265,80.453
98266,87.306
98267,80.91
98268,78.998
98269,86.222
98270,85.492
98271,84.308
98272,89.413
98273,85.009
98274,87.223
98275,85.55
98276,87.002
98277,87.259
98278,87.189
98279,86.97
98280,85.147
98281,88.119
98282,86.034
98283,87.242
98284,84.676
98285,82.793
98286,86.032
98287,87.308
98288,79.562
98289,83.583
98290,82.564
98291,86.492
98292,87.717
98293,84.719
98294,83.449
98295,86.791
98296,85.33
98297,84.532
98298,87.816
98299,87.06
98300,87.174
98301,85.063
98302,86.02
98303,86.725
98304,86.296
98305,87.857
98306,87.488
98307,86.13
98308,84.203
98309,83.254
98310,84.502
98311,87.176
98312,86.076
98313,84.836
98314,88.442
98315,84.249
98316,87.411
98317,85.768
98318,86.729
98319,85.688
98320,87.715
98321,86.065
98322,89.495
98323,87.837
98324,86.161
98325,88.04
98326,81.856
98327,82.32
98328,87.118
98329,85.635
98330,85.332
98331,79.985
98332,81.368
98333,84.341
98334,78.965
98335,81.04
98336,80.671
98337,85.926
98338,80.768
98339,84.352
98340,87.397
98341,86.974
98342,86.254
98343,84.34
98344,87.445
98345,83.256
98346,85.01
98347,85.549
98348,81.703
98349,88.429
98350,88.146
98351,86.286
98352,83.189
98353,83.42
98354,77.727
98355,81.572
98356,83.296
98357,79.686
98358,85.016
98359,80.548
98360,74.816
98361,86.022
98362,84.087
98363,80.64
98364,83.956
98365,84.579
98366,80.576
98367,82.094
98368,80.949
98369,88.805
98370,87.258
98371,86.519
98372,87.372
98373,82.406
98374,85.163
98375,87.296
98376,84.646
98377,85.312
98378,87.724
98379,87.864
98380,86.819
98381,80.927
98382,87.444
98383,82.099
98384,80.286
98385,85.464
98386,84.948
98387,86.034
98388,87.005
98389,85.888
98390,86.445
98391,85.861
98392,83.117
98393,83.518
98394,84.279
98395,88.056
98396,85.1
98397,84.569
98398,85.607
98399,84.808
98400,79.93
98401,83.149
98402,86.665
1747,82.184
1784,80.705
2476,80.023
2515,80.029
2517,78.849
2529,78.538
2538,78.836
2551,82.198
2553,77.686
2554,84.772
2555,79.358
2556,80.175
2577,80.036
2582,78.936
2583,79.174
2584,80.333
2585,78.57
2586,79.667
2587,77.918
2588,77.777
2589,80.633
2590,80.646
2591,79.977
2592,82.017
2594,80.287
2595,79.306
2597,82.675
2645,80.181
2654,80.254
2655,80.218
2656,79.412
2657,81.551
2658,77.794
2659,78.584
2660,79.085
2741,77.72
2766,79.727
2793,80.668
2810,77.137
2824,80.539
3002,79.707
3021,78.846
3093,81.185
3105,79.768
3113,77.706
3118,81.813
3120,77.693
3122,80.437
3123,79.598
3133,79.566
3134,79.51
3135,79.728
3136,81.804
3137,80.137
3138,79.264
3139,78.309
3140,79.107
3141,77.534
3142,80.505
3143,79.282
3144,77.614
3145,78.432
3146,78.131
3147,79.289
3148,80.987
3149,79.981
3150,80.123
3153,80.258
3155,75.952
3156,79.168
3157,78.466
3158,81.072
3159,80.231
3160,82.327
3161,82.777
3162,80.487
3186,80.403
3225,78.558
3315,77.216
3321,77.345
3332,77.964
5877,78.793
5981,80.934
6043,78.762
6078,78.882
6081,80.603
6082,82.416
6090,78.057
6127,82.857
6211,79.756
6213,80.621
6214,79.567
6231,78.866
6232,80.877
6233,77.898
6239,79.082
6240,76.91
6254,82.141
6255,78.737
6342,75.474
7630,81.009
7654,78.445
8890,80.161
8916,78.229
9028,79.414
9066,78.301
9445,79.795
9542,78.848
9546,79.665
9547,78.668
9583,78.211
9587,77.776
12037,82.074
12116,77.297
12122,80.301
12124,77.792
12141,78.515
12143,80.381
12149,81.581
12161,77.462
12252,81.781
12408,77.456
12409,78.55
12410,80.667
12418,80.196
12422,78.771
12435,77.482
12436,77.444
12437,78.566
12447,80.753
12448,78.965
12449,79.139
12450,79.299
12451,76.272
12452,80.095
12453,79.728
12454,78.365
12455,80.905
12456,80.343
12457,81.605
12458,82.051
12459,76.298
12460,79.278
12461,76.551
12462,80.329
12463,81.655
12464,80.475
12465,78.581
12466,78.812
12467,82.537
12468,77.766
12469,78.669
12470,83.539
12471,83.402
12472,81.193
12473,81.637
12474,80.665
12475,80.627
12476,80.046
12477,82.523
12478,81.861
12479,77.588
12480,79.741
12481,82.181
12482,81.442
12483,78.806
12484,77.9
12485,79.489
12486,78.434
12487,80.465
12488,78.835
12489,76.216
12490,79.406
12491,80.233
12492,80.586
12493,78.476
12494,81.373
12495,80.828
12496,78.802
12497,84.209
12498,81.845
12499,77.239
12500,77.678
12501,74.975
12502,79.703
12503,75.541
12504,78.643
12505,79.776
12506,81.891
12507,78.587
12508,77.607
12509,79.37
12510,80.685
12511,80.176
12512,79.405
12513,77.871
12514,81.831
12515,79.924
12516,80.208
12518,79.035
12519,78.189
12520,80.994
12521,80.848
12523,81.735
12525,84.918
12526,81.359
12527,81.579
12528,80.128
12529,79.342
12530,76.381
12531,76.997
12532,77.027
12533,78.451
12565,82.472
12656,80.647
12674,81.301
12687,83.188
12736,81.627
13078,76.467
13080,80.87
13146,79.151
13147,79.227
13148,79.475
13149,79.505
13150,80.517
13196,80.295
13382,79.657
13461,79.092
13475,81.729
13477,78.964
13537,79.481
13893,77.457
13897,76.278
14744,76.148
14862,80.464
14882,81.301
14890,81.881
14906,79.374
14907,79.617
14914,78.256
14916,80.209
14930,82.911
14932,77.882
14939,78.851
14947,79.496
15180,80.218
15240,78.979
15339,81.561
15419,76.85
15425,79.486
15426,80.418
15474,81.78
15519,81.762
15524,81.292
15589,77.033
15679,78.506
15743,77.352
16036,79.59
16039,79.579
16064,82.905
