,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5 UIUX Score
6018,87.016
6021,81.723
6026,86.344
9479,87.792
16980,77.517
17014,79.531
18230,84.333
18348,85.461
26715,84.043
26747,88.133
29788,83.584
29835,83.059
30606,87.722
30845,87.182
32072,86.364
46443,87.675
46506,82.755
50300,83.143
51419,88.771
53971,85.881
53972,83.485
53973,86.062
53974,84.793
53975,87.395
53976,82.026
53977,83.52
53978,85.439
53979,87.339
53981,84.069
54796,83.333
54797,87.725
54798,84.335
54799,84.091
54800,80.267
56453,85.785
56528,81.488
56542,81.607
56543,82.019
56544,84.612
56545,82.242
56618,86.346
56619,81.183
56629,88.064
56630,84.1
56631,84.092
56632,86.059
56633,83.374
56634,85.966
56635,84.566
56637,83.405
56638,87.72
56639,86.838
56641,81.821
56642,82.777
56643,83.296
56644,82.869
56645,86.068
56646,80.973
56647,84.529
56648,78.749
56649,82.211
56650,83.298
56651,87.301
56652,84.312
56653,82.145
56654,83.529
56656,82.867
56657,87.716
56661,86.703
56662,85.911
56725,82.367
56795,82.875
56796,85.605
56797,84.637
56798,83.478
56799,82.108
56800,82.356
56801,85.878
56802,81.965
56803,89.872
56804,88.326
56805,81.332
56807,87.153
56809,83.269
56859,82.972
56860,87.171
56861,84.635
56862,87.211
57384,88.463
57400,87.493
62042,83.546
63086,83.885
63087,85.339
83710,84.916
83711,78.438
86666,86.117
87779,79.902
97622,88.233
98134,87.086
98135,87.915
98136,86.252
98137,85.186
98138,86.823
98171,86.337
98172,83.357
98173,87.228
98245,83.668
98250,80.333
98251,83.251
98252,77.344
98253,80.747
98254,86.557
98255,86.525
98256,80.281
98257,87.784
98258,83.836
98259,86.399
98260,80.278
98261,86.26
98262,86.521
98263,80.906
98264,83.94
98265,80.864
98266,87.389
98267,80.27
98268,77.365
98269,85.717
98270,86.333
98271,84.24
98272,89.645
98273,85.633
98274,87.593
98275,85.301
98276,87.152
98277,88.026
98278,88.089
98279,87.238
98280,86.203
98281,88.056
98282,85.793
98283,87.169
98284,84.887
98285,82.852
98286,85.825
98287,87.983
98288,79.606
98289,84.172
98290,82.323
98291,86.103
98292,87.942
98293,85.677
98294,84.273
98295,86.467
98296,86.009
98297,84.17
98298,86.382
98299,87.897
98300,87.298
98301,85.258
98302,85.465
98303,86.711
98304,86.497
98305,88.084
98306,86.996
98307,86.164
98308,84.305
98309,83.304
98310,85.149
98311,86.798
98312,84.358
98313,87.442
98314,88.987
98315,86.806
98316,87.572
98317,85.88
98318,86.983
98319,85.619
98320,87.453
98321,86.607
98322,89.34
98323,88.705
98324,86.352
98325,88.635
98326,82.002
98327,82.277
98328,87.909
98329,85.452
98330,86.746
98331,81.481
98332,81.918
98333,82.757
98334,82.026
98335,81.535
98336,81.22
98337,85.985
98338,80.143
98339,83.815
98340,88.57
98341,86.57
98342,85.956
98343,84.664
98344,87.149
98345,86.209
98346,85.01
98347,85.496
98348,81.002
98349,88.272
98350,89.096
98351,86.519
98352,84.712
98353,82.643
98354,78.373
98355,81.384
98356,85.071
98357,79.536
98358,85.8
98359,80.224
98360,74.713
98361,86.022
98362,85.03
98363,80.64
98364,81.735
98365,84.079
98366,81.05
98367,82.632
98368,83.795
98369,89.341
98370,88.285
98371,87.27
98372,87.711
98373,83.573
98374,86.027
98375,87.279
98376,85.134
98377,84.842
98378,87.579
98379,88.059
98380,85.701
98381,80.774
98382,87.783
98383,82.405
98384,80.513
98385,85.164
98386,86.664
98387,87.297
98388,86.841
98389,85.961
98390,86.51
98391,88.632
98392,83.056
98393,84.277
98394,87.713
98395,88.192
98396,84.714
98397,85.885
98398,86.551
98399,84.572
98400,79.93
98401,82.98
98402,87.012
1747,82.418
1784,79.819
2476,80.023
2515,79.16
2517,79.262
2529,79.675
2538,79.177
2551,82.183
2553,78.082
2554,83.757
2555,78.751
2556,80.273
2577,79.962
2582,78.838
2583,79.483
2584,80.407
2585,78.684
2586,80.1
2587,78.829
2588,77.625
2589,80.971
2590,81.088
2591,80.943
2592,81.011
2594,80.032
2595,79.389
2597,82.658
2645,80.162
2654,80.254
2655,79.114
2656,79.913
2657,81.208
2658,78.484
2659,78.227
2660,79.109
2741,77.758
2766,79.727
2793,80.477
2810,76.789
2824,79.844
3002,79.985
3021,79.245
3093,80.968
3105,80.407
3113,77.559
3118,82.311
3120,77.201
3122,78.898
3123,80.261
3133,80.115
3134,79.421
3135,79.444
3136,82.529
3137,79.204
3138,80.349
3139,79.456
3140,79.25
3141,77.534
3142,80.554
3143,79.282
3144,78.433
3145,78.325
3146,78.102
3147,80.112
3148,80.11
3149,78.464
3150,80.138
3153,80.803
3155,76.06
3156,77.813
3157,78.476
3158,79.538
3159,79.333
3160,82.899
3161,82.667
3162,80.593
3186,80.027
3225,79.105
3315,76.067
3321,78.073
3332,77.985
5877,78.793
5981,81.756
6043,78.996
6078,79.24
6081,81.737
6082,81.68
6090,78.372
6127,82.619
6211,79.209
6213,81.679
6214,79.552
6231,78.713
6232,80.09
6233,77.584
6239,79.098
6240,78.127
6254,82.003
6255,78.693
6342,75.766
7630,81.05
7654,78.208
8890,79.959
8916,78.355
9028,79.182
9066,78.138
9445,80.122
9542,80.844
9546,80.449
9547,78.618
9583,77.865
9587,77.528
12037,82.295
12116,77.206
12122,80.704
12124,78.01
12141,79.578
12143,81.199
12149,81.165
12161,76.975
12252,81.64
12408,77.348
12409,79.261
12410,80.667
12418,80.25
12422,77.867
12435,77.158
12436,77.759
12437,78.476
12447,80.134
12448,80.727
12449,79.226
12450,79.3
12451,76.585
12452,80.357
12453,80.806
12454,78.768
12455,81.117
12456,79.813
12457,81.548
12458,82.452
12459,77.05
12460,79.874
12461,75.415
12462,79.999
12463,81.113
12464,80.901
12465,78.698
12466,78.408
12467,83.601
12468,78.882
12469,78.274
12470,84.198
12471,83.343
12472,82.383
12473,81.503
12474,80.788
12475,80.212
12476,79.954
12477,81.762
12478,82.368
12479,78.697
12480,79.37
12481,82.136
12482,81.779
12483,79.305
12484,78.217
12485,80.082
12486,79.427
12487,81.198
12488,80.47
12489,76.351
12490,79.489
12491,80.128
12492,81.298
12493,78.635
12494,79.879
12495,81.193
12496,79.709
12497,84.003
12498,83.38
12499,77.874
12500,77.776
12501,75.19
12502,78.762
12503,75.694
12504,78.52
12505,80.737
12506,79.677
12507,78.23
12508,77.687
12509,79.929
12510,79.133
12511,80.32
12512,81.519
12513,77.823
12514,81.72
12515,80.194
12516,80.501
12518,78.706
12519,78.245
12520,81.603
12521,80.236
12523,81.536
12525,85.034
12526,81.689
12527,82.012
12528,80.333
12529,78.958
12530,77.858
12531,77.699
12532,77.227
12533,79.62
12565,82.671
12656,80.474
12674,81.57
12687,82.538
12736,81.539
13078,76.397
13080,80.966
13146,79.445
13147,78.508
13148,80.162
13149,78.905
13150,80.651
13196,80.327
13382,80.113
13461,79.354
13475,81.632
13477,78.994
13537,80.011
13893,77.174
13897,76.196
14744,76.161
14862,80.184
14882,81.087
14890,81.798
14906,78.0
14907,79.624
14914,78.233
14916,81.015
14930,82.268
14932,77.579
14939,79.049
14947,79.39
15180,81.2
15240,79.111
15339,79.993
15419,76.456
15425,79.363
15426,80.794
15474,81.992
15519,79.948
15524,81.337
15589,77.106
15679,77.885
15743,77.801
16036,80.359
16039,79.501
16064,82.133
