id,Deep,Mixtral-8x7B-Instruct,CV,Llama3-70B-Instruct-Turbo,True
1747,79.834,80.047,79.038,78.742,1
1784,78.594,80.261,78.951,78.792,1
2476,82.835,77.41,82.712,81.757,1
2515,82.544,82.15,80.269,81.076,1
2517,79.217,80.378,78.765,81.722,1
2529,82.635,81.575,80.951,81.589,1
2538,82.954,83.375,81.519,82.926,1
2551,83.732,81.056,80.911,81.532,1
2553,83.288,82.036,81.421,83.482,1
2554,82.732,83.626,81.739,81.485,1
2555,80.868,81.531,80.237,80.671,1
2556,82.079,79.742,78.353,79.526,1
2577,82.089,83.146,82.692,84.872,1
2582,82.851,70.439,79.841,80.608,1
2583,79.472,79.693,79.894,80.077,1
2584,84.009,79.868,82.429,82.436,1
2585,82.695,82.949,82.342,81.264,1
2586,83.706,81.809,81.45,81.27,1
2587,82.523,80.972,80.201,81.339,1
2588,81.614,82.468,82.33,81.023,1
2589,84.75,83.433,84.072,83.694,1
2590,83.893,83.705,83.86,82.71,1
2591,82.68,80.15,80.966,80.59,1
2592,85.335,85.39,84.51,84.262,1
2594,83.211,77.795,83.499,82.466,1
2595,83.252,80.492,83.092,80.815,1
2597,86.045,81.589,86.226,85.737,1
2645,82.441,82.052,81.308,82.418,1
2654,82.085,82.701,81.921,82.425,1
2655,83.587,82.461,82.022,82.748,1
2656,82.919,82.305,83.083,83.329,1
2657,79.645,77.991,77.689,79.125,1
2658,81.284,80.572,81.724,81.298,1
2659,82.015,80.811,79.967,81.081,1
2660,84.455,82.904,83.092,84.373,1
2741,78.11,79.821,77.723,78.209,1
2766,81.229,80.567,79.144,79.152,1
2793,83.086,81.889,82.69,82.981,1
2810,79.138,78.498,79.027,79.324,1
2824,82.373,83.386,82.082,82.813,1
3002,83.631,81.837,80.341,82.838,1
3021,84.166,83.23,82.509,84.471,1
3093,82.868,81.729,80.967,81.562,1
3105,82.308,81.055,82.276,83.427,1
3113,80.007,76.154,76.928,78.239,1
3118,83.508,82.833,78.741,81.911,1
3120,82.462,81.087,77.42,81.566,1
3122,83.017,82.031,81.297,79.73,1
3123,80.814,79.17,78.761,80.309,1
3133,83.726,82.746,80.768,81.059,1
3134,82.92,84.459,83.242,83.562,1
3135,84.811,84.549,84.517,85.413,1
3136,82.859,82.26,79.17,80.43,1
3137,82.785,82.497,82.506,81.764,1
3138,80.339,79.371,81.519,81.417,1
3139,80.222,79.611,79.939,80.364,1
3140,82.103,81.395,81.652,80.453,1
3141,82.357,82.343,79.027,81.752,1
3142,84.284,82.851,82.955,82.792,1
3143,80.257,81.126,81.015,80.898,1
3144,80.162,81.091,76.994,81.837,1
3145,78.41,79.641,78.842,78.751,1
3146,78.676,78.966,77.933,79.306,1
3147,81.004,82.853,79.918,80.448,1
3148,80.881,80.454,80.058,80.42,1
3149,82.538,82.241,80.726,81.755,1
3150,83.078,82.251,81.964,83.151,1
3153,81.729,79.524,78.503,80.863,1
3155,81.573,78.422,74.177,77.044,1
3156,82.601,79.323,79.653,80.183,1
3157,78.674,80.018,80.882,80.891,1
3158,82.378,82.226,81.608,82.162,1
3159,81.364,81.428,79.054,80.662,1
3160,80.329,80.34,78.679,79.271,1
3161,86.491,83.811,83.266,82.424,1
3162,80.759,81.594,81.467,82.115,1
3186,81.0,81.882,81.428,82.127,1
3225,83.408,84.295,82.351,83.265,1
3315,81.644,76.88,77.596,81.004,1
3321,84.054,82.953,82.115,80.572,1
3332,81.488,81.324,75.786,74.841,1
5877,78.468,78.813,77.985,79.409,1
5981,84.097,82.335,83.509,84.787,1
6018,78.83,78.108,77.359,77.617,0
6021,77.789,82.024,76.957,77.839,0
6026,82.436,81.622,78.456,77.636,0
6043,83.23,74.686,83.045,83.264,1
6078,81.938,81.823,80.289,80.774,1
6081,82.41,82.853,82.085,83.253,1
6082,81.789,80.536,80.058,83.167,1
6090,80.644,78.249,79.671,80.147,1
6127,85.804,84.347,83.267,85.127,1
