,Modified_gpt-5.2_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelgpt-5.2 DoorDash Score
6018,76.268
6021,80.565
6026,79.633
9479,79.239
16980,78.354
17014,74.862
18230,76.004
18348,79.27
26715,80.606
26747,83.606
29788,77.282
29835,79.574
30606,78.344
30845,79.689
32072,79.312
46443,81.824
46506,76.601
50300,81.278
51419,78.661
53971,76.576
53972,76.467
53973,77.127
53974,76.228
53975,78.104
53976,77.228
53977,81.017
53978,76.311
53979,78.538
53981,77.192
54796,76.47
54797,78.282
54798,77.028
54799,76.773
54800,74.508
56453,80.508
56528,79.282
56542,76.088
56543,73.44
56544,75.74
56545,74.753
56618,79.049
56619,74.039
56629,79.866
56630,75.859
56631,81.081
56632,77.078
56633,79.146
56634,74.79
56635,78.432
56637,75.745
56638,77.228
56639,73.962
56641,76.566
56642,77.377
56643,82.297
56644,78.067
56645,76.21
56646,75.209
56647,78.361
56648,76.848
56649,75.973
56650,78.52
56651,76.924
56652,78.75
56653,76.743
56654,78.162
56656,74.958
56657,76.977
56661,78.167
56662,78.684
56725,75.935
56795,75.277
56796,75.544
56797,75.909
56798,77.557
56799,74.196
56800,78.868
56801,76.858
56802,73.331
56803,81.127
56804,79.339
56805,77.272
56807,80.638
56809,79.056
56859,76.884
56860,78.346
56861,76.355
56862,78.453
57384,82.103
57400,83.299
62042,82.382
63086,76.074
63087,82.012
83710,77.967
83711,75.8
86666,78.807
87779,80.34
97622,76.453
98134,79.607
98135,76.859
98136,77.871
98137,76.392
98138,76.319
98171,77.004
98172,76.205
98173,78.366
98245,75.263
98250,81.548
98251,76.525
98252,78.111
98253,80.72
98254,77.077
98255,80.177
98256,77.123
98257,80.233
98258,78.165
98259,80.22
98260,77.406
98261,80.616
98262,77.453
98263,77.407
98264,78.826
98265,82.471
98266,81.807
98267,76.965
98268,77.685
98269,77.702
98270,78.246
98271,77.762
98272,78.657
98273,78.578
98274,77.789
98275,78.406
98276,78.011
98277,77.244
98278,77.661
98279,80.762
98280,78.801
98281,80.306
98282,78.637
98283,78.982
98284,73.858
98285,77.421
98286,78.203
98287,80.345
98288,75.688
98289,77.681
98290,78.295
98291,78.758
98292,78.783
98293,76.992
98294,78.573
98295,78.206
98296,75.889
98297,80.713
98298,78.542
98299,78.137
98300,77.181
98301,74.505
98302,79.592
98303,77.68
98304,78.754
98305,82.614
98306,77.565
98307,77.443
98308,77.685
98309,80.549
98310,82.04
98311,76.899
98312,79.121
98313,78.429
98314,81.552
98315,77.49
98316,83.505
98317,77.61
98318,78.975
98319,77.812
98320,78.571
98321,79.366
98322,76.566
98323,78.772
98324,77.344
98325,79.689
98326,75.97
98327,77.403
98328,79.414
98329,78.726
98330,78.125
98331,77.095
98332,76.92
98333,76.947
98334,79.548
98335,78.984
98336,77.565
98337,77.138
98338,79.68
98339,73.487
98340,75.102
98341,78.388
98342,81.558
98343,74.558
98344,79.905
98345,81.411
98346,77.143
98347,78.91
98348,76.523
98349,79.321
98350,80.137
98351,76.708
98352,76.468
98353,76.249
98354,76.035
98355,78.455
98356,78.488
98357,79.794
98358,79.215
98359,77.739
98360,76.053
98361,78.445
98362,78.078
98363,78.66
98364,74.496
98365,75.745
98366,77.405
98367,79.616
98368,78.681
98369,76.296
98370,79.664
98371,78.53
98372,80.256
98373,83.976
98374,79.227
98375,78.265
98376,79.009
98377,77.278
98378,78.247
98379,79.257
98380,79.961
98381,75.048
98382,78.488
98383,78.532
98384,79.702
98385,78.28
98386,79.256
98387,76.379
98388,80.166
98389,78.257
98390,80.338
98391,77.766
98392,76.102
98393,76.98
98394,73.881
98395,77.765
98396,75.915
98397,78.305
98398,77.702
98399,77.365
98400,76.618
98401,77.216
98402,84.043
1747,80.271
1784,77.806
2476,81.746
2515,79.495
2517,80.643
2529,80.513
2538,81.845
2551,82.122
2553,82.586
2554,81.517
2555,79.958
2556,80.782
2577,82.548
2582,80.922
2583,83.282
2584,82.861
2585,81.815
2586,81.561
2587,81.017
2588,80.381
2589,83.047
2590,83.861
2591,82.351
2592,85.029
2594,82.223
2595,82.651
2597,85.972
2645,83.184
2654,82.822
2655,82.948
2656,82.679
2657,77.373
2658,80.91
2659,80.614
2660,82.236
2741,77.912
2766,79.319
2793,82.232
2810,79.454
2824,82.475
3002,82.737
3021,82.173
3093,82.635
3105,83.731
3113,77.351
3118,82.411
3120,82.276
3122,81.986
3123,81.459
3133,82.728
3134,82.437
