Unnamed: 0,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat DoorDash Score
6018,78.83
6021,77.789
6026,82.436
9479,78.941
16980,78.075
17014,77.262
18230,77.197
18348,78.957
26715,81.596
26747,83.853
29788,78.556
29835,78.874
30606,76.608
30845,82.475
32072,81.215
46443,83.434
46506,77.669
50300,81.599
51419,78.055
53971,77.757
53972,79.199
53973,76.609
53974,76.074
53975,78.135
53976,74.633
53977,81.704
53978,79.491
53979,77.228
53981,76.141
54796,76.184
54797,79.663
54798,79.06
54799,77.009
54800,73.853
56453,81.698
56528,77.848
56542,75.737
56543,74.11
56544,75.267
56545,75.192
56618,79.751
56619,75.581
56629,78.581
56630,77.002
56631,80.916
56632,79.941
56633,81.755
56634,77.317
56635,78.917
56637,76.906
56638,77.434
56639,78.081
56641,77.515
56642,78.8
56643,82.453
56644,76.617
56645,78.201
56646,76.326
56647,78.395
56648,79.735
56649,78.538
56650,80.316
56651,79.036
56652,78.609
56653,77.53
56654,79.361
56656,77.698
56657,74.016
56661,80.418
56662,78.394
56725,78.213
56795,75.046
56796,74.463
56797,77.531
56798,76.207
56799,72.472
56800,77.034
56801,77.997
56802,76.215
56803,82.126
56804,78.507
56805,78.205
56807,81.718
56809,80.051
56859,76.177
56860,77.12
56861,79.137
56862,79.808
57384,81.665
57400,85.262
62042,79.715
63086,76.751
63087,81.418
83710,79.003
83711,76.009
86666,81.437
87779,80.501
97622,78.446
98134,79.906
98135,77.218
98136,76.34
98137,76.922
98138,78.95
98171,80.767
98172,75.115
98173,78.282
98245,78.378
98250,81.793
98251,78.166
98252,76.812
98253,79.504
98254,78.139
98255,80.792
98256,80.396
98257,80.477
98258,78.501
98259,81.773
98260,82.338
98261,81.346
98262,79.634
98263,78.225
98264,82.481
98265,79.997
98266,82.79
98267,75.912
98268,79.775
98269,78.865
98270,79.045
98271,78.309
98272,80.562
98273,80.073
98274,78.824
98275,80.758
98276,77.671
98277,76.913
98278,77.186
98279,81.958
98280,80.211
98281,80.712
98282,80.376
98283,81.569
98284,78.26
98285,77.522
98286,78.019
98287,81.632
98288,79.076
98289,78.141
98290,79.084
98291,80.001
98292,80.009
98293,78.29
98294,80.097
98295,78.364
98296,79.106
98297,81.301
98298,79.818
98299,78.798
98300,80.006
98301,74.217
98302,79.972
98303,79.94
98304,78.728
98305,82.585
98306,78.653
98307,80.803
98308,78.878
98309,77.112
98310,80.922
98311,78.93
98312,79.607
98313,78.646
98314,83.133
98315,79.642
98316,85.384
98317,77.49
98318,80.395
98319,79.0
98320,79.64
98321,81.283
98322,76.516
98323,79.202
98324,78.269
98325,81.308
98326,78.621
98327,77.725
98328,80.183
98329,80.367
98330,79.606
98331,77.985
98332,77.355
98333,79.472
98334,79.741
98335,80.442
98336,77.442
98337,79.12
98338,82.276
98339,76.262
98340,77.109
98341,80.5
98342,82.197
98343,73.503
98344,79.471
98345,80.17
98346,77.077
98347,79.902
98348,78.933
98349,80.521
98350,80.594
98351,76.522
98352,76.699
98353,77.137
98354,79.208
98355,80.324
98356,77.83
98357,81.729
98358,80.566
98359,78.696
98360,76.622
98361,79.607
98362,79.005
98363,76.845
98364,78.459
98365,77.409
98366,75.792
98367,80.041
98368,80.413
98369,78.459
98370,80.499
98371,80.376
98372,80.184
98373,84.829
98374,79.65
98375,81.79
98376,80.346
98377,79.987
98378,81.538
98379,81.592
98380,82.33
98381,76.635
98382,79.161
98383,82.666
98384,81.197
98385,77.133
98386,75.837
98387,80.877
98388,83.07
98389,82.077
98390,81.543
98391,78.797
98392,78.981
98393,77.326
98394,73.742
98395,80.514
98396,79.289
98397,79.086
98398,79.704
98399,77.73
98400,76.468
98401,80.317
98402,84.691
1747,79.834
1784,78.594
2476,82.835
2515,82.544
2517,79.217
2529,82.635
2538,82.954
2551,83.732
2553,83.288
2554,82.732
2555,80.868
2556,82.079
2577,82.089
2582,82.851
2583,79.472
2584,84.009
2585,82.695
2586,83.706
2587,82.523
2588,81.614
2589,84.75
2590,83.893
2591,82.68
2592,85.335
2594,83.211
2595,83.252
2597,86.045
2645,82.441
2654,82.085
2655,83.587
2656,82.919
2657,79.645
2658,81.284
2659,82.015
2660,84.455
2741,78.11
2766,81.229
2793,83.086
2810,79.138
2824,82.373
3002,83.631
3021,84.166
3093,82.868
3105,82.308
3113,80.007
3118,83.508
3120,82.462
3122,83.017
3123,80.814
3133,83.726
3134,82.92
3135,84.811
3136,82.859
3137,82.785
3138,80.339
3139,80.222
3140,82.103
3141,82.357
3142,84.284
3143,80.257
3144,80.162
3145,78.41
3146,78.676
3147,81.004
3148,80.881
3149,82.538
3150,83.078
3153,81.729
3155,81.573
3156,82.601
3157,78.674
3158,82.378
3159,81.364
3160,80.329
3161,86.491
3162,80.759
3186,81.0
3225,83.408
3315,81.644
3321,84.054
3332,81.488
5877,78.468
5981,84.097
6043,83.23
6078,81.938
6081,82.41
6082,81.789
6090,80.644
6127,85.804
6211,80.751
6213,84.413
6214,82.873
6231,81.108
6232,83.007
6233,82.28
6239,76.9
6240,82.768
6254,82.862
6255,79.462
6342,80.505
7630,79.472
7654,81.04
8890,82.053
8916,78.169
9028,80.591
9066,77.959
9445,81.243
9542,82.277
9546,82.785
9547,79.941
9583,81.13
9587,77.732
12037,82.816
12116,79.487
12122,82.91
12124,83.3
12141,81.882
12143,80.781
12149,81.387
12161,80.936
12252,82.501
12408,79.601
12409,82.999
12410,82.299
12418,82.263
12422,82.054
12435,82.347
12436,78.183
12437,81.733
12447,82.696
12448,83.926
12449,82.826
12450,81.093
12451,80.768
12452,83.551
12453,82.69
12454,82.594
12455,84.652
12456,83.502
12457,81.242
12458,80.855
12459,81.96
12460,83.515
12461,83.096
12462,81.187
12463,75.459
12464,85.592
12465,83.521
12466,80.377
12467,79.138
12468,81.061
12469,77.011
12470,85.874
12471,82.845
12472,82.728
12473,81.146
12474,79.178
12475,82.314
12476,80.675
12477,81.616
12478,83.915
12479,83.065
12480,82.705
12481,80.952
12482,82.697
12483,81.858
