Unnamed: 0,Modifiedgpt4o-onmini DoorDash Score
1747,79.591
1784,79.954
2476,83.226
2515,83.575
2517,82.998
2529,83.186
2538,84.662
2551,82.387
2553,83.3
2554,82.499
2555,81.183
2556,81.883
2577,84.109
2582,81.928
2583,82.354
2584,84.323
2585,83.292
2586,81.892
2587,83.482
2588,80.865
2589,84.486
2590,83.808
2591,83.672
2592,85.569
2594,83.556
2595,81.91
2597,86.105
2645,83.229
2654,84.517
2655,84.364
2656,82.838
2657,80.709
2658,82.927
2659,83.124
2660,84.827
2741,80.636
2766,81.976
2793,83.925
2810,79.318
2824,83.524
3002,82.834
3021,83.229
3093,83.558
3105,83.442
3113,80.574
3118,84.12
3120,82.395
3122,82.668
3123,83.333
3133,84.098
3134,83.774
3135,85.06
3136,83.91
3137,82.903
3138,81.235
3139,81.781
3140,81.845
3141,83.75
3142,83.347
3143,81.413
3144,82.851
3145,80.574
3146,80.385
3147,81.399
3148,82.367
3149,83.144
3150,84.243
3153,80.988
3155,81.071
3156,81.256
3157,79.478
3158,82.228
3159,80.915
3160,81.371
3161,84.496
3162,82.904
3186,85.342
3225,84.733
3315,83.31
3321,82.586
3332,80.684
5877,81.714
5981,84.572
6043,83.467
6078,80.665
6081,82.771
6082,82.419
6090,81.133
6127,85.472
6211,82.431
6213,82.974
6214,83.271
6231,80.457
6232,82.283
6233,83.612
6239,79.304
6240,83.228
6254,82.785
6255,81.181
6342,79.907
7630,81.287
7654,82.233
8890,81.811
8916,80.652
9028,79.086
9066,79.986
9445,81.358
9542,82.244
9546,83.286
9547,83.838
9583,82.129
9587,79.984
12037,83.039
12116,78.958
12122,83.737
12124,81.464
12141,81.638
12143,81.284
12149,80.739
12161,81.86
12252,83.504
12408,80.793
12409,82.362
12410,83.878
12418,83.613
12422,82.472
12435,82.265
12436,81.665
12437,81.277
12447,83.212
12448,84.065
12449,83.589
12450,82.477
12451,83.013
12452,83.919
12453,82.205
12454,81.743
12455,84.753
12456,82.997
12457,82.502
12458,85.031
12459,80.07
12460,83.764
12461,83.069
12462,81.634
12463,80.04
12464,85.442
12465,80.401
12466,82.109
12467,83.952
12468,81.969
12469,78.016
12470,83.636
12471,84.141
12472,82.615
12473,84.461
12474,79.75
12475,82.178
12476,81.623
12477,86.682
12478,83.066
12479,81.893
12480,81.903
12481,82.856
12482,83.585
12483,81.785
12484,80.808
12485,78.62
12486,83.882
12487,83.24
12488,81.47
12489,77.648
12490,81.397
12491,83.472
12492,82.05
12493,82.164
12494,80.767
12495,83.338
12496,83.469
12497,83.789
12498,83.191
12499,84.162
12500,81.726
12501,80.574
12502,83.426
12503,83.212
12504,83.736
12505,75.971
12506,81.765
12507,81.524
12508,83.637
12509,80.419
12510,82.564
12511,81.502
12512,81.022
12513,81.315
12514,84.488
12515,82.941
12516,83.502
12518,83.295
12519,81.11
12520,84.86
12521,83.619
12523,83.078
12525,86.036
12526,85.178
12527,83.403
12528,79.117
12529,86.259
12530,79.993
12531,80.713
12532,82.292
12533,82.142
12565,85.716
12656,82.733
12674,82.933
12687,79.256
12736,83.212
13078,83.277
13080,83.283
13146,80.931
13147,81.865
13148,83.503
13149,82.216
13150,82.786
13196,84.113
13382,82.59
13461,80.961
13475,84.667
13477,82.532
13537,84.062
13893,82.801
13897,81.706
14744,84.319
14862,83.349
14882,82.294
14890,82.127
14906,80.708
14907,81.141
14914,82.349
14916,76.576
14930,83.199
14932,79.731
14939,79.727
14947,80.648
15180,81.902
15240,81.766
15339,83.814
15419,82.753
15425,84.42
15426,83.453
15474,82.458
15519,82.109
15524,82.349
15589,81.041
15679,76.902
15743,79.26
16036,85.436
16039,82.106
16064,85.975
6018,77.803
6021,79.254
6026,80.067
9479,79.75
16980,81.575
17014,77.993
18230,78.465
18348,79.48
26715,81.389
26747,82.237
29788,80.331
29835,80.597
30606,80.867
30845,81.13
32072,79.529
46443,83.434
46506,79.969
50300,83.159
51419,79.705
53971,77.759
53972,79.191
53973,77.962
53974,78.405
53975,80.509
53976,77.797
53977,81.215
53978,76.811
53979,77.694
53981,78.324
54796,78.066
54797,79.144
54798,80.655
54799,77.998
54800,75.275
56453,80.905
56528,78.149
56542,75.525
56543,78.734
56544,76.773
56545,80.009
56618,81.224
56619,76.042
56629,80.278
56630,76.576
56631,81.022
56632,79.023
56633,81.466
56634,78.085
56635,77.874
56637,76.02
56638,76.934
56639,78.342
56641,78.229
56642,76.97
56643,82.738
56644,77.166
56645,79.639
56646,77.84
56647,79.503
56648,77.439
56649,77.296
56650,78.557
56651,79.695
56652,79.422
56653,79.354
56654,80.903
56656,77.234
56657,77.772
56661,79.959
56662,79.105
56725,79.272
56795,75.59
56796,73.211
56797,77.961
56798,78.596
56799,75.776
56800,79.252
56801,78.981
56802,77.878
56803,81.383
56804,79.72
56805,78.876
56807,81.543
56809,81.882
56859,77.417
56860,79.608
56861,77.031
56862,79.712
57384,82.511
57400,84.334
62042,81.644
63086,78.311
63087,83.018
83710,80.895
83711,79.412
86666,80.282
87779,83.014
97622,77.93
98134,80.523
98135,81.229
98136,77.75
98137,78.792
98138,81.13
98171,78.687
98172,74.409
98173,80.326
98245,79.957
98250,83.121
98251,79.076
98252,80.811
98253,81.772
98254,77.358
98255,80.887
98256,81.244
98257,82.53
98258,80.202
98259,79.454
98260,81.494
98261,81.266
98262,82.744
98263,81.223
98264,82.62
98265,84.56
98266,83.852
98267,79.028
98268,80.752
98269,81.142
98270,82.146
98271,78.156
98272,79.553
98273,81.231
98274,80.288
98275,79.732
98276,78.36
98277,79.054
98278,78.935
98279,82.506
98280,80.475
98281,80.183
98282,81.517
98283,81.129
98284,76.061
98285,78.124
98286,81.713
98287,81.006
98288,76.916
98289,79.31
98290,77.44
98291,79.862
98292,79.107
98293,80.487
98294,82.438
98295,81.314
98296,78.751
98297,81.008
98298,80.299
98299,80.117
98300,79.58
98301,79.889
98302,81.411
98303,80.886
98304,78.33
98305,82.42
98306,82.388
98307,78.925
98308,78.862
98309,81.327
98310,83.869
98311,78.495
98312,79.364
98313,80.653
98314,83.468
98315,79.502
98316,83.547
98317,79.547
98318,80.514
98319,80.603
98320,79.349
98321,82.493
98322,80.953
98323,78.461
98324,79.972
98325,79.521
98326,78.832
98327,79.372
98328,80.65
98329,78.367
98330,79.509
98331,81.021
98332,76.996
98333,78.085
98334,82.523
98335,81.933
98336,80.451
98337,79.004
98338,79.8
98339,77.648
98340,79.056
98341,80.269
98342,82.137
98343,74.639
98344,80.94
98345,82.11
98346,79.779
98347,80.994
98348,78.876
98349,81.579
98350,79.526
98351,78.724
98352,76.043
98353,77.764
98354,79.514
98355,80.883
98356,79.771
98357,82.125
98358,80.589
98359,76.738
98360,80.547
98361,80.575
98362,79.902
98363,78.458
98364,76.425
98365,78.464
98366,77.562
98367,81.034
98368,79.619
98369,79.931
98370,81.16
98371,79.237
98372,80.923
98373,82.912
98374,82.296
98375,81.494
98376,80.622
98377,79.722
98378,80.623
98379,82.636
98380,81.826
98381,78.194
98382,77.813
98383,81.788
98384,80.968
98385,78.062
98386,79.45
98387,81.157
98388,80.894
98389,79.747
98390,81.586
