,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5 DoorDash Score
6018,77.066
6021,77.93
6026,80.518
9479,79.552
16980,77.815
17014,75.295
18230,76.927
18348,79.429
26715,81.235
26747,83.244
29788,77.058
29835,80.867
30606,79.122
30845,82.218
32072,80.072
46443,83.319
46506,76.641
50300,81.78
51419,77.385
53971,76.517
53972,77.704
53973,76.171
53974,76.423
53975,78.223
53976,77.145
53977,82.086
53978,76.485
53979,78.704
53981,77.293
54796,77.415
54797,78.157
54798,78.883
54799,76.893
54800,73.81
56453,80.937
56528,78.178
56542,76.138
56543,73.178
56544,75.442
56545,78.675
56618,79.31
56619,75.813
56629,79.038
56630,77.237
56631,80.785
56632,78.382
56633,79.576
56634,75.762
56635,78.053
56637,77.628
56638,76.665
56639,77.035
56641,78.625
56642,77.611
56643,82.851
56644,77.683
56645,77.225
56646,77.815
56647,78.453
56648,79.251
56649,75.417
56650,78.368
56651,78.074
56652,79.178
56653,77.555
56654,80.187
56656,77.215
56657,76.916
56661,78.964
56662,80.44
56725,79.386
56795,75.321
56796,75.792
56797,77.885
56798,76.119
56799,76.154
56800,77.615
56801,74.042
56802,75.814
56803,81.539
56804,78.978
56805,78.286
56807,82.142
56809,80.533
56859,76.554
56860,78.895
56861,76.514
56862,78.179
57384,81.804
57400,83.676
62042,79.894
63086,76.516
63087,82.578
83710,78.713
83711,73.354
86666,80.468
87779,81.45
97622,78.253
98134,79.629
98135,77.396
98136,78.017
98137,76.657
98138,78.789
98171,77.378
98172,76.365
98173,79.041
98245,77.26
98250,80.882
98251,77.456
98252,79.568
98253,79.413
98254,77.356
98255,79.36
98256,79.737
98257,80.843
98258,80.046
98259,80.582
98260,77.736
98261,80.864
98262,78.289
98263,75.31
98264,79.433
98265,81.674
98266,82.729
98267,79.33
98268,76.776
98269,78.358
98270,79.171
98271,77.843
98272,78.645
98273,76.563
98274,78.429
98275,79.117
98276,79.156
98277,77.385
98278,77.965
98279,79.404
98280,80.294
98281,81.036
98282,79.369
98283,79.402
98284,76.632
98285,79.148
98286,79.321
98287,80.691
98288,76.124
98289,77.939
98290,76.156
98291,78.921
98292,78.239
98293,77.857
98294,80.365
98295,78.068
98296,78.14
98297,81.637
98298,79.782
98299,79.34
98300,76.556
98301,75.795
98302,81.094
98303,78.714
98304,79.149
98305,80.637
98306,78.157
98307,78.643
98308,77.914
98309,83.044
98310,82.425
98311,79.275
98312,77.588
98313,77.183
98314,82.839
98315,78.589
98316,83.621
98317,77.701
98318,78.497
98319,78.019
98320,79.382
98321,79.938
98322,78.132
98323,79.609
98324,79.072
98325,79.157
98326,76.796
98327,79.715
98328,79.751
98329,80.754
98330,79.513
98331,77.354
98332,77.48
98333,75.884
98334,80.571
98335,79.833
98336,78.139
98337,77.764
98338,78.868
98339,75.531
98340,76.718
98341,78.726
98342,81.143
98343,74.888
98344,79.406
98345,79.858
98346,78.084
98347,78.055
98348,77.147
98349,78.034
98350,80.218
98351,78.051
98352,75.141
98353,77.307
98354,75.07
98355,78.978
98356,78.092
98357,82.371
98358,79.816
98359,77.731
98360,75.827
98361,80.346
98362,77.935
98363,76.615
98364,76.448
98365,76.393
98366,78.596
98367,79.48
98368,76.515
98369,77.513
98370,79.801
98371,78.014
98372,80.275
98373,84.016
98374,79.598
98375,78.983
98376,79.529
98377,77.824
98378,79.23
98379,80.171
98380,81.423
98381,76.661
98382,77.307
98383,77.128
98384,81.274
98385,77.556
98386,79.928
98387,80.16
98388,81.459
98389,78.91
98390,80.195
98391,78.156
98392,76.638
98393,76.576
98394,74.435
98395,78.379
98396,79.198
98397,78.788
98398,79.721
98399,78.102
98400,78.236
98401,78.746
98402,80.557
1747,79.925
1784,79.355
2476,82.539
2515,84.049
2517,79.867
2529,80.742
2538,82.658
2551,82.449
2553,82.973
2554,82.318
2555,81.398
2556,82.249
2577,84.01
2582,82.089
2583,81.69
2584,83.224
2585,82.332
2586,82.146
2587,81.55
2588,81.375
2589,83.647
2590,83.817
2591,83.352
2592,84.801
2594,83.56
2595,81.694
2597,86.132
2645,83.078
2654,82.608
2655,84.092
2656,82.866
2657,79.296
2658,81.715
2659,81.78
2660,83.608
2741,78.722
2766,80.06
2793,82.895
2810,80.531
2824,82.998
3002,83.364
3021,83.283
3093,83.426
3105,83.404
3113,77.598
3118,79.956
3120,82.019
3122,81.482
3123,80.522
3133,82.674
3134,83.766
3135,85.801
3136,81.367
3137,83.974
3138,83.144
3139,79.862
3140,80.694
3141,77.567
3142,83.381
3143,81.615
3144,79.789
3145,78.753
