Unnamed: 0,Modifiedgpt4o-onmini UIUX Score
1747,81.671
1784,82.131
2476,82.318
2515,80.27
2517,80.201
2529,81.996
2538,80.211
2551,83.447
2553,79.958
2554,86.597
2555,79.418
2556,81.873
2577,82.434
2582,81.427
2583,81.005
2584,81.673
2585,80.75
2586,80.137
2587,80.824
2588,78.246
2589,82.566
2590,79.629
2591,81.749
2592,80.492
2594,79.813
2595,80.924
2597,82.06
2645,80.354
2654,82.422
2655,80.316
2656,81.993
2657,84.406
2658,79.636
2659,79.99
2660,80.584
2741,78.267
2766,83.521
2793,82.07
2810,75.975
2824,81.83
3002,79.758
3021,79.893
3093,81.381
3105,79.711
3113,80.757
3118,82.668
3120,79.4
3122,81.004
3123,81.608
3133,82.606
3134,81.752
3135,81.371
3136,84.142
3137,81.077
3138,78.367
3139,78.729
3140,81.391
3141,83.756
3142,79.455
3143,78.554
3144,81.723
3145,77.746
3146,79.071
3147,80.94
3148,80.085
3149,80.908
3150,81.29
3153,80.649
3155,79.663
3156,79.671
3157,80.541
3158,80.634
3159,76.422
3160,81.908
3161,83.592
3162,81.369
3186,81.994
3225,79.701
3315,79.796
3321,79.785
3332,82.064
5877,80.303
5981,82.668
6043,79.53
6078,79.873
6081,82.204
6082,82.107
6090,78.099
6127,83.597
6211,81.199
6213,79.972
6214,81.785
6231,78.04
6232,81.419
6233,82.435
6239,79.654
6240,78.902
6254,83.819
6255,78.108
6342,75.373
7630,82.549
7654,79.714
8890,85.449
8916,79.187
9028,80.291
9066,79.895
9445,80.326
9542,82.489
9546,80.527
9547,80.885
9583,77.626
9587,78.469
12037,83.065
12116,79.066
12122,81.624
12124,78.772
12141,80.073
12143,80.736
12149,80.694
12161,80.773
12252,84.108
12408,78.196
12409,79.084
12410,83.042
12418,82.907
12422,78.276
12435,78.132
12436,78.199
12437,80.147
12447,82.99
12448,81.118
12449,81.544
12450,80.799
12451,79.425
12452,80.172
12453,82.33
12454,81.741
12455,80.443
12456,80.093
12457,82.137
12458,86.075
12459,76.755
12460,82.039
12461,84.352
12462,79.757
12463,83.535
12464,81.532
12465,77.843
12466,80.812
12467,82.9
12468,80.446
12469,79.238
12470,87.541
12471,82.32
12472,84.84
12473,82.139
12474,80.309
12475,80.484
12476,81.674
12477,83.926
12478,83.336
12479,82.05
12480,79.557
12481,82.834
12482,83.195
12483,81.588
12484,79.635
12485,78.282
12486,81.194
12487,82.444
12488,81.51
12489,75.489
12490,79.539
12491,81.805
12492,80.862
12493,80.474
12494,83.208
12495,81.573
12496,81.274
12497,84.645
12498,85.675
12499,81.24
12500,77.583
12501,78.373
12502,81.549
12503,80.661
12504,79.946
12505,80.827
12506,80.052
12507,81.65
12508,80.906
12509,81.887
12510,81.629
12511,80.878
12512,82.709
12513,80.338
12514,81.429
12515,81.73
12516,79.973
12518,81.554
12519,80.484
12520,81.66
12521,81.02
12523,81.534
12525,85.234
12526,80.343
12527,83.817
12528,79.326
12529,81.989
12530,77.063
12531,79.705
12532,78.336
12533,80.259
12565,83.722
12656,82.257
12674,81.851
12687,82.77
12736,82.926
13078,78.587
13080,83.225
13146,80.752
13147,78.76
13148,81.669
13149,80.458
13150,83.056
13196,80.281
13382,80.412
13461,78.461
13475,82.525
13477,81.127
13537,80.047
13893,79.841
13897,79.653
14744,78.028
14862,82.416
14882,81.602
14890,81.416
14906,81.36
14907,82.125
14914,79.349
14916,78.657
14930,82.395
14932,78.858
14939,79.433
14947,79.381
15180,80.715
15240,80.787
15339,81.404
15419,79.497
15425,80.402
15426,82.696
15474,80.326
15519,82.372
15524,81.911
15589,80.467
15679,79.986
15743,79.948
16036,83.499
16039,81.597
16064,83.496
6018,85.734
6021,82.671
6026,87.964
9479,84.365
16980,80.932
17014,79.767
18230,87.228
18348,85.911
26715,85.11
26747,87.113
29788,87.487
29835,83.68
30606,87.878
30845,87.513
32072,88.504
46443,87.852
46506,82.057
50300,83.957
51419,90.261
53971,86.524
53972,82.547
53973,85.979
53974,85.678
53975,88.063
53976,81.069
53977,85.495
53978,84.441
53979,87.383
53981,86.206
