,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5 Google Score
6018,85.633
6021,81.474
6026,85.467
9479,88.308
16980,76.268
17014,78.038
18230,83.677
18348,85.142
26715,83.856
26747,87.234
29788,83.386
29835,82.666
30606,86.147
30845,87.256
32072,86.152
46443,86.145
46506,81.638
50300,83.082
51419,87.43
53971,85.409
53972,83.276
53973,86.104
53974,84.281
53975,87.407
53976,80.406
53977,84.037
53978,84.94
53979,88.122
53981,84.874
54796,82.546
54797,88.256
54798,83.205
54799,83.53
54800,80.092
56453,83.335
56528,81.177
56542,81.829
56543,79.852
56544,85.114
56545,81.669
56618,86.49
56619,81.696
56629,88.586
56630,84.602
56631,84.294
56632,87.12
56633,83.193
56634,81.464
56635,77.964
56637,84.216
56638,87.494
56639,87.72
56641,82.938
56642,82.498
56643,83.092
56644,81.847
56645,84.58
56646,81.672
56647,84.898
56648,79.435
56649,81.829
56650,83.189
56651,85.714
56652,85.486
56653,79.937
56654,84.259
56656,84.97
56657,87.017
56661,85.228
56662,86.837
56725,85.2
56795,82.103
56796,84.861
56797,85.222
56798,83.125
56799,81.663
56800,81.805
56801,82.868
56802,81.682
56803,87.166
56804,89.303
56805,81.69
56807,87.742
56809,84.142
56859,82.423
56860,86.661
56861,83.759
56862,85.739
57384,88.691
57400,87.749
62042,82.992
63086,83.473
63087,84.886
83710,84.41
83711,74.427
86666,86.072
87779,80.598
97622,89.647
98134,86.275
98135,87.463
98136,84.898
98137,85.191
98138,86.439
98171,86.201
98172,82.936
98173,85.417
98245,84.591
98250,80.203
98251,82.161
98252,77.045
98253,79.399
98254,86.733
98255,85.424
98256,79.626
98257,86.296
98258,82.793
98259,85.434
98260,77.981
98261,86.526
98262,85.684
98263,77.292
98264,82.494
98265,81.639
98266,86.119
98267,80.55
98268,76.725
98269,85.901
98270,81.673
98271,85.093
98272,88.811
98273,82.838
98274,87.286
98275,85.584
98276,86.287
98277,87.983
98278,86.938
98279,85.601
98280,85.868
98281,87.363
98282,86.347
98283,86.592
98284,85.785
98285,84.088
98286,84.749
98287,87.948
98288,79.562
98289,82.718
98290,80.311
98291,86.93
98292,86.314
98293,83.919
98294,84.735
98295,85.796
98296,85.128
98297,85.599
98298,88.177
98299,87.31
98300,86.881
98301,87.741
98302,86.263
98303,86.823
98304,86.297
98305,86.308
98306,87.748
98307,87.454
98308,83.956
98309,84.344
98310,84.639
98311,86.99
98312,86.187
98313,85.464
98314,88.685
98315,84.486
98316,87.283
98317,85.17
98318,84.631
98319,85.277
98320,88.139
98321,85.758
98322,87.569
98323,88.052
98324,86.961
98325,87.34
98326,81.794
98327,83.199
98328,87.287
98329,85.349
98330,85.464
98331,78.114
98332,81.963
98333,83.331
98334,79.611
98335,80.999
98336,80.77
98337,85.516
98338,79.455
98339,86.029
98340,86.008
98341,86.36
98342,86.819
98343,85.426
98344,86.775
98345,82.005
98346,84.225
98347,85.064
98348,80.346
98349,87.48
98350,87.347
98351,86.106
98352,82.37
98353,85.386
98354,76.659
98355,81.887
98356,82.919
98357,79.775
98358,86.572
98359,80.192
98360,72.816
98361,86.063
98362,82.967
98363,81.549
98364,84.469
98365,85.517
98366,80.583
98367,83.032
98368,80.911
98369,88.852
98370,87.869
98371,85.849
98372,87.165
98373,83.323
98374,85.106
98375,86.606
98376,85.633
98377,85.242
98378,86.748
98379,88.808
98380,87.889
98381,82.584
98382,86.522
98383,81.485
98384,80.26
98385,85.379
98386,80.212
98387,86.104
98388,87.586
98389,84.211
98390,86.25
98391,84.458
98392,85.687
98393,84.059
98394,82.924
98395,88.507
98396,87.002
98397,84.273
98398,86.993
98399,84.799
98400,80.762
98401,82.515
98402,86.068
1747,81.172
1784,81.558
2476,80.182
2515,80.687
2517,77.25
2529,77.33
2538,79.666
2551,81.545
2553,78.324
2554,84.402
2555,79.265
2556,79.568
2577,80.159
2582,79.642
2583,78.891
2584,79.921
2585,78.888
2586,79.841
2587,77.688
2588,77.702
2589,80.57
2590,80.015
2591,80.186
2592,81.481
2594,79.176
2595,79.239
2597,82.867
2645,80.304
2654,79.87
2655,80.52
2656,79.409
2657,82.626
2658,78.403
2659,78.327
2660,78.247
2741,77.547
2766,79.924
2793,81.494
2810,77.643
2824,80.088
3002,78.526
3021,77.816
3093,81.326
3105,79.312
3113,78.077
3118,81.539
3120,77.371
3122,79.245
3123,79.915
3133,79.954
3134,80.572
3135,79.758
3136,80.854
3137,79.486
3138,78.847
3139,78.831
3140,78.861
3141,77.534
3142,80.049
3143,80.121
3144,79.136
3145,78.664
3146,78.497
3147,79.89
3148,80.197
3149,79.844
3150,80.642
3153,79.936
3155,76.195
3156,79.331
3157,78.323
3158,81.105
3159,80.36
3160,81.346
3161,81.933
3162,79.362
3186,79.553
3225,77.492
3315,77.586
3321,78.504
3332,76.546
5877,80.453
5981,80.625
6043,79.2
6078,80.15
6081,82.354
6082,81.226
6090,79.084
6127,81.364
6211,78.863
6213,82.113
6214,81.327
6231,77.74
6232,81.161
6233,77.891
6239,80.277
6240,77.548
6254,82.013
6255,78.87
6342,75.914
7630,79.249
7654,78.649
8890,80.265
8916,77.753
9028,78.936
9066,76.633
9445,80.404
9542,79.875
9546,79.965
9547,78.368
9583,78.382
9587,78.815
12037,81.892
12116,76.932
12122,80.104
12124,78.225
12141,78.887
12143,79.66
12149,82.072
12161,78.202
12252,81.246
12408,76.134
12409,78.989
12410,79.806
12418,81.243
12422,78.394
12435,77.421
12436,76.456
12437,78.11
12447,79.498
12448,80.814
12449,79.022
12450,79.18
12451,75.741
12452,78.35
12453,79.928
12454,79.091
12455,78.638
12456,80.447
12457,81.892
12458,82.671
12459,76.695
12460,79.823
12461,76.912
12462,79.037
12463,83.134
12464,80.637
12465,78.409
12466,80.038
12467,80.634
12468,78.219
12469,78.349
12470,84.174
12471,84.426
12472,82.545
12473,78.555
12474,80.649
12475,79.182
12476,80.248
12477,83.431
12478,81.945
12479,77.054
12480,79.2
12481,81.696
12482,82.077
12483,79.59
12484,78.388
12485,79.236
12486,79.982
12487,79.73
12488,78.804
12489,76.098
12490,79.017
12491,80.814
12492,79.846
12493,78.301
12494,79.923
12495,81.122
12496,78.869
12497,83.187
12498,81.291
12499,76.934
12500,77.312
12501,75.351
12502,79.231
12503,78.736
12504,79.742
12505,79.551
12506,82.105
12507,80.15
12508,77.684
12509,80.076
12510,78.653
12511,80.031
12512,80.153
12513,77.139
12514,82.429
12515,80.602
12516,79.373
12518,79.427
12519,78.915
12520,81.117
12521,80.879
12523,81.386
12525,84.872
12526,81.905
12527,82.263
12528,80.301
12529,78.919
12530,75.822
12531,77.9
12532,77.68
12533,77.719
12565,82.782
12656,81.388
12674,81.44
12687,82.703
12736,82.001
13078,76.327
13080,80.697
13146,78.312
13147,79.348
13148,79.502
13149,79.619
13150,79.643
13196,80.581
13382,80.003
13461,79.373
13475,80.83
13477,78.751
13537,81.122
13893,77.572
13897,75.48
14744,76.433
14862,80.278
14882,82.426
14890,83.035
14906,79.149
14907,79.557
14914,78.058
14916,76.078
14930,81.938
14932,77.301
14939,78.405
14947,79.585
15180,78.792
15240,79.119
15339,82.693
15419,77.156
15425,78.301
15426,80.95
15474,81.376
15519,82.84
15524,81.095
15589,76.585
15679,77.176
15743,78.324
16036,79.514
16039,79.221
16064,82.057
