Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_doordash_pm_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_doordash_pm_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_apple_pm_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_apple_pm_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_samsara_pm_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_samsara_pm_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_yelp_pm_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_yelp_pm_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_match_pm_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_match_pm_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_i2c_ux_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_i2c_ux_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_adobe_ux_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_adobe_ux_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_amazon_ux_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_amazon_ux_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_rowan_ux_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_rowan_ux_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_google_ux_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_google_ux_Score
6018,0.64735746,0.82367873,0.65619606,0.82809806,0.62482107,0.81241053,0.6588607,0.82943034,0.6682914,0.83414567,0.71622574,0.8581129,0.6662007,0.8331003,0.7663198,0.8831599,0.7680365,0.88401824,0.74987525,0.87493765
6021,0.697587,0.8487935,0.6206821,0.81034106,0.61316425,0.8065821,0.62665117,0.8133256,0.62117696,0.8105885,0.7139568,0.8569784,0.6460902,0.82304513,0.6824108,0.84120536,0.7049881,0.85249406,0.70908654,0.85454327
6026,0.5634598,0.78172994,0.59185153,0.79592574,0.49214864,0.7460743,0.5712677,0.78563386,0.59771234,0.79885614,0.64106244,0.82053125,0.63187194,0.81593597,0.6727766,0.8363883,0.63719356,0.8185968,0.66907525,0.8345376
9479,0.7044598,0.8522299,0.6576965,0.82884824,0.6050943,0.80254716,0.6296902,0.8148451,0.70461166,0.8523058,0.7828038,0.8914019,0.71364117,0.8568206,0.7631983,0.8815992,0.7450672,0.87253356,0.7737987,0.88689935
16980,0.74854815,0.8742741,0.74473757,0.8723688,0.69667745,0.8483387,0.71365035,0.8568252,0.74237686,0.8711884,0.7682322,0.8841161,0.7034977,0.8517488,0.7861959,0.89309794,0.77715665,0.8885783,0.759295,0.8796475
17014,0.33030656,0.66515326,0.44120848,0.72060424,0.34408388,0.67204195,0.3868611,0.69343054,0.3961029,0.69805145,0.3071748,0.6535874,0.42291647,0.7114582,0.3881216,0.6940608,0.4829812,0.7414906,0.41736728,0.7086836
18230,0.65954834,0.82977414,0.65413713,0.82706857,0.6031593,0.80157965,0.6498432,0.8249216,0.6891277,0.84456384,0.67695224,0.8384761,0.6906114,0.8453057,0.7170095,0.8585048,0.70670307,0.85335153,0.70553637,0.8527682
18348,0.6576725,0.82883626,0.6789681,0.83948404,0.59047604,0.795238,0.60234344,0.8011717,0.7111931,0.85559654,0.82163787,0.91081893,0.77411664,0.8870583,0.8104602,0.9052301,0.80280834,0.90140414,0.86151993,0.93075997
26715,0.6850662,0.8425331,0.7533963,0.87669814,0.6343472,0.8171736,0.6606128,0.8303064,0.7463691,0.87318456,0.6853169,0.84265846,0.77008116,0.8850406,0.7516316,0.8758158,0.7673867,0.88369334,0.72821105,0.8641055
26747,0.75870776,0.8793539,0.69624555,0.8481228,0.6479273,0.82396364,0.68567485,0.84283745,0.74395263,0.8719763,0.79523504,0.8976175,0.7172053,0.85860264,0.80017114,0.90008557,0.74006784,0.8700339,0.78220963,0.8911048
29788,0.6478058,0.8239029,0.64314497,0.8215725,0.5596844,0.7798422,0.5953674,0.7976837,0.6762913,0.8381456,0.7779151,0.88895756,0.7392609,0.86963046,0.71311486,0.8565574,0.75565815,0.8778291,0.8063959,0.90319794
29835,0.70577735,0.8528887,0.70736897,0.8536845,0.62729025,0.8136451,0.643196,0.821598,0.70873415,0.8543671,0.8017168,0.9008584,0.7732905,0.88664526,0.7918071,0.8959036,0.8010004,0.9005002,0.82926583,0.9146329
30606,0.5336656,0.7668328,0.4684381,0.7342191,0.48011866,0.7400593,0.49874556,0.7493728,0.5286701,0.76433504,0.62397695,0.8119885,0.5132463,0.75662315,0.54779327,0.77389663,0.6097113,0.80485564,0.5872041,0.79360205
30845,0.7448815,0.87244076,0.72845626,0.8642281,0.6713764,0.83568823,0.710551,0.8552755,0.7539027,0.87695134,0.85133183,0.9256659,0.75341606,0.87670803,0.85255075,0.9262754,0.8384012,0.9192006,0.8509245,0.92546225
32072,0.734904,0.867452,0.70512515,0.85256255,0.6909263,0.84546316,0.6629276,0.8314638,0.7138853,0.85694265,0.79630184,0.8981509,0.7104516,0.8552258,0.80223644,0.9011182,0.7665936,0.8832968,0.77886915,0.8894346
46443,0.7445781,0.87228906,0.77482927,0.88741463,0.7141596,0.8570798,0.70261276,0.8513064,0.7718266,0.8859133,0.80840814,0.9042041,0.7344539,0.86722696,0.8493254,0.9246627,0.8135773,0.90678865,0.84331036,0.9216552
46506,0.4699142,0.7349571,0.50910896,0.7545545,0.4800797,0.7400398,0.4478569,0.72392845,0.50124323,0.7506216,0.54417574,0.7720879,0.48324952,0.7416248,0.60049,0.800245,0.6569124,0.82845616,0.59396136,0.7969807
50300,0.70435596,0.852178,0.7207546,0.8603773,0.7136622,0.8568311,0.62534565,0.81267285,0.78428006,0.89214003,0.795808,0.89790404,0.7314062,0.8657031,0.8065078,0.9032539,0.79293096,0.8964655,0.83312523,0.9165626
51419,0.60355306,0.8017765,0.6578248,0.8289124,0.5835448,0.79177237,0.581706,0.790853,0.6124327,0.80621636,0.61831987,0.80915993,0.6460439,0.82302195,0.68979377,0.8448969,0.71177995,0.85589,0.6759361,0.83796805
53971,0.5439614,0.7719807,0.5618262,0.7809131,0.50000745,0.7500037,0.5029973,0.75149864,0.59026587,0.79513294,0.61762285,0.8088114,0.67660826,0.83830416,0.6262882,0.8131441,0.66440046,0.8322002,0.6464976,0.8232488
53972,0.61946714,0.80973357,0.6233634,0.8116817,0.5663798,0.7831899,0.5510206,0.7755103,0.66131616,0.8306581,0.713398,0.856699,0.70951635,0.85475814,0.6859398,0.8429699,0.71478224,0.8573911,0.7250903,0.86254513
53973,0.6760024,0.8380012,0.6619762,0.8309881,0.6178175,0.80890876,0.6592337,0.82961684,0.7083894,0.8541947,0.7925005,0.89625025,0.74285805,0.871429,0.8100587,0.90502936,0.79264957,0.89632475,0.8302081,0.91510403
53974,0.64132476,0.8206624,0.599576,0.799788,0.5818877,0.79094386,0.6192886,0.80964434,0.6823964,0.8411982,0.7610034,0.8805017,0.7549902,0.8774951,0.73534256,0.86767125,0.74747777,0.8737389,0.80304676,0.90152335
53975,0.70226556,0.85113275,0.6656117,0.8328059,0.67137766,0.8356888,0.6400362,0.8200181,0.71508974,0.8575449,0.8094178,0.90470886,0.7016964,0.8508482,0.74265075,0.8713254,0.80079055,0.9003953,0.79146314,0.89573157
53976,0.61747575,0.8087379,0.5953373,0.79766864,0.5685606,0.7842803,0.55251145,0.7762557,0.6302295,0.81511474,0.72461283,0.8623064,0.7187656,0.8593828,0.66834176,0.8341709,0.7334876,0.8667438,0.73813343,0.8690667
53977,0.7451848,0.8725924,0.65430015,0.8271501,0.6297524,0.8148762,0.62045574,0.8102279,0.7421632,0.8710816,0.8218451,0.9109225,0.75236917,0.8761846,0.7770738,0.88853693,0.7725357,0.88626784,0.80354625,0.9017731
53978,0.68678385,0.8433919,0.621518,0.810759,0.6030654,0.8015327,0.5799923,0.78999615,0.71082723,0.8554136,0.8105961,0.90529805,0.69449794,0.847249,0.7510575,0.87552875,0.74799395,0.873997,0.80134726,0.9006736
53979,0.75007164,0.8750358,0.6993495,0.84967476,0.65801847,0.82900923,0.64087737,0.8204387,0.770128,0.885064,0.8643192,0.9321596,0.77063954,0.88531977,0.81215876,0.9060794,0.7787185,0.88935924,0.82283765,0.9114188
53981,0.6626636,0.8313318,0.64579195,0.822896,0.5850177,0.79250884,0.609951,0.8049755,0.70744133,0.85372066,0.7895355,0.89476776,0.77185154,0.88592577,0.76485634,0.88242817,0.7590556,0.8795278,0.7958779,0.89793897
54796,0.60061586,0.8003079,0.62850237,0.8142512,0.50952643,0.75476325,0.6004065,0.80020326,0.56527156,0.7826358,0.59076685,0.79538345,0.6189572,0.80947864,0.6812339,0.84061694,0.67030656,0.8351533,0.6257752,0.8128876
54797,0.7302293,0.8651147,0.6729359,0.836468,0.6601212,0.8300606,0.613976,0.806988,0.75622034,0.8781102,0.8776314,0.9388157,0.7400662,0.8700331,0.82696676,0.9134834,0.75630176,0.8781509,0.8344631,0.91723156
54798,0.6482831,0.82414156,0.67871463,0.8393573,0.61369944,0.8068497,0.62062275,0.8103114,0.67473114,0.83736557,0.71016234,0.8550812,0.6642971,0.83214855,0.7174451,0.85872257,0.77761436,0.8888072,0.7083198,0.8541599
54799,0.63721436,0.8186072,0.62543654,0.8127183,0.538671,0.7693355,0.5738041,0.78690207,0.6560496,0.8280248,0.7733729,0.88668644,0.7614677,0.88073385,0.74447215,0.8722361,0.7955981,0.897799,0.846519,0.9232595
54800,0.6323267,0.81616336,0.6274596,0.81372976,0.5892221,0.79461104,0.5772992,0.78864956,0.6435052,0.8217526,0.6978455,0.8489227,0.73442644,0.86721325,0.7364473,0.86822367,0.7194396,0.8597198,0.7504431,0.87522155
56453,0.6973901,0.84869504,0.69365984,0.8468299,0.6635363,0.83176816,0.62142587,0.81071293,0.7312083,0.86560416,0.73657453,0.86828727,0.78057015,0.8902851,0.7556074,0.8778037,0.7816229,0.89081144,0.7790134,0.8895067
56528,0.6152651,0.80763257,0.57644385,0.78822196,0.48756734,0.74378365,0.57767165,0.7888358,0.6399722,0.8199861,0.7094074,0.85470366,0.6686572,0.8343286,0.6656488,0.8328244,0.68583083,0.8429154,0.6920277,0.84601384
56542,0.69169366,0.84584683,0.67378515,0.8368926,0.6096172,0.8048086,0.6724694,0.8362347,0.6961858,0.8480929,0.780774,0.890387,0.7363337,0.86816686,0.79104835,0.89552414,0.7728369,0.88641846,0.8053477,0.90267384
56543,0.5525532,0.7762766,0.5649049,0.78245246,0.48214102,0.7410705,0.48529932,0.7426497,0.5819928,0.79099643,0.6347632,0.8173816,0.6940328,0.8470164,0.6306837,0.81534183,0.6530074,0.8265037,0.6565231,0.82826155
56544,0.6460149,0.82300746,0.65605396,0.828027,0.59945947,0.7997297,0.6355363,0.81776816,0.668609,0.8343045,0.74021864,0.8701093,0.70927906,0.85463953,0.76225346,0.88112676,0.7448009,0.87240046,0.7793189,0.88965946
56545,0.57727516,0.7886376,0.61028755,0.8051438,0.50860596,0.754303,0.5617269,0.78086346,0.5524178,0.7762089,0.5166728,0.7583364,0.5296054,0.7648027,0.6317531,0.81587654,0.6071422,0.8035711,0.55022204,0.775111
56618,0.57884014,0.78942007,0.62394226,0.8119711,0.53826773,0.76913387,0.5696719,0.78483593,0.598488,0.799244,0.64419854,0.82209927,0.6655978,0.8327989,0.70565385,0.85282695,0.714393,0.8571965,0.70881957,0.8544098
56619,0.5800844,0.79004216,0.6148851,0.80744255,0.5190345,0.75951725,0.57554793,0.78777397,0.6200953,0.8100476,0.67744917,0.8387246,0.69071716,0.8453586,0.6944803,0.84724015,0.69776,0.84888,0.72668195,0.863341
56629,0.78018177,0.8900909,0.7155273,0.85776365,0.6973989,0.84869945,0.71078897,0.8553945,0.7317621,0.8658811,0.81335306,0.90667653,0.72798014,0.86399007,0.84473836,0.9223692,0.7883111,0.89415556,0.82246983,0.9112349
56630,0.68210256,0.8410513,0.65028876,0.8251444,0.58577853,0.79288924,0.6029966,0.8014983,0.69924235,0.8496212,0.8190415,0.90952075,0.7696731,0.88483655,0.80498016,0.9024901,0.79341424,0.8967071,0.85914147,0.92957073
56631,0.5749892,0.7874946,0.6140669,0.8070334,0.5544511,0.77722555,0.5773394,0.7886697,0.6112678,0.8056339,0.69230163,0.8461508,0.6670793,0.83353966,0.7037948,0.85189736,0.74200296,0.8710015,0.77323437,0.8866172
56632,0.70248836,0.8512442,0.69898176,0.8494909,0.6325364,0.8162682,0.66068006,0.83034,0.71551645,0.8577582,0.8259194,0.9129597,0.799629,0.8998145,0.81779766,0.90889883,0.8017889,0.90089446,0.8606085,0.9303043
56633,0.6019546,0.8009773,0.56475824,0.78237915,0.5626707,0.78133535,0.53188944,0.7659447,0.5901803,0.79509014,0.7091832,0.8545916,0.694139,0.8470695,0.69200885,0.8460044,0.69224733,0.8461237,0.741899,0.8709495
56634,0.5728931,0.7864466,0.5782287,0.78911436,0.5031401,0.75157005,0.5297437,0.76487184,0.62873995,0.81437,0.7180761,0.85903805,0.70341223,0.85170615,0.7149153,0.85745764,0.7490773,0.87453866,0.7550793,0.87753963
56635,0.62819946,0.8140997,0.674614,0.837307,0.58796203,0.793981,0.58790505,0.7939525,0.6745884,0.8372942,0.76024175,0.8801209,0.7801058,0.8900529,0.7819016,0.8909508,0.7600795,0.88003975,0.8280904,0.9140452
56637,0.6253098,0.8126549,0.6144012,0.8072006,0.5428598,0.7714299,0.6133494,0.8066747,0.6699919,0.834996,0.7324723,0.86623615,0.7172127,0.85860634,0.73679024,0.8683951,0.70764816,0.8538241,0.7505442,0.8752721
56638,0.7053095,0.85265476,0.7165389,0.85826945,0.65087676,0.8254384,0.6415346,0.8207673,0.73643565,0.8682178,0.7199592,0.8599796,0.7553812,0.8776906,0.75875634,0.8793782,0.73920596,0.869603,0.74719715,0.8735986
56639,0.60651326,0.80325663,0.59174716,0.7958736,0.57134473,0.78567237,0.56325734,0.78162867,0.6529663,0.82648313,0.7391887,0.86959434,0.7270776,0.8635388,0.7304343,0.86521715,0.7280004,0.8640002,0.78095067,0.89047533
56641,0.5950208,0.7975104,0.5736941,0.78684705,0.5280315,0.7640158,0.5617529,0.78087646,0.63384527,0.81692266,0.735993,0.8679965,0.7383348,0.8691674,0.6856435,0.8428217,0.72577,0.862885,0.77307105,0.8865355
56642,0.654872,0.827436,0.62843597,0.814218,0.55853844,0.7792692,0.57461476,0.7873074,0.6510746,0.8255373,0.7359136,0.86795676,0.73800945,0.8690047,0.7140611,0.8570305,0.7543194,0.8771597,0.76649225,0.8832461
56643,0.73751175,0.8687559,0.70166135,0.8508307,0.68853676,0.8442684,0.6723233,0.8361616,0.705974,0.852987,0.73200166,0.86600083,0.6261405,0.81307024,0.7701375,0.8850688,0.7318605,0.86593026,0.72516954,0.86258477
