Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_doordash_pm_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_doordash_pm_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_apple_pm_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_apple_pm_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_samsara_pm_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_samsara_pm_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_yelp_pm_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_yelp_pm_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_match_pm_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_match_pm_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_i2c_ux_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_i2c_ux_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_adobe_ux_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_adobe_ux_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_amazon_ux_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_amazon_ux_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_rowan_ux_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_rowan_ux_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_google_ux_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_google_ux_Score
6018,0.6444762,0.8222381,0.6403661,0.82018304,0.6097446,0.8048723,0.6392119,0.81960595,0.6598845,0.8299422,0.72364867,0.86182433,0.6559367,0.82796836,0.7716788,0.8858394,0.7870194,0.8935097,0.7552812,0.8776406
6021,0.7055534,0.8527767,0.6469951,0.82349753,0.6329513,0.81647563,0.63577574,0.8178879,0.65717745,0.8285887,0.74018687,0.87009346,0.67043203,0.83521605,0.7141843,0.85709214,0.71347725,0.8567386,0.7217171,0.86085856
6026,0.5576888,0.77884436,0.58107877,0.7905394,0.4766139,0.73830694,0.5588176,0.7794088,0.58637226,0.7931861,0.63611513,0.81805754,0.6287625,0.81438124,0.6619803,0.83099014,0.626742,0.813371,0.6653334,0.8326667
9479,0.7070753,0.8535377,0.6521745,0.82608724,0.5819202,0.7909601,0.610945,0.8054725,0.7200086,0.8600043,0.7831667,0.8915833,0.7284945,0.86424726,0.77107847,0.88553923,0.7366729,0.86833644,0.7715646,0.8857823
16980,0.73454344,0.8672717,0.7404733,0.87023664,0.7027431,0.8513715,0.7206918,0.8603459,0.73658246,0.86829126,0.7525815,0.87629074,0.7005099,0.85025495,0.78290296,0.8914515,0.79449725,0.8972486,0.7746619,0.88733095
17014,0.33030656,0.66515326,0.44120848,0.72060424,0.34408388,0.67204195,0.3868611,0.69343054,0.3961029,0.69805145,0.3071748,0.6535874,0.42291647,0.7114582,0.3881216,0.6940608,0.4829812,0.7414906,0.41736728,0.7086836
18230,0.67153144,0.8357657,0.66202164,0.8310108,0.59875584,0.7993779,0.6317764,0.81588817,0.6875056,0.8437528,0.69619393,0.84809697,0.7000256,0.8500128,0.7158657,0.8579328,0.71731865,0.8586593,0.7199972,0.8599986
18348,0.6576724,0.8288362,0.67896795,0.839484,0.590476,0.795238,0.60234344,0.8011717,0.71119297,0.8555965,0.8216378,0.91081893,0.7741164,0.8870582,0.8104601,0.90523005,0.8028083,0.90140414,0.8615198,0.9307599
26715,0.6846669,0.84233344,0.7522061,0.87610304,0.634673,0.8173365,0.66477656,0.8323883,0.75672424,0.8783621,0.69745505,0.8487275,0.785074,0.892537,0.76570034,0.88285017,0.7820498,0.8910249,0.7468885,0.87344426
26747,0.78124857,0.8906243,0.71404195,0.857021,0.66436696,0.8321835,0.6886618,0.8443309,0.763574,0.881787,0.80881834,0.90440917,0.7226275,0.86131376,0.80578005,0.90289,0.73082864,0.8654143,0.7793957,0.88969785
29788,0.6413344,0.8206672,0.6468357,0.82341784,0.56564224,0.7828211,0.5949596,0.7974798,0.68451345,0.8422567,0.7736665,0.88683325,0.7505805,0.8752903,0.71772647,0.85886323,0.7612095,0.88060474,0.815261,0.9076305
29835,0.7164763,0.85823816,0.7113457,0.85567284,0.63298154,0.81649077,0.65373063,0.8268653,0.7199571,0.85997856,0.80699855,0.90349925,0.7624737,0.88123685,0.8022609,0.90113044,0.7991283,0.89956415,0.8253519,0.912676
30606,0.5336656,0.7668328,0.4684381,0.7342191,0.48011866,0.7400593,0.49874556,0.7493728,0.5286701,0.76433504,0.62397695,0.8119885,0.5132463,0.75662315,0.54779327,0.77389663,0.6097113,0.80485564,0.5872041,0.79360205
30845,0.74358904,0.8717945,0.72172844,0.8608642,0.6614878,0.8307439,0.7063494,0.8531747,0.75580454,0.87790227,0.85131806,0.92565906,0.7517066,0.8758533,0.85191023,0.9259551,0.83215743,0.9160787,0.84641325,0.9232066
32072,0.7180243,0.8590121,0.6816577,0.84082884,0.660118,0.830059,0.643476,0.821738,0.69639933,0.84819967,0.78461635,0.8923082,0.6977347,0.84886736,0.80037946,0.90018976,0.74055016,0.8702751,0.76700586,0.88350296
46443,0.7682653,0.8841326,0.76043546,0.88021773,0.73237544,0.8661877,0.68211323,0.8410566,0.817249,0.90862453,0.8548,0.9274,0.7721726,0.8860863,0.8831263,0.9415631,0.83035576,0.9151779,0.88661456,0.9433073
46506,0.5113833,0.75569165,0.5518905,0.77594525,0.5167981,0.758399,0.4725121,0.73625606,0.5510079,0.775504,0.59112895,0.7955645,0.53564185,0.76782095,0.63997555,0.8199878,0.6886698,0.8443349,0.64476764,0.8223838
50300,0.70679307,0.85339653,0.71423185,0.8571159,0.70375365,0.85187685,0.61633307,0.8081665,0.7777842,0.8888921,0.78528595,0.892643,0.7250997,0.86254984,0.7939495,0.89697474,0.7833525,0.89167625,0.81875104,0.90937555
51419,0.66317487,0.83158743,0.69360745,0.8468037,0.6436957,0.82184786,0.61804664,0.8090233,0.67029476,0.8351474,0.69052017,0.8452601,0.6848743,0.84243715,0.7592491,0.87962455,0.7428853,0.8714427,0.72820467,0.86410236
53971,0.6070079,0.803504,0.60580146,0.80290073,0.56359696,0.7817985,0.5525551,0.77627754,0.6722654,0.8361327,0.72912884,0.8645644,0.76372683,0.8818634,0.72306913,0.8615346,0.73124814,0.86562407,0.7581239,0.87906194
