Unnamed: 0,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_doordash_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_doordash_pm_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_apple_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_apple_pm_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_samsara_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_samsara_pm_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_yelp_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_yelp_pm_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_match_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_match_pm_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_i2c_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_i2c_ux_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_adobe_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_adobe_ux_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_amazon_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_amazon_ux_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_rowan_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_rowan_ux_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_google_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_google_ux_Score
6018,0.65281385,0.82640696,0.66256905,0.8312845,0.60985065,0.8049253,0.64000887,0.82000446,0.6848391,0.84241956,0.7579353,0.87896764,0.7083634,0.8541817,0.7840488,0.8920244,0.79601866,0.8980093,0.8000983,0.90004915
6021,0.66718614,0.8335931,0.5822416,0.79112077,0.5831113,0.79155564,0.5821071,0.79105353,0.59741676,0.7987084,0.70958686,0.8547934,0.621418,0.810709,0.6563961,0.8281981,0.68392986,0.84196496,0.67840075,0.8392004
6026,0.6936816,0.8468408,0.7121277,0.85606384,0.6502652,0.8251326,0.66896,0.83448,0.7263174,0.8631587,0.78953856,0.8947693,0.7608287,0.88041437,0.80005944,0.9000297,0.78515613,0.89257807,0.85226434,0.9261322
9479,0.7112826,0.8556413,0.6666115,0.8333057,0.61156803,0.805784,0.6195668,0.8097834,0.71496844,0.8574842,0.7884264,0.8942132,0.75095034,0.87547517,0.77634925,0.88817465,0.76687205,0.883436,0.8036144,0.9018072
16980,0.7641189,0.88205945,0.76124865,0.8806243,0.71368885,0.8568444,0.7089217,0.85446084,0.76051295,0.8802565,0.8001418,0.9000709,0.76553917,0.8827696,0.7900938,0.8950469,0.80587417,0.90293705,0.827105,0.9135525
17014,0.46536267,0.73268133,0.53716195,0.768581,0.42140102,0.7107005,0.48196948,0.74098474,0.5178789,0.75893945,0.4431405,0.72157025,0.54662263,0.7733113,0.5124592,0.75622964,0.5708916,0.7854458,0.54840386,0.7742019
18230,0.7345963,0.8672981,0.7182917,0.8591459,0.62975,0.814875,0.6739223,0.83696115,0.73652315,0.8682616,0.7906889,0.89534444,0.7775973,0.88879865,0.79042435,0.8952122,0.76880705,0.8844035,0.79700744,0.8985037
18348,0.630527,0.8152635,0.66014266,0.83007133,0.5575336,0.7787668,0.5874085,0.7937043,0.648713,0.8243565,0.743554,0.871777,0.70454645,0.8522732,0.74929166,0.8746458,0.76134,0.88067,0.791397,0.8956985
26715,0.6785329,0.8392664,0.6938505,0.84692526,0.5809219,0.79046094,0.62992406,0.814962,0.6933867,0.84669334,0.70557225,0.8527861,0.74805963,0.8740298,0.74109805,0.870549,0.76212937,0.88106465,0.73854864,0.8692743
26747,0.76942134,0.88471067,0.7387398,0.86936986,0.6640179,0.83200896,0.68613124,0.8430656,0.7738913,0.88694566,0.83596504,0.9179825,0.7939856,0.8969928,0.83166254,0.91583127,0.77939606,0.889698,0.8425015,0.92125076
29788,0.54246604,0.771233,0.5637853,0.78189266,0.46019506,0.73009753,0.5146063,0.7573031,0.59480274,0.79740137,0.6831434,0.8415717,0.69008654,0.8450433,0.67003465,0.8350173,0.68127644,0.8406382,0.7301297,0.86506486
29835,0.7021363,0.85106814,0.7150463,0.85752314,0.59936225,0.7996811,0.6380429,0.81902146,0.684554,0.842277,0.7846836,0.8923418,0.75864613,0.87932307,0.78850067,0.89425033,0.79989815,0.8999491,0.81269616,0.9063481
30606,0.5796057,0.78980285,0.5306532,0.7653266,0.54389626,0.7719481,0.5495147,0.7747574,0.58784324,0.7939216,0.68284196,0.841421,0.59286237,0.7964312,0.6204112,0.8102056,0.69438845,0.8471942,0.67697513,0.83848757
30845,0.7382011,0.8691006,0.7182363,0.85911816,0.64509374,0.82254684,0.7118474,0.8559237,0.7379527,0.86897635,0.8084559,0.904228,0.74326384,0.8716319,0.8334322,0.9167161,0.8125788,0.9062894,0.8122774,0.90613866
32072,0.7289134,0.8644567,0.702148,0.851074,0.6816413,0.84082067,0.65236115,0.8261806,0.6784761,0.83923805,0.77128625,0.8856431,0.6818068,0.8409034,0.7648735,0.88243675,0.7503443,0.87517214,0.7589663,0.87948316
46443,0.7742435,0.88712174,0.77438873,0.8871944,0.7358271,0.86791354,0.6937073,0.8468536,0.80534005,0.90267,0.8538283,0.92691416,0.7746024,0.8873012,0.8705155,0.9352578,0.8306215,0.91531074,0.88829434,0.94414717
46506,0.49342576,0.74671286,0.54076487,0.7703824,0.47763625,0.7388181,0.48161408,0.74080706,0.5240832,0.76204157,0.5873172,0.7936586,0.54078835,0.7703942,0.63686013,0.81843007,0.67290974,0.83645487,0.65864086,0.82932043
50300,0.7195835,0.85979176,0.7211767,0.8605883,0.7072468,0.8536234,0.6572845,0.82864225,0.7496623,0.87483114,0.78179765,0.8908988,0.6994824,0.8497412,0.79191494,0.89595747,0.7597824,0.87989116,0.80395645,0.90197825
51419,0.64149415,0.8207471,0.63927287,0.81963646,0.5641839,0.782092,0.5830329,0.7915164,0.6624825,0.83124125,0.7585704,0.8792852,0.68266225,0.8413311,0.7551857,0.87759286,0.73639554,0.8681978,0.7750317,0.88751584
53971,0.690019,0.8450095,0.6468448,0.82342243,0.5685562,0.7842781,0.58841795,0.794209,0.7133209,0.8566605,0.78756106,0.8937805,0.76576495,0.8828825,0.74454623,0.8722731,0.76165783,0.8808289,0.7970834,0.8985417
53972,0.6538482,0.8269241,0.6128924,0.8064462,0.5436903,0.77184516,0.57594275,0.7879714,0.65103936,0.8255197,0.74921393,0.87460697,0.70755064,0.8537753,0.71461177,0.8573059,0.7319926,0.8659963,0.7642651,0.88213253
53973,0.69379497,0.8468975,0.64955866,0.82477933,0.6222863,0.81114316,0.63897127,0.81948566,0.68563324,0.8428166,0.8018216,0.9009108,0.74010533,0.8700527,0.80389744,0.9019487,0.809052,0.904526,0.8407109,0.92035544
53974,0.6729684,0.8364842,0.6463714,0.8231857,0.59472907,0.79736453,0.6413426,0.8206713,0.6955106,0.8477553,0.7535447,0.87677234,0.7585522,0.8792761,0.73092175,0.8654609,0.7764225,0.88821125,0.788779,0.8943895
53975,0.63293064,0.8164653,0.5677136,0.7838568,0.57666856,0.78833425,0.54637533,0.77318764,0.62754846,0.8137742,0.7722713,0.88613564,0.6737098,0.83685493,0.6935111,0.84675556,0.73164773,0.86582386,0.7492875,0.87464374
53976,0.5176327,0.75881636,0.46696863,0.7334843,0.48119944,0.74059975,0.46213233,0.73106617,0.51162744,0.7558137,0.647464,0.823732,0.6362332,0.8181166,0.5798307,0.7899153,0.6394405,0.81972027,0.6518952,0.82594764
53977,0.7597523,0.87987614,0.688033,0.8440165,0.67074764,0.8353738,0.67482185,0.8374109,0.7139712,0.85698557,0.7860042,0.8930021,0.7293321,0.86466604,0.7869648,0.8934824,0.7932885,0.89664423,0.8056047,0.90280235
53978,0.68023115,0.84011555,0.61487937,0.8074397,0.5865442,0.79327214,0.56595534,0.7829777,0.6730797,0.83653986,0.8091854,0.9045927,0.69440055,0.8472003,0.7242514,0.8621257,0.7541066,0.87705326,0.8180183,0.90900916
53979,0.7454576,0.8727288,0.68613386,0.84306693,0.65272135,0.8263607,0.6282246,0.8141123,0.75061256,0.87530625,0.8639104,0.9319552,0.7651175,0.88255876,0.80797076,0.9039854,0.79414827,0.8970741,0.8488425,0.92442125
53981,0.5666311,0.78331554,0.5629857,0.7814928,0.4854092,0.74270463,0.5621367,0.7810683,0.59510547,0.7975527,0.66229343,0.8311467,0.65161884,0.8258094,0.6650428,0.83252144,0.67560697,0.8378035,0.67757076,0.8387854
54796,0.642699,0.8213495,0.61851037,0.8092552,0.5309055,0.76545274,0.58270514,0.79135257,0.5830554,0.7915277,0.6680118,0.8340059,0.63727283,0.8186364,0.7151429,0.8575715,0.70444274,0.85222137,0.7010131,0.85050654
54797,0.7497901,0.87489504,0.6986609,0.8493304,0.6999308,0.8499654,0.62499934,0.81249964,0.7659472,0.8829736,0.86774755,0.9338738,0.7489672,0.8744836,0.8314612,0.9157306,0.79227304,0.8961365,0.8420448,0.9210224
54798,0.65277016,0.8263851,0.66991735,0.8349587,0.59442914,0.79721457,0.6074784,0.8037392,0.65862453,0.82931226,0.7304287,0.86521435,0.69766676,0.8488334,0.7324254,0.8662127,0.76826,0.88413,0.7568228,0.8784114
54799,0.53755164,0.7687758,0.54062015,0.77031004,0.44152635,0.7207632,0.50374764,0.75187385,0.5559076,0.7779538,0.66610336,0.8330517,0.6658242,0.8329121,0.64861035,0.8243052,0.7097266,0.8548633,0.7546867,0.87734336
54800,0.60699165,0.8034958,0.6194824,0.8097412,0.5256127,0.76280636,0.56300235,0.7815012,0.592919,0.7964595,0.6579149,0.82895744,0.6916576,0.8458288,0.6929221,0.84646106,0.69924295,0.8496215,0.70947707,0.85473853
56453,0.741251,0.8706255,0.69160914,0.8458046,0.62722456,0.8136123,0.6037622,0.8018811,0.7615197,0.88075984,0.82081777,0.91040885,0.8360542,0.9180271,0.76819825,0.8840991,0.78293914,0.8914696,0.82567763,0.9128388
56528,0.6206218,0.8103109,0.57137644,0.7856882,0.5022801,0.75114006,0.5736538,0.7868269,0.62366617,0.8118331,0.7100456,0.8550228,0.6570997,0.82854986,0.66887945,0.83443975,0.6993057,0.8496529,0.6894705,0.84473526
56542,0.7458765,0.8729383,0.70251644,0.8512582,0.66162443,0.8308122,0.6766652,0.8383326,0.7170462,0.85852313,0.80597174,0.9029859,0.7271388,0.8635694,0.8154063,0.90770316,0.7744347,0.88721734,0.8208139,0.91040695
56543,0.5545641,0.77728206,0.56940603,0.784703,0.4896474,0.7448237,0.49163795,0.745819,0.5796491,0.78982455,0.6395192,0.8197596,0.6879106,0.8439553,0.63587093,0.81793547,0.6873547,0.84367734,0.68375623,0.8418781
