Unnamed: 0,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_doordash_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_doordash_pm_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_apple_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_apple_pm_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_samsara_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_samsara_pm_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_yelp_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_yelp_pm_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_match_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_match_pm_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_i2c_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_i2c_ux_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_adobe_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_adobe_ux_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_amazon_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_amazon_ux_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_rowan_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_rowan_ux_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_google_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_google_ux_Score
6018,0.7424029,0.87120146,0.7251042,0.8625521,0.6643307,0.83216536,0.67538923,0.83769464,0.77301955,0.8865098,0.8337023,0.91685116,0.7741884,0.8870942,0.8316259,0.91581297,0.8127946,0.90639734,0.86548406,0.932742
6021,0.67141044,0.8357052,0.5875302,0.79376507,0.5983665,0.79918325,0.604262,0.802131,0.599238,0.79961896,0.70251596,0.851258,0.62271976,0.8113599,0.6727264,0.8363632,0.7014011,0.85070056,0.6902901,0.84514505
6026,0.6843685,0.84218425,0.68415296,0.8420765,0.61708915,0.8085446,0.65183616,0.8259181,0.72347844,0.8617392,0.8064467,0.90322334,0.77359986,0.88679993,0.79047805,0.895239,0.7856169,0.89280844,0.8327161,0.91635805
9479,0.7112826,0.8556413,0.6666115,0.8333057,0.61156803,0.805784,0.6195668,0.8097834,0.71496844,0.8574842,0.7884264,0.8942132,0.75095034,0.87547517,0.77634925,0.88817465,0.76687205,0.883436,0.8036144,0.9018072
16980,0.7641189,0.88205945,0.76124865,0.8806243,0.71368885,0.8568444,0.7089217,0.85446084,0.76051295,0.8802565,0.8001418,0.9000709,0.76553917,0.8827696,0.7900938,0.8950469,0.80587417,0.90293705,0.827105,0.9135525
17014,0.53802395,0.769012,0.6008775,0.80043876,0.48633623,0.7431681,0.5214224,0.7607112,0.5943542,0.7971771,0.53684765,0.7684238,0.6186136,0.8093068,0.58422774,0.7921139,0.64504373,0.82252187,0.6349871,0.81749356
18230,0.7433263,0.87166315,0.72675955,0.8633798,0.6598193,0.8299097,0.6802019,0.84010094,0.73848444,0.8692422,0.78239036,0.8911952,0.76464117,0.8823206,0.7958751,0.89793754,0.7692997,0.8846499,0.7945943,0.89729714
18348,0.5867708,0.7933854,0.62948596,0.814743,0.523648,0.761824,0.5658925,0.7829462,0.62038684,0.8101934,0.70968235,0.8548412,0.6828301,0.84141505,0.71725255,0.85862625,0.7364844,0.8682422,0.7698735,0.88493675
26715,0.6785329,0.8392664,0.6938505,0.84692526,0.5809219,0.79046094,0.62992406,0.814962,0.6933867,0.84669334,0.70557225,0.8527861,0.74805963,0.8740298,0.74109805,0.870549,0.76212937,0.88106465,0.73854864,0.8692743
26747,0.7824068,0.8912034,0.7262403,0.86312014,0.6459801,0.82299006,0.6739677,0.83698386,0.7555281,0.87776405,0.8300177,0.91500884,0.7683327,0.88416636,0.8157276,0.9078638,0.74440736,0.8722037,0.8261961,0.91309804
29788,0.56465054,0.78232527,0.5765524,0.7882762,0.47330177,0.7366509,0.5251424,0.7625712,0.6067519,0.80337596,0.6865995,0.84329975,0.70302916,0.8515146,0.66632366,0.83316183,0.68626773,0.84313387,0.73133457,0.8656673
29835,0.66709197,0.833546,0.66118205,0.830591,0.5539428,0.7769714,0.59894633,0.79947317,0.64793587,0.82396793,0.76615644,0.8830782,0.72982466,0.86491233,0.7463275,0.87316376,0.7677382,0.8838691,0.82156014,0.9107801
30606,0.7075437,0.8537718,0.6549624,0.8274812,0.6277561,0.81387806,0.61589503,0.8079475,0.72318673,0.86159337,0.81389785,0.9069489,0.70085967,0.85042983,0.7610166,0.8805083,0.761144,0.88057196,0.7846571,0.89232856
30845,0.73515964,0.8675798,0.71608996,0.858045,0.6445387,0.8222693,0.71257985,0.8562899,0.7345929,0.86729646,0.80874443,0.9043722,0.74201524,0.8710076,0.83172804,0.915864,0.80949557,0.9047478,0.807901,0.9039505
32072,0.73712313,0.86856157,0.6991137,0.84955686,0.6802558,0.8401279,0.6595719,0.82978594,0.68044937,0.8402247,0.7745594,0.8872797,0.68672705,0.8433635,0.7638249,0.88191247,0.75444186,0.8772209,0.7662929,0.88314646
46443,0.71923476,0.85961735,0.73209393,0.86604697,0.69011366,0.84505683,0.6689208,0.8344604,0.7476894,0.87384474,0.80542886,0.90271443,0.7392813,0.86964065,0.81485724,0.9074286,0.80522764,0.9026138,0.85386264,0.9269313
46506,0.50902456,0.7545123,0.5673644,0.7836822,0.49862152,0.74931073,0.50749236,0.75374615,0.5475884,0.7737942,0.60860276,0.8043014,0.57234514,0.78617257,0.6492341,0.824617,0.6808904,0.84044516,0.68577516,0.8428876
50300,0.72100335,0.86050165,0.71503437,0.8575172,0.7020094,0.8510047,0.65007186,0.8250359,0.73601156,0.86800575,0.7853999,0.89269996,0.69351137,0.8467557,0.78948283,0.8947414,0.7604189,0.88020945,0.80301297,0.9015065
51419,0.64149415,0.8207471,0.63927287,0.81963646,0.5641839,0.782092,0.5830329,0.7915164,0.6624825,0.83124125,0.7585704,0.8792852,0.68266225,0.8413311,0.7551857,0.87759286,0.73639554,0.8681978,0.7750317,0.88751584
53971,0.6827044,0.8413522,0.6357027,0.81785136,0.56127214,0.7806361,0.58170974,0.7908549,0.6988209,0.8494104,0.7821603,0.89108014,0.7609902,0.8804951,0.73768663,0.8688433,0.7620606,0.8810303,0.7928932,0.8964466
53972,0.64742637,0.8237132,0.6051023,0.80255115,0.54133415,0.7706671,0.5814024,0.7907012,0.63797164,0.8189858,0.73188984,0.8659449,0.6890445,0.84452224,0.69845533,0.84922767,0.7216632,0.8608316,0.74401987,0.87200993
53973,0.7416213,0.8708106,0.7031172,0.85155857,0.6383275,0.81916374,0.65432054,0.82716024,0.7361127,0.86805636,0.8316031,0.9158015,0.7880519,0.8940259,0.81437343,0.90718675,0.83444905,0.9172245,0.86973417,0.9348671
53974,0.70159674,0.85079837,0.64827895,0.8241395,0.6197685,0.80988425,0.641713,0.8208565,0.7265376,0.8632688,0.7976866,0.8988433,0.7796589,0.88982946,0.77234185,0.8861709,0.7850156,0.8925078,0.81904614,0.90952307
53975,0.63675046,0.81837523,0.602971,0.80148554,0.6017044,0.8008522,0.57444334,0.78722167,0.62285596,0.81142795,0.76063734,0.88031864,0.67570025,0.8378501,0.6798403,0.83992016,0.7508871,0.8754436,0.759496,0.879748
53976,0.5270331,0.76351655,0.5089163,0.7544582,0.46175724,0.7308786,0.5066276,0.7533138,0.5045254,0.7522627,0.5565796,0.7782898,0.58562005,0.79281,0.543911,0.7719555,0.6331293,0.8165647,0.62765706,0.8138285
53977,0.742051,0.8710255,0.6609421,0.83047104,0.64078087,0.82039046,0.662557,0.8312785,0.70638883,0.8531944,0.7846726,0.8923363,0.72249067,0.86124533,0.77803004,0.889015,0.7702409,0.88512045,0.7849566,0.8924783
53978,0.68023115,0.84011555,0.61487937,0.8074397,0.5865442,0.79327214,0.56595534,0.7829777,0.6730797,0.83653986,0.8091854,0.9045927,0.69440055,0.8472003,0.7242514,0.8621257,0.7541066,0.87705326,0.8180183,0.90900916
53979,0.7270272,0.8635136,0.70070577,0.8503529,0.6719601,0.83598006,0.6564229,0.8282114,0.7300072,0.8650036,0.8317774,0.91588867,0.7448896,0.8724448,0.7939663,0.89698315,0.7972577,0.89862883,0.83870184,0.9193509
53981,0.69474703,0.8473735,0.6565712,0.8282856,0.57829297,0.7891465,0.60882485,0.8044124,0.7265251,0.86326253,0.81339526,0.90669763,0.7948017,0.89740086,0.7578997,0.8789499,0.7622382,0.88111913,0.81952465,0.9097623
54796,0.64721453,0.82360727,0.6189686,0.8094843,0.53185546,0.76592773,0.58167803,0.790839,0.58257526,0.79128766,0.6725422,0.8362711,0.6369266,0.8184633,0.71849155,0.8592458,0.7058558,0.8529279,0.7022854,0.8511427
54797,0.7217128,0.8608564,0.68286216,0.8414311,0.65494776,0.8274739,0.61772966,0.80886483,0.74856603,0.874283,0.8653261,0.9326631,0.7497728,0.8748864,0.8126701,0.90633506,0.78044605,0.890223,0.81972903,0.90986454
54798,0.65277016,0.8263851,0.66991735,0.8349587,0.59442914,0.79721457,0.6074784,0.8037392,0.65862453,0.82931226,0.7304287,0.86521435,0.69766676,0.8488334,0.7324254,0.8662127,0.76826,0.88413,0.7568228,0.8784114
54799,0.6217062,0.8108531,0.630177,0.8150885,0.55616474,0.7780824,0.62037265,0.8101863,0.6229185,0.81145924,0.70283234,0.8514162,0.70246387,0.85123193,0.71251047,0.85625523,0.76545954,0.88272977,0.7951441,0.89757204
54800,0.60699165,0.8034958,0.6194824,0.8097412,0.5256127,0.76280636,0.56300235,0.7815012,0.592919,0.7964595,0.6579149,0.82895744,0.6916576,0.8458288,0.6929221,0.84646106,0.69924295,0.8496215,0.70947707,0.85473853
56453,0.72827137,0.8641357,0.6685178,0.8342589,0.6206639,0.81033194,0.58412325,0.7920616,0.73655814,0.8682791,0.82040966,0.9102048,0.8120793,0.90603966,0.75437033,0.87718517,0.75208706,0.87604356,0.81572235,0.9078612
56528,0.6232896,0.8116448,0.5739453,0.78697264,0.50936943,0.7546847,0.5692729,0.78463644,0.62159324,0.8107966,0.7093014,0.85465074,0.6592394,0.8296197,0.657888,0.82894397,0.7000889,0.8500445,0.68257296,0.8412865
56542,0.75194037,0.8759702,0.73128366,0.86564183,0.6763323,0.8381661,0.7056542,0.8528271,0.7340118,0.86700594,0.7811692,0.8905846,0.7290491,0.86452454,0.80642104,0.9032105,0.7880332,0.8940166,0.8123021,0.90615106
56543,0.6498245,0.82491225,0.6210866,0.8105433,0.56422746,0.78211373,0.5496297,0.77481484,0.66539645,0.8326982,0.740327,0.8701635,0.7454256,0.8727128,0.71810484,0.8590524,0.7397195,0.86985976,0.7549058,0.8774529
56544,0.64083624,0.8204181,0.67452735,0.8372637,0.6113244,0.8056622,0.6176673,0.80883366,0.6509415,0.82547075,0.71168876,0.8558444,0.6925738,0.8462869,0.71681345,0.8584067,0.72250915,0.8612546,0.7728722,0.8864361
56545,0.63272107,0.81636053,0.6961144,0.8480572,0.5899495,0.79497474,0.6223189,0.8111595,0.6231884,0.8115942,0.6271874,0.8135937,0.62637115,0.8131856,0.73611915,0.8680596,0.7102571,0.8551285,0.65681124,0.8284056
56618,0.72637296,0.8631865,0.7230091,0.86150455,0.64360404,0.821802,0.66842806,0.83421403,0.70968896,0.85484445,0.78350073,0.89175034,0.7345674,0.8672837,0.8345601,0.9172801,0.8055924,0.9027962,0.8185288,0.9092644
56619,0.67544454,0.8377223,0.6538371,0.82691854,0.5728954,0.7864477,0.6291058,0.8145529,0.6827005,0.84135026,0.7783256,0.8891628,0.7382288,0.8691144,0.75364316,0.8768216,0.7728329,0.88641644,0.79971635,0.8998582
56629,0.70561814,0.8528091,0.67296183,0.8364809,0.630589,0.8152945,0.6541228,0.8270614,0.6640042,0.8320021,0.776587,0.8882935,0.69176745,0.8458837,0.7844697,0.89223486,0.77014995,0.885075,0.8128966,0.9064483
56630,0.6552334,0.8276167,0.6145533,0.8072766,0.54744995,0.773725,0.57303727,0.78651863,0.6463176,0.8231588,0.7515121,0.875756,0.7259617,0.86298084,0.7300385,0.86501926,0.7491491,0.87457454,0.7892801,0.8946401
56631,0.6071403,0.80357015,0.59613514,0.79806757,0.54138935,0.7706947,0.5634229,0.78171146,0.624277,0.8121385,0.7206835,0.8603418,0.66022265,0.8301113,0.70671326,0.8533566,0.7322167,0.86610836,0.7767348,0.8883674
56632,0.7297306,0.8648653,0.70016444,0.8500822,0.6276504,0.8138252,0.6668624,0.83343124,0.7357964,0.8678982,0.8249313,0.9124657,0.7543937,0.87719685,0.80981493,0.90490746,0.8201511,0.91007555,0.8272916,0.9136458
56633,0.65278286,0.82639146,0.6401917,0.82009584,0.5769975,0.78849876,0.60478234,0.8023912,0.667647,0.8338235,0.7564578,0.8782289,0.7348217,0.86741084,0.72178125,0.8608906,0.76397085,0.8819854,0.81831497,0.9091575
56634,0.5902551,0.7951275,0.5926249,0.79631245,0.48949793,0.74474895,0.5274267,0.76371336,0.61405385,0.8070269,0.6977532,0.8488766,0.68724906,0.84362453,0.67181706,0.83590853,0.7407422,0.8703711,0.7452718,0.8726359
56635,0.6551826,0.8275913,0.6472384,0.8236192,0.575901,0.7879505,0.5900655,0.79503274,0.6781242,0.8390621,0.7959311,0.89796555,0.7680172,0.8840086,0.754326,0.877163,0.7699052,0.8849526,0.8430774,0.9215387
56637,0.61481905,0.8074095,0.6099274,0.8049637,0.50353485,0.7517674,0.5959267,0.7979634,0.63741064,0.8187053,0.722996,0.861498,0.66844344,0.8342217,0.7240838,0.8620419,0.70782864,0.8539143,0.73221314,0.86610657
56638,0.675748,0.837874,0.6665149,0.83325744,0.6100923,0.80504614,0.6097976,0.8048988,0.72065496,0.8603275,0.7878037,0.8939018,0.80738693,0.90369344,0.7930875,0.89654374,0.7567303,0.87836516,0.80848074,0.90424037
56639,0.47816652,0.7390833,0.496166,0.748083,0.44514793,0.722574,0.44650072,0.7232504,0.5158146,0.7579073,0.60375017,0.8018751,0.61757165,0.8087858,0.5645045,0.78225225,0.62969273,0.8148464,0.6640768,0.8320384
56641,0.5984187,0.79920936,0.57011783,0.7850589,0.52863044,0.76431525,0.56640154,0.78320074,0.62187964,0.8109398,0.71800286,0.8590014,0.7099375,0.8549688,0.67276883,0.8363844,0.6966536,0.8483268,0.7533096,0.8766548
56642,0.62251467,0.81125736,0.5896777,0.79483885,0.5351125,0.76755625,0.5527642,0.7763821,0.6122652,0.8061326,0.70711064,0.8535553,0.71154857,0.8557743,0.6702716,0.8351358,0.74170864,0.8708543,0.7452874,0.8726437
56643,0.7206029,0.8603015,0.7080363,0.85401815,0.6403354,0.82016766,0.6642572,0.83212864,0.67148435,0.8357422,0.71280134,0.85640067,0.6336056,0.8168028,0.72779816,0.8638991,0.71991915,0.8599596,0.6940456,0.8470228
56644,0.5923177,0.79615885,0.5975901,0.79879504,0.5157668,0.7578834,0.5651812,0.7825906,0.5685214,0.7842607,0.624949,0.8124745,0.643924,0.821962,0.63368356,0.8168418,0.68240696,0.84120345,0.6991241,0.84956205
56645,0.69679147,0.8483957,0.71407735,0.8570387,0.6489718,0.8244859,0.67646164,0.83823085,0.6994715,0.84973574,0.79072016,0.8953601,0.72366756,0.8618338,0.8124219,0.90621096,0.7677672,0.8838836,0.82302403,0.911512
56646,0.6287124,0.8143562,0.58982587,0.79491293,0.513162,0.756581,0.576131,0.7880655,0.6215204,0.8107602,0.7403327,0.87016636,0.67482126,0.8374106,0.6926382,0.8463191,0.71592426,0.85796213,0.7347343,0.86736715
56647,0.7262296,0.86311483,0.6966133,0.84830666,0.6022711,0.80113554,0.67236924,0.8361846,0.72499716,0.8624986,0.800805,0.9004025,0.7519226,0.8759613,0.77899754,0.8894988,0.768141,0.8840705,0.8152219,0.90761095
56648,0.6608633,0.83043164,0.6566664,0.8283332,0.5753041,0.787652,0.64132386,0.8206619,0.6652831,0.83264154,0.6929846,0.8464923,0.6926503,0.84632516,0.73466945,0.8673347,0.73090005,0.86545,0.71654034,0.85827017
56649,0.64215124,0.8210756,0.6301099,0.81505495,0.5739006,0.7869503,0.59605443,0.7980272,0.60655653,0.80327827,0.6589577,0.82947886,0.5902878,0.7951439,0.6621806,0.83109033,0.70482993,0.85241497,0.66314846,0.8315742
56650,0.67134005,0.83567,0.69296694,0.84648347,0.61694133,0.80847067,0.6290675,0.8145337,0.71346617,0.8567331,0.7329769,0.86648846,0.75787693,0.87893844,0.7470385,0.87351924,0.75315213,0.87657607,0.77424425,0.88712215
56651,0.6384406,0.8192203,0.5779097,0.78895485,0.5302605,0.7651303,0.5396763,0.76983815,0.6454914,0.8227457,0.7477462,0.8738731,0.6929406,0.8464703,0.69060874,0.84530437,0.71517456,0.8575873,0.7578194,0.8789097
56652,0.674152,0.837076,0.69674885,0.8483744,0.59345007,0.79672503,0.6261886,0.81309426,0.67990714,0.83995354,0.708568,0.854284,0.6819191,0.84095955,0.75694144,0.8784707,0.74428797,0.872144,0.7202077,0.86010385
56653,0.65701765,0.82850885,0.63443375,0.8172169,0.5898241,0.79491204,0.59430176,0.79715085,0.63754743,0.81877375,0.70025235,0.85012615,0.6399704,0.8199852,0.7062093,0.85310465,0.7194861,0.85974306,0.7331121,0.86655605
56654,0.75986373,0.87993187,0.7337283,0.86686414,0.6506109,0.82530546,0.666633,0.8333165,0.77282906,0.8864145,0.83481085,0.9174054,0.7938067,0.89690334,0.79906994,0.89953494,0.82110834,0.9105542,0.8464323,0.92321616
56656,0.63138103,0.8156905,0.6024325,0.80121624,0.5836097,0.79180485,0.56863153,0.78431576,0.6274419,0.81372094,0.67641044,0.8382052,0.65405494,0.82702744,0.6564104,0.8282052,0.7060908,0.8530454,0.74145913,0.87072957
