Unnamed: 0,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_doordash_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_doordash_pm_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_apple_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_apple_pm_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_samsara_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_samsara_pm_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_yelp_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_yelp_pm_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_match_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_match_pm_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_i2c_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_i2c_ux_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_adobe_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_adobe_ux_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_amazon_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_amazon_ux_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_rowan_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_rowan_ux_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_google_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_google_ux_Score
1747,0.7301656,0.8650828,0.65230227,0.82615113,0.6762893,0.83814466,0.64948666,0.82474333,0.67471194,0.837356,0.7277986,0.8638993,0.656775,0.8283875,0.7167764,0.8583882,0.7421481,0.8710741,0.74552333,0.87276167
1784,0.6749097,0.83745486,0.700801,0.8504005,0.6335751,0.81678754,0.6578315,0.8289157,0.72193587,0.86096793,0.7103288,0.8551644,0.75916725,0.8795836,0.7481447,0.8740723,0.76792455,0.8839623,0.73189723,0.8659486
2476,0.76564765,0.8828238,0.74164176,0.8708209,0.7393662,0.8696831,0.7144481,0.85722405,0.7340243,0.86701214,0.6675674,0.8337837,0.6395097,0.81975484,0.72938955,0.8646948,0.6664137,0.8332069,0.67435646,0.83717823
2515,0.73507893,0.86753947,0.7135607,0.85678035,0.72499526,0.8624976,0.65531087,0.82765543,0.6938529,0.84692645,0.6243845,0.81219226,0.6117395,0.80586976,0.70117164,0.8505858,0.6888582,0.84442914,0.6637428,0.8318714
2517,0.66309005,0.831545,0.6252912,0.8126456,0.62586254,0.8129313,0.5500062,0.7750031,0.60009253,0.80004627,0.53196245,0.7659812,0.45258105,0.7262905,0.58348256,0.79174125,0.5537696,0.7768848,0.50952256,0.7547613
2529,0.6366085,0.81830424,0.62440825,0.8122041,0.5349839,0.76749194,0.57831204,0.789156,0.6612795,0.8306397,0.54941684,0.7747084,0.631811,0.8159055,0.58315694,0.7915785,0.5391482,0.7695741,0.57108355,0.7855418
2538,0.6604059,0.83020294,0.5885356,0.7942678,0.6084336,0.8042168,0.5697335,0.78486675,0.61998034,0.80999017,0.6009859,0.80049294,0.53412557,0.7670628,0.6300373,0.81501865,0.58316076,0.7915804,0.57701206,0.78850603
2551,0.7317542,0.8658771,0.6698777,0.8349389,0.65555024,0.8277751,0.5925813,0.79629064,0.6617594,0.8308797,0.6775293,0.83876467,0.6296112,0.8148056,0.65540814,0.8277041,0.6507564,0.8253782,0.63908154,0.81954074
2553,0.69131625,0.8456581,0.67634714,0.83817357,0.6661489,0.83307445,0.6227807,0.81139034,0.66077244,0.8303862,0.63875914,0.81937957,0.65415263,0.8270763,0.6687477,0.83437383,0.65809,0.829045,0.6537503,0.82687515
2554,0.64843345,0.8242167,0.68983424,0.8449171,0.6109052,0.8054526,0.655049,0.82752454,0.6615168,0.8307584,0.70799017,0.8539951,0.688422,0.844211,0.7505202,0.8752601,0.73500764,0.8675038,0.739514,0.869757
2555,0.5814806,0.7907403,0.61310995,0.806555,0.6104529,0.80522645,0.5862206,0.7931103,0.5341417,0.7670709,0.51727515,0.75863755,0.52682817,0.7634141,0.5662612,0.7831306,0.60692966,0.80346483,0.5493648,0.7746824
2556,0.60817564,0.8040878,0.66587377,0.8329369,0.64800406,0.824002,0.5875025,0.79375124,0.56283635,0.7814182,0.5491482,0.7745741,0.50473696,0.75236845,0.6336582,0.8168291,0.582127,0.7910635,0.5490469,0.77452344
2577,0.7793336,0.8896668,0.7307332,0.8653666,0.71278775,0.8563939,0.67963004,0.839815,0.7195864,0.8597932,0.72595054,0.86297524,0.67627585,0.8381379,0.7460923,0.87304616,0.7105042,0.8552521,0.7284789,0.86423945
2582,0.6418729,0.82093644,0.61521125,0.8076056,0.6054439,0.802722,0.5488346,0.7744173,0.6051245,0.80256224,0.67298734,0.8364937,0.60259306,0.80129653,0.6433785,0.82168925,0.6583444,0.8291722,0.6627874,0.8313937
2583,0.63415504,0.8170775,0.68793017,0.84396505,0.67836463,0.8391823,0.5957955,0.79789776,0.6247318,0.8123659,0.5845604,0.7922802,0.5663837,0.78319186,0.6271432,0.8135716,0.6036477,0.80182385,0.57590413,0.78795207
