Unnamed: 0,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_doordash_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_doordash_pm_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_apple_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_apple_pm_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_samsara_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_samsara_pm_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_yelp_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_yelp_pm_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_match_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_match_pm_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_i2c_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_i2c_ux_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_adobe_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_adobe_ux_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_amazon_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_amazon_ux_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_rowan_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_rowan_ux_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_google_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_google_ux_Score
6018,0.6611862,0.8305931,0.65894616,0.8294731,0.6198125,0.80990624,0.64374125,0.8218706,0.69164574,0.8458229,0.75401545,0.8770077,0.7026719,0.85133594,0.7999313,0.89996564,0.8141299,0.9070649,0.78738934,0.89369464
6021,0.66905785,0.8345289,0.6053287,0.80266434,0.60320914,0.80160457,0.6285552,0.8142776,0.5940455,0.79702276,0.6503329,0.82516646,0.59998727,0.79999363,0.65680635,0.8284032,0.67700946,0.83850473,0.6601732,0.8300866
6026,0.60245216,0.8012261,0.6503109,0.82515544,0.5631417,0.78157085,0.6028952,0.80144763,0.6505563,0.82527816,0.71141684,0.8557084,0.6704565,0.83522826,0.74396175,0.8719809,0.76048535,0.8802427,0.7687508,0.8843754
9479,0.6850755,0.84253776,0.6459225,0.8229612,0.57920647,0.78960323,0.5842898,0.7921449,0.69766617,0.8488331,0.80478346,0.90239173,0.7771076,0.8885538,0.77454084,0.88727045,0.7758781,0.88793904,0.8128295,0.90641475
16980,0.7127925,0.85639626,0.7021614,0.85108066,0.67434084,0.8371704,0.70059824,0.8502991,0.70185894,0.8509295,0.7227944,0.8613972,0.66662157,0.8333108,0.72664106,0.8633205,0.7539396,0.8769698,0.72483146,0.86241573
17014,0.34732467,0.6736623,0.43622717,0.7181136,0.35308918,0.6765446,0.3780598,0.68902993,0.4037942,0.7018971,0.34951806,0.67475903,0.435831,0.71791553,0.40741888,0.7037094,0.5116042,0.7558021,0.45352682,0.7267634
18230,0.60177577,0.8008879,0.6138699,0.80693495,0.5198717,0.75993586,0.61088455,0.8054423,0.6178826,0.8089413,0.6462554,0.8231277,0.6698788,0.83493936,0.6599187,0.8299594,0.6656922,0.8328461,0.6754097,0.83770484
18348,0.6548277,0.82741386,0.6829207,0.84146035,0.60396147,0.80198073,0.6226587,0.81132936,0.6781194,0.8390597,0.78206295,0.8910315,0.7236239,0.86181194,0.79994386,0.89997196,0.79557645,0.8977882,0.820894,0.910447
26715,0.6016465,0.8008232,0.6566814,0.8283407,0.5294721,0.76473606,0.59909487,0.79954743,0.64023083,0.82011545,0.6086117,0.80430585,0.68071544,0.8403577,0.65361047,0.82680523,0.7133194,0.8566597,0.64062643,0.8203132
26747,0.81108946,0.90554476,0.7233714,0.8616857,0.71719885,0.8585994,0.70329845,0.8516492,0.79335535,0.8966777,0.8414378,0.9207189,0.7450868,0.8725434,0.83009696,0.9150485,0.75095105,0.8754755,0.8211273,0.91056365
29788,0.66459084,0.8322954,0.6702157,0.83510786,0.5961278,0.7980639,0.61788,0.80894,0.6948756,0.8474378,0.7673565,0.88367826,0.7577225,0.87886125,0.7459502,0.8729751,0.7438121,0.87190604,0.784161,0.8920805
29835,0.6795067,0.8397534,0.6956921,0.84784603,0.60655427,0.80327713,0.64833623,0.8241681,0.65574014,0.8278701,0.760245,0.88012254,0.7367898,0.8683949,0.78127897,0.8906395,0.8030354,0.9015177,0.803704,0.901852
30606,0.50316244,0.7515812,0.47758383,0.73879194,0.48476058,0.74238026,0.49892402,0.749462,0.52935886,0.76467943,0.6384795,0.81923974,0.53425467,0.76712734,0.5701047,0.78505236,0.6574572,0.82872856,0.63115394,0.815577
30845,0.69378483,0.8468924,0.6728337,0.83641684,0.62741435,0.8137072,0.66966105,0.8348305,0.7170754,0.8585377,0.8183807,0.90919036,0.7458199,0.87290996,0.8137535,0.90687674,0.8185847,0.90929234,0.8342312,0.91711557
32072,0.7591342,0.8795671,0.7358713,0.86793566,0.7652521,0.88262606,0.69952226,0.8497611,0.71067846,0.8553392,0.7664211,0.88321054,0.70538986,0.8526949,0.81208813,0.90604407,0.78105146,0.8905257,0.77838933,0.88919467
46443,0.6876706,0.8438353,0.7482939,0.87414694,0.6833068,0.8416534,0.68388206,0.841941,0.7311703,0.86558515,0.73247385,0.8662369,0.72894204,0.864471,0.8091261,0.90456307,0.79807055,0.8990353,0.79211265,0.8960563
46506,0.3478365,0.67391825,0.42256773,0.71128386,0.35136354,0.67568177,0.36153603,0.680768,0.38380238,0.6919012,0.4312501,0.71562505,0.39706743,0.6985337,0.48802245,0.7440112,0.5802469,0.79012346,0.51023126,0.7551156
50300,0.7479646,0.8739823,0.75655866,0.8782793,0.75101924,0.8755096,0.7042841,0.85214204,0.74938226,0.8746911,0.7303647,0.86518234,0.66739035,0.8336952,0.7986969,0.89934844,0.7530169,0.8765085,0.76400304,0.8820015
51419,0.56977457,0.7848873,0.5889254,0.7944627,0.52742815,0.7637141,0.5557003,0.77785015,0.58224,0.79112,0.65911734,0.8295587,0.6824718,0.8412359,0.67354846,0.83677423,0.69870317,0.8493516,0.7163782,0.8581891
53971,0.49087042,0.74543524,0.49487013,0.7474351,0.43151307,0.71575654,0.43936634,0.7196832,0.5369581,0.76847905,0.5862177,0.7931088,0.60905015,0.8045251,0.56829524,0.7841476,0.6118438,0.8059219,0.5977404,0.7988702
53972,0.58757496,0.7937875,0.6102329,0.8051164,0.5496887,0.77484435,0.5616637,0.7808318,0.6123704,0.8061852,0.6678792,0.8339396,0.657817,0.8289085,0.65770626,0.82885313,0.674508,0.837254,0.6732526,0.8366263
53973,0.65436053,0.82718027,0.65614116,0.8280706,0.63012165,0.81506085,0.60016143,0.8000807,0.6743629,0.83718145,0.7635987,0.88179934,0.7208693,0.86043465,0.7850035,0.8925017,0.80970407,0.90485203,0.8134754,0.9067377
