Unnamed: 0,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_doordash_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_doordash_pm_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_apple_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_apple_pm_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_samsara_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_samsara_pm_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_yelp_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_yelp_pm_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_match_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_match_pm_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_i2c_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_i2c_ux_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_adobe_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_adobe_ux_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_amazon_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_amazon_ux_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_rowan_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_rowan_ux_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_google_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_google_ux_Score
1747,0.7316354,0.86581767,0.6530779,0.8265389,0.6791573,0.8395786,0.6611462,0.8305731,0.67087895,0.83543944,0.7203291,0.8601645,0.65412664,0.8270633,0.71530414,0.85765207,0.74048424,0.8702421,0.74154264,0.8707713
1784,0.6749097,0.83745486,0.700801,0.8504005,0.6335751,0.81678754,0.6578315,0.8289157,0.72193587,0.86096793,0.7103288,0.8551644,0.75916725,0.8795836,0.7481447,0.8740723,0.76792455,0.8839623,0.73189723,0.8659486
2476,0.7844831,0.89224154,0.7558886,0.8779443,0.74737847,0.87368923,0.7178991,0.85894954,0.7558413,0.8779206,0.6910086,0.8455043,0.6629242,0.8314621,0.75368977,0.8768449,0.68719816,0.8435991,0.69749486,0.84874743
2515,0.73507893,0.86753947,0.7135607,0.85678035,0.72499526,0.8624976,0.65531087,0.82765543,0.6938529,0.84692645,0.6243845,0.81219226,0.6117395,0.80586976,0.70117164,0.8505858,0.6888582,0.84442914,0.6637428,0.8318714
2517,0.6810458,0.8405229,0.6666223,0.83331114,0.7038574,0.8519287,0.6124877,0.80624384,0.6547828,0.8273914,0.55823755,0.7791188,0.5030492,0.75152457,0.6508429,0.82542145,0.59833086,0.7991654,0.55790263,0.7789513
2529,0.65018916,0.8250946,0.628783,0.8143915,0.5208806,0.7604403,0.5690452,0.7845226,0.67057174,0.8352859,0.54976046,0.77488023,0.6352076,0.8176038,0.5872406,0.7936203,0.5406779,0.77033895,0.5740342,0.7870171
2538,0.6602063,0.83010316,0.58606803,0.793034,0.60324866,0.8016243,0.56643426,0.78321713,0.6182622,0.8091311,0.5991315,0.7995658,0.5327403,0.7663702,0.62670517,0.8133526,0.5774809,0.78874046,0.57323366,0.7866168
2551,0.7317542,0.8658771,0.6698777,0.8349389,0.65555024,0.8277751,0.5925813,0.79629064,0.6617594,0.8308797,0.6775293,0.83876467,0.6296112,0.8148056,0.65540814,0.8277041,0.6507564,0.8253782,0.63908154,0.81954074
2553,0.69131625,0.8456581,0.67634714,0.83817357,0.6661489,0.83307445,0.6227807,0.81139034,0.66077244,0.8303862,0.63875914,0.81937957,0.65415263,0.8270763,0.6687477,0.83437383,0.65809,0.829045,0.6537503,0.82687515
2554,0.6286378,0.8143189,0.6775888,0.8387944,0.60182214,0.80091107,0.6429676,0.8214838,0.6334498,0.8167249,0.6780102,0.8390051,0.65744436,0.8287222,0.71528417,0.85764205,0.71311855,0.8565593,0.7097831,0.85489154
2555,0.58077943,0.7903897,0.60549664,0.8027483,0.6117417,0.8058709,0.58812475,0.7940624,0.52798086,0.7639904,0.51680326,0.75840163,0.52105767,0.7605288,0.568588,0.784294,0.6075313,0.80376565,0.55033374,0.77516687
2556,0.6055735,0.8027867,0.6625095,0.8312547,0.6424271,0.82121354,0.5855584,0.7927792,0.5565358,0.77826786,0.54227185,0.7711359,0.4982951,0.74914753,0.6306907,0.81534535,0.5735616,0.78678083,0.5414821,0.77074105
2577,0.7793336,0.8896668,0.7307332,0.8653666,0.71278775,0.8563939,0.67963004,0.839815,0.7195864,0.8597932,0.72595054,0.86297524,0.67627585,0.8381379,0.7460923,0.87304616,0.7105042,0.8552521,0.7284789,0.86423945
2582,0.63049626,0.81524813,0.59995675,0.7999784,0.58862066,0.79431033,0.5381907,0.76909536,0.5858169,0.79290843,0.64414155,0.8220708,0.57864827,0.78932416,0.619159,0.8095795,0.6357951,0.81789756,0.63327867,0.8166393
2583,0.63415504,0.8170775,0.6879302,0.8439651,0.67836463,0.8391823,0.5957956,0.7978978,0.62473166,0.81236583,0.5845605,0.79228026,0.56638384,0.7831919,0.62714314,0.8135716,0.6036478,0.8018239,0.5759042,0.78795207
2584,0.7276707,0.86383533,0.6332844,0.81664217,0.66838896,0.8341945,0.5739609,0.78698045,0.6699309,0.83496547,0.6684879,0.83424395,0.56931466,0.78465736,0.66979283,0.83489645,0.57333434,0.78666717,0.61848265,0.8092413
2585,0.61532557,0.8076628,0.6138994,0.80694973,0.59666276,0.7983314,0.5646082,0.7823041,0.5777497,0.78887486,0.6190133,0.80950665,0.58061767,0.79030883,0.63696563,0.8184828,0.6343874,0.8171937,0.62917125,0.8145856
2586,0.6909505,0.84547526,0.6798421,0.83992106,0.66536283,0.8326814,0.6367512,0.8183756,0.608129,0.8040645,0.6242744,0.8121372,0.54230815,0.77115405,0.66495836,0.8324792,0.6397979,0.81989896,0.60482776,0.8024139
2587,0.5766163,0.78830814,0.5659522,0.7829761,0.58488953,0.79244477,0.53362894,0.7668145,0.509698,0.75484896,0.5141776,0.7570888,0.5016268,0.75081336,0.54421735,0.7721087,0.56046164,0.7802308,0.52231014,0.76115507
2588,0.72430724,0.86215365,0.66604334,0.83302164,0.64282966,0.8214148,0.650313,0.8251565,0.58403885,0.7920194,0.5944164,0.7972082,0.5253412,0.76267064,0.6392997,0.8196498,0.640922,0.82046103,0.5930934,0.7965467
2589,0.6701238,0.8350619,0.6860565,0.84302825,0.7040433,0.8520217,0.61890626,0.8094531,0.63659406,0.818297,0.63550043,0.8177502,0.6156658,0.8078329,0.6736001,0.83680004,0.64667404,0.823337,0.6414524,0.82072616
2590,0.6755363,0.83776814,0.6706065,0.83530325,0.69640625,0.8482031,0.6640004,0.8320002,0.6620012,0.83100057,0.6363841,0.81819206,0.642761,0.8213805,0.67748624,0.8387431,0.6158018,0.8079009,0.66265386,0.83132696
2591,0.6919902,0.84599507,0.7122905,0.85614526,0.6823344,0.8411672,0.65496135,0.8274807,0.6641469,0.83207345,0.6802694,0.84013474,0.67123353,0.83561677,0.7094052,0.8547026,0.71480966,0.8574048,0.7131381,0.85656905
2592,0.7700532,0.8850266,0.7010237,0.85051185,0.7469725,0.8734863,0.67476887,0.83738446,0.6972172,0.8486086,0.67561114,0.83780557,0.6123875,0.8061937,0.6791738,0.8395869,0.65385574,0.8269279,0.6594132,0.8297066
2594,0.6734593,0.83672965,0.63897693,0.81948847,0.6572732,0.8286366,0.7098398,0.8549199,0.6539355,0.8269677,0.6221887,0.81109434,0.60125256,0.8006263,0.65581787,0.82790893,0.6286037,0.81430185,0.62075317,0.8103766
2595,0.56100065,0.7805003,0.61081696,0.8054085,0.5498842,0.7749421,0.53835,0.769175,0.5421802,0.7710901,0.5590804,0.7795402,0.5793389,0.78966945,0.5748265,0.78741324,0.586519,0.7932595,0.59975,0.799875
2597,0.77215815,0.8860791,0.6576593,0.82882965,0.7395404,0.86977017,0.56031483,0.78015745,0.7084725,0.85423625,0.742629,0.8713145,0.5758612,0.7879306,0.6995246,0.8497623,0.58445996,0.79223,0.65754265,0.82877135
2645,0.66403437,0.8320172,0.6799534,0.83997667,0.70177305,0.8508865,0.6165171,0.80825853,0.59543234,0.79771614,0.6340641,0.81703204,0.5722698,0.7861349,0.6700611,0.83503056,0.6718042,0.8359021,0.6687089,0.83435446
2654,0.7110683,0.85553414,0.68380654,0.84190327,0.68270385,0.8413519,0.6756167,0.8378084,0.6424757,0.82123786,0.6092999,0.80464995,0.56841147,0.78420573,0.67481154,0.8374058,0.60826886,0.8041344,0.6146104,0.8073052
2655,0.75279343,0.8763967,0.6837161,0.841858,0.7189037,0.8594519,0.68529624,0.84264815,0.71184343,0.85592175,0.72653073,0.8632654,0.6557373,0.82786864,0.72352004,0.86176,0.6882862,0.8441431,0.71879035,0.85939515
2656,0.6671918,0.8335959,0.6843444,0.8421722,0.6227289,0.8113644,0.58068013,0.79034007,0.6247456,0.8123728,0.61928326,0.8096416,0.5824018,0.7912009,0.6564213,0.82821065,0.6232362,0.8116181,0.59520316,0.7976016
2657,0.60044616,0.8002231,0.62842345,0.8142117,0.6120184,0.8060092,0.576843,0.7884215,0.6311016,0.8155508,0.69218767,0.84609383,0.6428727,0.82143635,0.729514,0.864757,0.778999,0.8894995,0.72864413,0.86432207
2658,0.6719675,0.83598375,0.62581587,0.81290793,0.6078134,0.8039067,0.59267163,0.7963358,0.5829695,0.7914847,0.5618318,0.78091586,0.4659578,0.7329789,0.6197679,0.80988395,0.59620124,0.7981006,0.5388528,0.7694264
2659,0.5991627,0.79958135,0.6471952,0.8235976,0.5640435,0.78202176,0.5777098,0.7888549,0.62218624,0.8110931,0.60099745,0.8004987,0.66587603,0.832938,0.61920196,0.80960095,0.6514927,0.82574636,0.63939303,0.81969655
2660,0.500156,0.75007796,0.52841675,0.7642084,0.49455655,0.7472783,0.48120928,0.74060464,0.48374337,0.7418717,0.4996684,0.7498342,0.5445912,0.7722956,0.52436733,0.76218367,0.52706397,0.763532,0.52351147,0.7617557
2741,0.5931263,0.79656315,0.49442816,0.7472141,0.51268506,0.75634253,0.5356569,0.76782846,0.5409561,0.770478,0.5205129,0.7602564,0.48385555,0.74192774,0.49982178,0.7499109,0.49883923,0.7494196,0.50073946,0.7503697
