Unnamed: 0,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_doordash_pm_Raw_Score,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_doordash_pm_Score,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_apple_pm_Raw_Score,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_apple_pm_Score,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_samsara_pm_Raw_Score,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_samsara_pm_Score,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_yelp_pm_Raw_Score,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_yelp_pm_Score,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_match_pm_Raw_Score,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_match_pm_Score,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_i2c_ux_Raw_Score,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_i2c_ux_Score,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_adobe_ux_Raw_Score,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_adobe_ux_Score,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_amazon_ux_Raw_Score,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_amazon_ux_Score,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_rowan_ux_Raw_Score,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_rowan_ux_Score,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_google_ux_Raw_Score,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_google_ux_Score
1747,0.6546598,0.8273299,0.62113374,0.8105669,0.5730485,0.78652424,0.63399583,0.8169979,0.6430138,0.82150686,0.6441363,0.82206815,0.64755887,0.82377946,0.65941644,0.8297082,0.70178324,0.8508916,0.653484,0.826742
1784,0.68756485,0.8437824,0.6892005,0.84460026,0.6215458,0.8107729,0.62366116,0.8118306,0.742044,0.871022,0.74933267,0.87466633,0.77132416,0.8856621,0.7597078,0.8798539,0.7813046,0.8906523,0.7496321,0.87481606
2476,0.7927913,0.8963957,0.71242654,0.8562133,0.7187159,0.85935795,0.6642748,0.8321374,0.7615787,0.88078934,0.74572134,0.87286067,0.68811643,0.8440582,0.76272875,0.88136435,0.6723797,0.83618987,0.71833384,0.8591669
2515,0.7226045,0.86130226,0.72887874,0.86443937,0.7078606,0.8539303,0.65862334,0.82931167,0.6892044,0.8446022,0.63623273,0.81811637,0.61465883,0.8073294,0.69429874,0.8471494,0.6754471,0.83772355,0.6649601,0.8324801
2517,0.73755693,0.86877847,0.6766103,0.8383051,0.71112454,0.85556227,0.5950173,0.79750866,0.70340514,0.8517026,0.6382624,0.8191312,0.551106,0.775553,0.66690403,0.833452,0.6049576,0.8024788,0.6105801,0.80529004
2529,0.6639781,0.83198905,0.64947796,0.824739,0.57521915,0.7876096,0.57858384,0.7892919,0.6308469,0.8154235,0.6156151,0.80780756,0.6369274,0.8184637,0.62923276,0.8146164,0.6263516,0.8131758,0.65487003,0.827435
2538,0.70363545,0.8518177,0.690447,0.8452235,0.6390741,0.81953704,0.65300834,0.8265042,0.6516633,0.82583165,0.6346602,0.8173301,0.642537,0.8212685,0.68839157,0.8441958,0.64231515,0.8211576,0.6412876,0.8206438
2551,0.7403139,0.87015694,0.71251094,0.8562555,0.6764966,0.8382483,0.61889255,0.8094463,0.67852753,0.8392638,0.6865754,0.8432877,0.66554856,0.8327743,0.6781896,0.83909476,0.69746125,0.8487306,0.67836314,0.83918154
2553,0.75617296,0.87808645,0.71693414,0.8584671,0.7013056,0.8506528,0.65419775,0.82709885,0.7137548,0.8568774,0.6907648,0.8453824,0.68590283,0.8429514,0.71487665,0.8574383,0.70616776,0.85308385,0.7119204,0.8559602
2554,0.6434753,0.82173765,0.65651524,0.8282576,0.584776,0.79238796,0.60081315,0.8004066,0.6352399,0.8176199,0.6866076,0.8433038,0.6677503,0.8338752,0.6884172,0.8442086,0.68709886,0.84354943,0.7095566,0.8547783
2555,0.6604986,0.8302493,0.6653118,0.8326559,0.5995091,0.79975456,0.60745263,0.8037263,0.60800374,0.80400187,0.5843556,0.7921778,0.58843404,0.794217,0.6147555,0.80737776,0.62634647,0.81317323,0.59244,0.79622
2556,0.6650788,0.83253944,0.73962885,0.8698144,0.68267953,0.84133977,0.66767824,0.8338391,0.61445343,0.8072267,0.6085993,0.80429965,0.5870892,0.7935446,0.69551104,0.84775555,0.68737686,0.8436884,0.6462294,0.8231147
