Unnamed: 0,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_doordash_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_doordash_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_apple_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_apple_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_samsara_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_samsara_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_yelp_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_yelp_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_match_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_match_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_i2c_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_i2c_ux_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_adobe_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_adobe_ux_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_amazon_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_amazon_ux_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_rowan_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_rowan_ux_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_google_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_google_ux_Score
1747,0.6530202,0.8265101,0.6089647,0.80448234,0.5654701,0.78273505,0.63615024,0.8180751,0.6367178,0.8183589,0.64884293,0.82442147,0.64603174,0.82301587,0.6520349,0.82601744,0.70238185,0.8511909,0.6580881,0.82904404
1784,0.6845821,0.84229106,0.6836361,0.8418181,0.61221975,0.8061099,0.6224997,0.81124985,0.7378899,0.86894494,0.74802643,0.8740132,0.7652593,0.88262963,0.7564822,0.87824106,0.77261686,0.88630843,0.74083364,0.8704168
2476,0.7927913,0.8963957,0.71242654,0.8562133,0.7187159,0.85935795,0.6642748,0.8321374,0.7615787,0.88078934,0.74572134,0.87286067,0.68811643,0.8440582,0.76272875,0.88136435,0.6723797,0.83618987,0.71833384,0.8591669
2515,0.7329238,0.8664619,0.71924484,0.8596224,0.7140784,0.8570392,0.6526112,0.8263056,0.6896329,0.84481645,0.64995915,0.82497954,0.6158899,0.80794495,0.70154405,0.850772,0.6787126,0.8393563,0.66869533,0.83434767
2517,0.7296536,0.8648268,0.67416275,0.8370814,0.706035,0.8530175,0.5845454,0.7922727,0.7009803,0.85049015,0.63522506,0.8176125,0.54949665,0.7747483,0.659179,0.8295895,0.5986731,0.79933655,0.6050434,0.8025217
2529,0.6542641,0.82713205,0.65590245,0.8279512,0.5719401,0.7859701,0.5825682,0.7912841,0.63212895,0.8160645,0.6101807,0.8050903,0.6432455,0.8216227,0.6260035,0.81300175,0.6365626,0.8182813,0.65756273,0.82878137
2538,0.6843663,0.8421831,0.6629394,0.8314697,0.61845106,0.80922556,0.63867855,0.8193393,0.63830805,0.819154,0.6121419,0.8060709,0.61510336,0.8075517,0.6719577,0.83597887,0.6072407,0.80362034,0.6067141,0.80335706
2551,0.7438587,0.87192935,0.6967039,0.84835196,0.66526556,0.8326328,0.5944085,0.79720426,0.67441106,0.8372055,0.70717263,0.8535863,0.6593268,0.8296634,0.6749532,0.8374766,0.6993767,0.84968835,0.68679285,0.8433964
2553,0.78321654,0.89160824,0.7323381,0.86616904,0.7277391,0.86386955,0.6617912,0.8308956,0.7265382,0.8632691,0.70776546,0.85388273,0.67700374,0.8385019,0.72258943,0.86129475,0.71218127,0.85609066,0.71838534,0.85919267
2554,0.64887226,0.8244361,0.6593263,0.82966316,0.5877223,0.79386115,0.5947232,0.7973616,0.63964736,0.8198237,0.69173,0.845865,0.6689532,0.8344766,0.69067764,0.8453388,0.6957487,0.84787434,0.7116754,0.8558377
2555,0.6622524,0.8311262,0.6494483,0.82472414,0.5935972,0.7967986,0.5945264,0.7972632,0.6000224,0.80001116,0.59358686,0.79679346,0.58756745,0.7937837,0.60959923,0.8047996,0.62416494,0.81208247,0.59749866,0.7987493
2556,0.6831056,0.8415528,0.74297005,0.871485,0.6974324,0.8487162,0.6760336,0.8380168,0.623827,0.8119135,0.6226965,0.81134826,0.59306777,0.7965339,0.7169296,0.85846484,0.69710284,0.8485514,0.65956974,0.82978487
