Unnamed: 0,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_doordash_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_doordash_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_apple_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_apple_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_samsara_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_samsara_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_yelp_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_yelp_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_match_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_match_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_i2c_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_i2c_ux_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_adobe_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_adobe_ux_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_amazon_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_amazon_ux_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_rowan_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_rowan_ux_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_google_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_google_ux_Score
1747,0.644736,0.822368,0.6023144,0.80115724,0.564139,0.7820695,0.6324346,0.8162173,0.6306041,0.815302,0.6353677,0.8176838,0.6341874,0.81709373,0.6453315,0.82266575,0.6936166,0.8468083,0.64501363,0.8225068
1784,0.6845821,0.84229106,0.6836361,0.8418181,0.61221975,0.8061099,0.6224997,0.81124985,0.7378899,0.86894494,0.74802643,0.8740132,0.7652593,0.88262963,0.7564822,0.87824106,0.77261686,0.88630843,0.74083364,0.8704168
2476,0.7913468,0.8956734,0.7081895,0.85409474,0.717281,0.8586405,0.66558003,0.83279,0.7600705,0.8800353,0.74375606,0.871878,0.6845088,0.8422544,0.75867826,0.8793391,0.6690192,0.8345096,0.71385014,0.8569251
2515,0.79555404,0.897777,0.7356054,0.86780274,0.7399224,0.8699612,0.6812211,0.84061056,0.74763775,0.8738189,0.72839624,0.8641981,0.66163856,0.83081925,0.7388668,0.8694334,0.7142905,0.85714525,0.7522303,0.87611514
2517,0.72098005,0.86049,0.65566444,0.8278322,0.67624533,0.83812267,0.56346977,0.7817349,0.68309486,0.8415474,0.62941265,0.8147063,0.5330332,0.76651657,0.6397452,0.8198726,0.5946856,0.7973428,0.59991205,0.799956
2529,0.63634706,0.8181735,0.63628006,0.81814003,0.5561557,0.77807784,0.57167506,0.78583753,0.60442334,0.80221164,0.5936446,0.7968223,0.61922514,0.8096126,0.608505,0.8042525,0.61749184,0.8087459,0.6385076,0.8192538
2538,0.68861985,0.8443099,0.66223335,0.8311167,0.6258726,0.8129363,0.6323086,0.8161543,0.6388619,0.81943095,0.6200538,0.8100269,0.6118108,0.8059054,0.6735688,0.83678436,0.60859454,0.80429727,0.6079236,0.8039618
2551,0.73702455,0.8685123,0.7022457,0.85112286,0.6715642,0.8357821,0.5912343,0.79561716,0.67184865,0.8359243,0.6912744,0.8456372,0.65220606,0.82610303,0.6661103,0.83305514,0.69212997,0.846065,0.67334104,0.8366705
2553,0.78197634,0.8909882,0.7357055,0.86785275,0.7351692,0.8675846,0.6617745,0.83088726,0.7294572,0.86472857,0.69892704,0.8494635,0.6735312,0.8367656,0.73005605,0.865028,0.71143633,0.85571814,0.71213686,0.85606843
2554,0.64887226,0.8244361,0.6593263,0.82966316,0.5877223,0.79386115,0.5947232,0.7973616,0.63964736,0.8198237,0.69173,0.845865,0.6689532,0.8344766,0.69067764,0.8453388,0.6957487,0.84787434,0.7116754,0.8558377
2555,0.66243804,0.831219,0.6503502,0.8251751,0.59344935,0.7967247,0.5949311,0.79746556,0.602343,0.80117154,0.59685963,0.79842985,0.5907218,0.7953609,0.6116861,0.80584306,0.6252551,0.81262755,0.6002573,0.80012864
2556,0.6831056,0.8415528,0.74297005,0.871485,0.6974324,0.8487162,0.6760336,0.8380168,0.623827,0.8119135,0.6226965,0.81134826,0.59306777,0.7965339,0.7169296,0.85846484,0.69710284,0.8485514,0.65956974,0.82978487
2577,0.7625599,0.88127995,0.7461214,0.8730607,0.7039042,0.8519521,0.6831516,0.8415758,0.6751648,0.8375824,0.6899556,0.8449778,0.6789305,0.83946526,0.70211935,0.8510597,0.6922102,0.8461051,0.72042954,0.86021477
2582,0.6813623,0.84068114,0.6489767,0.82448834,0.6660743,0.83303714,0.5899032,0.79495156,0.619151,0.8095755,0.6504338,0.8252169,0.5825073,0.7912537,0.6561135,0.82805675,0.6394383,0.81971914,0.62065744,0.8103287
2583,0.7301951,0.8650975,0.768349,0.88417447,0.7402098,0.8701049,0.652681,0.8263405,0.7221404,0.86107016,0.708537,0.8542685,0.6958741,0.84793705,0.7481267,0.8740634,0.703402,0.851701,0.7100557,0.85502785
2584,0.73046637,0.8652332,0.65997446,0.8299872,0.6689,0.83445,0.59640384,0.7982019,0.6666572,0.8333286,0.67338336,0.8366917,0.60365564,0.8018278,0.68010926,0.84005463,0.58917737,0.7945887,0.6356758,0.8178379
2585,0.64264977,0.8213249,0.6602665,0.83013326,0.58906144,0.79453075,0.5783316,0.7891658,0.61614996,0.80807495,0.6315478,0.8157739,0.64447093,0.82223547,0.6504128,0.8252064,0.6433254,0.82166266,0.653492,0.826746
