Unnamed: 0,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_doordash_pm_Raw_Score,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_doordash_pm_Score,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_apple_pm_Raw_Score,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_apple_pm_Score,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_samsara_pm_Raw_Score,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_samsara_pm_Score,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_yelp_pm_Raw_Score,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_yelp_pm_Score,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_match_pm_Raw_Score,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_match_pm_Score,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_i2c_ux_Raw_Score,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_i2c_ux_Score,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_adobe_ux_Raw_Score,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_adobe_ux_Score,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_amazon_ux_Raw_Score,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_amazon_ux_Score,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_rowan_ux_Raw_Score,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_rowan_ux_Score,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_google_ux_Raw_Score,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_google_ux_Score
1747,0.6790735,0.8395368,0.6276715,0.81383574,0.59906065,0.7995303,0.6452346,0.8226173,0.64974463,0.8248723,0.65725297,0.8286265,0.6407869,0.82039344,0.66522425,0.83261216,0.70668674,0.85334337,0.6577766,0.8288883
1784,0.69296384,0.8464819,0.6832501,0.8416251,0.600914,0.800457,0.5786567,0.78932834,0.71267295,0.8563365,0.7458179,0.87290895,0.7608488,0.8804244,0.7294374,0.8647187,0.74482405,0.872412,0.73620605,0.868103
2476,0.77361226,0.88680613,0.729092,0.864546,0.6997083,0.8498541,0.65843457,0.8292173,0.7504454,0.8752227,0.7124279,0.8562139,0.69238114,0.8461906,0.73231804,0.866159,0.6714152,0.8357076,0.709176,0.85458803
2515,0.7611936,0.88059676,0.7435404,0.8717702,0.713361,0.8566805,0.6740033,0.8370017,0.71318066,0.85659033,0.67242897,0.8362145,0.6658323,0.83291614,0.71151745,0.8557587,0.70557606,0.85278803,0.71316767,0.85658383
2517,0.76926565,0.8846328,0.7085964,0.85429823,0.7138163,0.85690814,0.6849609,0.8424804,0.67110145,0.8355507,0.6710094,0.8355047,0.5965568,0.7982784,0.70247597,0.851238,0.665397,0.83269846,0.67239785,0.8361989
2529,0.7216564,0.86082816,0.6710745,0.83553725,0.62830687,0.81415343,0.60565007,0.80282503,0.67539,0.837695,0.6340564,0.81702816,0.6495656,0.8247828,0.65955687,0.82977843,0.59733653,0.79866827,0.6481553,0.8240776
2538,0.7428941,0.8714471,0.69554484,0.8477724,0.6919626,0.8459813,0.6297891,0.81489456,0.6735014,0.8367507,0.6868681,0.84343404,0.5991576,0.7995788,0.69354296,0.8467715,0.65499413,0.82749707,0.64659786,0.82329893
2551,0.7779033,0.88895166,0.72127223,0.8606361,0.7249435,0.86247176,0.64136124,0.8206806,0.7051358,0.8525679,0.7155808,0.8577904,0.6505109,0.82525545,0.7060977,0.85304886,0.7016503,0.8508252,0.7026012,0.8513006
2553,0.76835227,0.88417614,0.7039411,0.85197055,0.6939069,0.84695345,0.64627475,0.8231374,0.683493,0.8417465,0.67150867,0.83575433,0.65052927,0.82526463,0.6893555,0.84467775,0.6659299,0.83296496,0.67744076,0.8387204
2554,0.6742036,0.8371018,0.67668575,0.8383429,0.6177176,0.8088588,0.6271923,0.8135961,0.651878,0.825939,0.7028439,0.85142195,0.67138493,0.83569247,0.694075,0.8470375,0.70969856,0.8548493,0.7392832,0.8696416
2555,0.67019546,0.83509773,0.67874724,0.8393736,0.61670613,0.80835307,0.6185853,0.8092927,0.61827826,0.80913913,0.60318065,0.8015903,0.5914637,0.79573184,0.6352267,0.81761336,0.64435923,0.8221796,0.6102654,0.8051327
2556,0.65502036,0.8275102,0.7168255,0.85841274,0.6710745,0.83553725,0.6476114,0.8238057,0.61485016,0.8074251,0.6014205,0.80071026,0.55383706,0.77691853,0.7056824,0.8528412,0.6604256,0.83021283,0.6035187,0.80175936
2577,0.74351794,0.87175894,0.7353998,0.86769986,0.68860734,0.84430367,0.66746914,0.8337346,0.66544104,0.8327205,0.6690035,0.83450174,0.6549349,0.82746744,0.6953249,0.84766245,0.6641928,0.8320964,0.69016373,0.84508187
2582,0.7055905,0.85279524,0.6640363,0.83201814,0.6715815,0.83579075,0.63638115,0.8181906,0.65180284,0.8259014,0.69070053,0.84535027,0.64539886,0.8226994,0.67703044,0.8385152,0.68215215,0.8410761,0.6887233,0.84436166
2583,0.64645064,0.8232253,0.7018194,0.8509097,0.658519,0.8292595,0.6198355,0.80991775,0.60387325,0.8019366,0.5846052,0.7923026,0.5936145,0.7968073,0.63468516,0.8173426,0.6246949,0.8123474,0.6146077,0.80730385
2584,0.74636364,0.8731818,0.70632756,0.8531638,0.6632541,0.831627,0.604633,0.8023165,0.7006068,0.8503034,0.6880912,0.84404564,0.6280065,0.8140032,0.6920892,0.8460446,0.6160415,0.8080207,0.6398772,0.8199386
2585,0.6405678,0.8202839,0.6480241,0.82401204,0.5727987,0.78639936,0.5759011,0.7879505,0.5911635,0.79558176,0.6087425,0.80437124,0.60432017,0.8021601,0.63365984,0.8168299,0.62711465,0.8135573,0.63413304,0.81706655
2586,0.70551866,0.85275936,0.7220969,0.86104846,0.65820754,0.82910377,0.6464181,0.82320905,0.62931937,0.8146597,0.6489563,0.82447815,0.5934541,0.79672706,0.6933014,0.8466507,0.66696167,0.83348083,0.6460922,0.8230461
2587,0.69237673,0.84618837,0.6545249,0.82726246,0.6684062,0.8342031,0.62128294,0.81064147,0.596336,0.798168,0.62269175,0.8113459,0.5575707,0.77878535,0.64973617,0.8248681,0.6242926,0.8121463,0.6214539,0.81072694
2588,0.7495523,0.8747761,0.70152783,0.8507639,0.6818323,0.84091616,0.66597426,0.8329871,0.6196182,0.8098091,0.63417435,0.8170872,0.55189735,0.77594864,0.69839686,0.84919846,0.66759956,0.8337998,0.6315073,0.81575364
2589,0.78829694,0.89414847,0.7230542,0.8615271,0.7326487,0.8663243,0.62819815,0.8140991,0.7116902,0.8558451,0.7241148,0.8620574,0.6373216,0.8186608,0.72914404,0.86457205,0.6453917,0.82269585,0.69507945,0.8475397
2590,0.7082821,0.85414106,0.69738615,0.8486931,0.68721354,0.84360677,0.6510237,0.8255118,0.65150785,0.8257539,0.6429215,0.8214607,0.63135374,0.81567687,0.6788601,0.8394301,0.606095,0.80304754,0.6439516,0.8219758
2591,0.7414516,0.8707258,0.68332493,0.84166247,0.6586596,0.8293298,0.60387075,0.8019354,0.6812603,0.8406302,0.74045444,0.8702272,0.6488782,0.8244391,0.7136893,0.85684466,0.67304903,0.8365245,0.72143483,0.8607174
2592,0.7271051,0.8635526,0.7009973,0.8504987,0.70509577,0.8525479,0.6621539,0.831077,0.6893878,0.8446939,0.65868956,0.82934475,0.6121956,0.8060978,0.67173845,0.8358692,0.635026,0.817513,0.6519011,0.82595056
2594,0.67951417,0.8397571,0.63134825,0.8156741,0.6167265,0.80836326,0.6900928,0.8450464,0.6347052,0.8173526,0.6120316,0.8060158,0.5969467,0.79847336,0.6451244,0.8225622,0.6076709,0.80383545,0.60705316,0.8035266
2595,0.7161398,0.8580699,0.7291814,0.8645907,0.6874608,0.8437304,0.66550225,0.83275115,0.6729449,0.83647245,0.64932644,0.8246632,0.64296913,0.82148457,0.6984616,0.84923077,0.64145565,0.8207278,0.6650861,0.832543
2597,0.791606,0.895803,0.7245226,0.8622613,0.76181036,0.88090515,0.6510626,0.8255313,0.7275876,0.8637938,0.74889886,0.87444943,0.6572024,0.82860124,0.7465914,0.87329566,0.6686381,0.83431906,0.7043337,0.8521669
2645,0.7011547,0.85057735,0.71286184,0.8564309,0.6928735,0.84643674,0.66491437,0.8324572,0.67529196,0.837646,0.6464083,0.82320416,0.62589073,0.81294537,0.6987232,0.8493616,0.6724236,0.8362118,0.6690906,0.8345453
2654,0.69523084,0.8476154,0.702872,0.851436,0.6674678,0.8337339,0.683299,0.84164953,0.65146947,0.82573473,0.62524736,0.8126237,0.5901028,0.7950514,0.69810486,0.8490524,0.62749285,0.81374645,0.6415874,0.8207937
2655,0.6557262,0.8278631,0.62227666,0.81113833,0.62875575,0.8143779,0.6992675,0.84963375,0.60698605,0.803493,0.6016124,0.80080616,0.54952,0.77476,0.6168566,0.8084283,0.6299305,0.81496525,0.5897161,0.79485804
2656,0.6652416,0.8326208,0.72999096,0.8649955,0.6587914,0.8293957,0.6225486,0.8112743,0.5912793,0.79563963,0.58403015,0.7920151,0.55587506,0.77793753,0.65303457,0.8265173,0.6068017,0.8034009,0.5932287,0.79661435
2657,0.6594503,0.82972515,0.67095375,0.8354769,0.63468754,0.8173438,0.6106465,0.80532324,0.64902014,0.8245101,0.6836945,0.84184724,0.63635325,0.8181766,0.76071626,0.8803581,0.75814766,0.87907386,0.73773265,0.8688663
2658,0.7094183,0.85470915,0.63281953,0.81640977,0.65046036,0.8252302,0.6304419,0.81522095,0.5973649,0.79868245,0.6047343,0.80236715,0.5087822,0.7543911,0.62435246,0.8121762,0.6161957,0.80809784,0.5863085,0.79315424
2659,0.65222096,0.8261105,0.66512054,0.8325603,0.6362901,0.81814504,0.6269344,0.8134672,0.65198326,0.82599163,0.6092465,0.80462325,0.64849687,0.82424843,0.6622011,0.8311006,0.67165536,0.8358277,0.6449839,0.82249194
2660,0.64360005,0.8218,0.6582465,0.82912326,0.60324585,0.8016229,0.58246386,0.79123193,0.59936345,0.7996817,0.576478,0.788239,0.59208524,0.7960426,0.60387725,0.80193865,0.5903239,0.79516196,0.5892222,0.7946111
2741,0.702526,0.851263,0.6325978,0.8162989,0.61510736,0.80755365,0.63428974,0.8171449,0.5930897,0.79654485,0.55044395,0.77522194,0.52683157,0.7634158,0.59383446,0.7969172,0.61279213,0.80639607,0.56438696,0.7821935
2766,0.69938606,0.84969306,0.783224,0.891612,0.6561339,0.82806695,0.6541303,0.8270651,0.65422386,0.82711196,0.6151763,0.80758816,0.63796365,0.8189818,0.70041066,0.8502053,0.6558198,0.8279099,0.6353492,0.81767464
2793,0.71955585,0.8597779,0.7533966,0.87669826,0.63347834,0.8167392,0.62971187,0.81485593,0.6887353,0.8443676,0.72368646,0.8618432,0.72537154,0.8626858,0.74120057,0.8706003,0.70027596,0.85013795,0.7352882,0.8676441
2810,0.6816095,0.84080476,0.6955871,0.8477936,0.6718153,0.83590764,0.607857,0.8039285,0.5972271,0.79861355,0.5516286,0.7758143,0.49919194,0.749596,0.6610421,0.83052105,0.59790635,0.7989532,0.5272444,0.76362216
2824,0.6896819,0.84484094,0.716124,0.858062,0.68374264,0.8418713,0.63915503,0.8195775,0.637257,0.8186285,0.5940448,0.7970224,0.57569104,0.7878455,0.6926147,0.84630734,0.6336204,0.8168102,0.59966516,0.7998326
3002,0.66131806,0.83065903,0.6521747,0.82608736,0.60750574,0.8037529,0.6183848,0.8091924,0.60710657,0.8035533,0.54879075,0.77439535,0.6076887,0.80384433,0.5923977,0.79619884,0.59750307,0.79875153,0.5799608,0.7899804
3021,0.6365019,0.81825095,0.6635314,0.8317657,0.5856003,0.7928002,0.57790947,0.78895473,0.58180207,0.79090106,0.51178545,0.75589275,0.53794247,0.7689712,0.5846714,0.7923357,0.56873655,0.7843683,0.5293357,0.76466787
3093,0.76494825,0.8824741,0.7627076,0.8813538,0.7117878,0.8558939,0.6642095,0.83210474,0.76333857,0.8816693,0.7314888,0.8657444,0.71429956,0.8571498,0.7493751,0.87468755,0.7402371,0.87011856,0.753195,0.8765975
3105,0.7629351,0.8814676,0.6958536,0.8479268,0.6716634,0.8358317,0.6082797,0.80413985,0.69328654,0.84664327,0.6976163,0.84880817,0.6440629,0.82203144,0.67323184,0.8366159,0.6409341,0.82046705,0.66086155,0.83043075
3113,0.6317854,0.8158927,0.5906228,0.7953114,0.57196546,0.7859827,0.5390283,0.76951414,0.56137204,0.780686,0.6319384,0.8159692,0.56125695,0.78062844,0.60532856,0.8026643,0.5824512,0.7912256,0.59951997,0.79976
3118,0.6742165,0.83710825,0.6642848,0.8321424,0.58621246,0.7931062,0.590176,0.795088,0.6546408,0.8273204,0.6452768,0.8226384,0.6413356,0.8206678,0.66733927,0.83366966,0.67014027,0.83507013,0.67497957,0.8374898
3120,0.69638246,0.84819126,0.6856905,0.84284526,0.6341659,0.81708294,0.61910015,0.80955005,0.65100527,0.82550263,0.65834856,0.8291743,0.6386142,0.8193071,0.69309163,0.8465458,0.63681495,0.8184075,0.67063344,0.8353167
3122,0.7840941,0.89204705,0.7470897,0.8735448,0.7319093,0.86595464,0.67702043,0.8385102,0.7369235,0.8684617,0.7063731,0.85318655,0.6486851,0.82434255,0.7538049,0.87690246,0.7047354,0.8523677,0.71534944,0.8576747
3123,0.7694255,0.88471276,0.71847105,0.8592355,0.7251078,0.8625539,0.6345284,0.8172642,0.72391915,0.8619596,0.7083303,0.85416514,0.6774013,0.83870065,0.7325041,0.86625206,0.6830527,0.8415264,0.69368684,0.8468434
3133,0.7184121,0.8592061,0.6803535,0.84017676,0.64183193,0.82091594,0.62078995,0.810395,0.65048325,0.8252416,0.67392945,0.8369647,0.65274215,0.8263711,0.70120305,0.85060155,0.642475,0.8212375,0.6870104,0.8435052
3134,0.7921399,0.89606994,0.7524332,0.8762166,0.72543013,0.86271507,0.6754569,0.83772844,0.71912956,0.8595648,0.7424036,0.8712018,0.66312927,0.83156466,0.7435912,0.8717956,0.70075536,0.8503777,0.71979094,0.85989547
3135,0.75258356,0.87629175,0.6866189,0.84330946,0.6937573,0.84687865,0.6159192,0.80795956,0.6792753,0.83963764,0.66181403,0.830907,0.6003171,0.80015856,0.66143227,0.83071613,0.6322793,0.81613964,0.6347673,0.81738365
3136,0.7664651,0.8832326,0.7331696,0.8665848,0.66595685,0.8329784,0.6392287,0.81961435,0.7020432,0.8510216,0.7109888,0.8554944,0.648655,0.82432747,0.745474,0.872737,0.70015824,0.8500791,0.7071072,0.8535536
3137,0.7394842,0.8697421,0.67534626,0.8376731,0.660369,0.83018446,0.5993128,0.7996564,0.665617,0.8328085,0.67914164,0.8395708,0.62088335,0.8104417,0.6808289,0.84041446,0.6346599,0.81732994,0.6558816,0.8279408
3138,0.72912335,0.8645617,0.6412806,0.8206403,0.67173356,0.8358668,0.61722946,0.80861473,0.63731956,0.8186598,0.68209505,0.8410475,0.6026342,0.8013171,0.6607603,0.83038014,0.6100843,0.80504215,0.6603725,0.83018625
3139,0.71100616,0.8555031,0.6689966,0.8344983,0.66904235,0.8345212,0.61252683,0.80626345,0.6179074,0.8089537,0.65089285,0.8254464,0.5513978,0.7756989,0.66608274,0.83304137,0.6111208,0.8055604,0.6322278,0.8161139
3140,0.7615225,0.88076127,0.6741589,0.8370794,0.6854296,0.8427148,0.6365543,0.8182771,0.6650756,0.8325378,0.67541414,0.83770704,0.62183154,0.81091577,0.68120253,0.84060127,0.6456556,0.8228278,0.67788196,0.838941
3141,0.69680154,0.8484008,0.7105864,0.8552932,0.63569146,0.8178457,0.5952364,0.7976182,0.6650007,0.83250034,0.681674,0.840837,0.645705,0.8228525,0.6814209,0.84071046,0.6609708,0.8304854,0.68524027,0.84262013
3142,0.78506833,0.89253414,0.6988876,0.8494438,0.74984723,0.8749236,0.6439753,0.8219876,0.72023535,0.8601177,0.7427369,0.8713684,0.6272996,0.8136498,0.7478379,0.87391895,0.6770471,0.8385235,0.7101393,0.85506964
3143,0.76098627,0.88049316,0.67502975,0.8375149,0.6846484,0.8423242,0.6123024,0.8061512,0.6977783,0.8488891,0.71161103,0.8558055,0.6238722,0.81193614,0.7013897,0.85069484,0.65284944,0.8264247,0.684716,0.842358
3144,0.78230447,0.89115226,0.7014284,0.8507142,0.7264787,0.86323935,0.61660606,0.808303,0.71730167,0.8586508,0.7417282,0.8708641,0.65167403,0.825837,0.75160944,0.8758047,0.6545695,0.82728475,0.67829335,0.8391467
3145,0.5707343,0.78536713,0.5667552,0.7833776,0.5013664,0.7506832,0.52272797,0.761364,0.5437528,0.7718764,0.5312723,0.76563615,0.54090357,0.7704518,0.5235609,0.76178044,0.5293938,0.7646969,0.5295975,0.76479876
3146,0.6966113,0.84830564,0.64209735,0.8210487,0.63609564,0.8180478,0.59324276,0.7966214,0.6336082,0.8168041,0.6792841,0.83964205,0.61403894,0.8070195,0.646127,0.8230635,0.63645935,0.8182297,0.6431825,0.82159126
3147,0.7271413,0.8635707,0.68846935,0.8442347,0.6815889,0.84079444,0.6698847,0.83494234,0.66687214,0.8334361,0.6912175,0.8456087,0.6441814,0.8220907,0.71250415,0.8562521,0.7222277,0.86111385,0.7075356,0.8537678
3148,0.7031146,0.8515573,0.6668787,0.83343935,0.6457411,0.82287055,0.58211446,0.7910572,0.6768906,0.8384453,0.7079719,0.8539859,0.69611526,0.8480576,0.69363415,0.8468171,0.6580647,0.82903236,0.6974186,0.8487093
3149,0.75427175,0.8771359,0.6856598,0.84282994,0.664113,0.8320565,0.6296718,0.8148359,0.6669932,0.8334966,0.6752104,0.83760524,0.61279535,0.8063977,0.66305023,0.8315251,0.63483244,0.8174162,0.6607428,0.8303714
3150,0.76383805,0.881919,0.6600779,0.83003896,0.6548453,0.8274226,0.60159147,0.80079573,0.66445166,0.8322258,0.7008791,0.85043955,0.6090029,0.8045014,0.671237,0.8356185,0.6069368,0.8034684,0.66445786,0.8322289
3153,0.70219564,0.8510978,0.6322944,0.8161472,0.6395273,0.81976366,0.59440446,0.7972022,0.6329509,0.81647545,0.6758275,0.83791375,0.59411836,0.7970592,0.6334684,0.8167342,0.6155432,0.80777156,0.6524517,0.8262259
3155,0.64468086,0.8223404,0.61493856,0.80746925,0.58373743,0.7918687,0.5054599,0.75272995,0.56838286,0.7841914,0.5818031,0.79090154,0.5525907,0.77629536,0.58344567,0.79172283,0.54758495,0.7737925,0.57600415,0.7880021
3156,0.7688484,0.8844242,0.63722295,0.8186115,0.7092465,0.85462326,0.60106736,0.80053365,0.690158,0.845079,0.6745938,0.8372969,0.5477029,0.77385145,0.6778744,0.83893716,0.59119046,0.7955952,0.6373929,0.81869644
3157,0.73757416,0.86878705,0.66356134,0.8317807,0.7019788,0.8509894,0.61872226,0.8093611,0.6887994,0.8443997,0.6785337,0.83926684,0.62709224,0.8135461,0.67394966,0.83697486,0.63607836,0.8180392,0.67167497,0.8358375
3158,0.7229357,0.86146784,0.675872,0.83793604,0.64951444,0.8247572,0.5941025,0.79705125,0.67520595,0.837603,0.6828711,0.84143555,0.6135586,0.80677927,0.67115426,0.83557713,0.6116083,0.80580413,0.646883,0.8234415
3159,0.679324,0.83966196,0.6212597,0.81062984,0.6824719,0.84123594,0.52613974,0.76306987,0.6732997,0.83664984,0.69568896,0.8478445,0.61705655,0.8085283,0.68418574,0.8420929,0.5937146,0.7968573,0.6552061,0.82760304
3160,0.7260392,0.8630196,0.70888615,0.8544431,0.6764513,0.83822566,0.60408217,0.80204105,0.66786194,0.83393097,0.6730809,0.83654046,0.6502074,0.8251037,0.69341207,0.84670603,0.6537336,0.8268668,0.6860727,0.84303635
3161,0.8083577,0.90417886,0.76539516,0.8826976,0.73312646,0.8665632,0.66016835,0.8300842,0.746227,0.8731135,0.7313187,0.86565936,0.6451075,0.82255375,0.72957253,0.86478627,0.6731765,0.83658826,0.71519697,0.8575985
3162,0.737156,0.86857796,0.64698845,0.8234942,0.63830584,0.81915295,0.6084892,0.80424464,0.6551789,0.82758945,0.6536083,0.82680416,0.59559274,0.79779637,0.649958,0.824979,0.6196046,0.8098023,0.6296774,0.8148387
