Unnamed: 0,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_doordash_pm_Raw_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_doordash_pm_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_apple_pm_Raw_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_apple_pm_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_samsara_pm_Raw_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_samsara_pm_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_yelp_pm_Raw_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_yelp_pm_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_match_pm_Raw_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_match_pm_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_i2c_ux_Raw_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_i2c_ux_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_adobe_ux_Raw_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_adobe_ux_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_amazon_ux_Raw_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_amazon_ux_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_rowan_ux_Raw_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_rowan_ux_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_google_ux_Raw_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_google_ux_Score
1747,0.6838052,0.8419026,0.62842333,0.81421167,0.60661554,0.8033078,0.6531084,0.8265542,0.65080714,0.8254036,0.649338,0.824669,0.63025784,0.8151289,0.6704371,0.83521855,0.7035381,0.8517691,0.6570023,0.8285011
1784,0.67907596,0.839538,0.6772701,0.8386351,0.58933794,0.794669,0.5692367,0.7846184,0.69290864,0.8464543,0.73841786,0.86920893,0.75324714,0.8766236,0.72118807,0.86059403,0.74531,0.87265503,0.7259498,0.8629749
2476,0.77368546,0.8868427,0.72542274,0.86271137,0.7035433,0.85177165,0.6564077,0.82820386,0.74634504,0.8731725,0.7121047,0.85605234,0.6885787,0.84428936,0.72977185,0.8648859,0.67171216,0.8358561,0.7112926,0.8556463
2515,0.7611936,0.88059676,0.7435404,0.8717702,0.713361,0.8566805,0.6740033,0.8370017,0.71318066,0.85659033,0.67242897,0.8362145,0.6658323,0.83291614,0.71151745,0.8557587,0.70557606,0.85278803,0.71316767,0.85658383
2517,0.76926565,0.8846328,0.7085964,0.85429823,0.7138163,0.85690814,0.6849609,0.8424804,0.67110145,0.8355507,0.6710094,0.8355047,0.5965568,0.7982784,0.70247597,0.851238,0.665397,0.83269846,0.67239785,0.8361989
2529,0.6924555,0.84622777,0.65333223,0.8266661,0.6076745,0.80383724,0.58747387,0.79373693,0.65149975,0.8257499,0.6109657,0.80548286,0.63415104,0.8170755,0.63385165,0.8169258,0.58229065,0.7911453,0.6273061,0.81365305
2538,0.762114,0.881057,0.69527847,0.8476392,0.7091163,0.8545581,0.6373772,0.81868863,0.6857468,0.8428734,0.70009136,0.8500457,0.6081275,0.80406374,0.70223576,0.85111785,0.65113664,0.8255683,0.6541615,0.8270807
2551,0.7779033,0.88895166,0.72127223,0.8606361,0.7249435,0.86247176,0.64136124,0.8206806,0.7051358,0.8525679,0.7155808,0.8577904,0.6505109,0.82525545,0.7060977,0.85304886,0.7016503,0.8508252,0.7026012,0.8513006
2553,0.7700754,0.88503766,0.70067817,0.85033906,0.6873188,0.8436594,0.63870573,0.81935287,0.6827104,0.8413552,0.6740756,0.8370378,0.64638746,0.8231937,0.6845522,0.8422761,0.65530205,0.827651,0.6715399,0.83576995
2554,0.6778473,0.8389237,0.6816725,0.8408363,0.6191087,0.80955434,0.63134384,0.8156719,0.65611875,0.8280594,0.7016934,0.8508467,0.6766325,0.83831626,0.69985706,0.8499285,0.71202755,0.8560138,0.74060225,0.8703011
2555,0.67019546,0.83509773,0.67874724,0.8393736,0.61670613,0.80835307,0.6185853,0.8092927,0.61827826,0.80913913,0.60318065,0.8015903,0.5914637,0.79573184,0.6352267,0.81761336,0.64435923,0.8221796,0.6102654,0.8051327
2556,0.70911884,0.8545594,0.74425375,0.8721269,0.72877085,0.8643854,0.67780435,0.8389022,0.6675546,0.8337773,0.6691029,0.83455145,0.59242994,0.79621494,0.7686815,0.88434076,0.7199156,0.8599578,0.67474127,0.83737063
2577,0.74351794,0.87175894,0.7353998,0.86769986,0.68860734,0.84430367,0.66746914,0.8337346,0.66544104,0.8327205,0.6690035,0.83450174,0.6549349,0.82746744,0.6953249,0.84766245,0.6641928,0.8320964,0.69016373,0.84508187
2582,0.7055905,0.85279524,0.6640363,0.83201814,0.6715815,0.83579075,0.63638115,0.8181906,0.65180284,0.8259014,0.69070053,0.84535027,0.64539886,0.8226994,0.67703044,0.8385152,0.68215215,0.8410761,0.6887233,0.84436166
2583,0.6450073,0.8225037,0.7128614,0.8564307,0.65748847,0.82874423,0.6326036,0.8163018,0.60841143,0.8042057,0.58674103,0.7933705,0.59832376,0.7991619,0.6465144,0.8232572,0.63982636,0.81991315,0.6238824,0.8119412
2584,0.74617326,0.87308663,0.69986033,0.84993017,0.66215575,0.8310779,0.59858656,0.7992933,0.6925015,0.8462508,0.69296795,0.84648395,0.6259721,0.812986,0.69009864,0.8450493,0.6191491,0.80957454,0.65036696,0.8251835
2585,0.6359974,0.8179987,0.6449337,0.82246685,0.56984293,0.78492147,0.569751,0.7848755,0.5867893,0.7933947,0.6043571,0.80217856,0.6021815,0.8010907,0.6279072,0.81395364,0.62563586,0.81281793,0.6335988,0.8167994
2586,0.70551866,0.85275936,0.7220969,0.86104846,0.65820754,0.82910377,0.6464181,0.82320905,0.62931937,0.8146597,0.6489563,0.82447815,0.5934541,0.79672706,0.6933014,0.8466507,0.66696167,0.83348083,0.6460922,0.8230461
2587,0.69237673,0.84618837,0.6545249,0.82726246,0.6684062,0.8342031,0.62128294,0.81064147,0.596336,0.798168,0.62269175,0.8113459,0.5575707,0.77878535,0.64973617,0.8248681,0.6242926,0.8121463,0.6214539,0.81072694
2588,0.77281034,0.88640517,0.7315402,0.8657701,0.69794756,0.84897375,0.6757966,0.8378983,0.64941955,0.8247098,0.66210335,0.8310517,0.57197726,0.7859886,0.7246139,0.86230695,0.67810774,0.83905387,0.65024585,0.82512295
