Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_doordash_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_doordash_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_apple_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_apple_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_samsara_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_samsara_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_yelp_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_yelp_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_match_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_match_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_i2c_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_i2c_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_adobe_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_adobe_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_amazon_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_amazon_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_rowan_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_rowan_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_google_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_google_ux_Score
6018,0.7225379,0.86126894,0.6951026,0.8475513,0.6428108,0.8214054,0.66357625,0.8317881,0.740134,0.870067,0.8318857,0.91594285,0.7617084,0.8808542,0.84632516,0.9231626,0.81547225,0.9077361,0.84679383,0.92339694
6021,0.65191114,0.82595557,0.6152671,0.8076335,0.5763643,0.78818214,0.58608794,0.793044,0.6133826,0.8066913,0.67099017,0.8354951,0.65803254,0.82901627,0.666487,0.8332435,0.68774956,0.8438748,0.6789733,0.83948666
6026,0.63820565,0.8191028,0.64995813,0.82497907,0.6254672,0.8127336,0.603369,0.8016845,0.6643106,0.8321553,0.7566533,0.87832665,0.71176493,0.85588247,0.7446949,0.8723475,0.749282,0.874641,0.82071257,0.9103563
9479,0.7117007,0.85585034,0.67452866,0.8372643,0.61249506,0.80624753,0.65727466,0.82863736,0.67929304,0.8396465,0.7554101,0.87770504,0.6940615,0.84703076,0.74770427,0.87385213,0.7586558,0.8793279,0.7622864,0.8811432
16980,0.5224886,0.7612443,0.57631135,0.7881557,0.53719115,0.7685956,0.55840683,0.7792034,0.54482925,0.7724146,0.50080895,0.7504045,0.5170154,0.7585077,0.5571565,0.7785783,0.62655085,0.81327546,0.5494342,0.7747171
17014,0.41446853,0.70723426,0.49548036,0.74774015,0.3972873,0.6986437,0.45804906,0.7290245,0.45873347,0.7293667,0.41819286,0.70909643,0.5155856,0.75779283,0.48111343,0.7405567,0.56927,0.784635,0.53739446,0.76869726
18230,0.6248451,0.8124225,0.65530133,0.82765067,0.59553957,0.7977698,0.64969087,0.82484543,0.61690307,0.80845153,0.6200793,0.81003964,0.5795073,0.7897537,0.68530715,0.8426536,0.6473637,0.82368183,0.6356758,0.8178379
18348,0.6066192,0.80330956,0.6510838,0.8255419,0.55775386,0.7788769,0.576415,0.78820753,0.6471331,0.82356656,0.73931885,0.8696594,0.70924914,0.85462457,0.7499915,0.8749957,0.76052076,0.88026035,0.8086134,0.9043067
26715,0.6374326,0.8187163,0.6839094,0.8419547,0.61817056,0.80908525,0.62692076,0.81346035,0.6541953,0.82709765,0.6700537,0.83502686,0.7130088,0.85650444,0.7239584,0.8619792,0.7551433,0.87757164,0.74841714,0.87420857
26747,0.78487265,0.8924363,0.7172935,0.85864675,0.6760419,0.8380209,0.69933033,0.84966516,0.7732238,0.88661194,0.8232686,0.9116343,0.7386161,0.86930805,0.8151276,0.9075638,0.74788237,0.8739412,0.8073078,0.90365386
