Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_doordash_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_doordash_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_apple_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_apple_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_samsara_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_samsara_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_yelp_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_yelp_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_match_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_match_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_i2c_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_i2c_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_adobe_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_adobe_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_amazon_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_amazon_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_rowan_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_rowan_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_google_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_google_ux_Score
6018,0.73156875,0.8657844,0.69879556,0.8493978,0.6368759,0.81843793,0.671588,0.835794,0.7359366,0.8679683,0.83034015,0.9151701,0.7739607,0.88698035,0.840803,0.9204015,0.8108808,0.9054404,0.8516289,0.92581445
6021,0.64923763,0.8246188,0.6416422,0.8208211,0.5954479,0.79772395,0.6226437,0.81132185,0.6403371,0.82016855,0.626616,0.813308,0.6075887,0.8037944,0.6648941,0.83244705,0.6884019,0.84420097,0.65673685,0.8283684
6026,0.54620165,0.77310085,0.47288805,0.736444,0.49273485,0.74636745,0.48646557,0.7432328,0.57068074,0.78534037,0.5929697,0.7964848,0.50763476,0.7538174,0.5797955,0.78989774,0.51116955,0.7555848,0.5752132,0.7876066
9479,0.70406675,0.8520334,0.66025794,0.83012897,0.6029893,0.80149466,0.6401881,0.82009405,0.68864644,0.8443232,0.76636314,0.8831816,0.72089803,0.860449,0.7394541,0.869727,0.7546122,0.8773061,0.7765626,0.8882813
16980,0.53761125,0.7688056,0.5894489,0.79472446,0.5478964,0.7739482,0.5544531,0.77722657,0.54910564,0.7745528,0.5141663,0.7570832,0.52145743,0.7607287,0.5629376,0.7814688,0.6320766,0.8160383,0.5568795,0.77843976
17014,0.30363715,0.6518186,0.38241363,0.6912068,0.29351395,0.646757,0.3385754,0.6692877,0.3567819,0.678391,0.30420703,0.65210354,0.38738823,0.6936941,0.37074703,0.68537354,0.45114514,0.7255726,0.4081487,0.7040744
18230,0.65192604,0.825963,0.67685854,0.8384293,0.6163445,0.8081722,0.6577977,0.82889885,0.64477086,0.82238543,0.6382902,0.8191451,0.5941815,0.79709077,0.7053848,0.85269237,0.66031706,0.83015853,0.654297,0.8271485
18348,0.6386775,0.81933874,0.65813684,0.8290684,0.56752837,0.7837642,0.57398856,0.7869943,0.6787636,0.8393818,0.7756826,0.88784134,0.7449044,0.8724522,0.7613952,0.8806976,0.77350986,0.88675493,0.8121401,0.90607005
26715,0.52978766,0.76489383,0.61732197,0.808661,0.5022536,0.75112677,0.57160634,0.7858032,0.5751504,0.7875752,0.5368688,0.7684344,0.60338145,0.8016907,0.6201128,0.8100564,0.6633344,0.8316672,0.5942365,0.79711825
26747,0.77744627,0.88872313,0.7139133,0.85695666,0.68740165,0.8437008,0.699859,0.8499295,0.776179,0.88808954,0.8369177,0.9184588,0.74194485,0.8709724,0.8211796,0.9105898,0.7565609,0.87828046,0.81062853,0.90531427
29788,0.5580984,0.77904916,0.57382125,0.78691065,0.47566557,0.7378328,0.5315368,0.7657684,0.5759857,0.78799284,0.6825353,0.84126765,0.6559431,0.8279716,0.65320516,0.8266026,0.67767453,0.83883727,0.71647805,0.85823905
29835,0.6904016,0.8452008,0.7109166,0.85545826,0.6347195,0.81735975,0.6339213,0.8169607,0.69457006,0.84728503,0.77768105,0.88884056,0.7732978,0.8866489,0.790435,0.89521754,0.7800628,0.8900314,0.79924524,0.8996226
30606,0.67171264,0.8358563,0.5991296,0.79956484,0.5762396,0.7881198,0.5859487,0.79297435,0.6847997,0.84239984,0.7813974,0.8906987,0.6577246,0.8288623,0.71205544,0.8560277,0.7371143,0.86855716,0.75675297,0.8783765
30845,0.7517583,0.87587917,0.7287053,0.86435264,0.673824,0.83691204,0.7591057,0.87955284,0.7362447,0.86812234,0.812734,0.906367,0.75820655,0.8791033,0.83417565,0.9170878,0.82093894,0.9104695,0.83317316,0.9165866
32072,0.7498614,0.87493074,0.7226224,0.8613112,0.73609567,0.86804783,0.68217546,0.8410877,0.7495238,0.87476194,0.80580664,0.9029033,0.72212315,0.8610616,0.82498395,0.912492,0.76906896,0.8845345,0.7899302,0.8949651
46443,0.7330122,0.8665061,0.7862215,0.89311075,0.70617664,0.8530883,0.71273804,0.856369,0.7634225,0.88171124,0.7816869,0.89084345,0.7702966,0.8851483,0.8306288,0.91531444,0.83565855,0.9178293,0.8542722,0.92713606
46506,0.40951467,0.70475733,0.46484345,0.73242176,0.4424522,0.7212261,0.4168936,0.7084468,0.44117686,0.72058845,0.4850483,0.74252415,0.43875593,0.719378,0.5420132,0.7710066,0.6028614,0.8014307,0.5586666,0.7793333
