Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_doordash_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_doordash_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_apple_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_apple_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_samsara_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_samsara_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_yelp_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_yelp_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_match_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_match_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_i2c_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_i2c_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_adobe_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_adobe_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_amazon_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_amazon_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_rowan_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_rowan_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_google_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_google_ux_Score
6018,0.72332233,0.8616612,0.69141066,0.84570533,0.63696563,0.8184828,0.6739571,0.83697855,0.7313339,0.865667,0.81936634,0.90968317,0.76480794,0.88240397,0.840339,0.9201695,0.8055818,0.9027909,0.8406532,0.9203266
6021,0.63754904,0.8187745,0.6353172,0.8176586,0.58550596,0.792753,0.6159734,0.80798674,0.6182353,0.8091177,0.60398865,0.8019943,0.59050983,0.79525495,0.64017785,0.8200889,0.6778046,0.8389023,0.62966156,0.8148308
6026,0.6745106,0.8372553,0.64726394,0.823632,0.60073864,0.8003693,0.58708614,0.7935431,0.70098907,0.8504945,0.762578,0.881289,0.6814382,0.8407191,0.7112247,0.85561234,0.70896494,0.8544825,0.7507225,0.87536126
9479,0.71053326,0.85526663,0.67341965,0.83670986,0.61292005,0.80646,0.6200926,0.8100463,0.7306094,0.8653047,0.77981067,0.88990533,0.7575621,0.8787811,0.76977515,0.8848876,0.76125383,0.8806269,0.8034731,0.90173656
16980,0.5903012,0.79515064,0.65347034,0.82673514,0.5988428,0.7994214,0.60574853,0.80287427,0.60979664,0.8048983,0.55667084,0.77833545,0.55921483,0.7796074,0.6393318,0.8196659,0.67791706,0.8389585,0.60873467,0.8043673
17014,0.3431161,0.671558,0.4294705,0.71473527,0.34789562,0.6739478,0.39756495,0.69878244,0.39357734,0.69678867,0.35316986,0.67658496,0.42582822,0.7129141,0.4129291,0.7064645,0.49695945,0.7484797,0.4584803,0.7292402
18230,0.65192604,0.825963,0.67685854,0.8384293,0.6163445,0.8081722,0.6577977,0.82889885,0.64477086,0.82238543,0.6382903,0.81914514,0.5941815,0.79709077,0.70538485,0.8526924,0.660317,0.8301585,0.6542969,0.82714844
18348,0.6598252,0.8299126,0.6720378,0.8360189,0.5856505,0.7928252,0.5834615,0.79173076,0.7046064,0.8523032,0.80782974,0.90391487,0.7737413,0.8868706,0.7861601,0.89308006,0.7949725,0.8974862,0.8455758,0.9227879
26715,0.6526079,0.82630396,0.69121027,0.84560513,0.6118007,0.80590034,0.6223815,0.8111907,0.68343794,0.841719,0.6503465,0.82517326,0.66874236,0.8343712,0.7180779,0.85903895,0.7219397,0.86096984,0.6683811,0.83419055
26747,0.77992064,0.8899603,0.7114226,0.85571134,0.67824864,0.8391243,0.6895216,0.8447608,0.77575743,0.8878787,0.85186285,0.92593145,0.7667197,0.88335985,0.83128357,0.9156418,0.7632171,0.88160855,0.83856356,0.9192818
29788,0.6127454,0.8063727,0.61314,0.80657,0.51641536,0.7582077,0.55086094,0.77543044,0.66919565,0.8345978,0.7800349,0.89001745,0.7289483,0.8644742,0.7394655,0.86973274,0.746622,0.87331104,0.7876487,0.89382434
29835,0.69234824,0.8461741,0.7115544,0.8557772,0.63662314,0.8183116,0.6358963,0.81794816,0.6958351,0.84791756,0.7769801,0.8884901,0.7721299,0.88606495,0.7917174,0.8958587,0.77974725,0.8898736,0.79738796,0.898694
30606,0.6698679,0.83493394,0.5969455,0.79847276,0.5789085,0.7894542,0.5807196,0.7903598,0.6806743,0.84033716,0.77850294,0.8892515,0.6523181,0.82615906,0.70716876,0.8535844,0.735486,0.867743,0.7535181,0.87675905
30845,0.7508815,0.8754407,0.724084,0.862042,0.67263496,0.8363175,0.75542355,0.8777118,0.7320188,0.8660094,0.81515,0.907575,0.75993216,0.8799661,0.83052063,0.9152603,0.824046,0.912023,0.8343363,0.91716814
32072,0.7486732,0.8743366,0.6866957,0.84334785,0.70598125,0.8529906,0.65329176,0.82664585,0.72225165,0.8611258,0.8133514,0.9066757,0.7115772,0.8557886,0.80851084,0.9042554,0.75116503,0.8755825,0.79105973,0.89552987
46443,0.73571146,0.8678557,0.7846931,0.89234656,0.7044402,0.85222006,0.69844604,0.849223,0.77849627,0.88924813,0.8120531,0.90602654,0.7896712,0.8948356,0.8516811,0.92584056,0.845556,0.922778,0.8753456,0.9376728
46506,0.41399184,0.7069959,0.46582955,0.7329148,0.45468998,0.727345,0.42545354,0.7127268,0.4508237,0.72541183,0.4944168,0.7472084,0.4401459,0.720073,0.5554021,0.777701,0.60778296,0.8038915,0.56732786,0.7836639
50300,0.7231196,0.8615598,0.7224347,0.8612174,0.7091763,0.85458815,0.64567447,0.82283723,0.7466036,0.8733018,0.7918947,0.89594734,0.736656,0.868328,0.8021801,0.90109,0.77368,0.88684,0.83878624,0.9193931
51419,0.6483749,0.82418746,0.69100046,0.84550023,0.60049784,0.8002489,0.6391888,0.8195944,0.65739095,0.8286955,0.69976807,0.84988403,0.72586775,0.8629339,0.7504902,0.8752451,0.78476316,0.89238155,0.79546046,0.89773023
53971,0.61526436,0.8076322,0.61517423,0.80758715,0.5463569,0.77317846,0.5514897,0.77574486,0.6674749,0.8337375,0.7025468,0.8512734,0.72899044,0.8644952,0.7074773,0.85373867,0.7331073,0.86655366,0.72551894,0.8627595
53972,0.602291,0.8011455,0.5792689,0.78963447,0.5156368,0.7578184,0.5150455,0.75752276,0.60308033,0.80154014,0.6663447,0.8331723,0.61957014,0.80978507,0.6271558,0.8135779,0.64089996,0.82044995,0.6484878,0.8242439
53973,0.55827594,0.77913797,0.58610946,0.7930547,0.5478548,0.7739274,0.5693611,0.78468055,0.56535256,0.7826763,0.64232504,0.8211625,0.64022326,0.82011163,0.6771928,0.8385964,0.6837145,0.84185725,0.6844163,0.84220815
53974,0.63346064,0.8167303,0.6220427,0.8110213,0.57215893,0.78607947,0.63587654,0.81793827,0.6759299,0.83796495,0.72601557,0.8630078,0.7228776,0.8614388,0.73137075,0.86568534,0.74964374,0.8748219,0.7588048,0.8794024
53975,0.5477507,0.77387536,0.55340457,0.7767023,0.5306183,0.76530915,0.51661974,0.75830984,0.56320757,0.7816038,0.69119066,0.84559536,0.6403779,0.82018894,0.6207433,0.81037164,0.6900465,0.8450233,0.70212257,0.8510613
53976,0.51570505,0.75785255,0.49970394,0.74985194,0.4854219,0.74271095,0.46240592,0.73120296,0.5239558,0.7619779,0.6491028,0.8245514,0.65781784,0.8289089,0.5928402,0.7964201,0.6595184,0.82975924,0.6787956,0.8393978
