Unnamed: 0,Modifiedgpt4o-on3.5_doordash_pm_Raw_Score,Modifiedgpt4o-on3.5_doordash_pm_Score,Modifiedgpt4o-on3.5_apple_pm_Raw_Score,Modifiedgpt4o-on3.5_apple_pm_Score,Modifiedgpt4o-on3.5_samsara_pm_Raw_Score,Modifiedgpt4o-on3.5_samsara_pm_Score,Modifiedgpt4o-on3.5_yelp_pm_Raw_Score,Modifiedgpt4o-on3.5_yelp_pm_Score,Modifiedgpt4o-on3.5_match_pm_Raw_Score,Modifiedgpt4o-on3.5_match_pm_Score,Modifiedgpt4o-on3.5_i2c_ux_Raw_Score,Modifiedgpt4o-on3.5_i2c_ux_Score,Modifiedgpt4o-on3.5_adobe_ux_Raw_Score,Modifiedgpt4o-on3.5_adobe_ux_Score,Modifiedgpt4o-on3.5_amazon_ux_Raw_Score,Modifiedgpt4o-on3.5_amazon_ux_Score,Modifiedgpt4o-on3.5_rowan_ux_Raw_Score,Modifiedgpt4o-on3.5_rowan_ux_Score,Modifiedgpt4o-on3.5_google_ux_Raw_Score,Modifiedgpt4o-on3.5_google_ux_Score
1747,0.6655862,0.8327931,0.6149118,0.8074559,0.57369137,0.7868457,0.61056054,0.80528027,0.6531956,0.8265978,0.690555,0.8452775,0.6772277,0.83861387,0.6677793,0.83388966,0.7210788,0.86053944,0.69859624,0.8492981
1784,0.6549279,0.827464,0.62460256,0.8123013,0.58514845,0.7925742,0.58032435,0.7901622,0.7009108,0.8504554,0.72527826,0.8626391,0.73834854,0.86917424,0.720496,0.86024797,0.74183,0.870915,0.7210292,0.86051464
2476,0.77867067,0.88933533,0.72300035,0.86150014,0.73638266,0.86819136,0.6604752,0.8302376,0.7658824,0.8829412,0.76833427,0.88416713,0.70244706,0.8512235,0.76201224,0.8810061,0.70419693,0.85209846,0.75271356,0.8763568
2515,0.7280739,0.8640369,0.7019675,0.85098374,0.71713024,0.8585651,0.6354431,0.81772155,0.6822239,0.84111196,0.64377785,0.8218889,0.5892496,0.7946248,0.6913731,0.84568655,0.66308147,0.8315407,0.65722966,0.82861483
2517,0.75967944,0.8798397,0.71369654,0.85684824,0.71268713,0.85634357,0.6348232,0.8174116,0.7310274,0.8655137,0.67846966,0.8392348,0.6200266,0.8100133,0.71300054,0.85650027,0.66123796,0.830619,0.66585934,0.8329297
2529,0.70396894,0.8519845,0.68108773,0.84054387,0.62320673,0.81160337,0.6150696,0.8075348,0.732912,0.86645603,0.64414096,0.8220705,0.7085842,0.8542921,0.67208403,0.83604205,0.65638924,0.8281946,0.68200195,0.841001
2538,0.70605904,0.8530295,0.64026886,0.8201344,0.63921463,0.8196073,0.6143646,0.8071823,0.6486081,0.82430404,0.6115215,0.80576074,0.556301,0.7781505,0.6605722,0.8302861,0.6209272,0.8104636,0.600586,0.80029297
2551,0.74493587,0.87246794,0.72758573,0.8637929,0.69173515,0.8458676,0.63275933,0.81637967,0.6821091,0.84105456,0.6851225,0.84256124,0.66484535,0.8324227,0.68143594,0.840718,0.71397984,0.8569899,0.6879332,0.8439666
2553,0.7908877,0.89544386,0.72136533,0.86068267,0.7191893,0.85959464,0.6677563,0.83387816,0.7016419,0.85082096,0.7075378,0.8537689,0.6615908,0.8307954,0.7174737,0.8587369,0.66916,0.83458,0.7112806,0.8556403
2554,0.6785394,0.8392697,0.71509993,0.85754997,0.61469233,0.80734617,0.65093505,0.8254675,0.6686586,0.8343293,0.6763369,0.83816844,0.67994475,0.8399724,0.70992494,0.85496247,0.6699054,0.8349527,0.693196,0.846598
2555,0.7732084,0.8866042,0.7339976,0.8669988,0.728874,0.864437,0.6734052,0.8367026,0.70455986,0.8522799,0.69860435,0.8493022,0.65248525,0.8262426,0.72840095,0.8642005,0.69127285,0.8456364,0.70149755,0.8507488
2556,0.72123635,0.8606182,0.733817,0.8669085,0.7430108,0.8715054,0.6821679,0.84108394,0.65185726,0.8259286,0.6459809,0.8229904,0.5729788,0.78648937,0.7234899,0.86174494,0.65890014,0.8294501,0.6497009,0.82485044
2577,0.7395157,0.8697579,0.7267182,0.8633591,0.68370986,0.84185493,0.6448826,0.82244134,0.66495156,0.8324758,0.69254446,0.84627223,0.68199205,0.840996,0.691849,0.8459245,0.68026954,0.84013474,0.7110454,0.8555227
2582,0.73769534,0.86884767,0.678995,0.8394975,0.7140089,0.85700446,0.6192601,0.80963004,0.6813346,0.8406673,0.7303678,0.8651839,0.6297229,0.8148614,0.72800136,0.8640007,0.6902528,0.8451264,0.7016162,0.85080814
2583,0.6620895,0.8310448,0.7221026,0.8610513,0.7049937,0.85249686,0.62604594,0.813023,0.6610278,0.8305139,0.6299494,0.81497467,0.6002678,0.80013394,0.666075,0.8330375,0.65181017,0.8259051,0.6324185,0.81620926
